date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"2,369,300","45,290,390",19.3,19.5,18.85,18.85,-0.25,"1,052"
107/07/03,"4,002,820","73,666,840",19.0,19.1,18.0,18.1,-0.75,"1,693"
107/07/04,"2,689,384","48,358,219",18.15,18.45,17.65,18.1, 0.00,"1,038"
107/07/05,"2,705,480","48,265,543",18.2,18.2,17.55,17.7,-0.40,903
107/07/06,"3,220,570","55,531,817",17.45,17.75,17.0,17.3,X0.00,"1,253"
107/07/09,"1,078,377","18,843,863",17.7,17.7,17.35,17.45,+0.15,475
107/07/10,"2,533,270","45,421,586",17.8,18.2,17.65,18.05,+0.60,"1,243"
107/07/11,"2,030,262","36,568,441",17.6,18.4,17.6,18.05, 0.00,881
107/07/12,"1,098,548","19,777,050",18.0,18.15,17.85,18.1,+0.05,455
107/07/13,"4,544,138","84,550,387",18.45,18.95,18.3,18.3,+0.20,"2,148"
107/07/16,"2,170,298","39,576,181",18.5,18.7,18.05,18.1,-0.20,933
107/07/17,"3,443,600","63,895,109",18.6,18.85,18.25,18.25,+0.15,"1,653"
107/07/18,"1,892,954","34,212,016",18.25,18.4,17.8,17.9,-0.35,942
107/07/19,"900,300","16,211,709",18.05,18.2,17.85,17.95,+0.05,449
107/07/20,"1,810,202","32,570,464",17.95,18.1,17.8,18.05,+0.10,695
107/07/23,"1,181,887","21,176,471",18.1,18.1,17.8,17.95,-0.10,381
107/07/24,"2,550,600","46,972,708",18.1,18.7,18.05,18.7,+0.75,"1,107"
107/07/25,"1,939,191","35,979,120",18.65,18.65,18.4,18.6,-0.10,685
107/07/26,"6,069,261","116,118,397",18.7,19.5,18.65,19.3,+0.70,"2,181"
107/07/27,"8,438,980","167,055,993",19.35,20.1,19.35,20.05,+0.75,"3,125"
107/07/30,"6,846,954","137,450,309",19.85,20.5,19.6,20.5,+0.45,"2,444"
107/07/31,"11,347,884","232,658,367",20.45,20.7,20.0,20.6,+0.10,"2,154"
107/08/01,"5,219,213","108,053,749",20.55,21.05,20.45,20.45,-0.15,"2,388"
107/08/02,"7,626,394","159,813,075",20.7,21.4,20.5,20.5,+0.05,"3,383"
107/08/03,"3,806,247","79,377,148",21.0,21.25,20.6,20.8,+0.30,"1,677"
