date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"9,999","71,279",7.15,7.18,7.12,7.12,-0.07,16
107/07/03,"23,895","167,577",7.10,7.12,6.87,7.12, 0.00,22
107/07/04,"8,349","60,160",7.12,7.32,7.12,7.32,+0.20,18
107/07/05,517,"3,590",--,--,--,--, 0.00,5
107/07/06,"15,271","110,837",7.02,7.29,7.02,7.28,X0.00,19
107/07/09,"18,766","134,740",7.00,7.25,7.00,7.07,-0.21,28
107/07/10,"11,077","78,614",7.07,7.17,7.07,7.17,+0.10,7
107/07/11,"16,224","114,106",6.98,7.04,6.98,7.02,-0.15,22
107/07/12,"47,549","334,550",7.02,7.10,7.02,7.10,+0.08,22
107/07/13,"19,685","139,679",7.09,7.10,7.09,7.10, 0.00,13
107/07/16,"3,072","21,795",7.10,7.10,7.10,7.10, 0.00,5
107/07/17,"6,688","46,824",7.08,7.10,7.01,7.10, 0.00,11
107/07/18,"34,999","250,339",7.10,7.17,7.10,7.17,+0.07,46
107/07/19,"16,710","118,844",7.17,7.17,7.10,7.12,-0.05,16
107/07/20,"4,755","33,247",7.02,7.02,7.02,7.02,-0.10,9
107/07/23,"20,350","142,560",7.02,7.02,7.00,7.00,-0.02,11
107/07/24,"16,432","115,191",7.01,7.02,7.01,7.02,+0.02,14
107/07/25,"10,602","74,233",7.02,7.02,7.00,7.02, 0.00,12
107/07/26,582,"4,040",--,--,--,--, 0.00,9
107/07/27,"7,486","52,215",6.96,7.00,6.96,7.00,X0.00,9
107/07/30,"55,999","383,547",7.00,7.05,6.58,6.83,-0.17,44
107/07/31,"2,999","20,542",6.84,6.86,6.84,6.86,+0.03,21
107/08/01,"10,335","71,605",7.00,7.00,6.87,6.93,+0.07,16
107/08/02,"7,000","48,206",6.99,6.99,6.86,6.86,-0.07,11
107/08/03,"24,385","168,496",6.88,6.97,6.88,6.97,+0.11,19
107/08/06,"18,179","125,492",6.97,7.01,6.81,6.92,-0.05,18
107/08/07,"9,450","65,244",6.83,6.92,6.83,6.90,-0.02,14
107/08/08,"6,990","48,409",6.95,6.95,6.94,6.94,+0.04,13
107/08/09,"20,756","142,638",6.85,6.94,6.85,6.94, 0.00,77
107/08/10,"3,504","24,262",6.95,6.95,6.91,6.91,-0.03,5
107/08/13,255,"1,699",--,--,--,--, 0.00,3
107/08/14,"2,119","14,669",6.94,6.94,6.94,6.94,X0.00,5
107/08/15,"17,606","123,459",7.52,7.52,6.84,6.84,-0.10,16
107/08/16,"3,453","23,811",6.84,6.97,6.84,6.97,+0.13,9
107/08/17,"17,650","123,652",7.00,7.00,6.99,6.99,+0.02,20
107/08/20,"84,822","601,709",6.99,7.35,6.98,7.00,+0.01,71
107/08/21,"24,718","174,779",7.00,7.13,7.00,7.07,+0.07,31
107/08/22,"9,221","64,780",7.00,7.08,7.00,7.08,+0.01,19
