date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"5,117,299","223,032,250",43.1,43.9,43.1,43.5,+0.30,"2,679"
107/07/03,"3,165,556","136,463,843",43.3,43.7,42.8,42.9,-0.60,"1,757"
107/07/04,"2,108,379","90,653,864",43.0,43.2,42.9,43.0,+0.10,"1,179"
107/07/05,"2,338,052","100,517,608",43.5,43.5,42.7,42.7,-0.30,"1,099"
107/07/06,"5,692,018","243,925,859",42.7,43.2,42.45,42.85,+0.15,"2,276"
107/07/09,"1,862,781","79,814,041",43.0,43.0,42.5,42.9,+0.05,791
107/07/10,"5,108,843","220,340,199",43.15,43.4,42.8,43.2,+0.30,"2,303"
107/07/11,"4,937,603","212,707,811",42.85,43.4,42.5,43.15,-0.05,"2,689"
107/07/12,"7,501,017","325,919,131",43.15,43.8,43.1,43.8,+0.65,"3,211"
107/07/13,"4,434,921","194,875,300",43.9,44.0,43.8,44.0,+0.20,"2,059"
107/07/16,"2,763,855","121,554,639",43.95,44.05,43.85,43.95,-0.05,"1,775"
107/07/17,"4,826,391","212,384,620",44.0,44.1,43.7,44.1,+0.15,"2,672"
107/07/18,"4,832,185","213,894,901",44.15,44.4,44.1,44.25,+0.15,"2,582"
107/07/19,"5,662,930","251,164,542",44.3,44.45,44.2,44.25, 0.00,"3,322"
107/07/20,"3,912,194","172,939,336",44.3,44.35,44.0,44.25, 0.00,"2,097"
107/07/23,"3,902,565","171,656,139",44.1,44.25,43.8,43.95,-0.30,"2,524"
107/07/24,"8,203,169","359,133,037",44.0,44.0,43.6,43.65,-0.30,"2,711"
107/07/25,"6,522,589","268,277,592",41.15,41.4,41.0,41.1,X0.00,"2,749"
107/07/26,"4,663,993","191,969,805",41.2,41.5,40.8,41.5,+0.40,"2,331"
107/07/27,"3,158,217","130,763,274",41.5,41.6,41.25,41.5, 0.00,"1,679"
107/07/30,"2,989,696","123,111,950",41.5,41.6,40.9,41.25,-0.25,"1,827"
107/07/31,"8,631,510","362,376,317",41.5,42.45,41.35,42.45,+1.20,"3,265"
107/08/01,"3,975,838","166,126,069",42.4,42.4,41.55,41.75,-0.70,"2,306"
107/08/02,"3,645,246","150,683,213",41.95,41.95,41.1,41.3,-0.45,"2,113"
107/08/03,"3,810,598","155,969,562",41.45,41.55,40.7,40.85,-0.45,"2,259"
107/08/06,"4,567,286","185,078,890",40.85,41.0,40.2,40.4,-0.45,"2,372"
107/08/07,"4,266,884","171,744,564",40.5,40.75,40.1,40.2,-0.20,"2,498"
107/08/08,"6,167,977","251,845,893",40.8,41.25,40.4,40.9,+0.70,"2,956"
107/08/09,"4,193,248","171,752,133",40.95,41.25,40.8,41.0,+0.10,"2,557"
107/08/10,"3,282,498","133,181,780",41.0,41.0,40.4,40.5,-0.50,"1,773"
107/08/13,"4,240,549","170,913,697",40.5,40.7,39.95,40.5, 0.00,"2,417"
107/08/14,"4,775,989","191,265,093",40.5,40.55,39.9,39.9,-0.60,"2,354"
107/08/15,"3,656,769","144,746,767",40.0,40.05,39.3,39.5,-0.40,"1,886"
107/08/16,"4,040,736","157,982,090",39.5,39.5,38.85,39.15,-0.35,"1,965"
107/08/17,"4,743,099","184,853,679",39.35,39.35,38.75,38.8,-0.35,"2,515"
107/08/20,"5,525,644","212,272,033",38.8,38.9,38.2,38.25,-0.55,"2,667"
107/08/21,"2,866,599","110,167,885",38.25,38.65,38.2,38.65,+0.40,"1,666"
107/08/22,"4,223,140","161,330,115",38.45,38.6,38.0,38.15,-0.50,"2,242"
107/08/23,"2,763,383","105,360,369",38.05,38.35,38.0,38.1,-0.05,"1,808"
107/08/24,"4,586,921","175,720,736",38.15,38.55,38.05,38.5,+0.40,"2,002"
107/08/27,"3,254,830","125,641,032",38.65,38.95,38.3,38.7,+0.20,"1,926"
107/08/28,"3,378,016","132,104,211",39.0,39.4,38.7,39.4,+0.70,"2,026"
107/08/29,"2,212,602","86,761,842",39.45,39.45,39.1,39.3,-0.10,"1,248"
107/08/30,"2,960,447","115,515,583",39.3,39.3,38.85,38.95,-0.35,"1,665"
107/08/31,"6,753,705","261,276,557",38.95,38.95,38.45,38.9,-0.05,"2,341"
107/09/03,"2,550,497","98,745,471",38.7,39.0,38.55,38.75,-0.15,"1,314"
107/09/04,"2,106,448","81,578,554",38.7,38.9,38.6,38.9,+0.15,"1,071"
107/09/05,"4,138,508","159,677,924",38.7,38.85,38.5,38.55,-0.35,"1,994"
107/09/06,"4,127,032","158,047,153",38.4,38.45,38.2,38.25,-0.30,"2,204"
107/09/07,"6,791,625","257,406,548",38.1,38.2,37.65,37.65,-0.60,"2,805"
107/09/10,"5,130,164","190,848,473",37.65,37.65,37.05,37.3,-0.35,"3,204"
107/09/11,"5,384,376","200,960,399",37.3,37.7,37.1,37.7,+0.40,"3,282"
107/09/12,"5,204,529","194,010,831",37.7,37.75,37.15,37.2,-0.50,"2,738"
107/09/13,"2,352,131","88,232,413",37.3,37.75,37.2,37.5,+0.30,"1,530"
107/09/14,"4,000,121","151,079,013",37.65,38.0,37.5,37.75,+0.25,"2,397"
107/09/17,"2,643,052","100,259,476",38.0,38.15,37.75,37.8,+0.05,"1,649"
107/09/18,"3,410,009","128,312,104",37.8,37.9,37.5,37.55,-0.25,"2,085"
107/09/19,"3,865,313","146,444,120",37.6,38.0,37.6,37.9,+0.35,"1,771"
107/10/01,"3,736,264","154,513,724",40.8,41.75,40.8,40.95,X0.00,"2,563"
107/10/02,"6,461,868","259,133,199",41.1,41.15,39.7,39.75,-1.20,"3,542"
107/10/03,"6,148,245","241,676,501",40.0,40.1,38.8,39.1,-0.65,"3,009"
107/10/04,"5,713,546","221,126,611",39.1,39.15,38.4,38.85,-0.25,"3,384"
107/10/05,"3,383,563","130,830,207",38.6,38.95,38.4,38.95,+0.10,"1,966"
107/10/08,"7,905,662","304,987,801",38.55,38.8,38.5,38.7,-0.25,"3,580"
107/10/09,"5,159,103","199,106,372",38.6,38.85,38.35,38.5,-0.20,"2,281"
107/10/11,"15,566,597","576,487,198",37.3,37.75,36.55,37.75,-0.75,"5,501"
107/10/12,"7,904,525","293,677,294",37.05,37.65,36.6,37.25,-0.50,"3,756"
107/10/15,"3,510,897","131,105,412",37.15,37.55,37.1,37.25, 0.00,"1,729"
107/10/16,"3,568,047","133,147,152",37.35,37.6,37.1,37.3,+0.05,"1,864"
107/10/17,"2,051,917","76,745,419",37.55,37.65,37.3,37.35,+0.05,"1,325"
107/10/18,"2,290,122","85,165,565",37.3,37.4,37.05,37.05,-0.30,"1,464"
107/10/19,"3,626,778","134,318,420",37.0,37.2,36.85,37.05, 0.00,"1,322"
107/10/22,"5,085,282","186,484,934",37.0,37.0,36.35,36.6,-0.45,"2,565"
107/10/23,"3,371,507","123,550,535",36.55,36.8,36.5,36.7,+0.10,"1,565"
107/10/24,"1,878,243","68,545,876",36.7,36.75,36.3,36.55,-0.15,"1,108"
107/10/25,"3,880,263","139,463,568",36.05,36.2,35.8,35.8,-0.75,"1,712"
107/10/26,"2,365,604","84,883,901",36.1,36.25,35.55,36.15,+0.35,"1,171"
107/10/29,"2,900,476","103,880,542",36.65,36.65,35.6,35.6,-0.55,"1,256"
107/10/30,"1,981,089","70,968,478",35.8,36.05,35.7,35.7,+0.10,988
107/10/31,"3,468,795","126,299,942",35.85,36.75,35.85,36.75,+1.05,"1,842"
107/11/01,"3,978,214","148,570,690",36.75,37.6,36.75,37.45,+0.70,"2,294"
107/11/02,"3,210,246","120,432,540",37.5,37.75,37.15,37.7,+0.25,"1,521"
107/11/05,"3,181,899","118,220,182",37.5,37.5,36.85,37.35,-0.35,"1,478"
107/11/06,"3,850,055","141,089,698",37.25,37.25,36.5,36.5,-0.85,"2,235"
107/11/07,"4,052,520","148,065,696",36.45,36.85,36.25,36.75,+0.25,"2,208"
107/11/08,"2,259,303","82,636,304",36.95,36.95,36.5,36.5,-0.25,"1,585"
107/11/09,"5,287,374","190,163,014",36.4,36.45,35.8,35.8,-0.70,"2,813"
107/11/12,"2,970,480","106,321,736",35.85,36.1,35.6,35.7,-0.10,"1,506"
107/11/13,"2,649,273","94,354,278",35.3,35.85,35.25,35.8,+0.10,"1,485"
107/11/14,"4,297,444","157,623,445",35.85,37.1,35.8,37.1,+1.30,"2,154"
107/11/15,"3,251,119","119,886,653",37.1,37.1,36.55,36.95,-0.15,"1,993"
107/11/16,"2,881,109","106,705,820",37.0,37.3,36.85,37.05,+0.10,"1,537"
107/11/19,"1,885,765","70,294,412",37.2,37.4,37.15,37.3,+0.25,"1,184"
107/11/20,"3,351,285","123,617,479",37.0,37.3,36.55,36.55,-0.75,"1,785"
107/11/21,"1,976,982","72,613,522",36.55,37.0,36.45,36.65,+0.10,"1,232"
107/11/22,"1,490,314","54,730,628",36.6,36.9,36.6,36.75,+0.10,772
107/11/23,"1,449,588","53,442,556",36.75,37.0,36.7,37.0,+0.25,784
107/11/26,"1,165,896","43,159,202",37.0,37.3,36.85,37.0, 0.00,793
107/11/27,"2,578,660","95,565,792",36.85,37.25,36.75,37.2,+0.20,"1,617"
107/11/28,"2,964,169","111,026,809",37.3,37.7,37.1,37.7,+0.50,"1,395"
107/11/29,"2,531,379","95,597,148",37.9,37.95,37.6,37.65,-0.05,"1,610"
107/11/30,"7,974,729","299,068,992",37.7,37.8,37.35,37.5,-0.15,"2,269"
107/12/03,"2,941,170","111,132,530",37.65,37.9,37.65,37.7,+0.20,"1,437"
107/12/04,"4,478,523","167,255,095",37.55,37.65,37.15,37.3,-0.40,"2,041"
107/12/05,"2,852,699","105,380,813",37.0,37.15,36.85,36.85,-0.45,"1,267"
107/12/06,"4,933,317","180,706,385",36.95,36.95,36.35,36.5,-0.35,"2,737"
107/12/07,"1,044,788","38,422,814",36.75,36.9,36.6,36.7,+0.20,680
107/12/10,"2,450,451","89,285,063",36.55,36.6,36.3,36.55,-0.15,"1,325"
107/12/11,"2,236,875","81,436,323",36.4,36.55,36.35,36.4,-0.15,"1,390"
107/12/12,"1,669,928","61,093,485",36.5,36.75,36.5,36.5,+0.10,773
107/12/13,"2,120,585","77,641,020",36.5,36.7,36.5,36.6,+0.10,"1,286"
107/12/14,"1,915,873","69,950,239",36.6,36.7,36.4,36.6, 0.00,"1,030"
107/12/17,"3,291,103","120,760,753",36.75,37.05,36.6,36.6, 0.00,"1,426"
107/12/18,"5,602,796","202,563,715",36.5,36.6,36.0,36.0,-0.60,"2,847"
107/12/19,"2,942,982","106,193,979",36.1,36.2,36.0,36.0, 0.00,"1,672"
107/12/20,"2,486,052","89,592,264",36.0,36.15,36.0,36.15,+0.15,"1,316"
107/12/21,"3,810,031","137,372,449",36.15,36.3,36.0,36.05,-0.10,"1,069"
107/12/22,"367,693","13,275,843",36.15,36.2,36.0,36.1,+0.05,208
107/12/24,"2,037,342","74,515,235",36.1,36.75,36.1,36.75,+0.65,719
107/12/25,"2,170,685","79,227,363",36.1,36.75,36.1,36.75, 0.00,926
107/12/26,"1,152,432","42,301,663",36.65,36.8,36.6,36.75, 0.00,559
107/12/27,"2,037,692","75,197,923",36.85,37.1,36.7,36.7,-0.05,"1,293"
107/12/28,"1,601,998","59,186,412",36.7,37.15,36.7,36.95,+0.25,932
108/01/02,"1,668,492","61,798,604",37.2,37.2,36.95,37.0,+0.05,892
108/01/03,"2,653,318","98,073,827",37.0,37.2,36.8,36.95,-0.05,"1,588"
108/01/04,"3,061,561","113,097,251",36.95,37.15,36.7,36.95, 0.00,"1,879"
108/01/07,"3,456,566","128,967,384",37.4,37.55,37.0,37.4,+0.45,"2,017"
108/01/08,"1,927,443","72,049,005",37.4,37.6,37.15,37.3,-0.10,"1,162"
108/01/09,"4,045,971","152,980,132",37.6,37.95,37.45,37.9,+0.60,"2,175"
108/01/10,"1,748,101","66,155,602",37.75,38.0,37.65,38.0,+0.10,"1,138"
108/01/11,"2,379,881","90,769,728",37.8,38.35,37.8,38.15,+0.15,"1,509"
108/01/14,"3,022,095","114,475,510",38.15,38.25,37.55,38.05,-0.10,"1,544"
108/01/15,"2,219,602","84,776,537",38.25,38.35,38.0,38.05, 0.00,"1,461"
108/01/16,"1,369,619","52,162,622",38.1,38.25,38.0,38.1,+0.05,863
108/01/17,"1,640,148","62,433,796",38.2,38.4,37.9,37.95,-0.15,"1,005"
108/01/18,"2,190,242","83,427,596",38.35,38.35,37.9,38.15,+0.20,"1,315"
108/01/21,"1,691,191","64,548,860",38.2,38.45,38.0,38.15, 0.00,"1,071"
108/01/22,"927,965","35,332,907",38.15,38.35,37.95,38.1,-0.05,546
108/01/23,"1,641,842","63,024,539",38.05,38.65,37.95,38.65,+0.55,947
108/01/24,"1,683,591","64,727,976",38.6,38.7,38.35,38.45,-0.20,"1,108"
108/01/25,"2,809,162","108,914,231",38.4,39.0,38.4,38.75,+0.30,"1,525"
108/01/28,"1,961,288","76,365,759",38.9,39.0,38.8,39.0,+0.25,"1,312"
108/01/29,"1,964,315","76,390,652",39.0,39.0,38.65,39.0, 0.00,"1,291"
108/01/30,"2,148,390","83,749,212",38.8,39.15,38.8,38.95,-0.05,"1,149"
108/02/11,"3,386,401","131,008,737",39.0,39.15,38.5,38.5,-0.45,"2,292"
108/02/12,"2,838,920","109,120,399",38.5,38.65,38.35,38.6,+0.10,"1,822"
108/02/13,"3,419,358","132,002,052",38.6,38.95,38.35,38.8,+0.20,"1,926"
108/02/14,"2,361,066","91,751,734",38.8,39.1,38.75,38.8, 0.00,"1,384"
108/02/15,"2,238,934","86,966,898",38.85,39.15,38.6,38.8, 0.00,"1,481"
108/02/18,"979,038","38,010,983",38.8,38.95,38.65,38.8, 0.00,700
108/02/19,"1,411,622","54,808,810",38.8,39.0,38.65,39.0,+0.20,851
108/02/20,"3,086,164","119,684,987",39.0,39.05,38.6,38.9,-0.10,"1,560"
108/02/21,"2,876,949","112,134,461",38.75,39.1,38.75,38.95,+0.05,"1,907"
108/02/22,"2,942,202","115,420,609",38.9,39.6,38.75,39.45,+0.50,"1,803"
108/02/25,"1,307,383","51,621,257",39.45,39.6,39.3,39.6,+0.15,"1,013"
108/02/26,"3,594,679","142,447,914",39.6,39.9,39.25,39.65,+0.05,"1,793"
108/02/27,"4,574,113","180,783,697",39.65,39.8,39.0,39.8,+0.15,"1,963"
108/03/04,"5,503,597","215,054,067",39.1,39.5,38.8,39.2,-0.60,"2,816"
108/03/05,"4,213,693","163,456,804",38.95,39.0,38.6,38.8,-0.40,"2,089"
108/03/06,"2,858,940","111,278,288",38.7,39.15,38.65,39.15,+0.35,"1,243"
108/03/07,"5,150,952","199,869,662",38.9,39.15,38.65,38.7,-0.45,"2,501"
108/03/08,"3,147,720","121,174,264",38.55,38.85,38.2,38.8,+0.10,"1,554"
108/03/11,"2,188,107","85,030,321",38.65,39.2,38.55,38.95,+0.15,"1,101"
108/03/12,"1,922,745","75,021,605",39.15,39.2,38.95,39.1,+0.15,"1,285"
108/03/13,"1,514,841","59,052,531",39.0,39.0,38.85,39.0,-0.10,822
108/03/14,"2,638,488","103,156,014",38.85,39.25,38.85,39.2,+0.20,"1,313"
108/03/15,"3,576,557","140,710,046",39.2,39.5,39.05,39.5,+0.30,"1,447"
108/03/18,"2,192,545","87,012,351",39.45,39.9,39.35,39.85,+0.35,"1,475"
108/03/19,"2,537,190","101,142,738",39.85,39.95,39.7,39.95,+0.10,"1,351"
108/03/20,"1,929,594","76,966,585",39.85,39.95,39.8,39.95, 0.00,930
108/03/21,"1,644,995","65,663,870",39.9,40.0,39.8,39.85,-0.10,"1,060"
108/03/22,"2,094,125","83,550,890",39.8,40.15,39.7,39.9,+0.05,"1,224"
108/03/25,"1,195,983","47,627,386",39.6,40.0,39.5,39.9, 0.00,776
108/03/26,"1,620,328","64,968,620",40.1,40.25,39.9,40.2,+0.30,"1,205"
108/03/27,"1,812,623","72,846,907",40.1,40.3,40.0,40.3,+0.10,"1,230"
108/03/28,"1,665,107","66,720,630",40.0,40.2,39.9,40.2,-0.10,932
108/03/29,"2,635,659","106,018,860",40.2,40.35,40.05,40.2, 0.00,"1,350"
108/04/01,"3,052,895","123,571,568",40.2,40.7,40.15,40.7,+0.50,"2,096"
108/04/02,"1,339,839","54,295,972",40.7,40.75,40.4,40.55,-0.15,905
108/04/03,"2,607,420","105,441,950",40.6,40.65,40.25,40.6,+0.05,"1,660"
108/04/08,"3,159,295","127,530,945",40.55,40.6,39.8,40.6, 0.00,"2,023"
108/04/09,"2,835,935","114,891,645",40.3,40.7,40.25,40.7,+0.10,"1,649"
108/04/10,"2,075,153","84,091,092",40.6,40.65,40.35,40.55,-0.15,"1,244"
108/04/11,"2,257,757","90,824,841",40.5,40.55,40.0,40.05,-0.50,"1,067"
108/04/12,"1,285,547","51,758,152",40.05,40.5,40.0,40.5,+0.45,932
108/04/15,"1,410,064","57,152,903",40.55,40.6,40.45,40.45,-0.05,875
108/04/16,"1,692,598","68,080,383",40.2,40.4,40.1,40.3,-0.15,894
108/04/17,"1,650,220","66,867,308",40.3,40.6,40.3,40.6,+0.30,"1,193"
108/04/18,"2,132,384","85,878,444",40.45,40.55,40.1,40.15,-0.45,844
108/04/19,"1,040,687","41,984,452",40.2,40.45,40.2,40.4,+0.25,716
108/04/22,"1,824,094","73,157,684",40.4,40.45,40.0,40.05,-0.35,"1,708"
108/04/23,"1,888,726","75,625,740",40.05,40.15,39.95,40.1,+0.05,"1,195"
108/04/24,"2,227,800","89,869,544",40.1,40.6,40.05,40.6,+0.50,"1,140"
108/04/25,"1,381,900","55,727,691",40.6,40.6,40.2,40.3,-0.30,703
108/04/26,"1,157,831","46,726,032",40.25,40.45,40.2,40.45,+0.15,592
108/04/29,"1,987,557","80,861,538",40.6,40.9,40.4,40.9,+0.45,"1,148"
108/04/30,"2,481,247","100,997,217",40.85,40.9,40.55,40.75,-0.15,"1,683"
108/05/02,"3,955,053","163,438,651",40.9,41.5,40.8,41.35,+0.60,"2,123"
108/05/03,"1,741,187","72,183,156",41.35,41.6,41.2,41.55,+0.20,"1,163"
108/05/06,"4,997,574","202,695,491",40.85,41.0,40.05,40.7,-0.85,"2,616"
108/05/07,"4,449,573","180,154,149",40.7,40.7,40.35,40.45,-0.25,"2,214"
108/05/08,"4,097,603","164,383,227",40.1,40.35,40.05,40.3,-0.15,"2,819"
