date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"862,276","28,491,621",33.05,33.15,33.0,33.0,-0.05,457
107/07/03,"1,157,796","38,241,638",33.0,33.25,32.8,33.0, 0.00,731
107/07/04,"400,112","13,177,480",32.85,33.1,32.8,33.0, 0.00,281
107/07/05,"529,648","17,466,628",33.0,33.1,32.85,33.0, 0.00,316
107/07/06,"1,496,553","48,957,502",33.0,33.0,32.45,32.85,-0.15,823
107/07/09,"498,626","16,377,451",32.85,33.0,32.7,32.85, 0.00,303
107/07/10,"709,493","23,211,267",32.7,32.95,32.6,32.6,-0.25,409
107/07/11,"914,562","29,686,409",32.6,32.7,32.3,32.5,-0.10,656
107/07/12,"446,222","14,501,408",32.5,32.6,32.4,32.5, 0.00,313
107/07/13,"425,030","13,909,017",32.8,32.8,32.55,32.8,+0.30,318
107/07/16,"873,315","28,854,202",32.85,33.25,32.85,32.95,+0.15,538
107/07/17,"736,865","24,350,898",33.0,33.15,32.8,33.1,+0.15,579
107/07/18,"1,582,490","52,734,655",33.0,33.5,33.0,33.35,+0.25,931
107/07/19,"3,983,377","135,077,794",33.35,34.1,33.35,33.85,+0.50,"1,871"
107/07/20,"1,422,581","48,140,968",33.95,34.1,33.7,33.8,-0.05,721
107/07/23,"702,762","23,725,371",33.8,33.95,33.55,33.8, 0.00,436
107/07/24,"975,557","33,061,941",33.85,34.1,33.8,34.0,+0.20,678
107/07/25,"1,216,493","41,381,572",34.0,34.1,33.85,34.05,+0.05,586
107/07/26,"829,901","28,296,034",34.1,34.2,34.0,34.1,+0.05,497
107/07/27,"881,810","29,921,398",34.1,34.15,33.85,33.95,-0.15,505
107/07/30,"1,162,520","39,116,339",33.95,33.95,33.45,33.75,-0.20,561
107/07/31,"923,989","31,189,272",33.75,33.9,33.6,33.9,+0.15,551
107/08/01,"566,435","19,171,113",33.9,33.9,33.75,33.9, 0.00,372
107/08/02,"701,583","23,679,817",33.9,33.9,33.65,33.75,-0.15,386
107/08/03,"658,737","22,182,225",33.75,33.8,33.6,33.8,+0.05,430
107/08/06,"410,581","13,865,371",33.8,33.9,33.7,33.75,-0.05,260
