date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"6,062,119","432,469,849",71.4,72.5,70.9,70.9,-0.70,"2,546"
107/07/03,"9,674,388","676,021,170",70.9,71.3,68.9,69.5,-1.40,"5,197"
107/07/04,"5,267,851","369,130,570",69.5,70.5,69.4,70.0,+0.50,"2,431"
107/07/05,"4,993,180","347,637,405",69.6,70.0,69.3,69.6,-0.40,"2,717"
107/07/06,"5,883,845","406,685,818",69.6,70.2,68.4,68.8,-0.80,"2,968"
107/07/09,"4,449,601","312,127,970",69.3,70.9,69.1,70.0,+1.20,"2,670"
107/07/10,"4,510,445","315,119,555",70.8,70.9,69.6,69.6,-0.40,"2,597"
107/07/11,"5,531,492","383,477,828",69.2,70.0,68.9,69.4,-0.20,"2,879"
107/07/12,"7,576,597","535,739,732",69.1,71.8,69.1,70.7,+1.30,"3,954"
107/07/13,"7,078,101","508,392,612",71.2,72.4,70.9,72.1,+1.40,"3,202"
107/07/16,"3,615,742","258,099,115",72.1,72.4,71.1,71.1,-1.00,"1,729"
107/07/17,"5,781,581","411,425,659",71.6,71.7,70.7,71.4,+0.30,"2,877"
107/07/18,"9,009,402","655,898,044",72.0,73.5,71.8,72.6,+1.20,"5,438"
107/07/19,"6,085,449","444,487,942",73.0,73.6,72.3,72.3,-0.30,"2,969"
107/07/20,"12,786,355","907,605,892",73.0,73.7,69.8,70.6,-1.70,"6,012"
107/07/23,"10,378,691","727,906,620",70.2,71.1,69.8,70.0,-0.60,"5,239"
107/07/24,"6,021,007","423,860,311",69.8,70.7,69.8,70.7,+0.70,"2,751"
107/07/25,"7,396,659","520,978,641",70.8,70.9,70.2,70.2,-0.50,"4,537"
107/07/26,"7,100,580","505,727,568",70.7,71.8,70.3,71.2,+1.00,"4,078"
107/07/27,"12,436,150","916,322,705",71.7,74.7,71.2,74.6,+3.40,"6,106"
107/07/30,"23,894,677","1,880,356,039",78.4,79.2,77.8,78.5,+3.90,"10,406"
107/07/31,"20,663,255","1,599,321,250",77.8,78.4,76.5,78.4,-0.10,"6,398"
107/08/01,"8,898,527","693,000,086",77.7,78.2,77.5,78.0,-0.40,"3,579"
107/08/02,"8,164,868","630,873,543",77.9,78.4,76.4,76.6,-1.40,"3,825"
107/08/03,"3,831,077","295,522,711",76.8,77.4,76.8,77.3,+0.70,"2,209"
107/08/06,"4,101,322","318,232,408",77.4,78.0,77.0,77.6,+0.30,"1,568"
107/08/07,"8,962,734","694,323,462",77.7,77.9,77.3,77.4,-0.20,"2,556"
107/08/08,"7,762,568","606,419,874",77.5,78.5,77.5,78.4,+1.00,"3,551"
107/08/09,"7,693,769","602,954,930",78.3,78.7,77.5,78.5,+0.10,"2,557"
107/08/10,"5,847,589","445,830,878",76.0,76.7,76.0,76.7,X0.00,"2,678"
107/08/13,"9,213,754","690,651,808",76.5,76.5,73.1,74.6,-2.10,"3,356"
107/08/14,"6,721,371","500,575,886",74.6,75.0,74.0,74.9,+0.30,"2,892"
107/08/15,"8,545,091","627,538,176",74.5,74.6,72.8,73.1,-1.80,"3,815"
107/08/16,"4,850,031","353,951,284",72.2,73.9,72.1,73.1, 0.00,"2,240"
107/08/17,"2,901,826","213,328,527",73.6,73.9,73.2,73.7,+0.60,"1,849"
107/08/20,"5,005,124","366,688,058",73.1,73.9,72.7,73.2,-0.50,"2,198"
107/08/21,"3,486,058","255,821,522",73.5,73.9,73.0,73.0,-0.20,"2,024"
107/08/22,"3,607,009","265,748,844",73.1,74.0,73.1,74.0,+1.00,"2,004"
107/08/23,"4,213,575","310,327,608",73.9,74.5,73.1,73.9,-0.10,"2,199"
107/08/24,"3,195,816","233,693,695",73.3,73.6,72.9,73.3,-0.60,"1,628"
107/08/27,"2,001,469","146,692,163",73.8,73.8,73.0,73.1,-0.20,"1,230"
107/08/28,"3,580,083","263,744,218",73.3,74.2,73.2,73.9,+0.80,"1,958"
107/08/29,"3,995,845","297,744,134",73.9,74.8,73.9,74.8,+0.90,"1,974"
107/08/30,"3,617,234","269,751,465",75.0,75.5,74.1,74.3,-0.50,"2,052"
107/08/31,"7,601,345","568,967,252",74.0,75.3,73.4,75.3,+1.00,"2,702"
107/09/03,"2,163,346","160,581,019",74.8,75.2,73.8,74.3,-1.00,"1,418"
107/09/04,"2,411,492","178,265,031",74.5,74.5,73.7,73.9,-0.40,"1,154"
107/09/05,"5,273,374","391,293,881",73.7,74.8,73.7,73.8,-0.10,"2,528"
107/09/06,"6,063,538","443,553,487",73.1,73.8,72.5,72.5,-1.30,"2,466"
107/09/07,"6,380,842","460,417,941",72.5,72.9,71.7,71.7,-0.80,"3,516"
107/09/10,"6,840,584","479,795,180",71.5,71.6,69.0,69.6,-2.10,"3,773"
107/09/11,"7,486,831","526,682,798",70.5,70.9,69.9,70.9,+1.30,"3,426"
107/09/12,"6,786,148","478,426,027",70.7,70.8,70.1,70.6,-0.30,"3,210"
107/09/13,"8,270,605","583,914,775",70.5,71.5,70.1,71.4,+0.80,"3,288"
107/09/14,"6,708,288","486,200,348",71.8,73.0,71.6,72.7,+1.30,"3,703"
107/09/17,"4,332,720","315,207,588",72.9,73.0,72.3,72.5,-0.20,"2,544"
107/09/18,"4,253,899","306,917,028",71.9,72.6,71.5,72.0,-0.50,"1,947"
