date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,714,"23,075",32.4,32.75,32.05,32.15,-0.15,359
107/07/03,"1,156","36,678",32.25,32.35,31.1,31.1,-1.05,612
107/07/04,"1,080","33,299",31.2,31.35,30.45,30.55,-0.55,588
107/07/05,581,"17,741",30.6,30.85,30.35,30.35,-0.2,368
107/07/06,976,"29,411",30.5,30.7,29.55,30.55,0.2,529
107/07/09,"3,109","100,626",30.65,33.1,30.6,32.5,1.95,"1,873"
107/07/10,"1,463","46,979",32.5,32.6,31.75,32.05,-0.45,715
107/07/11,"4,228","140,317",31.6,33.75,31.55,33.55,1.5,"2,267"
107/07/12,"6,663","224,940",33.5,34.2,33.4,33.9,0.35,"3,247"
107/07/13,"2,016","67,749",33.9,34.0,33.3,33.45,-0.45,"1,083"
107/07/16,"1,788","60,293",33.7,34.0,33.5,33.6,0.15,"1,013"
107/07/17,"2,006","67,812",33.75,34.3,33.25,33.25,-0.35,"1,099"
107/07/18,"1,493","49,387",33.5,33.55,32.8,32.95,-0.3,757
107/07/19,891,"29,388",32.95,33.4,32.75,32.75,-0.2,479
107/07/20,"2,406","80,265",33.15,33.8,32.85,32.85,0.1,"1,295"
107/07/23,737,"24,269",33.15,33.2,32.8,32.8,-0.05,443
107/07/24,859,"28,314",32.6,33.3,32.6,32.95,0.15,479
107/07/25,"1,134","37,886",33.1,33.7,33.1,33.2,0.25,615
107/07/26,"1,893","63,861",33.3,33.9,33.3,33.6,0.4,954
107/07/27,"1,159","39,072",33.6,33.9,33.55,33.8,0.2,601
107/07/30,"3,922","134,503",34.3,34.7,33.85,33.85,0.05,"2,083"
107/07/31,"1,388","46,815",33.85,34.05,33.45,33.6,-0.25,686
107/08/01,946,"31,975",33.6,34.0,33.6,33.75,0.15,534
107/08/02,"1,602","54,248",33.9,34.15,33.6,33.8,0.05,806
107/08/03,"1,347","45,801",34.1,34.2,33.85,34.0,0.2,697
107/08/06,"6,209","216,337",34.2,35.45,34.05,35.45,1.45,"2,912"
107/08/07,"4,422","155,256",35.7,35.7,34.65,34.7,-0.75,"2,416"
107/08/08,"3,098","107,390",34.8,34.95,34.35,34.35,-0.35,"1,550"
107/08/09,"3,884","122,756",31.55,31.95,31.35,31.7,0.65,"1,972"
107/08/10,"1,656","52,125",31.7,31.85,31.25,31.25,-0.45,876
107/08/13,"2,596","78,218",31.2,31.2,29.45,29.85,-1.4,"1,387"
107/08/14,863,"26,151",30.1,30.55,30.0,30.5,0.65,490
