date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,31,"1,051",33.80,34.00,33.55,33.55,-0.35,17
107/07/03,36,"1,218",33.95,34.20,33.55,33.55,0.0,22
107/07/04,22,739,33.55,33.55,33.20,33.50,-0.05,17
107/07/05,25,832,33.30,33.80,33.00,33.15,-0.35,19
107/07/06,83,"2,714",33.20,33.70,32.00,32.55,-0.6,68
107/07/09,50,"1,622",32.65,32.70,32.10,32.70,0.15,30
107/07/10,87,"2,842",32.60,33.00,32.25,33.00,0.3,61
107/07/11,54,"1,779",33.00,33.00,32.50,32.70,-0.3,43
107/07/12,58,"1,877",32.10,32.45,32.00,32.45,0.75,46
107/07/13,66,"2,155",32.45,32.75,32.30,32.65,0.2,42
107/07/16,46,"1,516",32.90,33.00,32.80,32.95,0.3,35
107/07/17,15,493,32.70,33.20,32.70,33.00,0.05,14
107/07/18,31,"1,021",33.15,33.20,32.80,33.00,0.0,21
107/07/19,10,330,33.15,33.15,32.90,33.15,0.15,6
107/07/20,15,492,32.95,32.95,32.60,32.80,-0.35,15
107/07/23,28,913,32.60,32.80,32.50,32.55,-0.25,19
107/07/24,11,358,32.55,32.90,32.55,32.90,0.35,9
107/07/25,72,"2,390",32.90,33.30,32.90,33.20,0.3,50
107/07/26,82,"2,733",33.20,33.50,33.00,33.40,0.2,40
107/07/27,87,"2,923",33.65,33.75,33.05,33.75,0.35,54
107/07/30,90,"3,072",34.00,34.40,33.75,33.75,0.0,73
107/07/31,209,"7,189",33.40,34.80,33.40,34.60,0.85,117
107/08/01,280,"9,943",34.95,36.40,34.80,35.85,1.25,218
107/08/02,228,"8,161",36.30,36.40,35.00,35.30,-0.55,146
107/08/03,112,"3,957",35.15,35.70,35.00,35.40,0.1,84
107/08/06,63,"2,199",35.40,35.40,34.75,34.80,-0.6,50
107/08/07,332,"11,855",35.40,36.40,34.90,35.90,1.1,215
107/08/08,93,"3,297",35.90,36.00,35.20,35.25,-0.65,63
107/08/09,135,"4,716",35.20,35.20,34.75,34.75,-0.5,67
107/08/10,66,"2,269",34.65,34.80,34.20,34.25,-0.5,52
107/08/13,191,"6,280",34.10,34.10,32.25,32.25,-2.0,96
107/08/14,54,"1,784",32.35,33.05,32.35,32.95,0.7,42
107/08/15,149,"4,802",32.60,32.70,32.00,32.30,-0.65,87
107/08/16,23,744,32.05,32.45,32.05,32.30,0.0,16
