date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,20,"1,428",71.9,71.9,71.1,71.2,-0.2,16
107/07/03,58,"4,107",71.2,71.2,70.0,70.1,-1.1,42
107/07/04,368,"25,124",70.2,70.4,67.4,68.0,-2.1,255
107/07/05,917,"56,986",65.6,65.9,59.6,61.1,-4.4,489
107/07/06,274,"16,842",60.0,63.1,60.0,61.6,0.5,186
107/07/09,152,"9,381",61.8,62.0,61.2,61.6,0.0,131
107/07/10,128,"7,864",62.0,62.0,61.4,61.5,-0.1,85
107/07/11,34,"2,093",62.0,62.0,61.4,61.5,0.0,26
107/07/12,45,"2,793",62.2,62.3,61.9,62.3,0.8,41
107/07/13,74,"4,638",62.0,63.0,61.9,63.0,0.7,57
107/07/16,103,"6,602",63.3,64.5,63.1,64.5,1.5,100
107/07/17,69,"4,425",64.5,64.8,63.6,64.0,-0.5,56
107/07/18,37,"2,372",64.1,64.2,63.7,64.1,0.1,35
107/07/19,35,"2,241",64.0,64.2,63.9,64.0,-0.1,32
107/07/20,65,"4,123",63.9,63.9,62.7,62.9,-1.1,58
107/07/23,82,"5,123",64.0,64.0,61.9,62.0,-0.9,78
107/07/24,32,"1,989",62.0,62.5,62.0,62.3,0.3,28
107/07/25,27,"1,659",62.3,62.8,62.3,62.8,0.5,31
107/07/26,27,"1,691",62.9,63.4,62.8,63.4,0.6,29
107/07/27,50,"3,222",63.4,64.5,63.4,64.5,1.1,51
107/07/30,80,"5,272",64.5,66.2,64.5,66.2,1.7,76
107/07/31,71,"4,692",66.4,66.5,65.4,66.2,0.0,67
107/08/01,48,"3,159",65.6,66.7,65.6,66.2,0.0,48
107/08/02,22,"1,456",66.7,66.7,66.0,66.2,0.0,20
107/08/03,17,"1,136",65.8,66.7,65.8,66.6,0.4,18
107/08/06,59,"3,929",66.5,66.6,66.2,66.5,-0.1,35
107/08/07,56,"3,710",66.6,66.6,65.6,65.6,-0.9,45
107/08/08,41,"2,703",65.6,65.7,65.2,65.2,-0.4,30
107/08/09,16,"1,050",65.4,65.8,65.3,65.3,0.1,14
107/08/10,37,"2,420",65.3,65.6,65.3,65.5,0.2,31
107/08/13,20,"1,302",65.5,65.5,64.8,65.2,-0.3,23
107/08/14,29,"1,918",65.5,66.3,65.5,66.3,1.1,27
107/08/15,33,"2,180",66.5,66.5,65.6,65.7,-0.6,28
107/08/16,34,"2,229",65.7,65.7,65.3,65.7,0.0,25
107/08/17,79,"5,191",65.7,65.7,65.5,65.7,0.0,59
107/08/20,162,"10,911",65.7,68.2,65.7,68.2,2.5,126
107/08/21,446,"31,223",68.0,71.9,67.5,71.9,3.7,381
107/08/22,170,"12,201",71.9,72.8,70.3,71.0,-0.9,125
107/08/23,127,"9,018",71.0,71.6,70.0,71.3,0.3,101
107/08/24,109,"7,796",71.5,71.6,70.6,71.5,0.2,90
107/08/27,58,"4,208",71.9,72.6,71.9,72.6,1.1,52
107/08/28,63,"4,559",73.0,73.1,72.0,72.3,-0.3,42
107/08/29,129,"9,121",72.2,72.2,70.2,70.6,-1.7,100
107/08/30,70,"4,902",70.2,70.3,69.5,69.7,-0.9,62
107/08/31,140,"9,704",69.4,70.6,68.5,69.9,0.2,115
107/09/03,27,"1,904",70.1,70.8,69.4,70.1,0.2,26
107/09/04,37,"2,605",70.1,70.1,70.0,70.0,-0.1,25
107/09/05,89,"6,257",70.2,70.9,69.9,70.5,0.5,80
107/09/06,158,"11,177",70.1,71.3,70.0,70.0,-0.5,113
107/09/07,117,"8,130",70.1,70.5,68.5,68.8,-1.2,93
107/09/10,39,"2,671",68.4,69.0,68.0,68.1,-0.7,35
107/09/11,30,"2,059",68.5,69.3,68.4,68.7,0.6,28
107/09/12,40,"2,793",70.0,70.0,69.0,69.7,1.0,40
107/09/13,23,"1,620",70.0,70.5,70.0,70.5,0.8,20
107/09/14,47,"3,306",70.9,70.9,69.8,70.4,-0.1,39
107/09/17,40,"2,798",70.4,70.4,69.7,70.1,-0.3,35
107/09/18,21,"1,472",70.1,70.2,69.7,70.1,0.0,24
107/09/19,50,"3,518",70.1,70.5,70.0,70.5,0.4,39
107/09/20,8,588,70.5,70.6,70.2,70.2,-0.3,7
107/09/21,73,"5,158",70.6,71.0,70.0,70.6,0.4,57
107/09/25,229,"16,327",70.8,71.8,70.6,71.5,0.9,138
107/09/26,162,"11,521",71.1,71.7,70.1,71.2,-0.3,115
107/09/27,28,"1,996",71.0,71.0,70.5,71.0,-0.2,25
107/09/28,29,"2,046",71.0,71.0,70.2,70.2,-0.8,30
107/10/01,22,"1,544",70.1,70.3,70.0,70.2,0.0,15
107/10/02,96,"6,746",70.2,70.6,70.0,70.4,0.2,60
107/10/03,22,"1,540",69.8,70.2,69.8,70.0,-0.4,21
107/10/04,50,"3,451",69.7,69.7,68.3,69.0,-1.0,46
107/10/05,53,"3,676",69.4,69.5,68.5,69.5,0.5,57
107/10/08,10,704,68.8,69.3,68.6,69.3,-0.2,15
107/10/09,56,"3,848",68.6,69.0,68.4,69.0,-0.3,47
107/10/11,109,"7,195",66.1,67.4,65.3,67.4,-1.6,88
107/10/12,64,"4,296",67.0,67.4,66.6,67.4,0.0,58
107/10/15,36,"2,401",67.0,67.0,66.5,66.7,-0.7,31
107/10/16,120,"8,025",66.7,68.0,66.5,68.0,1.3,77
107/10/17,53,"3,605",67.8,68.3,67.8,68.1,0.1,47
107/10/18,71,"4,752",67.5,67.5,66.5,67.3,-0.8,64
107/10/19,94,"6,231",66.5,66.9,65.9,66.0,-1.3,80
107/10/22,83,"5,462",66.0,66.4,65.3,65.5,-0.5,81
107/10/23,30,"1,966",65.5,65.6,65.3,65.4,-0.1,31
107/10/24,42,"2,767",65.2,67.0,65.2,66.4,1.0,41
107/10/25,79,"5,267",66.4,67.0,66.0,67.0,0.6,70
107/10/26,71,"4,754",66.5,67.5,66.5,66.9,-0.1,56
107/10/29,87,"5,775",66.3,66.8,66.0,66.3,-0.6,50
107/10/30,7,469,67.3,67.3,66.8,66.8,0.5,6
107/10/31,11,742,67.0,67.0,66.7,66.9,0.1,14
107/11/01,36,"2,466",67.0,68.5,67.0,68.5,1.6,27
107/11/02,88,"6,181",69.5,70.5,69.1,70.0,1.5,73
107/11/05,111,"7,771",70.5,70.7,69.8,70.5,0.5,86
107/11/06,31,"2,160",70.6,70.6,69.5,69.5,-1.0,30
107/11/07,11,767,70.0,70.0,69.6,69.6,0.1,13
107/11/08,28,"1,948",69.6,69.9,69.4,69.9,0.3,28
107/11/09,53,"3,671",69.3,69.5,68.9,69.3,-0.6,42
107/11/12,41,"2,857",69.2,69.5,68.9,69.0,-0.3,36
107/11/13,18,"1,232",68.5,69.0,68.3,69.0,0.0,18
107/11/14,38,"2,644",69.5,69.6,69.4,69.6,0.6,36
107/11/15,20,"1,405",68.9,69.4,68.9,69.1,-0.5,25
107/11/16,13,897,69.0,69.2,69.0,69.2,0.1,13
107/11/19,32,"2,211",69.2,69.2,69.0,69.1,-0.1,26
107/11/20,27,"1,861",69.0,69.0,68.8,68.9,-0.2,30
107/11/21,64,"4,397",68.5,68.7,68.4,68.5,-0.4,51
107/11/22,31,"2,127",68.6,68.8,68.5,68.6,0.1,25
107/11/23,24,"1,636",68.5,68.5,68.0,68.0,-0.6,22
107/11/26,26,"1,778",68.1,68.3,67.8,68.1,0.1,29
107/11/27,32,"2,180",68.3,68.3,68.0,68.1,0.0,30
107/11/28,17,"1,177",68.1,68.4,68.1,68.4,0.3,22
107/11/29,46,"3,184",68.5,69.0,68.5,69.0,0.6,38
107/11/30,58,"4,065",69.4,70.3,69.2,70.2,1.2,55
107/12/03,56,"3,918",70.4,70.5,69.6,70.1,-0.1,51
107/12/04,48,"3,343",69.8,69.8,69.4,69.4,-0.7,39
107/12/05,21,"1,455",69.0,69.5,69.0,69.3,-0.1,17
107/12/06,75,"5,253",70.5,70.5,69.3,69.3,0.0,71
107/12/07,61,"4,238",69.3,70.1,69.3,69.6,0.3,57
107/12/10,41,"2,839",69.9,69.9,69.5,69.6,0.0,34
107/12/11,131,"9,150",70.0,70.5,69.9,70.0,0.4,88
107/12/12,69,"4,849",70.0,70.1,69.7,70.0,0.0,59
107/12/13,64,"4,475",70.0,70.0,69.6,69.9,-0.1,54
107/12/14,90,"6,280",69.5,70.0,69.4,69.6,-0.3,55
107/12/17,48,"3,328",69.5,69.7,69.1,69.1,-0.5,34
107/12/18,20,"1,380",69.0,69.2,68.6,69.0,-0.1,22
107/12/19,26,"1,788",68.7,69.0,68.4,68.9,-0.1,27
107/12/20,34,"2,336",68.0,68.8,68.0,68.1,-0.8,37
107/12/21,49,"3,293",67.8,68.2,67.5,68.2,0.1,45
107/12/22,22,"1,501",67.5,68.9,67.4,68.3,0.1,20
107/12/24,46,"3,132",68.0,68.0,67.6,67.6,-0.7,40
107/12/25,13,891,67.6,67.7,67.4,67.4,-0.2,13
107/12/26,162,"11,026",67.6,68.4,67.5,67.9,0.5,92
107/12/27,115,"7,996",70.2,70.2,68.8,69.0,1.1,101
107/12/28,92,"6,388",69.5,69.6,68.9,69.0,0.0,79
108/01/02,30,"2,068",69.4,69.4,68.8,68.8,-0.2,26
108/01/03,151,"10,451",68.9,70.2,68.7,69.7,0.9,88
108/01/04,144,"10,083",70.4,70.4,69.2,69.9,0.2,107
108/01/07,421,"29,656",70.6,71.7,69.9,71.4,1.5,283
108/01/08,321,"23,216",71.3,73.9,71.1,73.7,2.3,229
108/01/09,448,"32,763",73.6,73.6,72.6,72.8,-0.9,279
108/01/10,118,"8,601",72.4,73.1,72.2,72.7,-0.1,93
108/01/11,123,"8,954",72.5,73.3,72.2,72.4,-0.3,99
108/01/14,443,"32,832",73.1,74.7,73.0,74.4,2.0,378
108/01/15,474,"35,818",75.5,76.8,74.5,74.5,0.1,336
