date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,23,"1,570",68.6,68.7,67.4,68.3,-0.3,24
107/07/03,31,"2,087",67.5,68.3,66.7,67.1,-1.2,29
107/07/04,55,"3,657",67.1,67.2,65.8,66.5,-0.6,53
107/07/05,45,"2,965",66.0,66.5,65.0,66.1,-0.4,38
107/07/06,94,"6,120",65.9,65.9,64.7,65.5,-0.6,77
107/07/09,161,"10,716",65.2,69.2,64.9,68.0,2.5,111
107/07/10,91,"5,698",62.0,63.5,61.4,63.0,1.2,74
107/07/11,28,"1,746",62.5,62.9,62.0,62.6,-0.4,28
107/07/12,47,"2,921",62.5,63.0,61.6,62.4,-0.2,43
107/07/13,73,"4,486",62.0,62.5,61.0,61.2,-1.2,66
107/07/16,13,796,61.0,61.2,60.4,60.9,-0.3,15
107/07/17,46,"2,821",61.3,62.0,60.6,61.4,0.5,44
107/07/18,37,"2,240",61.3,61.8,60.6,61.3,-0.1,32
107/07/19,58,"3,530",60.6,61.4,60.3,61.0,-0.3,50
107/07/20,43,"2,620",60.7,61.2,60.2,60.6,-0.4,25
107/07/23,10,572,60.1,60.7,59.8,60.2,-0.4,10
107/07/24,21,"1,251",60.1,60.2,59.0,59.7,-0.5,21
107/07/25,75,"4,326",59.4,59.9,55.2,56.6,-3.1,72
107/07/26,64,"3,654",56.1,57.9,56.1,57.9,1.3,59
107/07/27,48,"2,734",57.2,57.9,56.1,57.4,-0.5,41
107/07/30,19,"1,077",57.0,57.5,56.2,56.6,-0.8,16
107/07/31,47,"2,637",56.0,56.7,54.4,56.2,-0.4,44
107/08/01,53,"2,931",55.4,56.3,54.7,55.5,-0.7,44
107/08/02,8,443,54.3,55.4,54.3,55.4,-0.1,9
107/08/03,24,"1,314",54.4,55.6,54.1,55.4,0.0,22
107/08/06,19,"1,040",55.3,55.3,54.0,55.0,-0.4,20
107/08/07,6,329,55.0,55.0,54.2,55.0,0.0,6
107/08/08,25,"1,373",54.0,54.8,53.7,54.0,-1.0,27
107/08/09,26,"1,421",53.0,55.0,52.8,54.3,0.3,20
107/08/10,17,917,54.0,54.3,53.2,54.0,-0.3,16
107/08/13,14,743,54.0,54.0,52.6,53.5,-0.5,13
107/08/14,36,"1,923",53.8,53.8,52.0,53.0,-0.5,38
107/08/15,14,720,52.1,53.0,51.8,52.4,-0.6,17
107/08/16,41,"2,066",51.1,52.0,49.1,50.0,-2.4,40
107/08/17,43,"2,157",50.0,50.5,49.4,50.5,0.5,51
107/08/20,91,"4,720",50.5,53.2,50.5,53.0,2.5,85
107/08/21,157,"8,603",53.5,58.3,52.8,56.0,3.0,132
107/08/22,153,"8,507",56.3,56.3,55.0,56.2,0.2,80
107/08/23,79,"4,401",55.6,56.5,55.3,56.3,0.1,72
107/08/24,61,"3,433",55.6,57.0,55.6,56.6,0.3,59
107/08/27,25,"1,406",56.6,56.7,55.6,56.5,-0.1,25
107/08/28,36,"2,042",55.7,56.8,55.7,56.4,-0.1,35
107/08/29,25,"1,384",56.4,56.4,55.7,56.3,-0.1,28
107/08/30,18,"1,018",55.7,56.3,55.5,56.0,-0.3,18
107/08/31,32,"1,802",55.0,56.0,55.0,56.0,0.0,33
107/09/03,20,"1,136",55.5,56.1,55.3,55.9,-0.1,21
107/09/04,71,"4,039",56.0,57.3,56.0,57.2,1.3,59
107/09/05,55,"3,146",57.0,57.5,56.8,57.4,0.2,47
107/09/06,44,"2,516",57.0,57.6,56.1,57.2,-0.2,46
107/09/07,29,"1,635",56.9,57.0,55.6,56.4,-0.8,26
107/09/10,39,"2,139",55.6,56.3,54.4,55.1,-1.3,34
107/09/11,8,442,54.0,55.0,54.0,54.8,-0.3,8
107/09/12,20,"1,082",53.4,54.5,52.5,53.5,-1.3,22
107/09/13,21,"1,087",52.7,53.1,52.3,52.8,-0.7,23
107/09/14,29,"1,538",52.0,52.8,51.9,52.8,0.0,32
107/09/17,17,903,51.9,52.8,51.9,52.8,0.0,18
107/09/18,24,"1,246",51.9,52.8,51.9,52.5,-0.3,24
107/09/19,31,"1,606",51.5,52.2,51.4,52.0,-0.5,31
107/09/20,16,854,51.9,52.5,51.8,52.0,0.0,16
107/09/21,3,162,52.0,52.3,52.0,52.2,0.2,4
107/09/25,5,271,52.2,52.4,51.4,52.3,0.1,7
107/09/26,16,829,51.5,52.2,51.4,52.0,-0.3,15
107/09/27,13,683,51.9,51.9,51.4,51.9,-0.1,15
107/09/28,10,517,51.8,51.9,51.5,51.7,-0.2,9
107/10/01,12,640,51.5,51.8,51.3,51.7,0.0,12
107/10/02,5,272,51.2,51.5,51.2,51.5,-0.2,3
107/10/03,14,713,50.9,51.3,50.5,51.0,-0.5,13
107/10/04,14,712,51.4,51.4,50.3,51.0,0.0,12
107/10/05,25,"1,282",50.4,50.9,50.0,50.8,-0.2,25
107/10/08,16,815,50.9,50.9,50.1,50.8,0.0,19
107/10/09,7,355,50.7,50.8,50.7,50.8,0.0,7
107/10/11,46,"2,276",50.2,50.6,47.5,48.6,-2.2,48
107/10/12,60,"2,850",47.3,48.5,46.0,47.8,-0.8,55
107/10/15,48,"2,316",48.0,50.0,47.85,49.5,1.7,34
107/10/16,15,780,50.0,51.5,50.0,51.2,1.7,16
107/10/17,41,"2,135",51.4,52.3,50.4,51.4,0.2,32
107/10/18,21,"1,071",51.0,51.4,50.4,51.1,-0.3,16
107/10/19,8,409,50.2,51.4,50.1,51.1,0.0,9
107/10/22,21,"1,060",50.6,51.0,49.95,51.0,-0.1,20
107/10/23,19,974,50.8,50.8,49.9,50.0,-1.0,22
107/10/24,24,"1,201",50.1,51.0,49.55,50.3,0.3,23
107/10/25,9,448,49.55,50.0,49.4,50.0,-0.3,9
107/10/26,17,849,50.0,50.5,49.45,50.1,0.1,17
107/10/29,10,499,50.1,50.2,49.45,50.0,-0.1,9
107/10/30,14,703,50.1,50.2,49.4,50.0,0.0,15
