date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"95,020","2,272,529",24.0,24.0,23.8,23.9,-0.1,59
107/07/03,"113,120","2,680,380",23.8,23.9,23.3,23.9,0.0,78
107/07/04,"36,000","844,200",23.8,23.8,23.3,23.4,-0.5,30
107/07/05,"51,916","1,207,291",23.9,23.9,23.0,23.1,-0.3,49
107/07/06,"260,000","5,929,050",23.75,23.75,22.4,22.4,-0.7,159
107/07/09,"191,324","4,234,290",22.75,22.75,21.95,21.95,-0.45,142
107/07/10,"340,720","7,336,060",21.95,22.4,21.0,21.3,-0.65,230
107/07/11,"169,362","3,613,432",21.5,21.7,21.1,21.1,-0.2,114
107/07/12,"84,000","1,798,700",21.25,21.55,21.15,21.5,0.4,56
107/07/13,"112,060","2,415,070",21.55,21.85,21.4,21.5,0.0,77
107/07/16,"77,000","1,665,350",22.0,22.1,21.5,21.5,0.0,64
107/07/17,"54,180","1,170,360",21.7,21.7,21.5,21.5,0.0,39
107/07/18,"53,000","1,146,350",21.5,21.85,21.5,21.75,0.25,43
107/07/19,"121,458","2,701,046",21.85,22.8,21.8,22.05,0.3,89
107/07/20,"67,122","1,492,732",22.65,22.65,21.85,22.25,0.2,48
107/07/23,"35,120","781,014",22.2,22.3,22.0,22.0,-0.25,22
107/07/24,"54,340","1,194,664",22.35,22.35,21.85,22.25,0.25,33
107/07/25,"122,000","2,751,050",22.4,22.7,22.4,22.65,0.4,58
107/07/26,"60,600","1,387,280",22.75,23.0,22.7,23.0,0.35,44
107/07/27,"89,420","2,075,057",23.05,23.35,23.05,23.3,0.3,56
107/07/30,"267,300","6,412,265",24.35,24.4,23.7,23.85,0.55,190
107/07/31,"79,620","1,899,704",23.85,23.95,23.7,23.75,-0.1,51
107/08/01,"48,000","1,141,900",23.75,23.85,23.75,23.8,0.05,32
107/08/02,"59,060","1,398,190",23.8,23.9,23.3,23.85,0.05,46
107/08/03,"30,000","710,950",23.8,23.8,23.55,23.75,-0.1,14
107/08/06,"46,904","1,123,555",23.9,24.05,23.9,24.0,0.25,38
107/08/07,"57,440","1,387,448",23.95,24.5,23.95,24.1,0.1,37
107/08/08,"81,200","1,957,310",24.1,24.15,24.1,24.1,0.0,49
107/08/09,"48,000","1,158,100",24.15,24.2,24.1,24.1,0.0,29
107/08/10,"32,204","776,886",24.15,24.15,24.0,24.0,-0.1,22
107/08/13,"164,500","3,698,949",23.6,23.6,22.15,22.5,-1.5,99
107/08/14,"54,000","1,240,350",22.65,23.4,22.65,23.0,0.5,39
107/08/15,"244,771","5,860,128",23.4,24.3,23.4,23.9,0.9,158
107/08/16,"124,025","2,977,405",23.3,24.15,23.3,24.1,0.2,84
107/08/17,"55,240","1,327,384",24.15,24.4,23.7,24.0,-0.1,42
107/08/20,"48,080","1,142,411",23.8,23.85,23.7,23.75,-0.25,37
107/08/21,"37,015","882,340",24.05,24.05,23.65,23.8,0.05,23
107/08/22,"27,000","646,000",24.15,24.15,23.85,23.9,0.1,22
107/08/23,"48,000","1,150,450",24.1,24.1,23.75,24.0,0.1,28
107/08/24,"39,260","928,785",24.05,24.05,23.35,23.6,-0.4,27
107/08/27,"42,000","993,750",23.6,24.1,23.15,23.85,0.25,26
107/08/28,"36,660","874,442",24.0,24.0,23.65,23.65,-0.2,35
107/08/29,"53,060","1,267,736",23.95,23.95,23.8,23.9,0.25,30
107/08/30,"50,430","1,208,722",23.9,24.0,23.9,23.9,0.0,23
107/08/31,"48,060","1,147,037",23.7,23.95,23.7,23.8,-0.1,23
107/09/03,"35,000","827,900",23.85,23.85,23.45,23.45,-0.35,22
107/09/04,"36,000","844,800",23.35,23.8,23.35,23.5,0.05,23
107/09/05,"62,600","1,475,420",23.7,23.7,23.45,23.6,0.1,32
107/09/06,"33,000","775,600",23.65,23.65,23.35,23.55,-0.05,19
107/09/07,"325,000","7,634,750",23.55,23.7,23.0,23.1,-0.45,85
107/09/10,"127,500","2,887,125",23.1,23.7,22.05,22.2,-0.9,70
107/09/11,"106,000","2,339,850",22.0,22.6,21.8,22.0,-0.2,60
107/09/12,"49,000","1,086,650",22.4,22.4,22.05,22.05,0.05,24
107/09/13,"39,500","888,350",22.45,22.8,22.15,22.4,0.35,30
107/09/14,"38,000","858,350",22.4,23.0,22.35,22.45,0.05,27
107/09/17,"31,000","696,100",22.35,22.7,22.2,22.6,0.15,14
107/09/18,"25,000","568,950",22.4,23.0,22.4,22.8,0.2,17
107/09/19,"46,441","1,059,897",22.9,23.1,22.6,22.7,-0.1,40
107/09/20,"29,580","677,706",22.8,23.0,22.7,23.0,0.3,29
107/09/21,"25,000","568,300",22.9,22.9,22.65,22.65,-0.35,18
107/09/25,"25,318","581,364",22.6,23.2,22.6,22.85,0.2,14
107/09/26,"19,250","442,050",22.65,23.25,22.65,22.9,0.05,9
107/09/27,"17,060","389,386",22.85,22.9,22.8,22.85,-0.05,14
107/09/28,"41,000","924,400",22.8,22.8,22.45,22.7,-0.15,27
107/10/01,"54,446","1,229,083",22.5,22.9,22.4,22.5,-0.2,44
107/10/02,"49,250","1,105,950",22.7,22.7,22.3,22.3,-0.2,34
107/10/03,"24,012","538,180",22.5,22.5,22.3,22.35,0.05,22
107/10/04,"28,012","621,391",22.45,22.45,22.1,22.1,-0.25,26
107/10/05,"88,546","1,941,852",21.95,22.4,21.7,21.7,-0.4,55
107/10/08,"150,420","3,294,340",21.65,22.2,21.6,21.95,0.25,84
107/10/09,"51,042","1,121,178",21.8,22.2,21.75,22.0,0.05,26
107/10/11,"458,060","9,340,039",21.55,21.95,19.8,20.0,-2.0,196
107/10/12,"319,070","6,397,535",19.1,20.95,19.1,20.1,0.1,133
107/10/15,"389,025","7,527,856",20.0,20.05,19.0,19.55,-0.55,240
107/10/16,"491,014","9,571,451",19.55,19.85,19.35,19.85,0.3,121
107/10/17,"557,000","10,752,600",19.8,19.8,19.0,19.4,-0.45,287
107/10/18,"469,120","8,955,502",19.4,19.55,18.9,19.05,-0.35,304
107/10/19,"420,400","7,821,320",19.05,19.05,18.4,18.85,-0.2,219
107/10/22,"291,300","5,612,270",18.9,19.85,18.5,19.5,0.65,163
107/10/23,"115,000","2,204,050",19.3,19.5,18.9,19.0,-0.5,64
107/10/24,"99,000","1,888,200",18.85,19.35,18.7,19.1,0.1,58
107/10/25,"154,100","2,874,905",18.7,19.05,18.3,18.75,-0.35,87
107/10/26,"282,340","5,209,158",18.85,18.85,18.2,18.55,-0.2,140
107/10/29,"217,100","4,022,715",18.65,18.75,18.35,18.5,-0.05,103
107/10/30,"219,000","3,997,800",18.3,18.5,18.1,18.3,-0.2,133
107/10/31,"152,148","2,790,652",18.4,18.6,18.2,18.35,0.05,100
107/11/01,"157,180","2,904,316",18.3,18.75,18.3,18.45,0.1,99
107/11/02,"88,000","1,635,250",18.6,18.7,18.5,18.6,0.15,54
107/11/05,"62,140","1,147,618",18.5,18.65,18.4,18.4,-0.2,47
107/11/06,"59,135","1,089,411",18.5,18.5,18.35,18.4,0.0,36
107/11/07,"49,100","903,239",18.4,18.5,18.35,18.4,0.0,41
107/11/08,"216,540","3,985,862",18.5,18.55,18.35,18.35,-0.05,119
107/11/09,"180,000","3,302,050",18.3,18.4,18.3,18.3,-0.05,84
107/11/12,"80,200","1,466,680",18.45,18.45,18.2,18.3,0.0,65
107/11/13,"157,000","2,815,550",17.85,18.1,17.8,18.0,-0.3,104
107/11/14,"88,974","1,602,332",18.0,18.05,17.95,17.95,-0.05,65
107/11/15,"151,971","2,699,431",17.95,17.95,17.6,17.9,-0.05,100
107/11/16,"104,800","1,921,000",18.0,18.6,18.0,18.1,0.2,98
107/11/19,"59,200","1,071,249",18.1,18.15,18.05,18.1,0.0,59
107/11/20,"84,000","1,515,200",18.1,18.1,17.95,18.1,0.0,59
107/11/21,"62,420","1,130,967",17.9,18.25,17.9,18.05,-0.05,55
107/11/22,"292,000","5,267,900",18.05,18.15,17.95,18.1,0.05,82
107/11/23,"55,300","991,650",18.05,18.05,17.85,17.85,-0.25,46
107/11/26,"151,100","2,728,510",17.85,18.3,17.85,18.05,0.2,70
107/11/27,"70,850","1,278,785",18.05,18.15,17.9,18.05,0.0,56
107/11/28,"65,200","1,192,200",18.05,18.5,18.05,18.45,0.4,56
107/11/29,"155,400","2,908,330",18.3,18.9,18.3,18.65,0.2,107
107/11/30,"82,141","1,531,893",18.7,18.75,18.55,18.6,-0.05,49
107/12/03,"368,200","6,908,489",18.75,18.9,18.6,18.6,0.0,135
107/12/04,"105,100","1,972,890",18.6,18.85,18.6,18.75,0.15,70
107/12/05,"84,080","1,558,638",18.5,18.75,18.4,18.45,-0.3,59
107/12/06,"301,300","5,421,080",18.4,18.45,17.8,17.95,-0.5,148
107/12/07,"91,000","1,634,250",17.8,18.25,17.8,18.0,0.05,56
107/12/10,"131,230","2,330,390",18.0,18.0,17.6,17.85,-0.15,86
107/12/11,"43,000","768,250",17.8,18.1,17.7,18.0,0.15,36
107/12/12,"87,120","1,567,972",18.0,18.05,17.9,18.0,0.0,65
107/12/13,"86,127","1,551,998",18.3,18.35,17.9,18.0,0.0,72
107/12/14,"51,349","919,032",17.95,17.95,17.85,17.85,-0.15,45
107/12/17,"56,300","1,005,119",17.85,17.9,17.8,17.9,0.05,41
107/12/18,"92,000","1,653,650",17.85,18.1,17.8,17.9,0.0,61
107/12/19,"70,060","1,260,780",17.9,18.05,17.9,17.95,0.05,53
107/12/20,"163,600","2,918,780",17.95,18.0,17.65,17.95,0.0,86
107/12/21,"567,077","10,179,986",17.75,18.15,17.7,17.9,-0.05,149
107/12/22,"574,208","10,770,868",18.65,19.35,18.35,18.45,0.55,391
107/12/24,"586,000","11,173,800",18.5,19.4,18.5,19.3,0.85,321
107/12/25,"166,000","3,146,350",19.0,19.1,18.8,19.1,-0.2,114
107/12/26,"188,060","3,555,266",19.1,19.3,18.7,18.7,-0.4,113
107/12/27,"225,300","4,264,465",18.95,19.15,18.7,19.0,0.3,139
107/12/28,"232,200","4,402,980",19.0,19.15,18.75,19.1,0.1,130
108/01/02,"461,000","8,828,050",19.15,19.4,18.7,18.7,-0.4,151
108/01/03,"91,000","1,726,950",19.0,19.2,18.75,18.8,0.1,85
108/01/04,"141,000","2,603,850",18.8,18.8,18.1,18.3,-0.5,95
108/01/07,"109,200","2,023,380",18.65,18.7,18.3,18.5,0.2,79
108/01/08,"174,852","3,269,231",18.6,18.85,18.45,18.85,0.35,111
108/01/09,"242,060","4,648,305",19.0,19.5,19.0,19.3,0.45,159
108/01/10,"159,660","3,101,337",19.45,19.75,19.25,19.45,0.15,140
108/01/11,"124,000","2,382,100",19.2,19.5,19.05,19.25,-0.2,100
108/01/14,"93,504","1,793,249",19.25,19.35,18.95,19.2,-0.05,90
108/01/15,"204,142","3,901,873",19.4,19.6,18.85,19.05,-0.15,140
108/01/16,"220,200","4,249,700",19.1,19.5,19.1,19.4,0.35,121
108/01/17,"1,978,758","41,132,539",19.6,21.3,19.6,20.35,0.95,"1,299"
108/01/18,"324,105","6,602,651",20.4,20.85,20.1,20.4,0.05,258
108/01/21,"319,204","6,360,989",20.3,20.3,19.7,19.9,-0.5,246
108/01/22,"139,180","2,758,622",20.0,20.1,19.7,19.7,-0.2,121
108/01/23,"119,000","2,342,150",19.7,19.85,19.55,19.6,-0.1,98
108/01/24,"90,000","1,770,050",19.7,19.8,19.6,19.75,0.15,77
108/01/25,"194,300","3,911,985",19.95,20.4,19.85,19.85,0.1,151
108/01/28,"153,262","2,991,260",19.9,19.9,19.35,19.35,-0.5,126
108/01/29,"186,006","3,528,927",19.55,19.55,18.75,18.9,-0.45,131
108/01/30,"103,000","1,937,700",18.95,19.0,18.75,18.75,-0.15,89
108/02/11,"99,494","1,868,233",19.0,19.0,18.7,18.8,0.05,59
108/02/12,"273,060","5,206,846",18.85,19.35,18.8,19.2,0.4,150
108/02/13,"161,220","3,054,430",19.0,19.3,18.8,19.0,-0.2,129
108/02/14,"169,060","3,189,808",19.0,19.15,18.7,19.0,0.0,150
108/02/15,"251,000","4,711,300",18.85,18.95,18.7,18.75,-0.25,146
108/02/18,"261,000","4,848,700",18.7,18.7,18.5,18.55,-0.2,174
108/02/19,"133,060","2,488,987",18.7,18.85,18.6,18.7,0.15,103
108/02/20,"150,935","2,808,284",18.8,18.8,18.5,18.65,-0.05,103
108/02/21,"145,000","2,689,100",18.7,18.7,18.45,18.6,-0.05,71
108/02/22,"70,325","1,306,825",18.6,18.65,18.5,18.55,-0.05,40
108/02/25,"56,000","1,037,400",18.55,18.6,18.45,18.5,-0.05,32
108/02/26,"70,000","1,303,550",18.6,18.7,18.5,18.5,0.0,40
108/02/27,"101,000","1,866,050",18.6,18.6,18.4,18.45,-0.05,58
108/03/04,"89,589","1,644,214",18.35,18.55,18.3,18.35,-0.1,68
108/03/05,"45,000","823,550",18.25,18.45,18.25,18.45,0.1,21
108/03/06,"83,196","1,537,954",18.35,18.65,18.3,18.6,0.15,67
108/03/07,"59,100","1,100,140",18.6,18.65,18.55,18.55,-0.05,42
108/03/08,"47,000","863,500",18.35,18.45,18.3,18.45,-0.1,36
108/03/11,"30,482","561,641",18.35,18.5,18.35,18.45,0.0,32
108/03/12,"99,196","1,835,064",18.5,18.65,18.4,18.55,0.1,50
108/03/13,"33,176","614,412",18.55,18.55,18.45,18.5,-0.05,30
108/03/14,"49,331","912,573",18.5,18.55,18.45,18.5,0.0,37
108/03/15,"113,383","2,084,984",18.5,18.5,18.3,18.4,-0.1,68
108/03/18,"69,000","1,273,400",18.45,18.55,18.35,18.5,0.1,43
108/03/19,"24,200","447,690",18.5,18.55,18.45,18.45,-0.05,18
108/03/20,"39,060","726,575",18.6,18.65,18.55,18.6,0.15,32
108/03/21,"55,134","1,021,217",18.55,18.6,18.45,18.55,-0.05,39
108/03/22,"230,125","4,334,699",18.6,19.15,18.5,19.0,0.45,136
108/03/25,"87,197","1,626,022",18.9,18.9,18.55,18.65,-0.35,51
108/03/26,"80,025","1,506,662",18.75,18.9,18.7,18.9,0.25,54
108/03/27,"90,985","1,717,916",18.95,19.0,18.8,18.9,0.0,68
108/03/28,"566,396","10,935,430",18.9,19.55,18.9,19.45,0.55,354
108/03/29,"353,240","6,936,842",19.65,19.9,19.3,19.55,0.1,272
108/04/01,"152,180","2,953,310",19.65,19.65,19.3,19.45,-0.1,101
108/04/02,"750,180","14,619,974",19.6,20.2,19.0,19.0,-0.45,346
108/04/03,"103,088","1,970,454",19.3,19.3,19.0,19.25,0.25,61
108/04/08,"121,240","2,343,706",19.3,19.5,19.25,19.4,0.15,82
108/04/09,"58,302","1,133,152",19.4,19.5,19.3,19.5,0.1,52
108/04/10,"66,060","1,279,191",19.4,19.4,19.3,19.4,-0.1,56
108/04/11,"110,760","2,141,594",19.4,19.5,19.2,19.35,-0.05,74
108/04/12,"67,120","1,295,284",19.25,19.45,19.25,19.25,-0.1,50
108/04/15,"62,364","1,206,675",19.4,19.45,19.25,19.3,0.05,49
108/04/16,"113,000","2,158,600",19.35,19.35,19.05,19.05,-0.25,90
108/04/17,"46,000","883,200",19.25,19.25,19.1,19.25,0.2,42
108/04/18,"71,000","1,363,250",19.2,19.35,19.05,19.05,-0.2,50
108/04/19,"41,400","787,150",19.0,19.1,19.0,19.0,-0.05,35
108/04/22,"306,420","5,981,110",19.3,19.7,19.3,19.55,0.55,208
108/04/23,"96,000","1,876,550",19.6,19.65,19.45,19.55,0.0,61
108/04/24,"47,022","916,173",19.55,19.6,19.4,19.4,-0.15,34
108/04/25,"24,306","470,500",19.4,19.4,19.3,19.35,-0.05,25
108/04/26,"83,000","1,584,650",19.35,19.35,19.0,19.1,-0.25,54
108/04/29,"92,623","1,763,461",19.2,19.35,18.9,18.9,-0.2,58
108/04/30,"60,400","1,144,110",19.1,19.1,18.85,18.9,0.0,40
108/05/02,"29,188","550,822",18.9,18.9,18.8,18.85,-0.05,21
108/05/03,"78,600","1,479,969",18.9,18.9,18.75,18.9,0.05,43
108/05/06,"105,420","1,979,222",18.9,18.9,18.7,18.85,-0.05,69
108/05/07,"126,000","2,421,950",18.9,19.35,18.9,19.1,0.25,106
108/05/08,"55,100","1,049,450",19.05,19.2,18.8,19.1,0.0,47
108/05/09,"79,240","1,498,608",19.05,19.05,18.85,18.85,-0.25,50
108/05/10,"103,102","1,929,526",18.7,18.85,18.65,18.65,-0.2,47
108/05/13,"102,034","1,874,174",18.4,18.5,18.25,18.3,-0.35,69
108/05/14,"87,200","1,566,509",18.15,18.25,17.8,18.05,-0.25,59
108/05/15,"31,131","569,422",18.25,18.35,18.15,18.35,0.3,24
108/05/16,"275,407","4,859,762",18.15,18.15,17.4,17.7,-0.65,176
108/05/17,"127,690","2,253,461",17.5,17.85,17.5,17.85,0.15,68
108/05/20,"20,020","356,706",17.75,18.05,17.7,17.9,0.05,19
108/05/21,"25,050","443,340",17.5,17.85,17.5,17.8,-0.1,24
108/05/22,"29,250","521,825",17.9,17.9,17.7,17.7,-0.1,20
108/05/23,"48,120","842,312",17.7,17.7,17.2,17.7,0.0,34
108/05/24,"24,060","423,750",17.6,17.7,17.55,17.65,-0.05,20
108/05/27,"49,610","864,752",17.6,17.6,17.35,17.4,-0.25,41
108/05/28,"25,800","448,189",17.3,17.5,17.2,17.3,-0.1,26
108/05/29,"68,165","1,185,728",17.45,17.55,17.2,17.3,0.0,60
108/05/30,"28,248","489,140",17.3,17.35,17.25,17.3,0.0,20
108/05/31,"59,060","1,021,391",17.35,17.4,17.2,17.25,-0.05,40
108/06/03,"86,115","1,495,462",17.2,17.45,17.2,17.45,0.2,53
108/06/04,"12,122","211,477",17.5,17.55,17.35,17.35,-0.1,14
108/06/05,"85,000","1,465,250",17.4,17.4,17.1,17.25,-0.1,65
108/06/06,"26,060","446,882",17.15,17.3,17.1,17.1,-0.15,23
108/06/10,"15,000","256,400",17.15,17.2,17.05,17.15,0.05,14
108/06/11,"45,000","772,650",17.2,17.2,17.1,17.2,0.05,34
108/06/12,"16,000","273,350",17.1,17.1,17.05,17.05,-0.15,12
108/06/13,"54,000","924,950",17.05,17.25,17.05,17.1,0.05,36
108/06/14,"61,060","1,054,441",17.15,17.35,17.1,17.35,0.25,47
108/06/17,"103,000","1,797,500",17.45,17.55,17.4,17.5,0.15,62
108/06/18,"139,001","2,435,517",17.5,17.7,17.45,17.5,0.0,48
108/06/19,"38,000","665,200",17.55,17.6,17.4,17.6,0.1,31
108/06/20,"21,000","369,200",17.65,17.65,17.5,17.5,-0.1,19
108/06/21,"59,000","1,025,100",17.45,17.5,17.3,17.45,-0.05,43
108/06/24,"45,000","780,950",17.35,17.45,17.3,17.35,-0.1,40
108/06/25,"68,960","1,191,715",17.35,17.35,17.25,17.25,-0.1,41
108/06/26,"53,241","913,257",17.2,17.25,17.1,17.15,-0.1,34
108/06/27,"27,000","463,200",17.15,17.3,17.15,17.15,0.0,22
108/06/28,"25,410","437,702",17.15,17.3,17.15,17.3,0.15,18
108/07/01,"27,000","467,200",17.35,17.35,17.25,17.25,-0.05,21
108/07/02,"21,120","365,370",17.20,17.35,17.20,17.35,+0.10,19
