date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"95,000","10,774,000",113.5,114.0,112.5,113.0, 0.00,70
107/07/03,"219,331","24,202,413",114.0,114.0,108.0,108.5,-4.50,175
107/07/04,"610,200","62,934,600",109.5,109.5,99.5,99.8,-8.70,442
107/07/05,"230,328","23,198,128",101.5,102.5,98.1,99.9,+0.10,195
107/07/06,"187,000","18,698,900",100.5,101.5,99.0,99.7,-0.20,151
107/07/09,"194,201","19,927,003",100.0,106.0,99.8,102.0,+2.30,170
107/07/10,"362,110","38,078,604",101.0,107.5,101.0,105.0,+3.00,307
107/07/11,"312,000","33,519,000",105.5,109.0,105.0,106.5,+1.50,256
107/07/12,"455,038","50,705,256",107.0,114.5,107.0,112.0,+5.50,401
107/07/13,"287,020","31,901,220",113.0,113.5,110.0,110.5,-1.50,238
107/07/16,"186,000","20,829,500",112.5,113.5,110.5,111.0,+0.50,165
107/07/17,"171,015","18,952,165",113.0,113.0,110.0,110.0,-1.00,132
107/07/18,"231,000","25,323,000",111.0,111.5,107.5,108.0,-2.00,172
107/07/19,"200,060","21,330,420",109.0,109.5,105.0,105.0,-3.00,195
107/07/20,"228,031","23,754,755",105.0,106.5,103.0,103.5,-1.50,199
107/07/23,"182,010","18,517,020",103.0,104.0,101.0,101.0,-2.50,174
107/07/24,"169,000","17,473,000",102.0,105.0,102.0,103.0,+2.00,158
107/07/25,"213,000","22,492,500",104.5,107.0,103.5,106.0,+3.00,167
107/07/26,"177,010","18,632,565",106.0,106.5,103.0,105.5,-0.50,139
107/07/27,"123,000","12,992,000",105.5,106.5,104.5,105.0,-0.50,101
107/07/30,"210,000","21,722,500",102.5,104.5,102.5,103.0,-2.00,157
107/07/31,"118,187","12,334,541",103.5,105.5,103.5,104.0,+1.00,104
107/08/01,"150,000","15,851,000",105.5,107.0,105.0,105.0,+1.00,133
107/08/02,"101,000","10,580,000",106.5,106.5,104.0,105.0, 0.00,92
107/08/03,"542,200","58,713,800",107.0,111.5,105.0,109.0,+4.00,381
107/08/06,"254,100","27,333,400",110.0,110.0,106.0,106.0,-3.00,193
107/08/07,"153,000","16,469,000",107.0,108.5,106.5,108.0,+2.00,135
107/08/08,"346,120","38,111,200",109.5,112.0,108.5,110.0,+2.00,273
107/08/09,"345,150","37,411,500",110.5,111.5,106.0,106.0,-4.00,287
107/08/10,"412,418","45,028,352",106.5,111.5,106.5,109.0,+3.00,311
107/08/13,"363,555","38,102,605",109.0,109.0,102.0,103.5,-5.50,313
107/08/14,"183,000","19,268,500",104.0,107.5,103.0,106.0,+2.50,155
107/08/15,"110,008","11,495,836",105.0,106.5,104.0,104.0,-2.00,89
107/08/16,"114,000","11,782,500",104.5,104.5,102.0,103.5,-0.50,98
107/08/17,"121,000","12,541,000",104.5,105.0,102.5,102.5,-1.00,92
107/08/20,"101,000","10,314,500",102.5,103.5,101.5,101.5,-1.00,91
107/08/21,"69,000","7,069,500",101.0,103.0,101.0,103.0,+1.50,63
107/08/22,"42,000","4,316,000",103.0,103.5,102.0,102.5,-0.50,40
107/08/23,"175,040","17,632,800",102.5,103.5,99.9,100.0,-2.50,129
107/08/24,"102,000","10,260,400",102.5,102.5,99.9,100.5,+0.50,90
107/08/27,"52,000","5,257,500",101.0,101.5,101.0,101.5,+1.00,43
107/08/28,"175,000","17,510,000",101.5,101.5,99.0,99.9,-1.60,134
107/08/29,"127,011","12,699,811",99.9,101.0,99.5,100.0,+0.10,96
107/08/30,"81,402","8,179,200",101.0,101.5,100.0,100.0, 0.00,70
107/08/31,"95,000","9,552,500",101.0,101.5,100.0,100.0, 0.00,76
107/09/03,"72,200","7,229,580",101.5,101.5,99.8,99.9,-0.10,63
107/09/04,"77,001","7,703,309",99.9,101.0,99.2,100.5,+0.60,60
107/09/05,"113,100","11,235,270",100.5,100.5,98.7,98.7,-1.80,113
107/09/06,"141,000","13,963,400",99.8,99.8,97.5,98.6,-0.10,130
107/09/07,"243,000","22,994,800",98.6,98.6,91.3,93.0,-5.60,205
107/09/10,"805,100","68,320,160",93.0,93.5,83.7,83.7,-9.30,614
107/09/11,"775,300","62,365,270",83.5,84.0,77.0,79.5,-4.20,645
107/09/12,"337,000","26,801,100",81.2,81.2,78.1,80.0,+0.50,296
107/09/13,"283,000","23,085,900",80.0,83.5,79.9,82.1,+2.10,254
107/09/14,"484,205","41,376,548",82.7,87.0,82.7,85.6,+3.50,384
107/09/17,"186,000","15,822,800",86.5,86.6,83.5,84.4,-1.20,168
107/09/18,"231,000","19,390,600",85.7,85.7,83.2,84.5,+0.10,164
107/09/19,"96,062","8,107,957",84.8,85.4,83.9,84.3,-0.20,91
107/09/20,"194,000","16,333,100",84.5,85.3,83.5,83.5,-0.80,157
107/09/21,"85,000","7,146,600",83.5,84.5,83.5,84.4,+0.90,60
107/09/25,"51,003","4,306,767",84.8,84.8,84.1,84.4, 0.00,45
107/09/26,"131,004","11,167,068",84.6,85.6,84.5,85.1,+0.70,108
107/09/27,"93,000","7,897,000",85.1,86.2,84.1,84.5,-0.60,86
107/09/28,"128,000","11,007,400",86.5,86.9,85.2,86.0,+1.50,107
107/10/01,"94,000","8,048,300",85.6,86.4,85.2,86.2,+0.20,82
107/10/02,"118,050","10,047,815",86.2,86.2,84.5,84.5,-1.70,105
107/10/03,"86,000","7,278,300",84.2,85.7,84.2,84.2,-0.30,83
107/10/04,"73,000","6,128,500",84.9,84.9,83.4,83.4,-0.80,67
107/10/05,"188,070","14,957,200",83.8,83.9,78.0,79.6,-3.80,165
107/10/08,"267,019","20,389,864",77.4,79.6,73.1,75.0,-4.60,236
107/10/09,"1,190,050","82,409,040",74.0,75.4,67.5,68.6,-6.40,833
107/10/11,"821,350","51,064,350",65.0,65.0,61.8,61.8,-6.80,521
107/10/12,"313,000","19,659,800",61.0,64.2,61.0,63.3,+1.50,249
107/10/15,"722,146","49,759,261",63.6,69.6,63.4,69.6,+6.30,481
107/10/16,"1,185,146","85,227,824",72.9,73.6,70.5,71.4,+1.80,946
107/10/17,"414,020","29,346,640",72.4,72.4,69.9,70.4,-1.00,352
107/10/18,"289,003","20,453,419",70.2,72.3,70.0,70.6,+0.20,216
107/10/19,"294,003","20,442,932",69.6,71.4,68.0,70.7,+0.10,214
107/10/22,"514,500","38,199,200",70.2,76.8,70.2,75.6,+4.90,432
107/10/23,"311,295","22,857,852",74.1,74.8,71.8,73.4,-2.20,277
107/10/24,"226,109","16,333,566",72.8,74.0,70.2,74.0,+0.60,189
107/10/25,"243,000","17,355,500",71.0,72.6,70.4,71.0,-3.00,187
107/10/26,"258,000","18,061,300",72.7,72.8,68.8,68.9,-2.10,205
107/10/29,"145,000","9,710,700",69.4,69.5,66.0,66.1,-2.80,127
107/10/30,"218,000","13,952,200",66.1,66.2,63.0,63.5,-2.60,183
107/10/31,"327,000","21,222,200",64.1,67.5,63.9,66.2,+2.70,269
107/11/01,"205,000","14,049,500",67.0,69.5,66.2,68.9,+2.70,180
107/11/02,"239,500","16,720,850",69.0,71.1,68.9,70.0,+1.10,204
107/11/05,"129,300","9,090,810",70.0,71.3,68.9,70.0, 0.00,106
107/11/06,"164,100","11,477,490",70.2,71.5,68.2,68.3,-1.70,123
107/11/07,"168,050","11,744,834",68.3,70.9,68.3,70.5,+2.20,146
