date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"2,254","58,468",26.45,26.45,25.1,25.15,0.05,982
107/07/03,697,"16,988",25.15,25.15,23.9,24.0,-1.15,376
107/07/04,511,"12,122",24.35,24.35,23.45,23.5,-0.5,299
107/07/05,555,"13,313",23.45,24.4,23.45,23.5,0.0,316
107/07/06,642,"15,045",23.8,23.8,23.15,23.5,0.0,284
107/07/09,253,"6,021",23.75,24.0,23.7,23.8,0.3,145
107/07/10,196,"4,692",24.4,24.4,23.8,23.85,0.05,131
107/07/11,193,"4,655",24.0,24.3,23.75,24.1,0.25,120
107/07/12,"1,324","32,371",24.2,25.1,23.8,24.75,0.65,556
107/07/13,351,"8,671",25.0,25.0,24.5,24.55,-0.2,208
107/07/16,246,"6,042",24.9,24.9,24.45,24.5,-0.05,147
107/07/17,"1,585","39,321",24.5,25.25,24.25,25.0,0.5,411
107/07/18,519,"12,709",25.0,25.0,24.2,24.2,-0.8,308
107/07/19,217,"5,230",24.3,24.3,24.05,24.05,-0.15,135
107/07/20,342,"8,235",24.15,24.35,23.9,24.0,-0.05,175
107/07/23,341,"8,119",23.9,24.0,23.6,23.6,-0.4,180
107/07/24,312,"7,369",23.6,23.7,23.5,23.6,0.0,151
107/07/25,315,"7,416",23.45,23.6,23.45,23.6,0.0,149
107/07/26,207,"4,910",23.7,24.0,23.6,23.65,0.05,124
107/07/27,161,"3,806",23.65,23.7,23.6,23.6,-0.05,109
107/07/30,172,"4,073",23.75,24.0,23.5,23.5,-0.1,108
107/07/31,206,"4,892",23.55,23.95,23.55,23.8,0.3,126
107/08/01,461,"11,106",23.8,24.25,23.7,24.15,0.35,150
107/08/02,417,"9,874",24.2,24.2,23.5,23.5,-0.65,211
107/08/03,141,"3,325",23.5,23.75,23.5,23.5,0.0,86
107/08/06,225,"5,285",23.55,23.7,23.45,23.45,-0.05,143
107/08/07,462,"10,704",23.45,23.45,23.0,23.2,-0.25,230
107/08/08,272,"6,298",23.35,23.45,23.0,23.0,-0.2,150
107/08/09,227,"5,272",23.0,23.4,23.0,23.2,0.2,108
107/08/10,193,"4,465",23.05,23.35,23.05,23.05,-0.15,111
107/08/13,524,"11,928",23.0,23.1,22.3,22.7,-0.35,273
107/08/14,267,"6,032",22.7,22.75,22.4,22.55,-0.15,139
107/08/15,170,"3,816",22.8,22.8,22.4,22.5,-0.05,98
107/08/16,914,"20,002",22.3,22.3,21.65,22.05,-0.45,380
107/08/17,271,"5,976",22.1,22.2,21.9,22.0,-0.05,137
107/08/20,297,"6,483",21.95,22.05,21.5,21.7,-0.3,163
107/08/21,299,"6,645",21.7,22.95,21.7,22.25,0.55,214
107/08/22,150,"3,336",22.25,22.4,22.15,22.3,0.05,105
107/08/23,258,"5,696",22.3,22.3,21.95,22.25,-0.05,116
107/08/24,229,"5,055",22.25,22.25,21.9,22.0,-0.25,109
107/08/27,245,"5,449",22.25,22.4,22.15,22.2,0.2,132
107/08/28,243,"5,388",22.3,22.3,22.05,22.05,-0.15,112
107/08/29,219,"4,856",22.2,22.3,22.05,22.1,0.05,111
107/08/30,315,"6,993",22.15,22.4,22.1,22.2,0.1,163
107/08/31,266,"5,896",22.35,22.35,22.1,22.1,-0.1,123
107/09/03,410,"8,970",22.1,22.25,21.55,21.6,-0.5,196
107/09/04,222,"4,842",21.75,22.0,21.65,21.65,0.05,128
107/09/05,256,"5,510",21.7,21.95,21.05,21.25,-0.4,165
107/09/06,387,"8,214",21.3,21.4,21.0,21.2,-0.05,210
