date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,386,"61,616",159.0,161.0,158.0,158.0,2.0,346
107/07/03,262,"41,271",159.5,160.0,156.0,156.0,-2.0,242
107/07/04,230,"35,503",156.0,157.0,153.5,154.0,-2.0,197
107/07/05,304,"46,356",155.5,156.0,150.0,150.0,-4.0,294
107/07/06,363,"54,176",150.5,152.0,147.5,149.0,-1.0,314
107/07/09,854,"135,511",161.0,161.0,156.5,157.5,8.5,645
107/07/10,335,"52,232",157.5,157.5,154.5,154.5,-3.0,297
107/07/11,212,"32,989",153.5,157.0,153.5,155.5,1.0,198
107/07/12,477,"76,145",155.5,162.0,155.5,159.0,3.5,439
107/07/13,418,"66,784",160.0,161.0,157.5,160.0,1.0,334
107/07/16,369,"59,599",163.0,163.0,160.0,160.0,0.0,309
107/07/17,248,"39,803",160.0,161.5,159.5,160.5,0.5,202
107/07/18,431,"67,983",160.0,161.0,155.5,156.0,-4.5,373
107/07/19,227,"35,242",156.0,157.5,154.5,155.0,-1.0,189
107/07/20,131,"20,263",155.0,156.0,154.5,154.5,-0.5,128
107/07/23,274,"42,005",155.5,155.5,151.5,153.0,-1.5,227
107/07/24,212,"32,810",154.0,156.0,154.0,156.0,3.0,193
107/07/25,233,"36,480",155.0,158.0,154.5,155.5,-0.5,201
107/07/26,211,"32,709",156.0,157.5,154.5,154.5,-1.0,170
107/07/27,144,"22,257",155.0,156.0,154.0,155.0,0.5,133
107/07/30,606,"96,721",158.0,161.5,157.5,157.5,2.5,502
107/07/31,254,"39,776",157.0,158.0,155.5,156.5,-1.0,218
107/08/01,163,"25,552",157.0,158.0,156.5,156.5,0.0,174
107/08/02,323,"49,863",156.5,157.0,153.5,153.5,-3.0,285
107/08/03,240,"36,855",154.5,155.0,153.0,153.5,0.0,181
107/08/06,243,"37,118",153.0,154.0,152.0,152.0,-1.5,216
107/08/07,164,"24,925",152.5,153.0,152.0,152.0,0.0,156
107/08/08,181,"27,549",153.5,153.5,152.0,152.0,0.0,138
107/08/09,146,"22,112",152.0,152.5,151.0,152.0,0.0,130
107/08/10,162,"24,538",152.0,153.0,151.0,151.0,-1.0,149
107/08/13,483,"71,413",150.5,151.0,145.5,147.0,-4.0,403
107/08/14,203,"29,917",147.5,148.5,146.0,147.0,0.0,196
107/08/15,293,"42,556",146.5,147.0,144.0,144.5,-2.5,243
107/08/16,272,"38,695",143.5,143.5,141.5,142.5,-2.0,250
107/08/17,311,"44,384",143.0,144.5,141.5,142.0,-0.5,240
107/08/20,115,"16,270",142.0,143.0,141.0,141.0,-1.0,115
107/08/21,161,"22,987",141.5,144.0,141.5,142.0,1.0,142
107/08/22,170,"24,167",142.0,144.0,141.5,141.5,-0.5,148
107/08/23,123,"17,439",141.5,142.5,141.0,141.0,-0.5,116
107/08/24,144,"20,171",142.0,142.0,139.5,139.5,-1.5,132
107/08/27,366,"52,376",139.5,146.0,139.5,143.0,3.5,270
107/08/28,444,"63,354",145.0,145.0,140.5,141.0,-2.0,386
107/08/29,258,"36,637",142.0,143.5,140.0,141.5,0.5,257
107/08/30,167,"23,686",142.5,143.5,141.5,142.0,0.5,138
107/08/31,244,"34,902",142.5,143.5,142.0,143.5,1.5,179
107/09/03,267,"38,168",146.0,146.0,141.0,141.5,-2.0,240
107/09/04,168,"23,716",141.5,142.5,140.5,141.5,0.0,166
107/09/05,163,"22,853",141.5,141.5,140.0,141.0,-0.5,144
107/09/06,181,"25,570",143.0,143.0,140.0,140.0,-1.0,168
107/09/07,591,"79,554",140.0,140.0,131.0,133.0,-7.0,511
107/09/10,608,"77,812",133.0,133.0,126.0,127.0,-6.0,508
107/09/11,750,"91,698",126.5,127.0,118.0,124.0,-3.0,667
107/09/12,306,"37,654",124.0,124.5,120.5,124.5,0.5,274
107/09/13,935,"125,152",125.0,136.5,125.0,136.5,12.0,695
107/09/14,"1,047","145,689",137.5,143.5,135.0,141.0,4.5,902
107/09/17,388,"53,023",139.0,139.0,135.0,136.0,-5.0,358
107/09/18,264,"34,977",136.0,136.0,131.0,131.5,-4.5,238
107/09/19,274,"36,049",131.5,133.5,130.5,131.0,-0.5,230
107/09/20,493,"71,028",144.0,144.0,144.0,144.0,13.0,399
107/09/21,"1,097","160,381",149.5,149.5,142.5,142.5,-1.5,848
107/09/25,324,"45,847",142.0,143.5,140.0,142.0,-0.5,305
107/09/26,202,"28,460",141.5,142.0,140.0,141.5,-0.5,182
107/09/27,648,"91,842",142.0,143.0,141.0,141.5,0.0,210
107/09/28,472,"67,897",142.5,147.0,141.0,145.5,4.0,401
107/10/01,"1,038","158,306",149.5,157.0,147.0,152.5,7.0,929
107/10/02,635,"97,370",153.0,156.0,151.5,151.5,-1.0,567
107/10/03,486,"72,447",151.0,152.0,146.5,147.0,-4.5,457
107/10/04,"1,073","164,654",148.5,157.0,146.0,155.0,8.0,837
107/10/05,925,"140,870",154.5,156.5,148.5,151.0,-4.0,784
107/10/08,506,"74,901",151.5,152.5,146.0,147.0,-4.0,447
107/10/09,378,"54,140",147.0,148.0,141.0,142.5,-4.5,345
107/10/11,886,"114,893",130.5,135.0,128.5,128.5,-14.0,728
107/10/12,401,"51,658",126.0,131.5,125.5,131.0,2.5,354
107/10/15,183,"23,806",131.0,131.5,129.0,129.5,-1.5,189
107/10/16,370,"49,015",130.0,135.0,129.5,132.0,2.5,348
107/10/17,266,"35,407",134.0,135.0,131.0,131.0,-1.0,267
107/10/18,144,"18,974",131.5,133.5,130.5,131.0,0.0,133
107/10/19,201,"25,926",130.0,130.5,127.0,129.5,-1.5,178
107/10/22,183,"24,073",128.0,133.5,127.5,131.5,2.0,172
107/10/23,254,"32,833",131.0,132.5,128.0,128.5,-3.0,227
107/10/24,194,"25,115",129.5,130.5,127.5,130.0,1.5,193
107/10/25,610,"75,331",124.0,126.0,122.0,122.0,-8.0,506
107/10/26,368,"44,862",124.0,125.0,120.0,120.0,-2.0,357
107/10/29,270,"32,784",120.5,122.0,119.5,122.0,2.0,220
107/10/30,192,"23,353",123.0,123.5,120.5,121.0,-1.0,178
107/10/31,185,"22,595",122.0,123.5,121.0,121.0,0.0,192
107/11/01,422,"51,413",122.5,123.0,120.5,121.5,0.5,345
107/11/02,443,"54,235",122.0,124.0,120.5,124.0,2.5,371
107/11/05,225,"27,376",122.5,123.0,121.0,122.0,-2.0,200
107/11/06,292,"35,719",122.0,124.5,120.5,121.0,-1.0,272
107/11/07,226,"27,352",122.0,122.0,120.5,121.5,0.5,200
107/11/08,252,"30,592",123.0,123.0,121.0,121.0,-0.5,221
107/11/09,137,"16,586",121.0,122.0,120.5,120.5,-0.5,136
107/11/12,122,"14,719",120.5,121.5,120.5,120.5,0.0,115
107/11/13,273,"32,500",120.0,120.0,118.0,119.5,-1.0,259
107/11/14,170,"20,391",120.0,121.5,119.0,120.0,0.5,156
107/11/15,133,"15,796",121.0,121.0,119.0,119.0,-1.0,126
107/11/16,180,"21,740",120.0,122.0,119.5,119.5,0.5,179
107/11/19,137,"16,440",120.0,121.5,119.5,121.0,1.5,106
107/11/20,327,"40,323",121.0,125.0,120.5,122.5,1.5,309
107/11/21,124,"15,162",122.0,124.0,122.0,122.5,0.0,123
107/11/22,462,"62,113",134.5,134.5,134.5,134.5,12.0,366
