date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"1,975,270","247,196,480",131.0,131.0,123.0,124.0,-5.00,"1,641"
107/07/03,"1,759,302","213,496,286",124.0,125.0,118.0,119.5,-4.50,"1,429"
107/07/04,"964,212","115,976,864",118.5,123.5,117.5,123.0,+3.50,826
107/07/05,"1,097,217","129,554,062",120.5,122.5,115.0,116.0,-7.00,902
107/07/06,"1,182,259","135,243,785",116.5,118.0,111.0,115.0,-1.00,937
107/07/09,"1,884,200","229,007,898",117.0,124.5,116.5,123.5,+8.50,"1,510"
107/07/10,"1,569,150","193,752,175",124.0,126.0,121.0,124.5,+1.00,"1,334"
107/07/11,"826,126","101,884,250",120.5,125.5,120.0,123.5,-1.00,653
107/07/12,"3,004,226","388,834,444",124.5,132.0,124.0,128.5,+5.00,"2,279"
107/07/13,"4,570,387","610,898,019",130.0,137.0,128.0,135.0,+6.50,"3,323"
107/07/16,"8,550,034","1,234,163,043",137.0,148.5,136.0,147.5,+12.50,"5,489"
107/07/17,"8,317,332","1,233,977,306",149.0,152.5,143.0,143.5,-4.00,"5,786"
107/07/18,"3,349,527","474,786,013",145.5,147.0,135.0,139.5,-4.00,"2,641"
107/07/19,"4,543,188","665,416,072",143.0,150.5,142.0,142.5,+3.00,"3,583"
107/07/20,"1,842,240","253,708,880",144.0,144.5,134.5,136.0,-6.50,"1,446"
107/07/23,"1,250,035","163,810,655",135.5,135.5,129.0,129.0,-7.00,940
107/07/24,"1,775,150","233,858,524",130.5,134.5,129.0,132.5,+3.50,"1,381"
107/07/25,"1,853,801","233,284,721",129.5,129.5,124.0,124.5,X0.00,"1,486"
107/07/26,"1,596,173","203,028,884",127.0,129.5,125.0,125.5,+1.00,"1,289"
107/07/27,"2,376,894","288,957,174",126.0,126.5,120.0,120.5,-5.00,"1,712"
107/07/30,"1,109,000","133,359,500",121.5,122.5,119.0,119.5,-1.00,865
107/07/31,"1,409,000","171,583,500",118.0,124.5,118.0,122.5,+3.00,"1,153"
107/08/01,"988,150","120,611,300",122.0,123.5,120.5,120.5,-2.00,792
107/08/02,"3,754,296","472,483,592",120.5,127.5,120.5,125.5,+5.00,"2,945"
107/08/03,"5,791,862","766,291,732",128.0,135.5,127.0,134.5,+9.00,"4,568"
107/08/06,"5,440,460","744,520,820",133.0,141.0,129.0,140.0,+5.50,"4,231"
107/08/07,"4,756,587","653,797,745",140.0,143.0,132.0,134.0,-6.00,"3,848"
107/08/08,"2,557,782","342,338,333",133.5,137.0,131.0,131.5,-2.50,"2,077"
107/08/09,"2,228,142","295,696,881",131.5,136.0,128.5,134.0,+2.50,"1,814"
107/08/10,"1,605,310","213,828,454",132.0,136.0,131.0,131.5,-2.50,"1,317"
107/08/13,"3,371,472","431,543,944",132.5,134.0,120.0,127.0,-4.50,"2,670"
107/08/14,"1,613,001","205,766,629",129.0,130.5,125.0,127.5,+0.50,"1,337"
107/08/15,"2,563,312","317,319,188",128.5,128.5,120.5,123.5,-4.00,"2,023"
107/08/16,"2,269,600","280,518,300",121.0,128.0,118.5,128.0,+4.50,"1,805"
107/08/17,"2,030,150","255,230,175",128.5,129.5,122.0,123.5,-4.50,"1,583"
107/08/20,"1,134,251","138,868,373",123.5,124.0,120.5,122.5,-1.00,914
107/08/21,"1,338,000","164,944,000",122.5,124.5,122.0,123.5,+1.00,"1,033"
107/08/22,"2,927,000","367,895,000",124.0,128.0,122.5,123.0,-0.50,"2,226"
107/08/23,"984,485","119,851,941",122.5,124.0,120.5,121.0,-2.00,842
107/08/24,"3,319,356","385,475,940",121.0,123.0,110.0,114.0,-7.00,"2,556"
107/08/27,"2,924,541","332,974,379",114.5,119.0,110.5,119.0,+5.00,"2,459"
107/08/28,"1,394,605","162,703,470",117.5,118.0,115.0,115.0,-4.00,"1,157"
107/08/29,"1,438,166","165,758,090",114.5,117.0,113.5,114.0,-1.00,"1,087"
107/08/30,"1,237,250","144,429,750",115.0,118.5,114.0,117.0,+3.00,"1,075"
107/08/31,"729,010","85,424,670",116.0,118.5,115.5,116.5,-0.50,588
107/09/03,"1,045,350","119,101,700",117.5,118.0,111.5,112.0,-4.50,823
107/09/04,"941,176","107,746,916",112.0,117.5,111.5,116.0,+4.00,773
107/09/05,"567,001","64,743,615",115.0,116.0,113.0,113.0,-3.00,450
107/09/06,"558,400","63,763,000",112.5,116.0,112.5,113.0, 0.00,464
107/09/07,"1,243,101","137,334,458",113.0,115.0,107.0,108.5,-4.50,"1,056"
107/09/10,"1,820,050","189,128,350",108.5,109.5,101.0,104.0,-4.50,"1,417"
107/09/11,"978,528","101,422,119",104.5,106.0,101.5,103.5,-0.50,778
107/09/12,"930,118","96,870,890",103.5,106.5,102.0,104.0,+0.50,763
107/09/13,"870,150","92,579,625",105.0,108.0,104.0,108.0,+4.00,748
107/09/14,"832,100","89,296,400",109.0,109.5,105.5,107.5,-0.50,732
107/09/17,"580,000","62,150,500",107.5,109.0,105.5,106.0,-1.50,486
107/09/18,"617,123","65,128,730",106.5,107.5,103.5,103.5,-2.50,553
107/09/19,"722,050","75,066,650",104.5,105.5,102.5,103.0,-0.50,565
107/09/20,"2,288,650","226,826,979",104.0,105.0,94.0,96.9,-6.10,"1,841"
107/09/21,"1,402,680","142,002,440",98.0,104.0,97.6,103.0,+6.10,"1,222"
107/09/25,"804,100","83,830,800",102.0,105.5,101.5,105.0,+2.00,647
107/09/26,"683,000","70,868,000",105.0,106.5,101.5,101.5,-3.50,500
107/09/27,"665,200","67,801,479",101.5,104.5,100.0,100.5,-1.00,555
107/09/28,"566,050","56,552,600",101.5,102.0,98.3,100.5, 0.00,494
107/10/01,"499,121","50,689,284",100.5,103.0,99.6,102.0,+1.50,425
107/10/02,"1,819,873","194,194,101",103.5,109.5,102.0,106.5,+4.50,"1,578"
107/10/03,"1,400,176","149,960,480",106.5,109.0,104.5,105.5,-1.00,"1,203"
107/10/04,"861,579","91,230,453",106.0,107.5,104.0,107.0,+1.50,695
107/10/05,"1,745,150","177,409,684",107.0,107.0,98.3,99.2,-7.80,"1,326"
107/10/08,"702,494","70,726,447",99.3,102.5,99.3,101.5,+2.30,579
107/10/09,"2,721,150","278,912,750",104.0,107.5,98.5,99.0,-2.50,"2,229"
107/10/11,"1,412,104","128,587,764",91.5,93.8,89.1,89.1,-9.90,"1,129"
107/10/12,"1,140,264","104,315,104",86.2,93.9,86.2,93.0,+3.90,978
107/10/15,"596,057","54,798,068",91.8,93.8,90.4,90.4,-2.60,488
107/10/16,"680,000","62,668,600",91.3,93.8,90.0,90.7,+0.30,554
107/10/17,"1,081,500","101,226,900",92.9,95.5,92.1,92.1,+1.40,845
107/10/18,"640,250","59,353,425",94.0,94.3,91.6,92.3,X0.00,528
107/10/19,"813,082","73,321,644",91.4,91.6,88.8,91.2,-1.10,649
107/10/22,"492,000","44,957,000",91.0,92.5,90.0,90.6,-0.60,413
107/10/23,"842,500","75,261,550",90.2,91.8,86.8,87.1,-3.50,698
107/10/24,"1,058,330","90,886,420",88.1,88.5,84.3,84.3,-2.80,867
107/10/25,"1,468,088","123,833,392",78.0,87.4,78.0,83.5,-0.80,"1,223"
107/10/26,"1,160,551","93,769,487",84.9,85.8,78.2,78.2,-5.30,"1,012"
107/10/29,"1,201,000","92,864,800",79.1,79.8,74.6,78.3,+0.10,957
107/10/30,"629,100","48,152,060",77.7,79.5,75.4,75.5,-2.80,515
107/10/31,"889,000","69,153,700",76.2,79.2,76.2,77.5,+2.00,787
107/11/01,"1,546,437","128,861,331",78.0,85.2,77.8,85.2,+7.70,"1,249"
107/11/02,"1,178,000","99,691,500",86.2,86.5,82.4,83.4,-1.80,"1,017"
107/11/05,"301,152","24,920,639",82.0,84.1,81.9,82.3,-1.10,269
107/11/06,"865,113","72,428,179",83.5,86.0,81.4,82.0,-0.30,748
107/11/07,"529,000","44,051,500",83.2,84.1,81.8,84.1,+2.10,476
107/11/08,"1,499,003","129,285,661",86.2,87.3,84.1,86.7,+2.60,"1,230"
107/11/09,"1,829,105","161,079,013",87.7,90.6,86.1,86.2,-0.50,"1,610"
107/11/12,"1,401,053","123,093,317",87.3,89.2,86.7,87.7,+1.50,"1,127"
107/11/13,"2,167,000","192,322,000",86.9,90.3,86.9,87.5,-0.20,"1,896"
107/11/14,"1,240,071","106,996,170",87.0,87.8,85.0,85.0,-2.50,999
107/11/15,"943,500","79,972,000",85.9,86.9,83.5,83.5,-1.50,786
107/11/16,"554,604","46,785,151",84.5,85.5,83.5,83.7,+0.20,463
107/11/19,"1,340,660","117,008,175",84.4,89.0,84.4,88.5,+4.80,"1,175"
107/11/20,"2,034,545","183,179,450",87.5,91.8,87.5,88.5, 0.00,"1,612"
107/11/21,"1,175,140","105,181,416",88.5,90.8,88.5,88.6,+0.10,967
107/11/22,"1,480,000","133,651,500",88.8,91.6,88.6,89.0,+0.40,"1,215"
107/11/23,"659,000","58,357,400",90.0,90.5,87.4,88.0,-1.00,557
107/11/26,"1,204,101","108,859,991",89.0,91.4,88.6,90.4,+2.40,947
107/11/27,"1,467,101","135,292,462",91.1,93.1,90.8,92.2,+1.80,"1,195"
107/11/28,"895,298","82,290,085",93.0,93.5,91.2,91.6,-0.60,722
107/11/29,"1,692,210","158,606,845",92.4,95.5,91.6,94.5,+2.90,"1,403"
107/11/30,"1,924,492","183,657,240",96.0,97.8,93.0,94.5, 0.00,"1,575"
107/12/03,"1,323,870","128,473,373",95.4,98.2,95.0,97.1,+2.60,"1,050"
107/12/04,"645,250","62,521,000",97.1,98.5,95.6,96.1,-1.00,524
107/12/05,"480,200","46,017,940",94.6,97.2,94.1,95.8,-0.30,431
107/12/06,"808,521","74,754,271",95.4,96.9,90.6,91.1,-4.70,641
