date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"1,549,029","31,214,320",20.2,20.3,20.0,20.1,+0.20,791
107/07/03,"2,247,919","45,015,839",20.35,20.35,19.75,19.85,-0.25,"1,005"
107/07/04,"1,215,944","24,071,843",19.85,20.05,19.7,19.7,-0.15,545
107/07/05,"2,322,660","44,919,297",19.8,19.85,18.85,18.9,-0.80,998
107/07/06,"2,422,581","46,013,670",19.4,19.4,18.8,19.0,+0.10,981
107/07/09,"4,649,788","91,690,961",19.05,20.2,19.05,19.95,+0.95,"1,754"
107/07/10,"2,190,773","43,435,573",20.0,20.05,19.6,19.95, 0.00,827
107/07/11,"2,424,201","46,906,981",19.6,19.6,19.25,19.35,-0.60,904
107/07/12,"1,248,400","24,174,013",19.3,19.5,19.25,19.3,-0.05,543
107/07/13,"1,031,292","20,060,522",19.45,19.55,19.35,19.45,+0.15,456
107/07/16,"1,609,506","31,376,832",19.45,19.6,19.4,19.45, 0.00,741
107/07/17,"1,837,229","35,080,232",19.15,19.3,18.95,19.05,X0.00,763
107/07/18,"1,770,290","33,243,740",19.25,19.25,18.3,18.55,-0.50,772
107/07/19,"2,376,587","44,776,820",18.6,19.1,18.4,18.8,+0.25,885
107/07/20,"4,736,797","91,188,960",18.8,19.6,18.75,19.45,+0.65,"1,594"
107/07/23,"4,850,714","93,157,716",19.45,19.65,18.85,19.0,-0.45,"1,408"
107/07/24,"3,517,292","67,239,176",19.1,19.25,19.0,19.05,+0.05,813
107/07/25,"1,221,592","23,261,198",19.1,19.15,18.9,18.95,-0.10,401
107/07/26,"2,083,600","39,663,085",19.0,19.1,18.95,19.0,+0.05,573
107/07/27,"2,397,450","45,378,050",19.0,19.1,18.8,19.1,+0.10,627
107/07/30,"1,387,741","26,119,222",19.1,19.15,18.7,18.7,-0.40,544
107/07/31,"885,621","16,545,009",18.75,18.85,18.6,18.65,-0.05,452
107/08/01,"2,351,596","43,494,054",18.65,18.7,18.35,18.4,-0.25,841
107/08/02,"4,252,849","77,092,191",18.4,18.4,17.95,17.95,-0.45,"1,413"
107/08/03,"3,442,366","61,215,603",18.1,18.1,17.6,17.65,-0.30,"1,125"
107/08/06,"1,722,087","30,130,159",17.65,17.7,17.35,17.4,-0.25,675
107/08/07,"2,414,731","42,901,666",17.45,18.0,17.45,17.8,+0.40,"1,039"
107/08/08,"1,075,301","19,167,819",17.9,17.95,17.7,17.75,-0.05,511
107/08/09,"1,265,288","22,174,906",17.75,17.75,17.4,17.45,-0.30,562
107/08/10,"1,275,628","22,317,474",17.45,17.7,17.35,17.35,-0.10,650
107/08/13,"2,582,457","43,257,950",17.3,17.3,16.25,16.55,-0.80,"1,162"
107/08/14,"2,076,445","35,159,451",16.7,17.2,16.6,17.1,+0.55,924
107/08/15,"6,498,712","101,506,981",16.2,16.2,15.4,15.5,-1.60,"2,538"
107/08/16,"2,082,626","32,606,476",15.5,15.9,15.15,15.55,+0.05,892
107/08/17,"1,339,123","20,749,490",15.75,15.75,15.25,15.25,-0.30,564
107/08/20,"850,959","12,994,121",15.2,15.4,15.15,15.25, 0.00,352
107/08/21,"694,698","10,620,774",15.25,15.4,15.2,15.3,+0.05,328
107/08/22,"1,731,654","26,780,577",15.3,15.75,15.25,15.6,+0.30,618
107/08/23,"1,080,281","16,842,787",15.75,15.85,15.45,15.45,-0.15,444
107/08/24,"586,724","9,028,659",15.45,15.55,15.3,15.35,-0.10,234
107/08/27,"872,280","13,356,300",15.35,15.45,15.25,15.25,-0.10,389
107/08/28,"1,392,045","21,524,291",15.3,15.6,15.25,15.55,+0.30,647
107/08/29,"915,107","14,305,506",15.6,15.75,15.55,15.55, 0.00,390
107/08/30,"784,284","12,113,726",15.55,15.65,15.35,15.35,-0.20,325
107/08/31,"2,562,718","40,466,473",15.3,16.05,15.25,15.95,+0.60,"1,079"
107/09/03,"2,332,952","37,428,177",16.1,16.25,15.85,16.05,+0.10,"1,053"
107/09/04,"1,148,791","18,187,236",16.0,16.05,15.7,15.7,-0.35,559
107/09/05,"642,954","10,054,436",15.7,15.85,15.5,15.5,-0.20,339
107/09/06,"831,030","12,767,504",15.5,15.55,15.2,15.3,-0.20,394
107/09/07,"1,158,801","17,747,224",15.3,15.45,15.2,15.3, 0.00,412
107/09/10,"1,559,604","22,875,862",15.3,15.3,14.35,14.5,-0.80,632
107/09/11,"584,786","8,619,488",14.7,14.9,14.6,14.75,+0.25,266
107/09/12,"645,107","9,428,316",14.75,14.8,14.5,14.7,-0.05,314
107/09/13,"641,643","9,589,445",14.7,15.2,14.65,15.05,+0.35,420
107/09/14,"2,719,075","42,079,582",15.1,15.95,14.9,15.95,+0.90,"1,026"
107/09/17,"2,164,442","34,207,705",15.95,15.95,15.6,15.6,-0.35,923
107/09/18,"972,342","15,289,927",15.6,15.9,15.6,15.65,+0.05,553
107/09/19,"2,633,597","41,601,179",15.65,15.95,15.65,15.65, 0.00,943
107/09/20,"671,571","10,457,710",15.65,15.75,15.45,15.45,-0.20,375
107/09/21,"638,253","9,904,093",15.5,15.65,15.4,15.5,+0.05,368
107/09/25,"1,333,754","20,615,443",15.45,15.65,15.35,15.35,-0.15,427
107/09/26,"518,705","7,967,267",15.4,15.55,15.25,15.35, 0.00,273
107/09/27,"1,038,754","16,076,496",15.35,15.65,15.3,15.45,+0.10,527
107/09/28,"2,124,319","33,342,405",15.45,15.9,15.45,15.7,+0.25,813
107/10/01,"756,015","11,854,779",15.75,15.8,15.65,15.65,-0.05,376
107/10/02,"2,923,580","46,118,545",15.7,15.9,15.6,15.8,+0.15,978
107/10/03,"1,093,542","17,299,501",15.8,15.95,15.7,15.7,-0.10,524
107/10/04,"866,855","13,421,621",15.65,15.65,15.3,15.35,-0.35,441
107/10/05,"2,552,616","39,481,150",15.6,15.7,14.95,15.4,+0.05,"1,081"
107/10/08,"2,327,621","37,031,707",15.5,16.15,15.5,15.8,+0.40,"1,110"
107/10/09,"968,535","15,181,688",15.9,15.95,15.5,15.5,-0.30,555
107/10/11,"2,505,998","35,942,269",14.5,14.75,13.95,14.1,-1.40,"1,107"
107/10/12,"1,130,969","15,841,758",13.55,14.3,13.55,14.15,+0.05,601
107/10/15,"743,206","10,635,362",14.4,14.4,14.15,14.4,+0.25,367
107/10/16,"1,640,018","22,905,197",13.6,14.4,13.6,14.05,-0.35,570
107/10/17,"654,691","9,298,874",14.25,14.4,14.05,14.15,+0.10,328
107/10/18,"1,530,869","21,187,241",14.3,14.3,13.6,13.65,-0.50,800
107/10/19,"5,227,488","72,151,371",13.3,14.95,13.0,14.4,+0.75,"1,509"
107/10/22,"5,493,964","78,708,484",14.35,14.5,14.1,14.2,-0.20,"1,829"
107/10/23,"946,644","13,208,747",14.1,14.2,13.8,13.85,-0.35,526
107/10/24,"835,357","11,533,106",13.7,14.0,13.7,13.7,-0.15,398
107/10/25,"1,473,613","19,503,207",13.25,13.5,13.0,13.1,-0.60,598
107/10/26,"1,453,300","18,895,585",13.4,13.45,12.75,12.75,-0.35,523
107/10/29,"563,419","7,198,228",12.8,13.0,12.7,12.75, 0.00,275
107/10/30,"534,100","6,825,000",12.9,12.9,12.7,12.75, 0.00,318
107/10/31,"501,944","6,519,894",12.9,13.2,12.85,12.9,+0.15,286
107/11/01,"527,420","6,911,418",13.1,13.25,12.95,13.05,+0.15,339
107/11/02,"779,618","10,311,483",13.2,13.35,13.1,13.25,+0.20,347
107/11/05,"452,592","5,985,382",13.25,13.3,13.15,13.2,-0.05,185
107/11/06,"424,728","5,579,647",13.2,13.3,13.05,13.05,-0.15,222
107/11/07,"389,210","5,113,119",13.1,13.2,13.1,13.15,+0.10,208
107/11/08,"989,371","13,249,750",13.35,13.55,13.25,13.35,+0.20,436
107/11/09,"587,086","7,784,129",13.4,13.45,13.15,13.15,-0.20,268
107/11/12,"241,111","3,181,451",13.15,13.3,13.15,13.15, 0.00,138
107/11/13,"445,118","5,787,323",13.05,13.1,12.9,13.0,-0.15,207
107/11/14,"624,888","8,223,329",13.05,13.3,13.05,13.15,+0.15,248
107/11/15,"1,242,451","15,913,582",13.0,13.0,12.6,12.85,-0.30,569
107/11/16,"345,697","4,461,371",12.9,12.95,12.85,12.9,+0.05,182
107/11/19,"936,050","12,315,448",12.9,13.3,12.9,13.15,+0.25,422
107/11/20,"457,536","6,010,519",13.15,13.3,13.05,13.15, 0.00,169
107/11/21,"674,279","8,968,479",13.05,13.55,13.05,13.2,+0.05,363
107/11/22,"420,535","5,539,955",13.2,13.35,13.1,13.1,-0.10,165
107/11/23,"298,047","3,892,569",13.1,13.2,13.0,13.0,-0.10,148
107/11/26,"374,954","4,913,102",12.95,13.25,12.95,13.05,+0.05,233
107/11/27,"294,377","3,854,166",13.1,13.15,13.05,13.05, 0.00,168
107/11/28,"710,603","9,302,716",13.1,13.2,13.05,13.05, 0.00,305
107/11/29,"613,879","8,116,117",13.2,13.35,13.1,13.1,+0.05,344
107/11/30,"344,009","4,541,417",13.1,13.25,13.1,13.15,+0.05,189
107/12/03,"2,606,683","36,117,371",13.35,14.2,13.3,13.85,+0.70,"1,174"
107/12/04,"1,837,137","25,780,447",13.9,14.25,13.8,14.05,+0.20,741
107/12/05,"5,584,663","80,310,544",13.95,14.55,13.85,14.5,+0.45,"2,155"
107/12/06,"1,663,274","23,368,992",14.4,14.45,13.75,13.8,-0.70,756
107/12/07,"603,395","8,492,815",13.95,14.2,13.95,14.1,+0.30,279
107/12/10,"491,724","6,765,180",13.95,13.95,13.6,13.65,-0.45,305
107/12/11,"266,660","3,667,788",13.75,13.85,13.7,13.7,+0.05,165
107/12/12,"1,273,275","18,029,280",13.9,14.45,13.8,14.35,+0.65,683
107/12/13,"3,568,895","52,399,753",14.4,14.9,14.3,14.75,+0.40,"1,315"
107/12/14,"2,138,651","31,696,614",14.9,15.0,14.65,14.8,+0.05,832
107/12/17,"4,163,862","62,586,928",14.8,15.2,14.7,15.05,+0.25,"1,451"
107/12/18,"3,024,160","44,892,368",14.9,15.1,14.5,14.5,-0.55,829
107/12/19,"1,414,569","20,713,211",14.65,14.75,14.55,14.55,+0.05,468
107/12/20,"1,420,127","20,685,190",14.6,14.65,14.35,14.5,-0.05,380
107/12/21,"2,135,460","31,069,290",14.5,14.75,14.35,14.65,+0.15,642
107/12/22,"1,797,171","26,482,469",14.65,14.9,14.6,14.85,+0.20,687
107/12/24,"6,011,356","89,551,879",15.1,15.2,14.7,14.7,-0.15,"1,853"
107/12/25,"1,230,370","17,696,962",14.65,14.65,14.2,14.2,-0.50,525
107/12/26,"1,885,857","26,752,965",14.35,14.5,13.8,13.85,-0.35,828
107/12/27,"1,780,394","25,264,584",14.1,14.35,14.05,14.15,+0.30,784
107/12/28,"1,017,605","14,409,808",14.25,14.35,14.05,14.05,-0.10,404
108/01/02,"467,636","6,574,304",14.25,14.25,13.9,13.9,-0.15,249
108/01/03,"503,232","6,999,325",13.9,14.1,13.75,13.75,-0.15,238
108/01/04,"1,176,024","15,838,825",13.7,13.75,13.25,13.65,-0.10,570
108/01/07,"506,157","6,985,660",13.8,13.9,13.7,13.8,+0.15,244
108/01/08,"315,636","4,352,930",13.8,13.9,13.65,13.65,-0.15,174
108/01/09,"740,906","10,298,191",13.8,14.0,13.8,13.85,+0.20,314
108/01/10,"326,211","4,545,868",13.85,14.05,13.85,13.85, 0.00,154
108/01/11,"768,911","10,500,487",13.8,13.85,13.55,13.6,-0.25,366
108/01/14,"335,006","4,504,826",13.6,13.6,13.4,13.4,-0.20,200
108/01/15,"308,121","4,142,266",13.55,13.55,13.4,13.4, 0.00,192
108/01/16,"305,953","4,105,018",13.45,13.5,13.35,13.45,+0.05,168
108/01/17,"450,164","6,032,087",13.4,13.5,13.35,13.35,-0.10,190
108/01/18,"401,717","5,374,483",13.4,13.45,13.3,13.3,-0.05,222
108/01/21,"392,137","5,279,523",13.4,13.55,13.4,13.45,+0.15,198
108/01/22,"209,444","2,806,271",13.4,13.45,13.35,13.4,-0.05,108
108/01/23,"293,286","3,919,765",13.35,13.45,13.3,13.45,+0.05,149
108/01/24,"208,622","2,798,921",13.45,13.45,13.35,13.4,-0.05,129
108/01/25,"315,705","4,238,470",13.4,13.5,13.35,13.4, 0.00,177
108/01/28,"275,844","3,705,307",13.4,13.5,13.4,13.45,+0.05,164
108/01/29,"229,857","3,078,535",13.45,13.45,13.35,13.35,-0.10,150
108/01/30,"1,439,440","19,413,795",13.35,13.6,13.35,13.4,+0.05,401
108/02/11,"221,100","2,986,995",13.6,13.6,13.45,13.5,+0.10,130
108/02/12,"493,399","6,647,207",13.5,13.55,13.4,13.45,-0.05,247
108/02/13,"521,507","7,021,837",13.55,13.55,13.4,13.4,-0.05,239
108/02/14,"2,804,722","38,715,733",13.5,14.05,13.4,13.85,+0.45,957
108/02/15,"762,004","10,527,900",13.85,13.95,13.7,13.7,-0.15,341
108/02/18,"611,730","8,379,033",13.75,13.85,13.6,13.65,-0.05,348
108/02/19,"628,692","8,677,489",13.65,13.9,13.65,13.7,+0.05,311
108/02/20,"958,974","13,344,523",13.85,14.0,13.8,14.0,+0.30,449
108/02/21,"640,451","8,915,410",14.0,14.05,13.8,13.9,-0.10,305
108/02/22,"461,739","6,366,399",13.85,13.85,13.75,13.8,-0.10,217
108/02/25,"1,004,339","14,035,995",13.9,14.1,13.85,13.95,+0.15,476
108/02/26,"936,701","13,186,164",14.0,14.25,14.0,14.0,+0.05,454
108/02/27,"3,500,695","49,946,278",14.15,14.45,14.0,14.35,+0.35,"1,269"
108/03/04,"4,735,859","68,819,831",14.35,14.7,14.35,14.65,+0.30,"1,647"
108/03/05,"1,370,976","19,827,151",14.6,14.6,14.35,14.35,-0.30,638
108/03/06,"613,725","8,830,024",14.45,14.5,14.3,14.35, 0.00,279
108/03/07,"1,114,435","15,710,090",14.35,14.4,14.0,14.05,-0.30,491
108/03/08,"446,569","6,270,846",14.0,14.2,13.9,14.2,+0.15,239
108/03/11,"1,003,059","14,056,405",14.1,14.2,13.9,13.9,-0.30,337
108/03/12,"694,191","9,673,941",14.05,14.1,13.85,13.95,+0.05,323
108/03/13,"404,490","5,619,375",13.95,14.0,13.85,13.9,-0.05,222
108/03/14,"405,632","5,647,227",14.0,14.0,13.8,13.9, 0.00,239
108/03/15,"707,296","9,820,524",13.9,14.05,13.75,13.85,-0.05,319
108/03/18,"472,494","6,596,122",13.9,14.05,13.85,14.0,+0.15,264
108/03/19,"526,008","7,379,762",14.0,14.1,14.0,14.0, 0.00,260
108/03/20,"868,072","12,089,526",14.05,14.1,13.85,13.85,-0.15,391
108/03/21,"932,075","12,866,922",13.85,13.9,13.7,13.8,-0.05,389
108/03/22,"2,958,394","41,901,931",13.8,14.4,13.8,14.3,+0.50,"1,250"
108/03/25,"1,128,813","15,886,367",14.05,14.2,14.0,14.05,-0.25,437
108/03/26,"849,710","11,904,280",14.2,14.2,13.95,13.95,-0.10,348
108/03/27,"573,998","7,986,361",13.95,14.0,13.85,13.9,-0.05,240
