date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,102,"5,135",50.2,50.3,50.0,50.2,0.2,87
107/07/03,112,"5,614",50.1,50.8,49.05,49.5,-0.7,95
107/07/04,42,"2,067",49.4,49.4,49.05,49.2,-0.3,36
107/07/05,85,"4,173",49.15,49.3,48.9,49.25,0.05,66
107/07/06,61,"2,998",49.8,49.8,48.9,49.25,0.0,54
107/07/09,86,"4,214",49.25,49.3,48.05,49.25,0.0,62
107/07/10,50,"2,456",49.3,49.4,49.0,49.0,-0.25,39
107/07/11,646,"29,858",49.0,49.0,44.35,45.0,-4.0,438
107/07/12,266,"11,804",44.8,45.3,43.6,44.7,-0.3,240
107/07/13,168,"7,601",44.7,45.9,44.3,45.45,0.75,153
107/07/16,154,"6,996",45.55,46.3,45.0,46.1,0.65,117
107/07/17,103,"4,691",46.1,46.1,45.15,45.9,-0.2,98
107/07/18,103,"4,707",45.9,45.9,45.35,45.65,-0.25,98
107/07/19,117,"5,326",45.65,45.8,45.15,45.75,0.1,105
107/07/20,138,"6,318",45.75,46.1,45.7,45.8,0.05,107
107/07/23,97,"4,412",45.4,46.0,45.15,45.9,0.1,96
107/07/24,136,"6,220",45.75,47.0,45.5,46.15,0.25,118
107/07/25,134,"6,194",46.25,46.95,45.6,46.95,0.8,112
107/07/26,394,"19,322",47.25,50.5,47.1,50.0,3.05,297
107/07/27,437,"22,504",50.0,52.8,49.5,52.6,2.6,352
107/07/30,362,"18,842",53.5,53.5,51.0,51.4,-1.2,280
107/07/31,247,"12,707",51.5,52.0,50.5,51.6,0.2,204
107/08/01,292,"15,088",51.4,52.3,51.0,52.1,0.5,242
107/08/02,282,"13,776",49.5,49.5,48.4,48.4,-0.7,211
107/08/03,72,"3,484",48.45,48.7,48.1,48.35,-0.05,68
107/08/06,205,"9,703",48.0,48.0,47.0,47.0,-1.35,150
107/08/07,171,"7,943",46.75,46.9,46.05,46.9,-0.1,109
107/08/08,165,"7,872",47.5,48.15,47.1,47.1,0.2,142
107/08/09,45,"2,133",47.15,47.5,47.15,47.5,0.4,41
107/08/10,102,"4,853",48.25,48.25,46.5,46.85,-0.65,84
107/08/13,110,"5,028",47.5,47.5,45.0,45.0,-1.85,81
107/08/14,66,"2,970",45.0,45.0,44.5,44.7,-0.3,49
107/08/15,66,"2,929",44.7,44.75,44.1,44.45,-0.25,59
107/08/16,77,"3,400",44.0,44.5,43.9,44.1,-0.35,67
107/08/17,36,"1,598",44.1,44.6,44.0,44.0,-0.1,32
107/08/20,142,"6,430",44.0,45.9,44.0,45.6,1.6,106
107/08/21,75,"3,467",45.85,47.0,45.65,46.05,0.45,70
107/08/22,578,"28,793",46.3,50.6,46.0,50.6,4.55,368
107/08/23,"1,268","66,873",52.8,54.7,50.6,50.7,0.1,"1,067"
107/08/24,309,"15,403",50.8,51.3,48.95,49.0,-1.7,259
107/08/27,244,"11,922",48.55,50.2,48.05,48.15,-0.85,203
107/08/28,303,"14,459",48.3,48.35,47.0,47.1,-1.05,251
107/08/29,195,"9,251",47.1,48.4,47.0,47.2,0.1,159
107/08/30,158,"7,487",48.0,48.3,46.55,46.55,-0.65,121
107/08/31,126,"5,874",46.45,46.95,46.4,46.4,-0.15,97
107/09/03,88,"4,121",47.7,47.7,46.4,46.7,0.3,75
107/09/04,118,"5,397",46.6,46.6,45.35,45.65,-1.05,92
107/09/05,87,"3,990",45.2,46.1,45.1,46.1,0.45,69
107/09/06,73,"3,383",45.75,46.8,45.5,45.75,-0.35,67
107/09/07,293,"13,620",45.75,47.4,45.75,45.8,0.05,201
107/09/10,128,"5,802",45.8,46.0,45.0,45.0,-0.8,89
107/09/11,139,"6,187",45.0,45.65,44.1,44.15,-0.85,103
107/09/12,621,"29,078",44.65,48.1,44.6,45.55,1.4,523
107/09/13,358,"16,636",45.55,47.45,45.55,46.35,0.8,300
107/09/14,"1,861","92,460",47.1,50.9,46.65,48.15,1.8,"1,181"
107/09/17,"2,479","127,044",47.7,52.9,47.7,52.9,4.75,"1,832"
107/09/18,"4,547","244,637",53.0,56.0,50.8,51.1,-1.8,"3,255"
107/09/19,"1,292","66,173",52.2,52.4,50.2,50.7,-0.4,858
107/09/20,"1,287","66,369",51.3,52.8,50.0,51.6,0.9,"1,003"
107/09/21,611,"31,244",51.6,52.3,50.4,51.2,-0.4,441
107/09/25,653,"32,751",51.0,51.5,49.6,50.0,-1.2,450
107/09/26,521,"25,556",50.1,50.6,48.0,48.25,-1.75,423
107/09/27,318,"15,434",48.05,49.3,48.05,48.35,0.1,234
107/09/28,309,"14,887",48.35,48.95,47.7,47.7,-0.65,243
107/10/01,203,"9,672",47.5,47.85,47.45,47.5,-0.2,139
107/10/02,383,"17,871",47.1,47.75,46.1,46.1,-1.4,272
107/10/03,309,"14,432",46.1,47.25,46.1,46.7,0.6,222
107/10/04,256,"11,809",46.95,47.25,45.9,46.0,-0.7,187
107/10/05,543,"24,126",45.65,45.7,42.65,44.5,-1.5,359
107/10/08,684,"29,192",43.85,44.8,41.8,42.0,-2.5,441
107/10/09,290,"12,096",42.2,42.2,41.4,41.4,-0.6,178
107/10/11,604,"22,591",38.0,38.0,37.3,37.3,-4.1,389
107/10/12,338,"12,037",34.25,36.8,34.1,36.75,-0.55,245
107/10/15,360,"13,211",36.75,37.95,36.0,36.1,-0.65,241
107/10/16,345,"12,660",35.2,37.8,35.2,36.4,0.3,195
107/10/17,335,"12,840",37.3,39.3,37.0,38.7,2.3,240
107/10/18,198,"7,540",38.3,38.65,37.6,38.1,-0.6,120
107/10/19,88,"3,294",37.6,37.9,37.05,37.45,-0.65,75
107/10/22,90,"3,387",37.45,38.0,37.4,37.5,0.05,66
107/10/23,78,"2,868",37.55,37.55,36.55,36.6,-0.9,68
107/10/24,471,"16,555",36.7,36.7,34.9,34.9,-1.7,346
107/10/25,788,"25,194",33.9,33.9,31.45,31.85,-3.05,452
107/10/26,339,"10,684",33.0,33.7,30.45,30.85,-1.0,201
107/10/29,89,"2,790",31.65,31.65,30.85,31.0,0.15,86
107/10/30,146,"4,654",31.5,32.2,31.3,32.15,1.15,104
107/10/31,94,"3,077",32.95,33.1,32.4,32.5,0.35,78
107/11/01,91,"3,024",33.0,33.35,32.8,33.25,0.75,74
107/11/02,118,"3,928",33.5,33.8,33.0,33.25,0.0,93
107/11/05,95,"3,194",33.6,34.0,33.5,33.5,0.25,73
107/11/06,130,"4,409",33.9,34.4,33.5,33.5,0.0,97
107/11/07,81,"2,719",34.0,34.0,33.4,33.6,0.1,56
107/11/08,86,"2,926",34.8,34.8,33.7,33.9,0.3,57
107/11/09,34,"1,155",34.1,34.2,33.6,34.2,0.3,26
107/11/12,106,"3,707",34.35,35.5,34.25,35.15,0.95,89
107/11/13,241,"8,025",34.9,34.9,32.5,34.0,-1.15,173
107/11/14,58,"1,978",34.0,34.35,33.7,34.0,0.0,47
107/11/15,132,"4,408",33.2,34.0,33.05,34.0,0.0,95
107/11/16,19,650,34.95,34.95,34.0,34.0,0.0,17
107/11/19,30,"1,043",34.0,34.7,34.0,34.6,0.6,30
107/11/20,53,"1,843",34.6,35.05,34.1,35.0,0.4,44
107/11/21,93,"3,303",35.1,36.0,35.0,35.5,0.5,75
107/11/22,107,"3,855",35.8,36.4,35.6,36.0,0.5,65
107/11/23,61,"2,197",36.5,36.7,35.55,35.8,-0.2,54
107/11/26,57,"2,055",35.8,36.9,35.45,36.65,0.85,53
107/11/27,67,"2,509",37.6,37.6,36.8,37.35,0.7,53
107/11/28,61,"2,266",37.35,37.35,36.95,37.2,-0.15,44
107/11/29,54,"2,019",37.25,37.5,37.2,37.4,0.2,45
107/11/30,122,"4,636",37.5,38.9,37.15,37.5,0.1,97
107/12/03,78,"2,967",37.8,38.5,37.5,38.4,0.9,59
107/12/04,206,"8,010",38.4,39.6,38.4,39.0,0.6,147
107/12/05,91,"3,498",39.0,39.0,37.55,38.0,-1.0,66
107/12/06,102,"3,838",37.7,38.0,37.3,37.4,-0.6,66
107/12/07,51,"1,882",36.25,37.7,36.25,37.5,0.1,42
107/12/10,62,"2,302",36.35,38.0,36.35,37.1,-0.4,49
107/12/11,15,564,37.7,37.7,37.35,37.35,0.25,15
107/12/12,47,"1,796",38.75,38.9,37.9,38.3,0.95,42
107/12/13,32,"1,241",38.65,39.0,38.4,38.8,0.5,36
107/12/14,44,"1,710",38.8,38.95,38.6,38.9,0.1,35
107/12/17,59,"2,257",38.9,38.95,38.0,38.95,0.05,56
107/12/18,22,845,38.9,38.9,38.2,38.35,-0.6,26
107/12/19,44,"1,686",38.5,38.9,37.9,38.2,-0.15,32
107/12/20,31,"1,178",38.65,38.8,37.5,37.85,-0.35,30
107/12/21,53,"1,968",37.9,37.9,36.9,37.7,-0.15,45
107/12/22,8,302,38.15,38.15,37.5,37.5,-0.2,8
107/12/24,37,"1,388",38.15,38.2,37.1,37.6,0.1,31
107/12/25,18,676,37.65,37.7,37.1,37.55,-0.05,17
107/12/26,29,"1,081",37.55,37.6,37.1,37.3,-0.25,22
107/12/27,35,"1,330",37.5,38.3,37.5,38.0,0.7,28
107/12/28,6,231,38.45,38.5,38.4,38.4,0.4,5
108/01/02,15,572,38.4,38.5,38.0,38.1,-0.3,12
108/01/03,28,"1,069",38.45,38.45,38.0,38.3,0.2,24
108/01/04,16,607,38.15,38.15,37.7,37.9,-0.4,10
108/01/07,9,344,38.5,38.5,38.0,38.0,0.1,15
108/01/08,39,"1,482",38.0,38.1,37.9,38.0,0.0,25
108/01/09,30,"1,138",38.2,38.3,37.6,38.05,0.05,26
108/01/10,28,"1,045",38.1,38.1,37.6,37.8,-0.25,20
108/01/11,20,752,37.6,37.7,37.5,37.6,-0.2,12
108/01/14,16,597,38.0,38.0,36.95,37.05,-0.55,16
108/01/15,28,"1,023",37.25,37.5,37.0,37.3,0.25,27
108/01/16,37,"1,370",37.3,37.3,36.9,37.0,-0.3,33
108/01/17,26,966,37.75,37.9,36.8,37.25,0.25,24
108/01/18,29,"1,074",37.25,37.25,36.5,37.25,0.0,23
108/01/21,34,"1,270",37.25,37.4,37.0,37.0,-0.25,36
108/01/22,24,901,37.55,37.6,37.5,37.6,0.6,19
108/01/23,59,"2,242",37.5,38.3,37.5,37.95,0.35,59
108/01/24,23,861,37.8,38.3,37.7,37.8,-0.15,30
108/01/25,13,496,38.1,38.1,37.3,37.6,-0.2,15
108/01/28,23,873,38.0,38.3,37.65,38.1,0.5,23
108/01/29,34,"1,286",38.25,38.25,37.5,38.05,-0.05,30
108/01/30,23,875,38.25,38.35,37.7,38.0,-0.05,28
108/02/11,32,"1,225",38.2,38.3,38.0,38.2,0.2,27
108/02/12,50,"1,907",38.2,38.5,38.0,38.45,0.25,51
108/02/13,39,"1,494",38.45,38.45,38.0,38.35,-0.1,41
108/02/14,110,"4,256",38.5,39.8,38.35,38.5,0.15,102
108/02/15,69,"2,667",38.8,39.0,38.25,38.6,0.1,50
108/02/18,40,"1,548",39.1,39.1,38.5,38.8,0.2,31
108/02/19,94,"3,616",38.75,38.75,38.15,38.55,-0.25,68
108/02/20,57,"2,183",38.55,38.6,38.1,38.6,0.05,53
108/02/21,33,"1,267",38.6,38.6,38.25,38.4,-0.2,27
108/02/22,49,"1,884",38.6,38.6,38.05,38.5,0.1,48
108/02/25,52,"2,002",38.65,38.65,38.3,38.5,0.0,38
108/02/26,43,"1,640",38.05,38.3,38.0,38.15,-0.35,31
108/02/27,33,"1,258",38.2,38.2,38.1,38.2,0.05,26
108/03/04,46,"1,748",38.1,38.1,37.9,37.95,-0.25,39
108/03/05,71,"2,680",38.0,38.0,37.5,37.55,-0.4,58
108/03/06,135,"5,006",37.55,37.55,36.9,36.9,-0.65,102
108/03/07,99,"3,657",37.0,37.2,36.6,36.6,-0.3,71
108/03/08,60,"2,215",36.3,37.0,36.3,37.0,0.4,50
108/03/11,34,"1,250",37.0,37.0,36.65,36.75,-0.25,23
108/03/12,91,"3,336",36.9,36.9,36.5,36.5,-0.25,69
108/03/13,55,"2,003",36.7,36.7,36.05,36.2,-0.3,45
108/03/14,51,"1,857",36.05,36.6,36.05,36.35,0.15,36
108/03/15,98,"3,553",36.35,36.65,36.25,36.4,0.05,60
108/03/18,82,"3,008",36.85,36.9,36.55,36.55,0.15,44
108/03/19,54,"1,976",36.55,36.7,36.4,36.6,0.05,35
108/03/20,66,"2,412",36.6,36.65,36.4,36.6,0.0,77
108/03/21,394,"14,627",36.6,37.7,36.6,37.2,0.6,218
108/03/22,173,"6,405",37.8,37.8,36.8,36.9,-0.3,111
108/03/25,239,"8,590",36.25,36.25,35.7,36.0,-0.9,138
108/03/26,55,"1,965",36.5,36.5,35.8,35.9,-0.1,49
108/03/27,133,"4,750",36.0,36.0,35.55,35.65,-0.25,85
108/03/28,184,"6,779",35.65,37.5,35.65,37.0,1.35,139
108/03/29,413,"15,595",37.8,38.2,37.25,37.65,0.65,321
108/04/01,193,"7,265",37.95,37.95,37.3,37.45,-0.2,431
108/04/02,120,"4,487",37.45,38.0,37.0,37.15,-0.3,242
108/04/03,180,"6,733",37.2,37.9,36.95,37.9,0.75,470
108/04/08,"1,767","70,079",38.2,41.0,38.2,40.0,2.1,"1,307"
108/04/09,"2,037","88,843",42.1,44.0,42.0,44.0,4.0,831
108/04/10,"3,256","147,862",44.85,46.9,44.25,45.9,1.9,"2,197"
108/04/11,"1,309","59,678",44.4,46.25,44.4,46.1,0.2,889
108/04/12,"1,387","64,702",45.4,47.75,45.3,45.85,-0.25,969
108/04/15,"1,054","48,883",46.5,47.9,45.55,45.9,0.05,772
108/04/16,"1,335","64,364",46.8,49.55,46.8,48.8,2.9,"1,053"
108/04/17,"1,230","61,446",49.3,51.1,49.2,49.5,0.7,950
108/04/18,"1,569","75,837",50.0,50.6,45.7,45.85,-3.65,"1,052"
108/04/19,"1,012","48,479",47.4,49.0,47.05,48.55,2.7,690
108/04/22,792,"38,825",49.35,49.85,48.6,49.0,0.45,461
108/04/23,"1,317","65,854",49.6,50.8,49.3,49.9,0.9,750
108/04/24,823,"40,553",49.9,50.3,48.8,49.0,-0.9,494
108/04/25,"1,994","99,042",48.8,51.5,47.5,49.0,0.0,"1,156"
108/04/26,716,"34,944",49.2,49.65,48.35,49.0,0.0,528
108/04/29,880,"42,241",49.8,49.8,47.0,47.1,-1.9,585
108/04/30,514,"24,693",47.0,48.3,47.0,48.2,1.1,297
108/05/02,844,"41,565",48.1,50.3,48.1,49.9,1.7,521
108/05/03,461,"22,783",50.0,50.0,48.9,49.55,-0.35,337
108/05/06,705,"34,063",49.0,49.1,47.45,48.55,-1.0,444
108/05/07,"1,570","79,394",49.1,51.8,48.7,51.3,2.75,880
108/05/08,"1,249","64,378",51.3,52.9,50.4,50.6,-0.7,919
108/05/09,"1,174","57,855",51.3,51.3,48.0,49.2,-1.4,721
108/05/10,"1,034","50,162",49.6,50.0,47.65,48.65,-0.55,527
108/05/13,775,"36,196",46.7,48.0,46.3,46.7,-1.95,474
108/05/14,631,"28,970",45.0,46.8,45.0,46.8,0.1,344
108/05/15,981,"47,312",46.85,49.8,46.85,49.0,2.2,591
108/05/16,"1,189","58,799",50.0,50.2,48.2,48.2,-0.8,787
108/05/17,384,"18,250",48.7,48.7,46.85,47.05,-1.15,271
108/05/20,256,"12,028",47.3,47.8,46.0,47.7,0.65,189
108/05/21,448,"21,655",47.9,49.05,47.0,48.8,1.1,311
108/05/22,181,"8,844",48.6,49.1,48.6,48.95,0.15,143
108/05/23,307,"14,885",48.8,49.25,47.8,48.0,-0.95,245
108/05/24,401,"19,713",48.0,49.6,48.0,48.85,0.85,292
108/05/27,"1,421","72,461",49.45,52.8,49.2,52.8,3.95,"1,086"
108/05/28,"1,471","78,355",53.8,54.3,52.2,54.3,1.5,"1,069"
108/05/29,"1,782","98,163",53.8,56.5,52.7,54.7,0.4,"1,278"
108/05/30,938,"50,516",54.7,55.3,53.1,53.3,-1.4,664
108/05/31,869,"45,945",53.3,54.4,51.6,51.6,-1.7,642
108/06/03,352,"18,042",52.0,52.0,50.3,51.0,-0.6,252
108/06/04,314,"16,020",51.1,51.6,50.5,50.5,-0.5,202
108/06/05,304,"15,484",51.0,51.3,50.6,51.0,0.5,186
108/06/06,"1,108","58,767",51.5,54.2,51.2,52.3,1.3,762
108/06/10,755,"40,585",52.7,54.6,52.6,54.0,1.7,515
108/06/11,701,"37,113",54.1,54.4,52.1,52.3,-1.7,447
108/06/12,394,"20,507",52.3,53.4,51.3,52.1,-0.2,276
108/06/13,257,"13,528",52.1,53.2,52.1,52.5,0.4,194
108/06/14,301,"15,644",52.6,52.6,51.4,51.4,-1.1,217
108/06/17,283,"14,526",51.2,52.0,50.8,51.0,-0.4,195
108/06/18,197,"10,166",51.7,52.0,51.4,51.6,0.6,154
108/06/19,386,"20,086",51.8,52.7,51.6,51.6,0.0,254
108/06/20,776,"39,510",51.6,51.8,50.3,50.8,-0.8,386
108/06/21,292,"14,854",50.8,51.4,50.5,51.0,0.2,155
108/06/24,146,"7,391",51.0,51.4,50.5,50.7,-0.3,113
108/06/25,244,"12,344",50.4,51.4,50.4,50.7,0.0,144
108/06/26,142,"7,196",50.7,51.1,50.4,51.0,0.3,97
108/06/27,313,"15,836",51.1,51.1,50.3,50.3,-0.7,191
108/06/28,174,"8,761",50.1,50.6,50.0,50.5,0.2,129
108/07/01,365,"18,300",50.80,51.00,49.65,49.65,-0.85,252
108/07/02,365,"18,470",49.75,51.30,49.75,50.50,0.85,274
108/07/03,253,"12,830",50.60,51.20,50.40,50.50,0.00,179
108/07/04,483,"24,183",51.00,51.00,49.60,49.85,-0.65,320
108/07/05,194,"9,710",49.85,50.40,49.85,50.00,0.15,126
108/07/08,234,"11,750",50.00,50.70,50.00,50.20,0.20,188
108/07/09,162,"8,178",50.30,50.70,50.30,50.70,0.50,121
108/07/10,535,"27,698",50.70,52.70,50.50,52.50,1.80,373
108/07/11,582,"30,054",52.60,52.80,51.00,51.00,-1.50,454
108/07/12,196,"10,116",51.40,52.10,51.00,51.50,0.50,158
108/07/15,676,"35,272",51.00,52.80,51.00,51.90,0.40,448
108/07/16,885,"46,861",53.00,53.50,52.20,53.00,1.10,601
108/07/17,856,"44,252",53.00,53.60,50.90,50.90,-2.10,569
108/07/18,197,"10,112",51.00,51.50,51.00,51.20,0.30,140
108/07/19,200,"10,311",51.70,52.00,51.20,51.40,0.20,152
108/07/22,313,"15,994",51.40,51.80,50.80,50.90,-0.50,209
108/07/23,440,"22,351",50.80,51.20,50.50,50.70,-0.20,278
108/07/24,411,"20,804",51.50,51.50,50.10,50.10,-0.60,286
108/07/25,356,"18,064",50.50,51.50,49.65,51.40,1.30,263
108/07/26,651,"33,711",51.40,52.50,51.00,52.40,1.00,422
