date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,1,6,5.31,5.31,5.31,5.31,0.0,5
107/07/03,0,1,--,--,--,--,0.0,2
107/07/04,0,0,--,--,--,--,0.0,1
107/07/05,2,10,5.77,5.77,5.77,5.77,0.46,4
107/07/06,9,59,6.34,6.34,6.33,6.33,0.56,10
107/07/09,6,38,5.94,6.30,5.94,6.30,-0.03,4
107/07/10,0,0,--,--,--,--,0.0,5
107/07/11,0,1,--,--,--,--,0.0,1
107/07/12,2,14,6.86,6.86,6.85,6.85,0.55,2
107/07/13,2,15,6.36,6.36,6.36,6.36,-0.49,5
107/07/16,1,6,6.36,6.36,6.36,6.36,0.0,1
107/07/17,0,1,--,--,--,--,0.0,1
107/07/18,6,38,5.80,6.50,5.80,6.50,0.14,3
107/07/19,8,47,5.92,6.10,5.92,6.10,-0.4,14
107/07/20,3,20,6.50,6.50,6.50,6.50,0.4,4
107/07/23,0,0,--,--,--,--,0.0,1
107/07/24,5,28,6.01,6.01,6.01,6.01,-0.49,6
107/07/25,3,18,6.00,6.00,6.00,6.00,-0.01,1
107/07/26,11,66,5.51,6.01,5.51,6.01,0.01,5
107/07/27,7,42,6.00,6.00,6.00,6.00,-0.01,4
107/07/30,0,0,--,--,--,--,0.0,4
107/07/31,0,0,--,--,--,--,0.0,1
107/08/01,21,115,5.40,5.40,5.40,5.40,-0.6,20
107/08/02,11,54,4.86,4.86,4.86,4.86,-0.54,24
107/08/03,21,91,4.38,4.38,4.38,4.38,-0.48,24
107/08/06,5,25,4.69,4.69,4.69,4.69,0.31,17
107/08/07,1,5,4.69,4.69,4.69,4.69,0.0,2
107/08/08,0,0,--,--,--,--,0.0,1
107/08/09,0,0,--,--,--,--,0.0,2
107/08/10,6,27,4.51,4.51,4.26,4.26,-0.43,100
107/08/13,6,24,4.01,4.01,3.86,3.86,-0.4,4
107/08/14,3,14,3.95,4.20,3.95,4.20,0.34,5
107/08/15,0,0,--,--,--,--,0.0,0
107/08/16,3,13,4.00,4.00,3.86,3.90,-0.3,5
107/08/17,16,59,3.68,3.68,3.65,3.65,-0.25,5
107/08/20,8,30,3.55,3.55,3.52,3.52,-0.13,6
107/08/21,3,10,3.26,3.26,3.26,3.26,-0.26,6
107/08/22,11,32,2.96,2.96,2.96,2.96,-0.3,11
107/08/23,1,4,3.20,3.20,3.20,3.20,0.24,2
107/08/24,16,46,3.00,3.00,2.92,2.92,-0.28,10
107/08/27,0,1,--,--,--,--,0.0,2
107/08/28,4,13,3.17,3.20,3.17,3.20,0.25,4
107/08/29,3,12,3.49,3.49,3.49,3.49,0.29,5
107/08/30,0,0,--,--,--,--,0.0,0
107/08/31,1,4,3.73,3.73,3.73,3.73,0.24,3
107/09/03,2,9,3.43,3.43,3.43,3.43,-0.3,12
107/09/04,0,0,--,--,--,--,0.0,0
