date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,2,165,82.10,83.00,82.10,83.00,0.0,2
107/07/03,3,246,81.90,82.00,81.90,81.90,-1.1,3
107/07/04,2,172,81.90,81.90,81.90,81.90,0.0,3
107/07/05,6,490,81.80,82.00,81.00,82.00,0.1,5
107/07/06,8,655,80.10,84.70,80.10,81.90,-0.1,8
107/07/09,0,0,--,--,--,--,0.0,0
107/07/10,2,164,82.00,82.00,82.00,82.00,0.1,2
107/07/11,1,83,82.70,82.70,82.70,82.70,0.7,1
107/07/12,0,0,--,--,--,--,0.0,0
107/07/13,14,"1,148",81.50,82.50,81.50,82.10,-0.6,11
107/07/16,8,656,82.00,82.10,82.00,82.00,-0.1,6
107/07/17,4,328,82.00,82.00,82.00,82.00,0.0,5
107/07/18,14,"1,143",81.90,81.90,81.00,81.10,-0.9,13
107/07/19,5,409,81.00,83.90,81.00,81.50,0.4,5
107/07/20,15,"1,198",81.50,81.50,78.30,80.20,-1.3,16
107/07/23,3,241,80.20,80.50,80.20,80.50,0.3,3
107/07/24,2,169,80.40,80.50,80.40,80.50,0.0,3
107/07/25,1,81,80.50,80.50,80.50,80.50,0.0,1
107/07/26,4,321,80.50,80.50,79.50,80.50,0.0,4
107/07/27,4,324,80.50,81.80,80.50,81.80,1.3,4
107/07/30,0,0,--,--,--,--,0.0,1
107/07/31,2,162,81.00,81.00,80.50,80.50,-1.0,2
107/08/01,10,821,81.00,82.90,81.00,82.00,1.5,10
107/08/02,10,828,83.00,83.00,81.60,82.90,0.9,11
107/08/03,1,83,82.50,82.50,82.50,82.50,-0.4,1
107/08/06,2,165,82.50,82.50,82.50,82.50,0.0,1
107/08/07,3,246,82.50,82.60,80.70,82.60,0.1,3
107/08/08,2,165,82.50,82.60,82.50,82.60,0.0,2
107/08/09,7,578,82.50,83.00,82.10,82.70,0.1,7
107/08/10,4,330,82.50,82.70,81.90,81.90,-0.8,4
107/08/13,1,81,80.50,80.50,80.50,80.50,-1.4,1
107/08/14,3,242,80.50,80.50,80.50,80.50,0.0,4
107/08/15,2,175,80.50,80.50,80.00,80.00,-0.5,3
107/08/16,0,0,--,--,--,--,0.0,0
107/08/17,31,"2,495",80.00,80.50,80.00,80.50,0.5,2
107/08/20,0,0,--,--,--,--,0.0,0
107/08/21,0,0,--,--,--,--,0.0,0
107/08/22,0,0,--,--,--,--,0.0,0
107/08/23,0,0,--,--,--,--,0.0,0
107/08/24,2,159,79.50,79.50,79.50,79.50,-0.9,2
107/08/27,5,397,80.00,80.00,79.00,79.70,0.2,4
107/08/28,5,388,77.50,79.40,77.00,79.40,-0.3,5
107/08/29,3,239,79.00,79.80,79.00,79.80,0.4,3
107/08/30,1,79,79.20,79.20,79.20,79.20,-0.6,1
107/08/31,0,0,--,--,--,--,0.0,0
107/09/03,30,"2,385",79.50,79.50,79.50,79.50,0.3,1
107/09/04,0,0,--,--,--,--,0.0,0
107/09/05,0,0,--,--,--,--,0.0,0
107/09/06,0,0,--,--,--,--,0.0,0
