date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,5,152,29.65,29.65,29.15,29.5,0.1,7
107/07/03,27,801,29.5,30.1,29.15,29.15,-0.35,28
107/07/04,20,584,29.15,29.35,29.15,29.3,0.15,15
107/07/05,20,583,29.3,29.3,29.0,29.3,0.0,16
107/07/06,23,680,29.05,29.25,28.85,29.25,-0.05,24
107/07/09,31,908,29.3,29.4,29.05,29.3,0.05,20
107/07/10,89,"2,604",29.3,30.2,28.65,28.85,-0.45,70
107/07/11,86,"2,411",28.5,28.65,27.7,28.1,-0.75,74
107/07/12,24,683,28.1,28.4,28.1,28.3,0.2,18
107/07/13,60,"1,710",28.3,28.75,28.05,28.45,0.15,58
107/07/16,55,"1,519",27.9,27.9,27.5,27.6,0.1,41
107/07/17,35,965,27.6,27.7,27.35,27.65,0.05,24
107/07/18,23,633,27.65,27.75,27.4,27.4,-0.25,15
107/07/19,35,965,27.45,27.75,27.1,27.4,0.0,33
107/07/20,16,439,27.6,27.6,27.2,27.5,0.1,14
107/07/23,138,"3,713",27.25,27.25,26.7,26.75,-0.75,72
107/07/24,19,518,26.95,26.95,26.85,26.9,0.15,15
107/07/25,26,699,26.9,27.2,26.7,27.2,0.3,21
107/07/26,103,"2,740",26.9,26.9,26.5,26.9,-0.3,70
107/07/27,28,765,27.2,27.2,26.8,27.1,0.2,26
107/07/30,27,730,27.1,27.15,26.8,26.95,-0.15,23
107/07/31,31,837,27.0,27.15,26.9,27.15,0.2,23
107/08/01,32,871,27.2,27.4,26.9,27.3,0.15,26
107/08/02,24,657,27.2,27.3,27.0,27.3,0.0,20
107/08/03,27,733,27.3,27.35,27.05,27.1,-0.2,24
107/08/06,40,"1,088",26.95,27.1,26.9,27.1,0.0,31
107/08/07,13,346,27.0,27.15,26.95,27.15,0.05,16
107/08/08,265,"7,558",27.35,29.4,27.15,28.8,1.65,231
107/08/09,100,"2,834",28.8,28.8,28.2,28.4,-0.4,77
107/08/10,321,"9,487",28.35,30.2,28.3,29.8,1.4,242
107/08/13,619,"19,394",31.5,31.95,30.4,31.0,1.2,470
107/08/14,159,"4,954",30.8,31.5,30.8,31.0,0.0,113
107/08/15,84,"2,594",31.05,31.05,30.55,30.6,-0.4,74
107/08/16,110,"3,323",30.3,30.6,30.05,30.2,-0.4,76
107/08/17,271,"8,527",30.7,32.1,30.3,31.45,1.25,180
107/08/20,"1,009","34,586",32.3,34.55,32.3,34.55,3.1,634
107/08/21,"2,866","104,486",35.3,37.5,34.8,36.95,2.4,"2,027"
107/08/22,"1,850","69,086",36.95,38.9,35.65,38.9,1.95,"1,345"
107/08/23,"1,952","75,459",38.8,39.9,37.6,37.95,-0.95,"1,382"
107/08/24,"1,275","45,914",36.45,37.15,35.3,35.3,-2.65,891
107/08/27,912,"32,232",35.2,36.4,34.55,36.0,0.7,658
107/08/28,267,"9,490",35.8,36.0,35.05,35.05,-0.95,232
