date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,23,"1,572",68.60,68.80,67.50,68.40,-0.2,18
107/07/03,152,"10,063",67.10,67.70,65.00,66.70,-1.7,68
107/07/04,8,542,66.80,68.30,66.70,67.00,0.3,10
107/07/05,141,"9,012",66.50,66.50,61.00,61.00,-6.0,99
107/07/06,109,"6,816",63.00,66.00,61.00,61.40,0.4,87
107/07/09,32,"1,948",62.90,62.90,61.00,61.50,0.1,30
107/07/10,26,"1,611",61.60,62.90,61.50,62.00,0.5,18
107/07/11,17,"1,087",62.00,64.40,62.00,62.30,0.3,16
107/07/12,20,"1,270",62.70,62.70,62.40,62.40,0.1,15
107/07/13,16,"1,005",62.70,63.20,62.50,62.50,0.1,14
107/07/16,10,615,61.80,62.50,61.60,62.50,0.0,13
107/07/17,73,"4,725",65.00,66.00,63.70,64.70,2.2,65
107/07/18,18,"1,165",65.10,65.10,64.00,64.00,-0.7,17
107/07/19,19,"1,217",63.50,64.40,63.50,64.00,0.0,14
107/07/20,23,"1,463",63.00,64.40,63.00,64.30,0.3,19
107/07/23,13,839,64.30,65.00,63.60,64.20,-0.1,14
107/07/24,18,"1,151",64.00,64.00,63.50,64.00,-0.2,15
107/07/25,13,829,63.60,63.60,63.50,63.60,-0.4,10
107/07/26,13,819,63.00,63.00,63.00,63.00,-0.6,11
107/07/27,33,"2,027",61.90,62.50,61.90,62.50,-0.5,29
107/07/30,19,"1,201",62.90,62.90,62.50,62.50,0.0,15
107/07/31,17,"1,107",66.00,66.00,64.50,65.30,2.8,17
107/08/01,10,660,65.30,65.70,65.30,65.70,0.4,10
107/08/02,11,698,63.50,64.80,63.10,64.80,-0.9,8
107/08/03,6,398,63.50,64.00,63.50,63.50,-1.3,7
107/08/06,4,263,65.40,65.40,63.30,64.10,0.6,5
107/08/07,4,256,64.10,64.10,64.10,64.10,0.0,4
107/08/08,3,172,64.10,64.10,64.10,64.10,0.0,4
107/08/09,2,131,64.10,65.20,64.10,65.20,1.1,3
107/08/10,1,71,64.50,64.50,64.50,64.50,-0.7,3
107/08/13,24,"1,530",64.30,64.30,61.90,63.60,-0.9,17
107/08/14,10,647,62.00,63.00,62.00,62.90,-0.7,11
107/08/15,11,692,63.00,63.00,62.50,62.50,-0.4,10
107/08/16,10,589,62.40,62.40,61.50,62.10,-0.4,11
107/08/17,4,247,61.80,61.80,61.70,61.80,-0.3,4
107/08/20,1,61,61.00,61.00,61.00,61.00,-0.8,1
107/08/21,70,"4,121",57.20,64.30,56.90,61.30,0.3,65
107/08/22,14,847,59.40,61.00,59.40,61.00,-0.3,14
107/08/23,0,16,--,--,--,--,0.0,1
107/08/24,0,0,--,--,--,--,0.0,0
107/08/27,12,737,60.90,61.00,60.90,61.00,0.0,12
107/08/28,1,37,--,--,--,--,0.0,2
107/08/29,8,483,59.70,60.60,59.70,60.60,-0.3,10
107/08/30,1,61,60.60,60.60,60.60,60.60,0.0,1
107/08/31,49,"3,025",61.50,61.60,61.50,61.50,0.9,21
107/09/03,11,689,62.30,62.30,61.00,61.00,-0.5,13
107/09/04,12,744,60.90,62.00,60.90,61.90,0.9,13
107/09/05,1,61,61.20,61.20,61.20,61.20,-0.7,1
107/09/06,2,128,61.20,61.20,61.20,61.20,0.0,3
107/09/07,7,422,60.10,61.00,59.90,61.00,-0.2,9
107/09/10,23,"1,396",59.50,60.90,59.20,60.80,-0.2,20
107/09/11,35,"2,098",59.10,60.90,59.10,60.80,0.0,22
107/09/12,2,121,60.40,60.40,60.40,60.40,-0.4,4
107/09/13,4,239,59.60,59.90,59.60,59.90,-0.5,4
107/09/14,11,662,60.00,60.10,59.70,59.80,-0.1,11
107/09/17,71,"4,276",59.60,60.10,59.50,60.00,0.2,24
107/09/18,2,119,59.50,59.50,59.30,59.30,-0.7,2
107/09/19,8,481,59.50,59.50,59.10,59.10,-0.2,9
107/09/20,0,27,--,--,--,--,0.0,2
107/09/21,77,"4,287",58.10,60.90,53.40,53.40,-5.7,65
107/09/25,147,"8,369",55.50,58.70,55.00,58.70,5.3,99
107/09/26,92,"5,891",62.10,64.50,61.50,64.50,5.8,67
107/09/27,176,"11,253",65.00,66.10,61.70,62.10,-2.4,154
107/09/28,74,"4,661",62.00,64.00,61.90,64.00,1.9,47
107/10/01,472,"32,593",63.80,70.40,63.80,68.40,4.4,265
107/10/02,149,"9,936",68.80,69.00,65.00,66.30,-2.1,92
107/10/03,70,"4,576",66.30,66.50,63.70,65.20,-1.1,47
107/10/04,21,"1,345",63.50,64.50,62.50,64.00,-1.2,20
107/10/05,37,"2,272",62.60,62.60,60.80,60.80,-3.2,39
107/10/08,82,"4,827",59.50,59.50,57.70,59.10,-1.7,55
107/10/09,17,982,59.10,59.30,59.10,59.20,0.1,12
107/10/11,102,"5,489",54.50,57.10,53.30,53.30,-5.9,73
107/10/12,36,"1,931",49.50,57.90,49.50,54.60,1.3,34
107/10/15,69,"3,944",56.90,58.00,56.50,57.50,2.9,46
107/10/16,17,"1,002",58.80,58.90,58.10,58.10,0.6,16
107/10/17,67,"4,047",59.00,62.50,59.00,60.00,1.9,50
107/10/18,30,"1,802",60.20,61.50,59.50,59.70,-0.3,20
