date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"1,374","24,780",17.6,18.5,17.4,18.3,0.9,369
107/07/03,"1,027","18,683",18.4,18.4,18.0,18.4,0.1,347
107/07/04,"1,833","34,468",18.5,19.1,18.4,18.8,0.4,489
107/07/05,852,"15,597",18.8,18.85,18.15,18.2,-0.6,290
107/07/06,883,"16,178",18.5,18.6,18.05,18.6,0.4,273
107/07/09,"1,907","36,601",19.4,19.4,18.75,19.3,0.7,543
107/07/10,"2,327","41,031",18.3,18.3,17.4,17.4,-1.9,576
107/07/11,"5,309","86,732",16.6,17.15,15.7,15.7,-1.7,"2,024"
107/07/12,"4,840","79,469",15.7,17.25,15.2,17.25,1.55,"1,917"
107/07/13,"3,751","64,064",17.0,17.7,16.65,17.25,0.0,"1,635"
107/07/16,"3,431","59,819",17.2,18.35,16.7,16.7,-0.55,"1,346"
107/07/17,"1,211","20,308",17.0,17.15,16.45,16.5,-0.2,548
107/07/18,"1,248","20,365",16.7,17.0,15.8,16.1,-0.4,518
107/07/19,"1,303","20,484",15.95,16.25,15.35,16.0,-0.1,556
107/07/20,"2,757","48,513",17.6,17.6,17.4,17.6,1.6,651
107/07/23,"7,480","133,151",17.6,19.05,16.9,17.8,0.2,"3,010"
107/07/24,"2,602","46,410",17.75,18.3,17.5,17.65,-0.15,"1,238"
107/07/25,"1,532","27,337",17.75,18.3,17.35,17.65,0.0,801
107/07/26,"1,480","26,514",17.9,18.2,17.7,17.7,0.05,685
107/07/27,"1,689","30,587",18.0,18.5,17.85,17.95,0.25,804
107/07/30,"1,919","33,216",17.95,18.0,16.9,17.35,-0.6,858
107/07/31,"2,515","44,301",17.5,18.1,17.0,17.35,0.0,"1,040"
107/08/01,"1,211","21,279",17.3,17.8,17.25,17.6,0.25,540
107/08/02,977,"16,826",17.6,17.75,16.9,17.05,-0.55,439
107/08/03,"1,098","18,474",16.7,17.2,16.55,16.9,-0.15,519
107/08/06,399,"6,698",17.0,17.0,16.6,16.8,-0.1,237
107/08/07,"1,534","24,906",16.65,16.85,15.7,16.1,-0.7,633
107/08/08,933,"15,488",16.4,16.85,16.2,16.6,0.5,494
107/08/09,720,"11,889",16.6,16.75,16.2,16.55,-0.05,292
107/08/10,534,"8,873",16.75,16.85,16.45,16.6,0.05,239
107/08/13,"2,134","33,387",16.6,16.6,15.0,15.8,-0.8,"1,021"
