date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"325,207","7,101,901",22.1,22.15,21.55,21.65,-0.15,175
107/07/03,"479,555","10,187,719",21.6,21.6,20.85,20.9,-0.75,262
107/07/04,"1,234,139","26,790,760",20.9,22.3,20.85,22.2,1.3,655
107/07/05,"1,698,779","37,070,242",22.2,22.3,21.15,21.4,-0.8,885
107/07/06,"554,121","11,746,819",21.5,21.6,20.85,21.4,0.0,324
107/07/09,"251,788","5,421,472",21.55,21.7,21.45,21.45,0.05,168
107/07/10,"544,450","11,758,704",21.45,21.85,21.35,21.5,0.05,266
107/07/11,"281,758","6,011,142",21.45,21.45,21.25,21.3,-0.2,178
107/07/12,"246,367","5,243,029",21.3,21.5,21.15,21.25,-0.05,157
107/07/13,"332,942","7,165,112",21.25,21.75,21.25,21.4,0.15,207
107/07/16,"538,490","11,558,186",21.55,21.75,21.25,21.3,-0.1,296
107/07/17,"133,000","2,838,899",21.35,21.4,21.3,21.35,0.05,83
107/07/18,"280,273","6,014,718",21.35,21.6,21.35,21.6,0.25,169
107/07/19,"427,495","9,272,540",21.6,21.85,21.6,21.65,0.05,209
107/07/20,"264,435","5,712,651",21.7,21.8,21.45,21.5,-0.15,141
107/07/23,"184,101","3,932,159",21.45,21.45,21.3,21.4,-0.1,116
107/07/24,"298,978","6,377,177",21.45,21.5,21.2,21.35,-0.05,171
107/07/25,"561,898","12,029,830",21.5,21.65,21.25,21.25,-0.1,286
107/07/26,"227,742","4,842,530",21.4,21.4,21.2,21.2,-0.05,123
107/07/27,"619,619","13,376,106",21.4,21.8,21.25,21.5,0.3,269
107/07/30,"269,056","5,810,398",21.6,21.7,21.5,21.5,0.0,149
107/07/31,"315,135","6,771,463",21.55,21.6,21.4,21.6,0.1,136
107/08/01,"157,185","3,390,026",21.65,21.65,21.5,21.5,-0.1,119
107/08/02,"437,239","9,303,342",21.45,21.45,21.15,21.2,-0.3,204
107/08/03,"180,907","3,826,697",21.25,21.25,21.1,21.15,-0.05,124
107/08/06,"202,495","4,261,945",21.15,21.2,20.95,21.05,-0.1,156
