date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,99,"2,775",28.45,28.5,27.85,27.85,-0.45,60
107/07/03,78,"2,169",27.9,28.15,27.5,27.55,-0.3,57
107/07/04,57,"1,571",27.6,27.75,27.4,27.5,-0.05,42
107/07/05,82,"2,258",27.6,27.9,27.15,27.2,-0.3,49
107/07/06,85,"2,303",27.7,27.7,26.85,27.0,-0.2,69
107/07/09,26,689,27.0,27.2,26.9,27.2,0.2,23
107/07/10,45,"1,232",27.25,27.8,27.0,27.45,0.25,40
107/07/11,40,"1,099",27.2,27.8,27.1,27.1,-0.35,27
107/07/12,113,"3,045",26.7,27.45,26.7,26.85,-0.25,85
107/07/13,66,"1,779",27.1,27.15,26.8,26.85,0.0,62
107/07/16,748,"21,669",27.5,29.5,27.0,29.5,2.65,477
107/07/17,779,"22,834",30.15,30.3,28.4,28.4,-1.1,540
107/07/18,237,"6,690",28.8,28.8,27.9,27.9,-0.5,149
107/07/19,92,"2,550",27.9,27.9,27.5,27.7,-0.2,56
107/07/20,98,"2,718",27.8,27.95,27.5,27.5,-0.2,61
107/07/23,96,"2,614",27.5,27.6,26.9,27.25,-0.25,69
107/07/24,61,"1,660",27.6,27.6,27.0,27.55,0.3,42
107/07/25,28,770,27.6,27.6,27.3,27.3,-0.25,25
107/07/26,56,"1,529",27.3,27.6,27.05,27.15,-0.15,43
107/07/27,84,"2,338",28.2,28.2,27.5,27.55,0.4,61
107/07/30,74,"2,046",27.6,27.85,27.4,27.4,-0.15,41
107/07/31,92,"2,566",27.8,28.35,27.75,27.75,0.35,71
107/08/01,104,"2,887",27.6,27.95,27.5,27.55,-0.2,42
107/08/02,55,"1,501",27.55,27.55,27.1,27.15,-0.4,42
107/08/03,92,"2,545",27.35,27.95,27.35,27.85,0.7,65
107/08/06,65,"1,820",27.95,28.25,27.95,28.0,0.15,48
107/08/07,93,"2,563",28.05,28.05,27.35,27.35,-0.65,58
107/08/08,100,"2,729",27.5,27.5,27.1,27.15,-0.2,70
107/08/09,79,"2,140",27.15,27.3,27.0,27.0,-0.15,52
107/08/10,52,"1,413",27.0,27.5,27.0,27.0,0.0,32
107/08/13,421,"11,637",26.9,28.6,26.5,27.5,0.5,265
107/08/14,92,"2,498",27.55,27.55,27.0,27.1,-0.4,62
107/08/15,78,"2,108",27.1,27.25,26.95,27.0,-0.1,52
107/08/16,71,"1,900",26.25,27.0,26.25,26.95,-0.05,58
107/08/17,74,"1,974",27.0,27.15,26.4,26.4,-0.55,56
107/08/20,54,"1,443",26.45,26.8,26.3,26.3,-0.1,40
107/08/21,37,978,26.3,26.7,26.2,26.7,0.4,26
107/08/22,65,"1,707",26.5,26.5,26.0,26.2,-0.5,55
107/08/23,29,775,26.7,26.7,26.1,26.1,-0.1,25
107/08/24,74,"1,925",26.1,26.3,25.9,26.1,0.0,48
107/08/27,102,"2,633",26.1,26.1,25.6,25.8,-0.3,76
107/08/28,55,"1,444",26.15,26.45,25.85,25.85,0.05,42
107/08/29,44,"1,145",26.05,26.2,25.95,26.0,0.15,33
107/08/30,97,"2,513",26.0,26.1,25.7,25.7,-0.3,70
107/08/31,31,798,25.9,25.9,25.65,25.9,0.2,22
107/09/03,66,"1,694",25.6,26.0,25.55,25.6,-0.3,53
107/09/04,39,"1,001",25.5,26.1,25.5,25.6,0.0,33
107/09/05,47,"1,198",25.65,25.65,25.25,25.4,-0.2,38
107/09/06,72,"1,810",25.7,25.75,25.0,25.05,-0.35,53
107/09/07,144,"3,593",25.6,25.6,24.5,24.5,-0.55,91
107/09/10,601,"13,456",23.5,24.0,22.05,22.05,-2.45,311
107/09/11,360,"8,026",22.05,23.4,22.0,22.9,0.85,190
107/09/12,198,"4,420",22.6,22.9,22.0,22.5,-0.4,124
107/09/13,117,"2,624",22.05,22.7,22.05,22.6,0.1,68
