date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"4,106,070","134,379,076",32.5,33.7,31.55,31.85,-0.55,"2,226"
107/07/03,"1,939,449","60,358,321",31.75,32.0,30.75,30.9,-0.95,"1,051"
107/07/04,"388,030","12,009,533",30.8,31.15,30.75,31.1,+0.20,238
107/07/05,"584,187","17,979,412",31.1,31.1,30.5,30.55,-0.55,357
107/07/06,"417,648","12,830,171",30.8,30.9,30.55,30.9,+0.35,232
107/07/09,"280,998","8,719,788",31.2,31.2,30.6,31.2,+0.30,159
107/07/10,"694,063","21,952,893",31.5,31.95,31.3,31.65,+0.45,444
107/07/11,"260,315","8,193,421",31.65,31.65,31.35,31.4,-0.25,130
107/07/12,"179,030","5,623,598",31.35,31.6,31.25,31.5,+0.10,100
107/07/13,"428,952","13,606,214",31.65,31.85,31.55,31.8,+0.30,233
107/07/16,"713,253","22,834,196",31.8,32.25,31.8,32.0,+0.20,305
107/07/17,"517,670","16,575,054",31.95,32.15,31.9,32.0, 0.00,314
107/07/18,"609,030","19,522,359",32.0,32.15,32.0,32.05,+0.05,337
107/07/19,"1,025,674","33,058,965",32.15,32.35,32.05,32.05, 0.00,418
107/07/20,"565,205","18,119,226",32.05,32.2,31.9,32.1,+0.05,263
107/07/23,"908,534","29,100,829",32.1,32.25,31.85,31.95,-0.15,274
107/07/24,"796,136","25,392,078",32.0,32.0,31.75,31.95, 0.00,249
107/07/25,"1,890,053","60,307,287",31.85,32.1,31.8,31.85,-0.10,637
107/07/26,"1,702,790","51,681,487",30.3,30.55,30.25,30.3,X0.00,477
107/07/27,"761,563","23,080,264",30.25,30.5,30.2,30.3, 0.00,318
107/07/30,"1,990,996","61,161,172",30.3,30.9,30.25,30.75,+0.45,857
107/07/31,"1,570,251","48,355,641",30.55,30.95,30.55,30.7,-0.05,895
107/08/01,"626,465","19,186,175",30.6,30.75,30.5,30.65,-0.05,310
107/08/02,"571,175","17,356,986",30.6,30.65,30.3,30.3,-0.35,323
107/08/03,"496,184","15,053,782",30.5,30.6,30.25,30.35,+0.05,207
107/08/06,"459,344","13,984,539",30.45,30.65,30.35,30.4,+0.05,200
107/08/07,"966,473","29,644,295",30.9,30.9,30.55,30.65,+0.25,466
107/08/08,"870,844","26,769,564",30.65,30.85,30.65,30.75,+0.10,507
107/08/09,"1,219,512","37,164,366",30.7,30.7,30.3,30.45,-0.30,553
107/08/10,"1,078,813","32,732,045",30.5,30.5,30.25,30.3,-0.15,426
107/08/13,"1,505,060","44,989,400",30.25,30.25,29.65,29.95,-0.35,720
107/08/14,"997,313","29,784,040",29.85,30.05,29.7,29.85,-0.10,333
107/08/15,"1,282,500","38,242,549",30.0,30.0,29.65,29.85, 0.00,352
