date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,29,"2,615",89.3,90.6,89.3,90.1,0.9,27
107/07/03,53,"4,728",90.7,91.0,88.0,88.6,-1.5,34
107/07/04,22,"1,952",88.7,88.7,88.0,88.7,0.1,22
107/07/05,157,"13,612",88.7,88.7,85.2,86.3,-2.4,74
107/07/06,49,"4,274",87.0,88.5,86.8,87.0,0.7,29
107/07/09,77,"6,534",87.0,87.0,84.6,85.6,-1.4,63
107/07/10,289,"24,282",85.0,85.5,83.4,84.8,-0.8,103
107/07/11,143,"11,973",84.8,84.8,82.9,84.3,-0.5,78
107/07/12,143,"12,183",84.0,86.9,84.0,86.1,1.8,66
107/07/13,25,"2,199",88.7,88.7,86.9,88.3,2.2,25
107/07/16,28,"2,467",88.3,88.3,87.6,87.9,-0.4,14
107/07/17,62,"5,471",87.9,88.6,87.0,87.3,-0.6,56
107/07/18,168,"14,858",87.6,89.8,87.3,88.9,1.6,127
107/07/19,218,"18,690",86.0,86.5,85.0,85.0,0.1,129
107/07/20,136,"11,331",86.0,86.0,82.5,82.5,-2.5,115
107/07/23,13,"1,076",82.0,83.0,82.0,83.0,0.5,14
107/07/24,14,"1,162",82.5,83.7,82.3,83.7,0.7,14
107/07/25,25,"2,093",84.0,84.0,83.5,83.7,0.0,23
107/07/26,56,"4,675",84.2,84.2,82.3,84.0,0.3,35
107/07/27,69,"5,780",83.6,84.0,83.5,83.9,-0.1,65
107/07/30,87,"7,237",83.5,83.5,82.9,83.0,-0.9,39
107/07/31,128,"10,664",83.1,84.8,82.7,84.0,1.0,104
107/08/01,36,"3,067",83.2,86.0,83.2,85.7,1.7,34
107/08/02,42,"3,568",85.0,85.1,84.7,84.9,-0.8,39
107/08/03,56,"4,833",84.9,86.6,84.9,86.5,1.6,54
107/08/06,12,"1,077",86.6,86.9,86.6,86.6,0.1,16
107/08/07,8,720,86.2,87.3,86.2,87.2,0.6,9
107/08/08,60,"5,215",87.2,87.4,85.9,86.5,-0.7,49
107/08/09,73,"6,335",86.1,87.2,85.6,87.2,0.7,76
107/08/10,62,"5,420",87.2,88.3,86.9,87.2,0.0,61
107/08/13,98,"8,326",85.8,85.8,83.6,85.6,-1.6,92
107/08/14,71,"5,978",85.0,85.0,83.8,83.8,-1.8,66
107/08/15,130,"10,666",83.1,83.1,81.5,81.9,-1.9,119
107/08/16,384,"30,703",81.8,81.8,79.1,80.5,-1.4,261
107/08/17,42,"3,436",80.6,81.9,80.5,80.9,0.4,45
107/08/20,68,"5,456",80.9,80.9,80.0,80.5,-0.4,49
107/08/21,55,"4,410",79.0,80.5,79.0,80.4,-0.1,44
107/08/22,46,"3,694",80.9,80.9,80.0,80.5,0.1,27
107/08/23,20,"1,611",80.5,81.1,80.5,81.1,0.6,14
107/08/24,32,"2,567",80.5,80.8,80.0,80.8,-0.3,22
107/08/27,8,647,80.8,81.2,80.8,81.2,0.4,8
107/08/28,60,"4,877",81.2,84.1,81.0,84.1,2.9,46
107/08/29,22,"1,811",82.5,82.5,81.9,82.4,-1.7,30
107/08/30,27,"2,246",83.5,84.0,82.2,83.1,0.7,25
107/08/31,12,963,83.1,83.4,82.5,83.1,0.0,17
107/09/03,29,"2,401",82.1,83.4,81.5,82.4,-0.7,32
107/09/04,6,495,82.4,83.0,82.4,83.0,0.6,6
107/09/05,38,"3,140",82.2,82.9,82.0,82.9,-0.1,27
107/09/06,47,"3,839",82.1,82.3,80.8,81.6,-1.3,46
107/09/07,104,"8,328",80.9,81.0,78.9,80.1,-1.5,84
107/09/10,134,"10,369",79.5,80.0,76.2,78.0,-2.1,112
107/09/11,103,"7,903",76.6,78.2,76.3,78.0,0.0,76
107/09/12,51,"3,976",78.0,78.2,77.8,78.0,0.0,42
107/09/13,58,"4,514",78.0,78.0,77.4,78.0,0.0,46
107/09/14,39,"3,127",78.5,82.9,78.2,81.3,3.3,36
107/09/17,31,"2,527",81.3,81.6,80.7,81.6,0.3,25
107/09/18,19,"1,539",81.6,81.7,80.5,81.7,0.1,19
107/09/19,12,"1,015",82.5,82.5,81.8,82.0,0.3,13
107/09/20,19,"1,560",82.7,82.7,81.3,81.8,-0.2,19
107/09/21,25,"2,047",82.0,82.2,81.7,82.0,0.2,22
107/09/25,2,174,82.0,82.4,82.0,82.4,0.4,4
107/09/26,24,"2,012",82.8,83.2,82.6,83.0,0.6,25
107/09/27,22,"1,823",83.0,83.2,82.5,83.0,0.0,21
107/09/28,4,330,82.0,83.0,82.0,83.0,0.0,4
107/10/01,24,"1,987",82.5,83.0,82.0,83.0,0.0,14
107/10/02,9,740,81.5,82.9,81.5,82.8,-0.2,6
107/10/03,17,"1,398",82.0,82.6,82.0,82.6,-0.2,13
107/10/04,36,"2,968",82.6,84.5,81.0,82.4,-0.2,23
107/10/05,33,"2,644",80.0,81.5,79.5,80.6,-1.8,29
