date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,1,19,18.90,18.90,18.90,18.90,0.2,1
107/07/03,16,300,19.00,19.00,18.65,18.85,-0.05,6
107/07/04,5,94,18.75,18.85,18.70,18.85,0.0,4
107/07/05,2,40,18.95,18.95,18.65,18.65,-0.2,3
107/07/06,7,131,18.90,18.90,18.65,18.70,0.05,6
107/07/09,1,19,18.85,18.85,18.85,18.85,0.15,1
107/07/10,6,114,18.80,18.80,18.70,18.80,-0.05,6
107/07/11,1,19,18.70,18.70,18.70,18.70,-0.1,1
107/07/12,2,38,18.85,18.85,18.75,18.75,0.05,2
107/07/13,9,170,18.75,18.85,18.75,18.85,0.1,6
107/07/16,18,343,18.85,18.90,18.85,18.90,0.05,18
107/07/17,25,450,17.80,18.20,17.75,17.75,0.1,16
107/07/18,4,71,17.75,17.75,17.70,17.70,-0.05,3
107/07/19,13,230,17.70,17.70,17.60,17.70,0.0,10
107/07/20,0,0,--,--,--,--,0.0,1
107/07/23,17,298,17.55,17.60,17.45,17.50,-0.2,14
107/07/24,2,35,17.55,17.80,17.55,17.80,0.3,2
107/07/25,4,71,17.65,17.70,17.65,17.65,-0.15,4
107/07/26,2,35,17.55,17.65,17.55,17.65,0.0,2
107/07/27,1,18,17.75,17.75,17.75,17.75,0.1,1
107/07/30,17,299,17.70,17.70,17.55,17.70,-0.05,8
107/07/31,12,211,17.60,17.70,17.50,17.70,0.0,8
107/08/01,2,36,17.90,18.00,17.90,18.00,0.3,2
107/08/02,16,282,17.60,17.75,17.60,17.75,-0.25,8
107/08/03,2,36,17.80,17.80,17.80,17.80,0.05,2
107/08/06,12,216,17.75,17.75,17.75,17.75,-0.05,6
107/08/07,12,211,17.60,17.60,17.55,17.55,-0.2,7
107/08/08,10,176,17.55,17.65,17.55,17.65,0.1,9
107/08/09,26,454,17.45,17.50,17.40,17.45,-0.2,15
107/08/10,13,227,17.45,17.50,17.45,17.45,0.0,6
107/08/13,41,703,17.30,17.40,16.95,17.40,-0.05,32
107/08/14,1,18,17.50,17.50,17.50,17.50,0.1,1
107/08/15,79,"1,347",17.00,17.35,16.90,17.20,-0.3,34
107/08/16,9,153,17.05,17.20,17.00,17.20,0.0,4
107/08/17,25,432,17.20,17.40,17.20,17.20,0.0,11
107/08/20,11,190,17.00,17.15,17.00,17.15,-0.05,9
107/08/21,9,156,17.30,17.30,17.30,17.30,0.15,6
107/08/22,17,296,17.40,17.45,17.40,17.45,0.15,7
107/08/23,4,70,17.50,17.50,17.40,17.40,-0.05,4
107/08/24,10,177,17.70,17.70,17.70,17.70,0.3,7
107/08/27,24,425,17.70,17.70,17.70,17.70,0.0,9
107/08/28,3,52,17.30,17.60,17.20,17.60,-0.1,3
107/08/29,4,69,17.35,17.35,17.35,17.35,-0.25,2
107/08/30,4,70,17.35,17.45,17.35,17.45,0.1,4
107/08/31,0,0,--,--,--,--,0.0,0
107/09/03,5,86,17.30,17.35,17.20,17.35,-0.1,5
107/09/04,6,104,17.30,17.35,17.30,17.35,0.0,4
107/09/05,12,208,17.40,17.40,17.35,17.35,0.0,3
