date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,232,"3,583",15.55,15.55,15.35,15.45,0.2,108
107/07/03,528,"7,972",15.5,15.5,14.75,14.9,-0.55,208
107/07/04,"1,231","17,749",14.9,15.0,14.05,14.35,-0.55,432
107/07/05,423,"6,096",14.25,14.55,14.2,14.55,0.2,188
107/07/06,325,"4,639",14.55,14.55,14.2,14.3,-0.25,148
107/07/09,229,"3,341",14.4,14.8,14.3,14.8,0.5,116
107/07/10,336,"4,927",14.55,14.8,14.5,14.75,-0.05,117
107/07/11,380,"5,624",14.6,15.0,14.5,15.0,0.25,177
107/07/12,133,"1,980",15.0,15.0,14.75,14.85,-0.15,78
107/07/13,221,"3,301",14.85,15.05,14.8,15.0,0.15,115
107/07/16,198,"2,956",15.0,15.05,14.85,14.9,-0.1,100
107/07/17,180,"2,674",14.95,14.95,14.85,14.9,0.0,85
107/07/18,415,"6,224",15.0,15.05,14.9,15.0,0.1,202
107/07/19,381,"5,512",14.5,14.55,14.4,14.4,-0.15,173
107/07/20,239,"3,463",14.45,14.6,14.4,14.45,0.05,88
107/07/23,164,"2,381",14.5,14.6,14.45,14.45,0.0,65
107/07/24,174,"2,533",14.55,14.6,14.5,14.55,0.1,66
107/07/25,299,"4,418",14.55,15.0,14.5,14.9,0.35,127
107/07/26,214,"3,152",14.85,14.9,14.65,14.65,-0.25,78
107/07/27,180,"2,657",14.7,14.85,14.7,14.85,0.2,82
107/07/30,409,"5,962",14.8,14.8,14.35,14.35,-0.5,118
107/07/31,368,"5,295",14.4,14.55,14.3,14.45,0.1,129
107/08/01,526,"7,642",14.55,14.65,14.35,14.5,0.05,156
107/08/02,979,"14,027",14.45,14.5,14.2,14.35,-0.15,296
107/08/03,338,"4,869",14.35,14.45,14.3,14.35,0.0,99
107/08/06,355,"5,049",14.35,14.35,14.15,14.15,-0.2,157
107/08/07,308,"4,369",14.15,14.3,14.1,14.1,-0.05,134
107/08/08,663,"9,310",14.1,14.15,13.95,14.15,0.05,172
107/08/09,358,"5,009",14.1,14.1,13.95,14.0,-0.15,220
107/08/10,"1,057","14,361",14.0,14.0,13.35,13.45,-0.55,429
107/08/13,"1,930","24,615",13.1,13.1,12.55,12.85,-0.6,588
107/08/14,431,"5,619",12.75,13.25,12.75,13.0,0.15,198
107/08/15,336,"4,344",13.2,13.2,12.75,12.8,-0.2,132
107/08/16,746,"9,462",12.8,12.8,12.6,12.6,-0.2,208
107/08/17,"1,863","24,200",12.75,13.25,12.75,13.1,0.5,"1,005"
107/08/20,218,"2,837",13.1,13.1,12.9,12.95,-0.15,184
107/08/21,313,"4,056",12.9,13.1,12.8,13.1,0.15,226
107/08/22,389,"5,069",13.0,13.2,12.95,13.0,-0.1,180
107/08/23,"1,005","13,502",13.0,13.75,12.8,13.45,0.45,414
107/08/24,294,"3,905",13.45,13.45,13.2,13.2,-0.25,139
107/08/27,326,"4,318",13.2,13.3,13.15,13.2,0.0,121
107/08/28,"1,267","17,290",13.3,13.85,13.25,13.55,0.35,584
107/08/29,588,"8,110",13.8,13.95,13.7,13.75,0.2,236
107/08/30,202,"2,775",13.95,13.95,13.65,13.65,-0.1,110
107/08/31,328,"4,517",13.65,13.9,13.65,13.7,0.05,141
107/09/03,295,"3,998",13.7,13.75,13.35,13.35,-0.35,131
107/09/04,108,"1,444",13.35,13.4,13.35,13.4,0.05,69
107/09/05,83,"1,116",13.4,13.55,13.35,13.35,-0.05,57
107/09/06,232,"3,048",13.3,13.3,13.0,13.1,-0.25,113
107/09/07,449,"5,815",13.0,13.1,12.8,13.0,-0.1,127
107/09/10,359,"4,580",13.0,13.0,12.65,12.8,-0.2,142
107/09/11,256,"3,301",12.8,13.0,12.8,12.9,0.1,70
107/09/12,422,"5,479",13.0,13.2,12.85,12.9,0.0,128
107/09/13,253,"3,258",12.9,12.95,12.8,12.9,0.0,79
107/09/14,487,"6,284",13.0,13.05,12.75,12.9,0.0,177
107/09/17,332,"4,246",13.0,13.0,12.7,12.9,0.0,84
107/09/18,171,"2,191",12.75,12.9,12.75,12.9,0.0,73
107/09/19,"2,152","29,257",13.3,14.0,13.3,13.7,0.8,792
107/09/20,757,"10,366",13.9,13.9,13.5,13.5,-0.2,245
107/09/21,414,"5,591",13.6,13.8,13.4,13.4,-0.1,142
107/09/25,478,"6,368",13.5,13.5,13.25,13.3,-0.1,122
107/09/26,294,"3,920",13.3,13.45,13.3,13.45,0.15,96
107/09/27,402,"5,449",13.45,13.7,13.4,13.5,0.05,179
107/09/28,344,"4,643",13.55,13.6,13.35,13.5,0.0,104
107/10/01,228,"3,075",13.55,13.6,13.35,13.35,-0.15,96
107/10/02,303,"4,012",13.35,13.4,13.15,13.15,-0.2,116
107/10/03,337,"4,397",13.15,13.15,13.0,13.0,-0.15,144
107/10/04,136,"1,763",13.1,13.1,12.85,12.95,-0.05,71
107/10/05,536,"6,785",12.9,12.9,12.5,12.75,-0.2,195
107/10/08,63,796,12.65,12.7,12.55,12.55,-0.2,53
107/10/09,514,"6,312",12.55,12.75,11.95,12.2,-0.35,146
107/10/11,"1,540","17,076",11.1,11.4,11.0,11.0,-1.2,328
107/10/12,849,"9,021",10.5,11.1,10.0,10.95,-0.05,252
107/10/15,266,"2,950",11.3,11.3,10.9,11.2,0.25,108
107/10/16,547,"6,415",11.1,12.05,11.1,11.95,0.75,247
107/10/17,373,"4,433",12.05,12.15,11.65,11.9,-0.05,146
107/10/18,467,"5,471",11.85,11.95,11.6,11.7,-0.2,120
107/10/19,749,"8,610",11.5,11.7,11.4,11.7,0.0,160
107/10/22,285,"3,343",11.75,12.05,11.45,11.85,0.15,108
107/10/23,329,"3,874",11.8,11.9,11.6,11.85,0.0,110
107/10/24,311,"3,703",11.9,12.0,11.7,11.9,0.05,91
107/10/25,331,"3,793",11.5,11.85,11.15,11.15,-0.75,149
107/10/26,360,"4,038",11.15,11.7,10.9,11.0,-0.15,152
107/10/29,162,"1,802",11.05,11.3,10.9,10.95,-0.05,73
