date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,95,"3,456",36.2,36.7,36.05,36.1,-0.1,77
107/07/03,244,"8,669",35.6,36.35,34.9,34.9,-1.2,152
107/07/04,201,"7,003",34.8,35.2,34.55,34.85,-0.05,127
107/07/05,253,"8,685",35.0,35.4,33.0,33.5,-1.35,150
107/07/06,225,"7,457",33.5,33.8,32.5,33.5,0.0,137
107/07/09,296,"10,321",33.7,35.8,33.6,34.75,1.25,205
107/07/10,96,"3,346",35.45,35.45,34.7,34.75,0.0,84
107/07/11,153,"5,388",34.75,35.6,34.4,35.0,0.25,118
107/07/12,281,"10,111",35.0,36.4,35.0,36.0,1.0,200
107/07/13,249,"8,998",36.8,36.8,35.7,35.8,-0.2,177
107/07/16,217,"7,898",36.45,36.75,36.1,36.1,0.3,174
107/07/17,188,"6,725",36.1,36.25,35.35,35.4,-0.7,126
107/07/18,118,"4,164",36.15,36.15,34.9,35.1,-0.3,95
107/07/19,113,"3,926",35.2,35.2,34.3,34.5,-0.6,86
107/07/20,174,"5,966",34.5,34.9,34.05,34.05,-0.45,103
107/07/23,195,"6,563",34.1,34.1,33.1,33.2,-0.85,116
107/07/24,188,"6,311",33.45,34.35,33.3,33.9,0.7,128
107/07/25,46,"1,545",33.9,33.9,33.45,33.6,-0.3,38
107/07/26,70,"2,372",33.35,34.05,33.35,33.7,0.1,49
107/07/27,63,"2,115",33.5,33.65,33.5,33.5,-0.2,47
107/07/30,141,"4,682",33.5,33.6,32.9,32.95,-0.55,111
107/07/31,96,"3,201",33.3,33.8,33.0,33.1,0.15,77
107/08/01,127,"4,248",33.15,33.95,33.15,33.55,0.45,101
107/08/02,145,"4,885",33.55,34.0,33.45,33.45,-0.1,107
107/08/03,269,"9,270",33.95,34.9,33.9,34.5,1.05,197
107/08/06,166,"5,716",34.9,35.4,33.8,34.25,-0.25,131
107/08/07,80,"2,739",34.45,34.5,34.05,34.05,-0.2,61
107/08/08,149,"5,128",34.1,34.9,34.05,34.05,0.0,119
107/08/09,138,"4,625",34.0,34.0,33.2,33.6,-0.45,97
107/08/10,126,"4,181",33.65,33.7,32.95,33.05,-0.55,86
107/08/13,309,"9,785",33.4,33.4,30.15,31.45,-1.6,194
107/08/14,171,"5,265",30.35,31.1,30.35,31.0,-0.45,127
107/08/15,122,"3,776",31.0,31.2,30.7,30.95,-0.05,93
107/08/16,76,"2,355",30.6,31.3,30.4,31.05,0.1,47
107/08/17,62,"1,934",31.15,31.5,31.05,31.05,0.0,46
107/08/20,89,"2,756",31.1,31.1,30.5,30.5,-0.55,46
107/08/21,71,"2,182",30.5,31.0,30.5,30.75,0.25,32
107/08/22,98,"3,010",30.8,30.8,30.5,30.5,-0.25,45
107/08/23,54,"1,659",30.5,31.0,30.5,30.5,0.3,44
107/08/24,143,"4,510",32.45,32.45,30.7,30.7,0.2,92
107/08/27,70,"2,137",31.4,31.4,30.2,30.8,0.1,46
107/08/28,68,"2,076",30.8,30.8,30.4,30.5,-0.3,44
107/08/29,27,823,30.4,30.6,30.4,30.5,0.0,20
107/08/30,74,"2,260",30.5,30.8,30.4,30.6,0.1,59
107/08/31,33,"1,008",30.8,30.8,30.5,30.5,-0.1,20
107/09/03,65,"1,986",30.75,30.75,30.45,30.45,-0.05,40
