date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,4,248,61.10,62.40,61.10,62.30,0.0,4
107/07/03,175,"10,814",63.20,63.20,61.10,61.80,-0.5,15
107/07/04,7,461,62.50,62.70,61.10,61.10,-0.7,6
107/07/05,37,"2,287",61.20,61.90,61.20,61.30,0.2,5
107/07/06,10,614,61.40,61.80,61.30,61.40,0.1,4
107/07/09,37,"2,266",61.10,61.30,60.10,61.30,-0.1,6
107/07/10,17,"1,037",61.20,61.20,60.50,60.50,-0.8,9
107/07/11,44,"2,724",62.60,62.60,60.00,60.80,0.3,11
107/07/12,9,542,60.30,60.70,60.00,60.20,-0.6,8
107/07/13,24,"1,430",60.00,60.00,59.00,59.90,-0.3,16
107/07/16,11,653,60.80,60.80,58.30,60.00,0.1,9
107/07/17,22,"1,308",58.40,59.70,58.30,58.30,-1.7,14
107/07/18,27,"1,576",58.40,61.40,56.70,58.50,0.2,22
107/07/19,20,"1,141",58.00,58.90,56.80,57.00,-1.5,11
107/07/20,68,"3,746",57.00,57.00,54.90,54.90,-2.1,45
107/07/23,14,781,54.90,57.90,54.90,56.00,1.1,9
107/07/24,10,563,56.00,57.00,56.00,56.50,0.5,6
107/07/25,34,"1,891",56.50,56.50,54.80,55.00,-1.5,26
107/07/26,3,167,55.20,56.10,55.20,56.10,1.1,2
107/07/27,168,"9,529",55.50,57.90,55.50,56.50,0.4,88
107/07/30,76,"4,295",57.60,57.60,56.00,57.10,0.6,19
107/07/31,33,"1,864",56.00,57.30,56.00,56.80,-0.3,9
107/08/01,58,"3,259",56.10,57.10,55.50,56.90,0.1,29
107/08/02,16,888,55.50,56.20,55.00,56.00,-0.9,11
107/08/03,31,"1,717",55.20,56.00,55.00,55.00,-1.0,20
107/08/06,27,"1,494",55.10,55.60,55.00,55.60,0.6,8
107/08/07,34,"1,862",55.00,55.00,54.60,54.60,-1.0,13
107/08/08,18,991,56.40,56.40,54.70,54.70,0.1,14
107/08/09,13,723,55.40,55.50,55.00,55.00,0.3,17
107/08/10,30,"1,632",55.00,55.00,54.00,54.50,-0.5,22
107/08/13,10,543,54.50,55.10,53.20,54.40,-0.1,10
107/08/14,32,"1,716",54.40,55.00,54.00,54.00,-0.4,16
107/08/15,13,697,54.90,54.90,52.80,53.30,-0.7,16
107/08/16,11,582,52.80,53.40,52.30,53.40,0.1,8
107/08/17,178,"9,371",52.70,55.00,52.00,54.90,1.5,70
107/08/20,112,"5,941",54.90,54.90,51.30,54.10,-0.8,63
107/08/21,23,"1,162",51.00,52.00,50.00,52.00,0.9,21
107/08/22,15,764,49.90,51.30,49.80,51.30,-0.7,12
107/08/23,9,464,51.70,52.00,50.80,51.90,0.6,9
107/08/24,7,355,50.50,50.70,50.50,50.70,-1.2,4
107/08/27,1,52,52.30,52.30,52.30,52.30,1.6,1
