date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,357,"11,120",31.00,31.70,30.60,30.60,-0.1,249
107/07/03,514,"15,512",31.20,31.20,29.05,29.85,-0.75,326
107/07/04,423,"12,411",30.30,30.30,28.90,29.10,-0.75,289
107/07/05,931,"26,322",29.15,29.30,27.70,27.90,-1.2,508
107/07/06,869,"24,609",28.80,29.00,27.90,27.90,0.0,449
107/07/09,843,"24,260",28.20,29.30,28.00,29.05,1.15,466
107/07/10,623,"18,471",29.00,31.00,28.90,31.00,1.95,375
107/07/11,"1,453","47,047",33.90,33.90,31.65,31.65,0.65,905
107/07/12,658,"20,920",31.50,32.40,31.25,31.95,0.3,444
107/07/13,475,"15,205",32.45,32.50,31.70,31.70,-0.25,307
107/07/16,286,"9,090",32.25,32.30,31.10,31.10,-0.6,208
107/07/17,348,"10,964",31.45,32.10,31.05,31.10,0.0,258
107/07/18,664,"20,289",31.20,31.40,30.05,30.05,-1.05,408
107/07/19,350,"10,512",30.65,30.65,29.65,29.90,-0.15,212
107/07/20,358,"10,622",29.80,30.40,29.20,29.70,-0.2,229
107/07/23,352,"10,289",29.70,30.00,28.80,28.80,-0.9,210
107/07/24,348,"10,155",29.20,29.65,29.00,29.05,0.25,216
107/07/25,184,"5,368",29.55,29.55,29.00,29.00,-0.05,134
107/07/26,275,"8,034",29.45,29.50,28.95,29.00,0.0,174
107/07/27,188,"5,498",29.45,29.45,29.05,29.10,0.1,127
107/07/30,284,"8,193",29.15,29.20,28.50,28.60,-0.5,187
107/07/31,316,"9,048",28.40,28.80,28.30,28.60,0.0,187
107/08/01,230,"6,698",29.05,29.40,28.80,29.00,0.4,186
107/08/02,167,"4,828",29.05,29.30,28.70,28.75,-0.25,132
107/08/03,360,"10,567",29.65,29.65,29.10,29.10,0.35,245
107/08/06,483,"14,212",29.45,29.80,29.10,29.50,0.4,299
107/08/07,351,"10,273",30.05,30.05,29.00,29.00,-0.5,233
107/08/08,259,"7,497",29.05,29.15,28.70,28.70,-0.3,191
107/08/09,298,"8,485",28.50,28.85,28.35,28.55,-0.15,201
107/08/10,333,"9,461",28.65,28.65,28.20,28.30,-0.25,194
107/08/13,858,"23,065",27.85,27.85,26.25,26.35,-1.95,507
107/08/14,248,"6,608",26.50,26.95,26.25,26.70,0.35,165
107/08/15,364,"9,495",26.70,26.80,25.65,25.95,-0.75,232
107/08/16,258,"6,700",25.90,26.40,25.60,25.85,-0.1,170
107/08/17,176,"4,595",26.45,26.45,25.70,25.70,-0.15,133
107/08/20,242,"6,180",26.15,26.15,25.25,25.40,-0.3,151
107/08/21,159,"4,078",25.40,25.80,25.40,25.70,0.3,117
107/08/22,146,"3,737",25.70,25.70,25.40,25.40,-0.3,117
107/08/23,420,"11,105",25.95,26.95,25.55,26.40,1.0,307
107/08/24,212,"5,481",26.60,26.60,25.60,25.85,-0.55,159
107/08/27,175,"4,539",26.00,26.30,25.85,26.00,0.15,122
107/08/28,133,"3,487",26.60,26.60,26.00,26.00,0.0,107
107/08/29,152,"3,961",26.45,26.45,25.85,25.90,-0.1,108
107/08/30,112,"2,918",25.90,26.20,25.90,25.90,0.0,87
107/08/31,192,"5,010",25.90,26.40,25.90,26.00,0.1,154
107/09/03,216,"5,582",26.20,26.25,25.60,25.60,-0.4,145
107/09/04,210,"5,375",25.65,25.85,25.50,25.60,0.0,161
107/09/05,174,"4,440",25.60,25.75,25.30,25.30,-0.3,134
107/09/06,687,"18,156",25.60,27.00,25.50,26.40,1.1,483
107/09/07,"2,906","82,892",26.40,29.00,26.20,28.95,2.55,"1,705"
107/09/10,"1,824","50,145",27.80,28.35,26.75,27.05,-1.9,"1,123"
107/09/11,605,"16,191",27.30,27.40,26.35,26.55,-0.5,383
107/09/12,"1,906","54,682",27.30,29.20,27.00,29.20,2.65,"1,092"
107/09/13,"2,791","84,352",30.20,31.20,29.00,29.20,0.0,"1,647"
107/09/14,797,"23,091",29.15,29.60,28.65,29.05,-0.15,562
107/09/17,680,"20,012",29.10,29.95,28.95,29.00,-0.05,457
107/09/18,568,"16,175",29.50,29.50,28.05,28.10,-0.9,412
107/09/19,469,"13,094",28.45,28.45,27.60,27.80,-0.3,337
107/09/20,422,"11,903",28.10,28.65,27.70,27.70,-0.1,321
107/09/21,433,"11,932",27.70,28.10,27.30,27.60,-0.1,291
107/09/25,246,"6,770",27.85,27.85,27.40,27.40,-0.2,171
107/09/26,734,"20,881",27.70,28.85,27.70,28.50,1.1,502
107/09/27,568,"16,278",28.75,29.35,28.10,28.30,-0.2,392
107/09/28,491,"13,938",29.10,29.20,27.85,28.25,-0.05,303
107/10/01,316,"9,026",28.00,28.80,28.00,28.60,0.35,228
107/10/02,314,"8,984",28.70,29.05,28.35,28.45,-0.15,211
107/10/03,496,"13,916",28.45,28.65,27.50,27.75,-0.7,329
107/10/04,909,"26,163",27.90,29.60,27.90,29.40,1.65,605
107/10/05,"1,222","35,218",29.10,29.50,28.00,29.00,-0.4,741
107/10/08,"4,505","141,820",29.85,31.90,29.85,31.90,2.9,"2,114"
107/10/09,"3,428","103,632",31.30,31.30,29.10,29.10,-2.8,"1,943"
107/10/11,"1,654","43,375",26.25,26.50,26.20,26.20,-2.9,984
107/10/12,845,"21,890",24.70,26.55,24.70,26.05,-0.15,546
107/10/15,533,"14,214",25.70,27.10,25.70,26.55,0.5,354
107/10/16,495,"13,375",26.60,27.45,26.55,26.90,0.35,330
107/10/17,996,"27,455",27.40,28.40,26.90,28.25,1.35,563
107/10/18,"1,298","37,755",28.55,29.80,28.40,28.70,0.45,797
107/10/19,600,"17,283",28.40,29.15,28.00,29.15,0.45,420
107/10/22,"1,151","34,417",30.00,30.45,29.30,29.35,0.2,674
107/10/23,725,"21,376",29.60,30.10,29.15,29.20,-0.15,409
107/10/24,813,"23,354",29.30,29.40,28.20,28.70,-0.5,432
107/10/25,637,"17,777",28.00,28.35,27.60,27.75,-0.95,363
107/10/26,438,"12,206",27.90,28.35,27.50,27.80,0.05,266
107/10/29,475,"12,937",28.10,28.20,26.80,26.90,-0.9,289
107/10/30,326,"8,707",26.65,27.10,26.50,26.55,-0.35,192
107/10/31,294,"7,908",26.90,27.35,26.60,26.60,0.05,186
107/11/01,192,"5,179",27.20,27.25,26.90,27.00,0.4,149
107/11/02,321,"8,656",27.10,27.25,26.85,26.95,-0.05,203
107/11/05,261,"6,985",26.95,26.95,26.40,26.95,0.0,139
107/11/06,"1,229","35,562",28.85,29.50,28.20,28.60,1.65,777
107/11/07,558,"15,912",28.50,29.00,28.20,28.30,-0.3,363
107/11/08,441,"12,592",28.60,28.95,28.20,28.35,0.05,279
107/11/09,395,"11,052",28.10,28.55,27.60,27.65,-0.7,241
107/11/12,215,"5,909",27.70,27.80,27.05,27.10,-0.55,137
107/11/13,170,"4,547",26.50,27.05,26.50,27.05,-0.05,126
107/11/14,159,"4,307",27.05,27.65,27.00,27.10,0.05,119
107/11/15,168,"4,525",27.10,27.10,26.75,26.80,-0.3,146
107/11/16,222,"6,037",27.00,27.50,26.90,27.15,0.35,154
107/11/19,194,"5,234",27.20,27.35,26.90,27.05,-0.1,111
107/11/20,278,"7,492",27.05,27.20,26.80,26.95,-0.1,143
107/11/21,152,"4,131",27.00,27.30,26.60,27.05,0.1,114
107/11/22,410,"11,300",27.30,27.90,27.10,27.60,0.55,278
107/11/23,599,"16,641",27.90,28.30,27.25,27.70,0.1,419
