date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,27,"1,077",39.85,40.50,39.85,40.20,0.55,14
107/07/03,60,"2,396",40.15,40.40,39.20,40.30,0.1,36
107/07/04,43,"1,707",40.20,40.20,39.60,39.95,-0.35,20
107/07/05,48,"1,898",40.25,40.25,39.20,39.90,-0.05,29
107/07/06,33,"1,304",39.55,39.65,39.40,39.65,-0.25,20
107/07/09,20,802,39.30,40.55,39.30,39.80,0.15,15
107/07/10,22,870,39.50,40.10,39.50,40.00,0.2,10
107/07/11,22,868,39.50,39.50,39.40,39.40,-0.6,17
107/07/12,8,315,39.40,39.50,39.30,39.45,0.05,6
107/07/13,17,692,39.80,40.20,39.45,39.45,0.0,16
107/07/16,21,828,39.35,39.90,39.35,39.40,-0.05,15
107/07/17,27,"1,062",39.70,39.70,39.10,39.10,-0.3,23
107/07/18,16,629,39.40,39.60,39.20,39.50,0.4,11
107/07/19,26,"1,025",39.50,39.50,39.05,39.50,0.0,17
107/07/20,29,"1,151",39.50,39.55,39.50,39.50,0.0,15
107/07/23,15,593,39.50,39.50,39.50,39.50,0.0,3
107/07/24,6,237,39.50,39.50,39.50,39.50,0.0,3
107/07/25,27,"1,060",39.50,39.50,38.50,39.50,0.0,25
107/07/26,10,396,39.80,39.90,39.50,39.50,0.0,6
107/07/27,7,277,39.80,40.00,39.50,39.60,0.1,5
107/07/30,12,479,39.65,39.65,39.60,39.60,0.0,5
107/07/31,1,40,39.90,39.90,39.90,39.90,0.3,2
107/08/01,3,119,39.70,39.90,39.70,39.90,0.0,3
107/08/02,22,873,39.70,39.85,39.60,39.85,-0.05,12
107/08/03,14,557,39.45,39.85,39.40,39.85,0.0,10
107/08/06,0,0,--,--,--,--,0.0,0
107/08/07,10,396,39.65,39.65,39.55,39.55,-0.3,6
107/08/08,5,209,39.60,39.70,39.55,39.70,0.15,5
107/08/09,8,318,40.45,40.45,39.60,39.60,-0.1,4
107/08/10,16,637,39.60,39.60,39.50,39.60,0.0,11
107/08/13,21,839,39.40,40.00,39.40,40.00,0.4,13
107/08/14,8,328,39.50,39.90,38.80,39.90,-0.1,7
107/08/15,24,946,39.40,39.85,39.40,39.40,-0.5,8
107/08/16,20,783,39.15,39.40,39.10,39.40,0.0,11
107/08/17,22,847,39.40,39.60,39.15,39.45,0.05,12
107/08/20,27,"1,066",39.60,39.90,39.45,39.90,0.45,9
107/08/21,12,475,40.20,40.20,39.35,39.55,-0.35,9
107/08/22,27,"1,064",39.50,39.70,39.40,39.70,0.15,12
107/08/23,3,120,39.70,40.20,39.70,40.20,0.5,2
107/08/24,36,"1,427",39.95,39.95,39.55,39.60,-0.6,14
107/08/27,1,40,39.95,39.95,39.95,39.95,0.35,1
107/08/28,2,72,39.60,39.60,39.60,39.60,-0.35,2
107/08/29,2,79,39.60,39.85,39.60,39.85,0.25,2
107/08/30,7,287,39.50,39.90,39.50,39.90,0.05,5
107/08/31,0,0,--,--,--,--,0.0,0
107/09/03,0,0,--,--,--,--,0.0,0
107/09/04,35,"1,390",39.60,40.00,39.50,40.00,0.15,21
107/09/05,75,"2,959",39.55,39.60,39.40,39.55,-0.45,32
107/09/06,24,947,39.40,39.85,39.40,39.85,0.3,13
107/09/07,72,"2,849",39.60,40.70,39.40,39.40,-0.45,37
107/09/10,51,"2,001",39.55,39.55,38.60,39.05,-0.35,23
107/09/11,46,"1,801",39.10,39.40,39.10,39.20,0.15,18
107/09/12,49,"1,927",39.10,39.95,39.00,39.00,-0.2,22
107/09/13,14,549,38.95,39.95,38.95,39.10,0.1,13
107/09/14,16,630,39.30,39.55,39.15,39.30,0.2,12
107/09/17,20,786,39.30,39.40,39.30,39.30,0.0,11
107/09/18,4,157,39.05,39.65,39.05,39.65,0.35,3
107/09/19,5,197,39.35,39.35,39.30,39.30,-0.35,5
107/09/20,7,275,39.10,39.45,39.10,39.45,0.15,6
107/09/21,1,40,39.95,39.95,39.95,39.95,0.5,1
107/09/25,19,752,39.55,39.95,39.50,39.50,-0.45,11
107/09/26,11,440,39.30,39.95,39.30,39.90,0.4,9
107/09/27,13,514,39.50,39.95,39.50,39.65,-0.25,8
107/09/28,10,396,39.50,40.55,39.45,39.45,-0.2,10
107/10/01,20,788,39.30,39.60,39.30,39.60,0.15,13
107/10/02,5,204,39.60,40.20,39.60,40.00,0.4,6
107/10/03,46,"1,819",40.00,40.00,39.50,39.50,-0.5,27
107/10/04,23,907,39.40,39.65,39.40,39.40,-0.1,12
107/10/05,44,"1,727",39.20,40.40,39.20,39.20,-0.2,20
107/10/08,12,473,39.25,39.50,38.65,38.70,-0.5,11
107/10/09,28,"1,089",38.70,39.15,38.55,38.70,0.0,21
107/10/11,9,323,37.95,37.95,36.10,36.40,-2.3,8
107/10/12,6,221,35.20,37.30,35.20,37.30,0.9,5
107/10/15,1,39,39.45,39.45,39.45,39.45,2.15,1
107/10/16,9,348,39.45,39.45,38.25,38.50,-0.95,7
107/10/17,0,0,--,--,--,--,0.0,0
107/10/18,27,"1,040",38.50,38.60,38.50,38.50,0.0,10
107/10/19,6,228,38.05,38.05,38.00,38.00,-0.5,4
107/10/22,1,38,37.50,37.50,37.50,37.50,-0.5,1
107/10/23,2,75,37.30,37.30,37.30,37.30,-0.2,2
107/10/24,10,375,37.45,37.50,37.45,37.45,0.15,7
107/10/25,33,"1,230",37.25,37.40,37.25,37.40,-0.05,19
107/10/26,1,37,37.05,37.05,37.05,37.05,-0.35,1
107/10/29,0,0,--,--,--,--,0.0,0
107/10/30,1,37,37.10,37.10,37.10,37.10,0.05,1
107/10/31,2,74,37.20,37.20,37.20,37.20,0.1,1
107/11/01,0,0,--,--,--,--,0.0,0
107/11/02,15,559,37.60,37.60,37.20,37.25,0.05,8
