date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"167,000","12,122,600",73.1,73.4,72.0,72.7,-0.70,111
107/07/03,"261,000","18,506,100",72.7,72.7,69.5,70.5,-2.20,179
107/07/04,"544,129","39,207,858",71.0,74.0,70.5,74.0,+3.50,261
107/07/05,"244,059","17,831,007",74.0,74.2,72.5,73.0,-1.00,170
107/07/06,"161,200","11,600,300",73.2,73.2,71.0,72.9,-0.10,113
107/07/09,"78,000","5,611,900",73.0,73.0,71.4,72.0,-0.90,62
107/07/10,"79,000","5,711,100",72.0,72.6,71.9,72.5,+0.50,51
107/07/11,"239,019","16,670,126",69.1,70.6,69.0,70.4,-2.10,181
107/07/12,"115,100","8,036,350",69.8,70.1,69.6,70.0,-0.40,95
107/07/13,"78,000","5,509,500",70.1,71.0,70.1,70.5,+0.50,54
107/07/16,"26,000","1,826,700",70.6,70.6,70.0,70.4,-0.10,24
107/07/17,"43,000","3,007,900",70.4,70.4,69.6,70.3,-0.10,39
107/07/18,"54,100","3,812,240",70.3,70.9,70.2,70.9,+0.60,42
107/07/19,"23,000","1,626,900",70.7,70.9,70.5,70.8,-0.10,23
107/07/20,"137,000","9,822,400",70.9,72.0,70.9,71.7,+0.90,89
107/07/23,"336,040","24,547,355",73.2,74.6,71.8,72.0,+0.30,257
107/07/24,"173,119","12,467,791",72.0,72.7,71.2,72.2,+0.20,86
107/07/25,"109,000","7,881,300",72.4,72.7,72.0,72.3,+0.10,53
107/07/26,"311,050","22,891,250",72.4,74.3,72.4,73.4,+1.10,231
107/07/27,"2,229,101","173,562,477",73.9,80.5,73.9,77.4,+4.00,"1,625"
107/07/30,"630,710","48,542,267",77.9,78.0,75.7,77.7,+0.30,480
107/07/31,"1,286,944","103,044,787",78.2,81.6,78.0,79.3,+1.60,979
107/08/01,"1,301,301","106,468,461",79.5,84.0,79.5,82.0,+2.70,"1,006"
107/08/02,"682,308","54,828,540",81.8,82.0,79.5,80.6,-1.40,498
107/08/03,"480,300","38,749,920",80.0,82.5,79.5,80.4,-0.20,372
107/08/06,"373,300","30,505,730",80.7,83.1,80.6,80.6,+0.20,303
107/08/07,"662,352","51,913,390",80.0,80.0,77.0,78.5,-2.10,522
107/08/08,"346,200","27,401,039",79.5,80.0,78.5,78.8,+0.30,261
107/08/09,"279,400","22,184,339",78.7,80.0,78.2,79.7,+0.90,161
107/08/10,"382,000","30,763,200",80.7,81.5,79.7,79.9,+0.20,225
107/08/13,"1,014,969","81,814,462",80.8,83.0,77.7,78.6,-1.30,735
107/08/14,"246,486","19,544,780",79.6,80.0,78.6,79.7,+1.10,160
107/08/15,"1,639,560","136,941,451",80.7,85.7,80.5,84.5,+4.80,"1,356"
107/08/16,"832,880","68,731,250",83.7,83.7,81.6,82.8,-1.70,675
107/08/17,"1,336,900","114,107,479",83.4,86.9,83.4,84.6,+1.80,"1,064"
107/08/20,"617,007","50,987,470",84.6,84.6,81.4,82.2,-2.40,478
107/08/21,"259,500","21,298,399",81.9,82.7,81.5,82.4,+0.20,182
107/08/22,"165,100","13,530,050",82.4,82.7,81.5,81.5,-0.90,142
107/08/23,"411,459","33,058,320",81.7,81.9,79.5,79.5,-2.00,330
107/08/24,"385,100","30,451,400",79.3,80.6,78.2,80.0,+0.50,238
107/08/27,"415,000","34,165,000",81.0,83.2,80.5,82.6,+2.60,290
107/08/28,"257,047","21,234,843",83.2,83.4,81.7,83.3,+0.70,187
107/08/29,"517,765","43,417,534",83.4,84.4,82.7,84.0,+0.70,374
107/08/30,"643,455","53,285,438",82.2,83.5,81.6,83.4,X0.00,440
107/08/31,"1,722,668","149,557,515",83.1,90.3,82.8,88.0,+4.60,"1,278"
107/09/03,"1,294,367","113,976,508",87.5,90.3,85.8,86.3,-1.70,971
107/09/04,"1,304,988","115,032,534",85.9,90.3,85.9,86.6,+0.30,857
107/09/05,"740,360","63,427,276",87.4,88.0,83.6,83.7,-2.90,588
107/09/06,"344,210","28,747,461",83.8,84.4,82.7,84.1,+0.40,276
107/09/07,"806,270","64,714,430",84.1,84.1,77.5,78.4,-5.70,636
107/09/10,"706,075","53,369,162",79.1,79.5,74.0,75.7,-2.70,506
107/09/11,"388,000","29,828,700",77.0,78.4,75.9,76.6,+0.90,309
107/09/12,"319,000","24,583,100",77.0,78.3,76.2,77.4,+0.80,244
107/09/13,"240,000","18,661,000",77.9,78.4,77.3,77.6,+0.20,200
107/09/14,"297,050","23,222,300",78.0,78.9,77.4,78.3,+0.70,233
107/09/17,"201,051","15,488,578",77.8,77.8,76.6,77.0,-1.30,163
107/09/18,"337,000","25,705,300",76.7,77.1,75.7,75.8,-1.20,206
107/09/19,"223,200","17,341,000",76.3,78.3,76.3,77.3,+1.50,173
107/09/20,"149,200","11,557,299",78.3,78.3,76.9,77.0,-0.30,123
107/09/21,"82,100","6,350,439",77.1,78.0,77.0,78.0,+1.00,68
107/09/25,"122,200","9,562,700",78.0,79.3,77.8,77.8,-0.20,102
107/09/26,"144,102","11,279,456",77.8,78.8,77.8,78.0,+0.20,101
107/09/27,"438,945","35,047,866",78.1,81.2,78.1,79.2,+1.20,358
107/09/28,"2,567,970","218,279,750",79.9,87.1,79.9,85.2,+6.00,"1,654"
107/10/01,"3,269,883","290,531,664",87.7,91.8,85.8,91.8,+6.60,"2,519"
107/10/02,"4,984,628","459,583,920",92.8,95.5,86.9,88.6,-3.20,"3,866"
107/10/03,"2,317,532","210,371,780",89.5,92.7,89.2,90.0,+1.40,"1,883"
107/10/04,"1,249,966","113,505,136",90.4,92.9,88.4,92.9,+2.90,"1,065"
107/10/05,"1,705,925","153,429,425",92.0,93.5,86.0,88.8,-4.10,"1,365"
107/10/08,"991,560","84,741,417",87.3,89.5,83.1,84.7,-4.10,800
107/10/09,"840,776","70,401,132",85.7,86.3,81.5,82.5,-2.20,672
107/10/11,"989,372","75,963,766",78.4,78.4,74.8,76.8,-5.70,723
107/10/12,"680,220","54,247,798",77.0,82.6,76.1,80.8,+4.00,518
107/10/15,"433,298","34,713,480",80.0,81.9,79.2,80.0,-0.80,324
107/10/16,"262,001","21,151,880",80.9,81.7,79.4,80.0, 0.00,210
107/10/17,"432,000","35,451,000",81.4,83.6,81.2,81.2,+1.20,349
107/10/18,"280,198","22,642,278",82.1,82.5,80.0,80.9,-0.30,224
107/10/19,"301,084","23,752,920",79.8,80.3,77.7,79.9,-1.00,235
107/10/22,"247,046","19,722,849",79.6,81.1,78.6,80.8,+0.90,181
107/10/23,"283,133","22,374,500",80.3,80.6,78.0,78.1,-2.70,226
107/10/24,"305,629","23,788,734",78.5,79.0,77.5,77.5,-0.60,224
107/10/25,"369,352","27,897,052",76.1,76.1,75.0,75.2,-2.30,269
107/10/26,"669,200","48,820,000",76.4,76.9,70.8,72.0,-3.20,463
107/10/29,"267,035","19,254,623",72.3,73.1,71.5,71.9,-0.10,200
107/10/30,"384,060","27,297,614",71.9,72.0,70.0,71.2,-0.70,265
107/10/31,"287,000","20,791,800",72.1,73.4,71.7,72.2,+1.00,202
107/11/01,"368,000","26,982,100",73.0,75.5,72.3,72.6,+0.40,317
107/11/02,"323,000","23,849,500",73.4,75.0,72.9,73.6,+1.00,246
107/11/05,"229,278","16,779,762",74.0,74.0,72.9,73.8,+0.20,125
107/11/06,"101,100","7,458,550",73.9,74.7,73.1,73.1,-0.70,80
107/11/07,"128,000","9,416,300",73.2,74.6,73.0,74.2,+1.10,102
107/11/08,"157,000","11,742,400",75.0,75.6,74.2,74.4,+0.20,113
107/11/09,"76,000","5,657,300",75.2,75.2,74.2,74.5,+0.10,70
107/11/12,"474,062","36,439,236",74.8,78.4,74.8,76.8,+2.30,389
107/11/13,"166,000","12,599,400",75.7,76.8,75.1,76.7,-0.10,135
107/11/14,"168,500","13,021,500",77.0,78.1,76.5,77.0,+0.30,146
107/11/15,"138,000","10,599,500",77.0,77.5,76.5,76.5,-0.50,119
107/11/16,"94,000","7,251,300",77.5,77.8,76.5,77.0,+0.50,78
107/11/19,"179,000","14,100,800",77.7,79.8,77.1,79.1,+2.10,150
107/11/20,"479,000","39,227,000",79.8,83.4,79.8,81.0,+1.90,370
107/11/21,"303,201","24,933,621",80.5,83.2,80.3,82.7,+1.70,234
107/11/22,"414,001","33,222,682",82.7,82.8,77.9,78.0,-4.70,318
107/11/23,"153,060","11,901,480",78.2,78.7,77.2,77.3,-0.70,123
107/11/26,"57,030","4,493,655",77.7,79.6,77.7,78.5,+1.20,57
107/11/27,"69,050","5,468,015",78.5,79.8,78.5,79.8,+1.30,51
107/11/28,"117,060","9,313,312",79.9,80.3,79.0,80.0,+0.20,93
107/11/29,"167,060","13,481,312",81.9,81.9,79.4,79.4,-0.60,124
107/11/30,"226,000","18,420,200",79.5,82.5,79.5,81.0,+1.60,181
107/12/03,"166,180","13,626,104",82.9,83.0,81.5,82.0,+1.00,143
107/12/04,"78,050","6,369,155",82.0,82.5,80.5,81.0,-1.00,70
107/12/05,"80,000","6,431,600",80.7,80.7,80.1,80.5,-0.50,72
107/12/06,"195,010","15,342,682",80.2,80.4,77.7,77.7,-2.80,157
107/12/07,"115,081","9,007,558",77.8,79.1,77.7,78.0,+0.30,97
107/12/10,"62,000","4,811,400",77.5,77.9,77.1,77.8,-0.20,61
107/12/11,"99,000","7,695,800",78.0,78.4,77.1,77.7,-0.10,79
107/12/12,"70,004","5,515,016",77.9,79.6,77.9,79.2,+1.50,70
107/12/13,"217,005","17,579,108",79.6,81.7,79.3,81.6,+2.40,187
107/12/14,"136,000","11,047,000",82.5,82.5,80.7,80.8,-0.80,118
107/12/17,"93,000","7,493,400",80.5,81.5,79.2,79.8,-1.00,75
107/12/18,"101,106","7,942,552",79.2,79.7,78.0,78.3,-1.50,91
107/12/19,"67,155","5,256,829",78.5,78.5,78.1,78.4,+0.10,59
107/12/20,"71,004","5,546,008",78.1,78.7,77.6,77.7,-0.70,53
107/12/21,"62,510","4,852,874",77.9,78.0,77.4,77.7, 0.00,61
107/12/22,"34,000","2,639,900",77.7,77.8,77.5,77.5,-0.20,26
107/12/24,"26,000","2,031,400",78.3,78.5,77.8,77.8,+0.30,26
107/12/25,"109,000","8,393,600",77.4,77.4,76.6,77.4,-0.40,81
107/12/26,"75,100","5,789,600",77.5,78.1,76.6,76.6,-0.80,57
107/12/27,"80,000","6,232,800",77.2,78.8,77.2,78.2,+1.60,68
107/12/28,"34,000","2,649,100",78.3,78.4,77.5,77.5,-0.70,30
108/01/02,"24,002","1,861,858",77.5,78.5,77.3,77.9,+0.40,26
108/01/03,"34,000","2,649,500",78.0,78.2,77.6,77.8,-0.10,33
108/01/04,"113,330","8,737,610",77.5,77.5,76.9,77.2,-0.60,90
108/01/07,"45,000","3,507,000",78.2,78.2,77.6,77.8,+0.60,42
108/01/08,"138,000","10,967,500",78.0,80.5,77.9,79.0,+1.20,105
108/01/09,"102,000","8,175,300",79.9,80.7,79.6,79.9,+0.90,82
108/01/10,"103,000","8,214,700",80.2,80.6,79.0,79.3,-0.60,85
108/01/11,"321,150","26,105,654",80.3,82.4,80.0,81.4,+2.10,266
108/01/14,"200,006","16,368,391",81.9,83.0,80.8,80.8,-0.60,174
108/01/15,"177,000","14,240,100",81.2,81.4,79.6,80.6,-0.20,128
108/01/16,"1,478,723","126,546,970",81.0,88.6,80.5,88.0,+7.40,"1,131"
108/01/17,"522,020","45,012,810",88.4,88.4,84.5,85.5,-2.50,432
108/01/18,"255,060","21,717,248",85.5,86.0,84.3,85.7,+0.20,200
108/01/21,"221,000","19,007,100",85.7,87.3,85.0,85.0,-0.70,178
108/01/22,"203,505","17,091,419",85.5,85.5,83.4,83.8,-1.20,164
108/01/23,"125,040","10,389,347",83.3,84.0,82.6,83.5,-0.30,98
108/01/24,"163,000","13,510,000",83.9,84.0,82.3,82.3,-1.20,134
108/01/25,"191,000","15,753,900",82.4,83.1,82.2,82.7,+0.40,131
108/01/28,"74,183","6,116,633",83.0,83.0,82.2,82.7, 0.00,75
108/01/29,"227,005","18,825,917",82.8,83.8,82.1,82.8,+0.10,182
108/01/30,"167,300","13,745,789",82.8,82.8,81.8,81.8,-1.00,145
108/02/11,"109,165","8,970,330",82.3,82.7,82.0,82.5,+0.70,81
108/02/12,"251,500","21,088,500",82.5,85.4,82.2,84.4,+1.90,217
108/02/13,"168,100","14,050,590",84.6,84.7,83.2,84.0,-0.40,146
108/02/14,"163,082","13,754,671",84.2,85.5,83.8,84.0, 0.00,144
108/02/15,"100,088","8,449,282",84.0,85.3,83.6,84.1,+0.10,75
108/02/18,"338,212","27,832,884",83.6,83.6,81.8,82.0,-2.10,269
108/02/19,"119,090","9,806,480",82.2,82.9,82.0,82.2,+0.20,79
108/02/20,"127,025","10,441,256",82.3,83.0,81.9,82.0,-0.20,101
108/02/21,"159,661","13,080,702",82.5,82.8,81.3,81.8,-0.20,116
108/02/22,"67,000","5,476,000",82.2,82.2,81.5,81.8, 0.00,60
108/02/25,"127,011","10,458,302",81.6,83.5,81.4,82.5,+0.70,111
108/02/26,"128,000","10,530,400",82.8,82.8,81.8,82.4,-0.10,100
108/02/27,"699,535","59,418,406",83.5,86.3,83.5,84.3,+1.90,591
108/03/04,"138,059","11,667,979",85.0,85.0,84.1,84.2,-0.10,127
108/03/05,"120,000","10,071,600",84.6,85.0,83.2,83.2,-1.00,107
108/03/06,"104,000","8,655,600",83.5,83.7,82.9,83.7,+0.50,99
108/03/07,"86,005","7,191,915",84.3,84.3,83.1,83.3,-0.40,70
108/03/08,"97,000","8,033,300",83.1,83.1,82.6,82.7,-0.60,82
108/03/11,"250,000","20,296,200",82.0,82.0,80.9,81.2,-1.50,177
108/03/12,"105,013","8,523,747",81.9,81.9,80.9,81.0,-0.20,88
108/03/13,"398,202","33,125,447",81.4,84.8,81.0,84.0,+3.00,311
108/03/14,"491,000","40,850,100",84.7,85.0,81.9,82.0,-2.00,400
108/03/15,"139,050","11,417,735",82.0,82.8,81.9,82.3,+0.30,105
108/03/18,"151,000","12,317,300",81.5,82.4,81.3,82.4,+0.10,141
108/03/19,"151,540","12,333,109",81.5,81.6,81.1,81.3,-1.10,119
108/03/20,"370,005","29,797,301",81.2,81.4,79.9,80.2,-1.10,246
