date,volume,amount,open,high,low,close,spread,Quantity
107/11/28,"4,114,951","375,998,516",88.0,94.5,87.0,94.0,X0.00,"3,263"
107/11/29,"3,901,714","415,790,105",100.0,113.5,99.1,112.5,+18.50,"2,674"
107/11/30,"2,234,254","247,691,448",113.0,114.5,105.5,112.0,-0.50,"1,689"
107/12/03,"1,950,044","217,606,884",113.5,116.0,108.5,112.0, 0.00,"1,429"
107/12/04,"2,448,638","281,482,239",112.0,120.0,111.5,120.0,+8.00,"1,714"
107/12/05,"1,655,750","190,683,000",115.0,118.5,113.0,116.5,-3.50,"1,214"
107/12/06,"2,239,559","239,189,813",112.5,113.0,105.0,107.0,-9.50,"1,486"
107/12/07,"1,013,571","110,223,810",106.0,111.5,105.5,110.0,+3.00,789
107/12/10,"591,219","63,628,433",106.5,110.0,104.0,107.0,-3.00,457
107/12/11,"1,352,455","150,522,187",109.0,114.5,107.0,113.0,+6.00,899
107/12/12,"905,980","102,117,768",113.0,114.5,111.0,112.0,-1.00,661
107/12/13,"3,967,789","478,976,547",115.0,123.0,115.0,123.0,+11.00,"2,119"
107/12/14,"2,329,581","277,644,139",118.5,122.0,116.5,119.0,-4.00,"1,470"
107/12/17,"680,102","80,036,240",118.0,120.0,116.0,116.5,-2.50,521
107/12/18,"1,296,900","145,834,700",116.5,116.5,108.0,113.0,-3.50,929
107/12/19,"1,003,212","116,051,404",114.0,119.0,112.0,118.0,+5.00,771
107/12/20,"1,816,833","219,687,709",117.0,124.0,117.0,119.5,+1.50,"1,251"
107/12/21,"1,027,394","123,450,580",119.5,123.5,117.5,120.5,+1.00,756
107/12/22,"325,146","38,764,945",119.5,120.0,118.0,119.5,-1.00,270
107/12/24,"493,129","58,585,851",119.5,120.0,117.5,119.5, 0.00,352
107/12/25,"633,250","73,256,623",117.0,117.5,114.5,115.5,-4.00,520
107/12/26,"716,554","81,319,768",116.5,117.5,110.0,111.5,-4.00,534
107/12/27,"664,300","75,032,750",114.5,114.5,111.5,111.5, 0.00,417
107/12/28,"363,294","40,854,928",113.0,114.0,111.0,112.5,+1.00,250
108/01/02,"322,104","36,181,648",114.0,114.0,111.0,112.0,-0.50,240
108/01/03,"597,148","64,755,410",110.0,111.0,106.5,108.0,-4.00,422
108/01/04,"596,213","64,619,856",106.0,112.0,105.0,112.0,+4.00,423
108/01/07,"405,200","45,569,400",113.5,113.5,111.0,112.0, 0.00,254
108/01/08,"292,200","33,310,500",113.0,115.5,112.0,115.0,+3.00,214
108/01/09,"424,080","48,046,080",115.0,116.0,112.0,112.5,-2.50,327
108/01/10,"162,259","18,145,267",112.5,113.0,111.0,111.0,-1.50,139
108/01/11,"339,110","37,465,710",112.5,113.5,109.0,110.0,-1.00,210
108/01/14,"109,000","12,108,000",111.0,111.5,110.5,111.0,+1.00,94
108/01/15,"212,080","23,408,880",111.0,111.5,109.5,110.5,-0.50,160
108/01/16,"173,300","19,039,600",109.5,110.5,109.5,109.5,-1.00,148
108/01/17,"346,100","38,544,149",110.5,113.0,109.5,111.5,+2.00,253
108/01/18,"615,293","70,979,195",112.5,116.5,112.5,116.0,+4.50,475
108/01/21,"261,092","29,985,988",116.5,116.5,114.0,114.0,-2.00,188
108/01/22,"285,160","32,838,560",115.0,116.0,114.0,116.0,+2.00,205
108/01/23,"218,130","25,228,080",116.0,116.5,114.5,116.0, 0.00,183
108/01/24,"257,200","29,775,700",116.5,117.0,114.5,115.0,-1.00,204
108/01/25,"346,071","39,392,271",116.0,116.0,113.0,113.0,-2.00,258
108/01/28,"251,437","28,919,255",113.0,116.0,113.0,116.0,+3.00,189
108/01/29,"176,030","20,213,465",116.0,116.0,114.5,114.5,-1.50,118
108/01/30,"275,164","32,015,860",115.0,117.0,115.0,115.5,+1.00,221
108/02/11,"232,465","27,006,207",117.0,117.0,115.5,116.5,+1.00,168
108/02/12,"1,703,190","210,264,153",115.5,128.0,115.5,125.0,+8.50,"1,164"
108/02/13,"748,086","93,379,250",123.5,126.0,123.0,125.0, 0.00,582
108/02/14,"1,166,520","152,558,337",125.0,134.0,124.0,129.5,+4.50,850
108/02/15,"504,840","65,648,777",129.0,132.5,128.0,130.5,+1.00,421
108/02/18,"608,802","79,451,260",130.5,132.0,129.0,130.5, 0.00,385
108/02/19,"698,684","93,371,972",131.5,135.0,131.0,133.5,+3.00,574
108/02/20,"362,953","47,823,816",134.0,134.5,131.0,131.5,-2.00,308
108/02/21,"218,065","28,399,515",132.0,132.0,129.5,130.0,-1.50,176
108/02/22,"289,580","37,336,609",130.0,131.0,128.0,130.0, 0.00,243
108/02/25,"194,647","25,273,110",129.0,130.5,129.0,130.5,+0.50,180
108/02/26,"236,100","30,360,300",131.0,131.0,128.0,128.0,-2.50,185
108/02/27,"422,318","53,244,568",128.0,128.0,125.0,125.5,-2.50,293
108/03/04,"205,118","25,832,807",125.5,127.5,125.0,125.5, 0.00,167
108/03/05,"121,230","15,318,210",125.0,127.5,125.0,127.0,+1.50,89
108/03/06,"304,110","39,252,080",126.5,131.5,126.5,128.0,+1.00,211
108/03/07,"361,457","46,573,582",128.0,131.0,127.0,127.0,-1.00,276
108/03/08,"104,020","13,147,530",126.5,128.5,126.0,126.5,-0.50,86
108/03/11,"87,030","10,977,780",126.5,127.5,125.5,125.5,-1.00,79
108/03/12,"201,020","25,400,520",126.0,127.5,125.5,127.0,+1.50,160
108/03/13,"159,120","19,968,180",127.0,127.0,125.0,126.0,-1.00,146
108/03/14,"256,544","32,552,544",126.0,128.0,125.5,127.0,+1.00,201
108/03/15,"965,528","127,284,224",126.0,134.5,126.0,133.0,+6.00,651
108/03/18,"736,868","99,295,180",134.0,136.5,131.5,136.0,+3.00,485
108/03/19,"472,327","63,981,145",136.0,136.5,134.0,136.5,+0.50,326
108/03/20,"404,741","55,426,276",137.0,138.5,135.5,137.5,+1.00,354
108/03/21,"613,735","83,476,990",137.0,138.0,133.0,135.0,-2.50,435
