date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,234,"38,687",167.0,167.0,164.0,164.0,-3.0,177
107/07/03,354,"57,287",165.0,165.0,158.5,161.5,-2.5,247
107/07/04,333,"53,151",161.5,161.5,156.5,160.0,-1.5,279
107/07/05,793,"123,221",160.0,160.0,150.5,150.5,-9.5,499
107/07/06,"1,893","270,580",151.0,153.0,136.0,149.0,-1.5,"1,374"
107/07/09,614,"95,281",152.0,159.0,152.0,152.0,3.0,548
107/07/10,271,"41,869",154.0,156.0,152.0,154.0,2.0,257
107/07/11,267,"41,725",154.0,158.0,153.0,155.5,1.5,235
107/07/12,"1,136","188,065",156.0,170.5,156.0,169.0,13.5,"1,061"
107/07/13,"1,109","192,209",172.5,176.5,171.0,172.0,3.0,877
107/07/16,710,"119,836",171.5,173.0,164.0,167.0,-5.0,617
107/07/17,"1,311","229,529",169.0,178.5,168.5,175.5,8.5,"1,134"
107/07/18,"1,134","194,386",178.0,178.5,165.5,165.5,-10.0,925
107/07/19,344,"57,718",166.5,170.5,166.0,166.0,0.5,313
107/07/20,363,"60,396",167.5,171.0,161.0,163.0,-3.0,342
107/07/23,234,"38,381",164.0,165.5,161.5,165.0,2.0,182
107/07/24,126,"20,938",165.5,167.5,164.5,165.0,0.0,115
107/07/25,94,"15,617",166.5,167.5,165.5,166.0,1.0,88
107/07/26,144,"24,270",166.5,169.5,166.5,167.0,1.0,141
107/07/27,305,"50,502",168.5,169.5,164.0,165.0,-2.0,237
107/07/30,175,"28,743",165.0,165.5,162.0,163.5,-1.5,122
107/07/31,129,"21,040",163.0,164.0,162.5,163.5,0.0,94
107/08/01,209,"34,113",164.5,165.0,162.0,162.0,-1.5,163
107/08/02,323,"51,340",162.0,162.0,156.5,158.0,-4.0,262
107/08/03,153,"24,462",158.0,161.0,158.0,161.0,3.0,128
107/08/06,90,"14,524",159.5,162.0,159.5,161.0,0.0,90
107/08/07,733,"113,697",160.5,160.5,152.5,153.5,-7.5,601
107/08/08,452,"68,246",153.5,153.5,149.5,150.0,-3.5,404
107/08/09,396,"58,772",149.0,150.0,147.5,149.0,-1.0,337
107/08/10,900,"140,173",151.0,159.5,151.0,153.0,7.5,780
107/08/13,419,"64,264",153.0,156.0,151.0,154.0,1.0,372
107/08/14,302,"47,284",154.5,159.0,154.5,156.0,2.0,260
107/08/15,244,"37,626",157.5,157.5,152.5,152.5,-3.5,210
107/08/16,220,"33,041",152.0,152.0,148.5,151.5,-1.0,191
107/08/17,234,"36,014",152.5,156.0,152.0,152.0,0.5,201
107/08/20,205,"30,438",153.0,153.0,147.0,147.5,-4.5,176
107/08/21,174,"25,577",147.5,149.0,146.5,148.0,0.5,160
107/08/22,140,"20,749",147.5,149.5,147.0,149.5,1.5,130
107/08/23,173,"25,648",149.5,149.5,148.0,148.0,-1.5,133
107/08/24,111,"16,512",147.5,151.0,147.0,151.0,3.0,98
107/08/27,124,"18,886",150.0,153.0,150.0,153.0,2.0,105
107/08/28,113,"17,299",153.0,154.5,152.0,152.0,-1.0,98
107/08/29,781,"123,738",153.0,162.5,152.5,160.0,8.0,591
107/08/30,336,"53,038",160.0,160.0,155.5,156.5,-3.5,251
107/08/31,227,"35,787",155.5,159.0,155.5,158.0,1.5,174
107/09/03,204,"32,095",158.5,159.0,156.0,156.0,-2.0,156
