date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"2,068","40,234",19.4,19.85,19.2,19.25,0.05,721
107/07/03,"1,403","27,181",19.65,19.95,19.15,19.15,-0.1,524
107/07/04,743,"14,478",19.45,19.65,19.25,19.5,0.35,381
107/07/05,"1,413","26,843",19.35,19.5,18.15,19.25,-0.25,702
107/07/06,"2,294","41,890",19.2,19.2,17.5,18.4,-0.85,"1,097"
107/07/09,"1,876","32,683",18.0,18.0,17.15,17.3,-1.1,931
107/07/10,797,"14,053",17.3,17.85,17.3,17.55,0.25,432
107/07/11,476,"8,421",17.55,17.9,17.5,17.65,0.1,276
107/07/12,464,"8,278",17.6,18.0,17.6,17.8,0.15,233
107/07/13,403,"7,168",17.75,17.95,17.7,17.95,0.15,208
107/07/16,567,"10,020",17.95,18.0,17.5,17.5,-0.45,240
107/07/17,650,"11,146",17.25,17.35,17.0,17.1,-0.4,380
107/07/18,"4,025","63,718",17.05,17.05,15.4,15.4,-1.7,"1,576"
107/07/19,"2,196","34,084",15.2,15.9,15.15,15.9,0.5,979
107/07/20,797,"12,517",15.95,16.1,15.4,15.65,-0.25,404
107/07/23,647,"10,026",15.5,15.9,15.35,15.4,-0.25,330
107/07/24,271,"4,200",15.4,15.6,15.35,15.5,0.1,148
107/07/25,"3,224","54,335",15.95,17.05,15.6,17.0,1.5,"1,309"
107/07/26,"3,166","53,926",16.95,17.45,16.6,17.45,0.45,"1,070"
107/07/27,"1,971","35,318",17.3,18.45,17.3,18.45,1.0,867
107/07/30,"1,981","35,937",18.1,18.45,17.8,18.45,0.0,770
107/07/31,"1,810","33,646",19.1,19.1,18.1,18.1,-0.35,770
107/08/01,707,"12,847",18.15,18.45,17.95,18.05,-0.05,383
107/08/02,"1,335","23,356",18.05,18.15,17.15,17.45,-0.6,498
107/08/03,670,"11,908",17.5,18.1,17.5,18.0,0.55,321
107/08/06,474,"8,560",18.1,18.4,17.8,18.2,0.2,217
107/08/07,413,"7,366",18.1,18.1,17.7,17.7,-0.5,206
107/08/08,344,"6,076",17.55,17.85,17.5,17.6,-0.1,177
107/08/09,485,"8,410",17.6,17.65,17.2,17.3,-0.3,237
107/08/10,379,"6,466",17.05,17.25,16.7,17.1,-0.2,216
107/08/13,"1,139","18,363",16.9,16.9,15.8,16.1,-1.0,439
107/08/14,517,"8,464",15.85,16.75,15.85,16.2,0.1,274
107/08/15,281,"4,539",16.1,16.35,16.05,16.15,-0.05,155
107/08/16,372,"6,039",16.45,16.45,16.1,16.1,-0.05,222
107/08/17,319,"5,145",16.35,16.35,16.0,16.2,0.1,181
107/08/20,284,"4,577",16.1,16.25,16.0,16.0,-0.2,147
107/08/21,491,"7,757",16.1,16.15,15.6,15.8,-0.2,253
107/08/22,476,"7,432",15.8,15.8,15.4,15.65,-0.15,237
107/08/23,230,"3,627",15.65,15.9,15.65,15.8,0.15,126
107/08/24,204,"3,191",15.8,15.95,15.5,15.6,-0.2,95
107/08/27,248,"3,895",15.75,15.8,15.6,15.75,0.15,146
107/08/28,461,"7,377",15.8,16.2,15.8,16.2,0.45,224
107/08/29,709,"11,499",16.4,16.4,15.95,16.3,0.1,197
107/08/30,139,"2,280",16.65,16.65,16.25,16.3,0.0,89
107/08/31,254,"4,136",16.1,16.4,16.1,16.3,0.0,102
107/09/03,309,"4,997",16.3,16.3,16.0,16.2,-0.1,124
107/09/04,154,"2,486",16.05,16.25,16.05,16.2,0.0,79
107/09/05,194,"3,119",16.25,16.25,15.95,16.0,-0.2,85
107/09/06,570,"9,368",16.3,16.8,16.2,16.2,0.2,295
107/09/07,"1,023","17,006",16.3,17.25,16.1,16.35,0.15,450
107/09/10,433,"6,989",16.55,16.6,16.0,16.0,-0.35,166
107/09/11,942,"15,369",15.85,16.45,15.85,16.45,0.45,264
107/09/12,381,"6,236",16.5,16.55,16.15,16.2,-0.25,147
107/09/13,185,"3,006",16.1,16.35,16.1,16.3,0.1,116
107/09/14,"1,205","18,638",15.1,15.75,15.1,15.7,-0.6,585
107/09/17,"2,382","34,947",15.3,15.4,14.15,14.15,-1.55,"1,013"
107/09/18,"1,697","23,387",13.9,14.2,13.1,14.2,0.05,796
107/09/19,629,"8,987",14.2,14.5,14.0,14.4,0.2,303
107/09/20,332,"4,687",14.35,14.35,13.9,14.05,-0.35,149
107/09/21,333,"4,650",14.0,14.15,13.85,13.85,-0.2,161
107/09/25,"1,673","21,730",13.8,13.85,12.5,12.5,-1.35,728
107/09/26,"1,813","22,673",12.45,12.85,12.2,12.5,0.0,784
107/09/27,"1,600","20,793",12.6,13.2,12.6,13.05,0.55,696
107/09/28,626,"8,230",13.3,13.35,12.95,13.25,0.2,266
107/10/01,495,"6,607",13.3,13.45,13.15,13.45,0.2,206
107/10/02,404,"5,403",13.6,13.6,13.25,13.45,0.0,162
107/10/03,510,"6,854",13.45,13.6,13.35,13.35,-0.1,192
107/10/04,677,"8,748",13.15,13.25,12.6,13.2,-0.15,337
107/10/05,913,"11,566",13.15,13.15,12.2,12.85,-0.35,308
107/10/08,"1,080","14,100",12.8,13.2,12.8,12.9,0.05,268
107/10/09,138,"1,772",13.1,13.1,12.75,12.75,-0.15,84
107/10/11,"1,477","17,180",11.8,12.25,11.5,11.6,-1.15,455
107/10/12,681,"7,676",11.0,11.65,10.8,11.35,-0.25,245
107/10/15,605,"6,686",11.35,11.35,10.75,11.25,-0.1,257
107/10/16,344,"3,814",11.1,11.25,11.0,11.1,-0.15,171
107/10/17,469,"5,316",11.45,11.5,11.2,11.25,0.15,255
107/10/18,322,"3,637",11.25,11.6,11.05,11.15,-0.1,134
107/10/19,509,"5,547",11.1,11.15,10.65,10.95,-0.2,205
107/10/22,183,"2,009",10.7,11.2,10.7,11.05,0.1,110
107/10/23,284,"3,062",11.05,11.05,10.65,10.85,-0.2,142
107/10/24,187,"2,009",10.95,10.95,10.6,10.8,-0.05,81
107/10/25,"1,430","14,087",10.3,10.4,9.72,9.72,-1.08,484
107/10/26,"1,025","10,033",9.5,10.15,9.5,9.76,0.04,303
107/10/29,263,"2,554",9.76,9.92,9.6,9.67,-0.09,133
107/10/30,856,"7,933",9.5,9.62,8.84,9.4,-0.27,422
107/10/31,336,"3,241",9.69,9.77,9.52,9.69,0.29,151
107/11/01,590,"5,839",9.79,10.1,9.75,10.0,0.31,240
107/11/02,590,"5,970",10.0,10.45,9.92,10.05,0.05,249
107/11/05,332,"3,368",10.1,10.25,10.05,10.15,0.1,140
107/11/06,191,"1,922",10.1,10.15,10.0,10.0,-0.15,83
107/11/07,131,"1,331",10.0,10.35,10.0,10.15,0.15,79
107/11/08,428,"4,487",10.3,10.6,10.2,10.4,0.25,198
107/11/09,513,"5,553",10.75,11.1,10.5,10.8,0.4,244
107/11/12,610,"6,985",10.7,11.8,10.65,11.6,0.8,331
107/11/13,579,"6,710",11.6,11.95,11.3,11.45,-0.15,274
107/11/14,253,"2,892",11.15,11.55,11.15,11.4,-0.05,114
107/11/15,351,"3,929",11.35,11.45,11.1,11.1,-0.3,125
107/11/16,257,"2,893",11.0,11.35,11.0,11.35,0.25,122
107/11/19,256,"2,955",11.35,11.65,11.35,11.5,0.15,122
107/11/20,655,"7,737",11.5,12.2,11.35,11.75,0.25,263
107/11/21,505,"5,856",11.7,11.85,11.4,11.55,-0.2,169
107/11/22,301,"3,598",11.65,12.4,11.65,11.8,0.25,177
107/11/23,314,"3,674",11.85,11.95,11.5,11.8,0.0,118
107/11/26,222,"2,552",11.7,11.85,11.3,11.5,-0.3,101
107/11/27,519,"5,763",11.35,11.45,10.95,11.0,-0.5,198
107/11/28,340,"3,879",11.05,11.65,11.05,11.5,0.5,163
107/11/29,205,"2,380",11.5,11.85,11.5,11.6,0.1,98
107/11/30,170,"1,994",11.85,11.85,11.6,11.75,0.15,90
107/12/03,419,"5,048",11.8,12.2,11.8,12.1,0.35,192
107/12/04,405,"4,972",12.3,12.5,12.1,12.3,0.2,174
107/12/05,278,"3,313",12.1,12.2,11.75,11.8,-0.5,132
107/12/06,506,"5,662",11.8,11.9,10.8,11.1,-0.7,190
107/12/07,192,"2,190",10.9,11.6,10.9,11.5,0.4,102
107/12/10,359,"3,901",11.15,11.2,10.45,11.0,-0.5,162
107/12/11,143,"1,546",11.0,11.0,10.7,10.8,-0.2,73
107/12/12,114,"1,242",10.95,11.0,10.8,10.9,0.1,58
107/12/13,222,"2,510",11.3,11.45,11.1,11.4,0.5,125
107/12/14,108,"1,202",11.4,11.4,11.0,11.0,-0.4,65
107/12/17,66,747,11.05,11.4,11.05,11.4,0.4,37
107/12/18,192,"2,153",11.1,11.35,11.0,11.35,-0.05,79
107/12/19,122,"1,385",11.35,11.45,11.3,11.4,0.05,64
107/12/20,225,"2,482",11.3,11.3,10.95,11.0,-0.4,123
107/12/21,84,922,11.0,11.15,10.8,11.15,0.15,75
107/12/22,40,441,11.0,11.05,11.0,11.0,-0.15,26
107/12/24,116,"1,280",11.2,11.2,10.95,10.95,-0.05,71
107/12/25,194,"2,172",11.2,11.35,11.0,11.15,0.2,113
107/12/26,186,"2,053",11.15,11.15,10.95,11.0,-0.15,77
107/12/27,110,"1,215",11.2,11.2,11.0,11.0,0.0,58
107/12/28,730,"8,423",11.1,12.0,11.05,12.0,1.0,402
108/01/02,"1,443","18,971",13.15,13.2,12.6,13.2,1.2,561
108/01/03,"1,519","21,813",14.0,14.5,13.85,14.5,1.3,684
108/01/04,"2,620","39,691",15.0,15.9,13.5,15.75,1.25,"1,337"
108/01/07,"2,001","32,096",16.5,16.5,15.75,16.05,0.3,911
108/01/08,887,"13,902",16.2,16.2,14.9,15.9,-0.15,466
108/01/09,961,"14,791",16.0,16.0,15.1,15.65,-0.25,489
108/01/10,866,"13,405",15.6,15.7,15.1,15.3,-0.35,446
108/01/11,"1,156","18,610",15.65,16.6,15.2,16.35,1.05,638
108/01/14,580,"9,377",16.4,16.4,15.85,16.15,-0.2,321
108/01/15,236,"3,767",16.15,16.15,15.7,15.9,-0.25,144
108/01/16,231,"3,615",16.0,16.0,15.5,15.5,-0.4,162
108/01/17,243,"3,715",15.5,15.5,15.1,15.4,-0.1,182
108/01/18,294,"4,537",15.35,15.8,15.15,15.5,0.1,245
108/01/21,499,"7,906",15.5,16.2,15.15,15.95,0.45,321
108/01/22,433,"6,705",15.8,15.8,15.15,15.45,-0.5,285
108/01/23,607,"9,270",15.45,15.8,14.8,15.5,0.05,281
108/01/24,278,"4,304",15.5,15.75,15.25,15.6,0.1,161
108/01/25,"2,225","37,048",16.0,17.15,15.8,17.15,1.55,"1,096"
108/01/28,"2,370","42,786",17.9,18.75,17.15,18.75,1.6,"1,282"
108/01/29,"1,175","21,288",18.65,18.65,17.55,18.0,-0.75,607
108/01/30,"1,087","19,169",18.0,18.1,17.4,17.5,-0.5,505
108/02/11,"1,668","30,976",17.65,19.15,17.65,19.0,1.5,834
108/02/12,"1,330","25,225",18.85,19.45,18.6,18.8,-0.2,603
108/02/13,"1,149","21,189",18.8,19.0,17.8,18.2,-0.6,498
108/02/14,890,"16,452",18.3,19.0,18.1,18.35,0.15,411
108/02/15,697,"12,543",18.3,18.3,17.8,17.8,-0.55,335
108/02/18,549,"9,835",18.0,18.15,17.55,17.85,0.05,305
108/02/19,586,"10,286",18.0,18.0,17.4,17.5,-0.35,312
108/02/20,596,"10,553",17.45,18.1,17.3,18.1,0.6,320
108/02/21,353,"6,281",17.7,18.0,17.65,17.65,-0.45,248
108/02/22,300,"5,260",17.5,17.85,17.3,17.5,-0.15,206
108/02/25,565,"9,763",17.6,17.85,17.05,17.15,-0.35,321
108/02/26,538,"9,264",17.6,17.6,17.0,17.2,0.05,274
108/02/27,"1,883","34,592",17.4,18.9,17.1,18.9,1.7,970
108/03/04,"1,354","25,386",19.0,19.15,18.3,18.9,0.0,808
108/03/05,482,"9,070",18.55,19.15,18.55,18.6,-0.3,379
108/03/06,415,"7,822",18.6,19.3,18.6,18.65,0.05,339
108/03/07,900,"16,249",18.75,18.75,17.7,17.8,-0.85,485
108/03/08,754,"13,086",17.5,17.7,17.1,17.2,-0.6,417
108/03/11,321,"5,584",17.3,17.75,17.2,17.2,0.0,299
108/03/12,289,"5,003",17.3,17.55,17.2,17.3,0.1,196
108/03/13,258,"4,426",17.3,17.4,17.1,17.2,-0.1,179
108/03/14,698,"11,731",17.1,17.2,16.5,16.75,-0.45,407
108/03/15,305,"5,190",16.75,17.15,16.75,17.0,0.25,224
108/03/18,244,"4,155",17.2,17.2,16.8,17.15,0.15,235
108/03/19,216,"3,719",17.2,17.4,17.1,17.15,0.0,157
108/03/20,235,"3,999",17.15,17.35,16.85,16.9,-0.25,174
108/03/21,266,"4,494",17.1,17.1,16.7,16.8,-0.1,152
108/03/22,456,"7,566",16.95,16.95,16.25,16.5,-0.3,234
108/03/25,246,"3,972",16.1,16.3,16.0,16.05,-0.45,155
108/03/26,191,"3,091",16.3,16.35,16.1,16.2,0.15,141
108/03/27,184,"3,022",16.5,16.75,16.2,16.45,0.25,191
108/03/28,339,"5,470",16.5,16.5,16.0,16.05,-0.4,207
108/03/29,427,"6,765",16.45,16.45,15.75,15.8,-0.25,249
108/04/01,401,"6,335",15.6,16.0,15.6,15.9,0.1,268
108/04/02,349,"5,653",16.1,16.5,15.8,16.4,0.5,210
108/04/03,471,"7,559",16.55,16.6,15.6,15.95,-0.45,344
108/04/08,280,"4,501",16.0,16.2,16.0,16.0,0.05,259
108/04/09,229,"3,683",16.25,16.25,16.0,16.1,0.1,128
108/04/10,126,"2,019",16.25,16.3,15.85,16.1,0.0,80
108/04/11,942,"16,020",16.7,17.3,16.45,17.15,1.05,524
108/04/12,666,"11,247",17.3,17.35,16.5,16.5,-0.65,358
108/04/15,221,"3,702",16.95,16.95,16.6,16.8,0.3,128
108/04/16,266,"4,463",17.0,17.05,16.6,16.85,0.05,135
108/04/17,335,"5,579",16.85,16.95,16.4,16.8,-0.05,176
108/04/18,277,"4,538",16.6,16.7,16.0,16.05,-0.75,155
108/04/19,217,"3,507",16.35,16.4,16.05,16.2,0.15,101
108/04/22,168,"2,720",16.4,16.4,16.05,16.1,-0.1,93
108/04/23,232,"3,688",16.1,16.1,15.85,15.9,-0.2,109
108/04/24,168,"2,655",15.9,16.1,15.65,15.7,-0.2,120
108/04/25,436,"6,661",15.6,15.6,15.05,15.1,-0.6,270
108/04/26,513,"7,524",15.1,15.2,14.25,14.75,-0.35,272
108/04/29,200,"2,926",14.8,14.8,14.5,14.6,-0.15,111
108/04/30,101,"1,475",14.55,14.75,14.4,14.7,0.1,54
108/05/02,156,"2,340",14.8,15.2,14.8,14.9,0.2,110
108/05/03,150,"2,248",15.1,15.2,14.6,15.2,0.3,92
108/05/06,202,"2,984",15.0,15.05,14.55,14.55,-0.65,105
108/05/07,111,"1,629",14.8,14.8,14.55,14.7,0.15,66
108/05/08,416,"6,347",14.9,15.5,14.7,15.35,0.65,213
108/05/09,213,"3,197",15.4,15.4,14.7,14.75,-0.6,127
108/05/10,297,"4,293",14.8,14.8,14.15,14.55,-0.2,176
108/05/13,113,"1,604",14.1,14.55,14.05,14.25,-0.3,66
108/05/14,155,"2,165",14.0,14.2,13.8,14.2,-0.05,84
108/05/15,133,"1,860",14.2,14.2,13.8,14.0,-0.2,83
