date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,43,939,22.05,22.2,21.65,21.7,0.05,27
107/07/03,110,"2,338",21.7,21.95,20.65,21.35,-0.35,71
107/07/04,44,928,21.0,21.2,20.8,21.0,-0.35,30
107/07/05,49,"1,017",21.0,21.0,20.55,20.75,-0.25,24
107/07/06,26,539,20.5,21.15,20.5,20.9,0.15,16
107/07/09,18,370,20.95,21.3,20.9,21.0,0.1,17
107/07/10,1,21,21.2,21.2,21.2,21.2,0.2,2
107/07/11,60,"1,258",21.4,21.6,20.7,21.25,0.05,35
107/07/12,31,659,21.3,21.5,20.95,21.45,0.2,24
107/07/13,11,236,21.45,21.45,21.2,21.2,-0.25,11
107/07/16,38,811,21.5,21.55,21.2,21.2,0.0,26
107/07/17,17,360,21.45,21.45,21.05,21.05,-0.15,13
107/07/18,13,277,21.45,21.5,21.1,21.1,0.05,13
107/07/19,7,150,21.4,21.5,21.4,21.4,0.3,6
107/07/20,23,488,21.3,21.3,21.1,21.1,-0.3,16
107/07/23,40,844,21.1,21.35,20.8,21.05,-0.05,27
107/07/24,32,673,21.45,21.5,20.9,20.9,-0.15,23
107/07/25,44,923,21.25,21.35,20.95,21.15,0.25,32
107/07/26,141,"2,974",21.35,21.35,20.9,21.05,-0.1,40
107/07/27,12,253,21.05,21.05,21.05,21.05,0.0,8
107/07/30,16,338,21.45,21.45,21.0,21.0,-0.05,13
107/07/31,22,461,21.1,21.1,20.9,21.0,0.0,18
107/08/01,12,252,21.05,21.05,21.0,21.0,0.0,10
107/08/02,19,398,21.25,21.25,20.85,20.85,-0.15,16
107/08/03,49,"1,024",20.95,21.1,20.8,21.0,0.15,22
107/08/06,13,276,21.0,21.0,20.75,20.8,-0.2,13
107/08/07,17,358,20.95,20.95,20.8,20.8,0.0,13
107/08/08,40,840,20.9,21.0,20.8,20.85,0.05,31
107/08/09,48,"1,008",20.95,21.25,20.95,21.1,0.25,23
107/08/10,41,869,21.1,21.25,21.1,21.2,0.1,33
107/08/13,70,"1,459",21.1,21.1,20.6,20.65,-0.55,46
107/08/14,28,587,21.0,21.0,20.85,20.95,0.3,15
107/08/15,35,735,20.95,21.15,20.95,20.95,0.0,20
107/08/16,44,927,20.95,21.3,20.9,21.0,0.05,27
107/08/17,19,407,21.35,21.35,21.15,21.2,0.2,11
107/08/20,17,365,21.25,21.25,21.1,21.15,-0.05,12
107/08/21,30,644,21.15,21.55,21.1,21.4,0.25,31
107/08/22,344,"7,881",21.6,23.5,21.45,23.5,2.1,187
