date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,86,"1,550",17.9,18.1,17.9,17.9,0.0,50
107/07/03,85,"1,526",18.0,18.0,17.85,17.95,0.05,44
107/07/04,114,"2,031",17.9,18.0,17.75,17.9,-0.05,52
107/07/05,34,596,17.9,17.9,17.7,17.8,-0.1,31
107/07/06,48,842,17.75,17.75,17.4,17.7,-0.1,38
107/07/09,36,637,17.75,17.75,17.45,17.55,-0.15,33
107/07/10,50,876,17.6,17.6,17.4,17.6,0.05,26
107/07/11,63,"1,119",17.6,17.85,17.6,17.75,0.15,54
107/07/12,68,"1,215",17.7,17.8,17.65,17.75,0.0,26
107/07/13,118,"2,103",17.75,17.85,17.7,17.85,0.1,51
107/07/16,50,891,17.85,17.95,17.85,17.85,0.0,38
107/07/17,66,"1,166",17.8,17.8,17.7,17.7,-0.15,48
107/07/18,132,"2,273",17.25,17.25,17.15,17.2,0.1,41
107/07/19,14,242,17.25,17.3,17.2,17.2,0.0,11
107/07/20,54,931,17.25,17.25,17.1,17.1,-0.1,25
107/07/23,87,"1,485",17.1,17.1,17.0,17.0,-0.1,40
107/07/24,119,"2,036",17.0,17.1,17.0,17.0,0.0,23
107/07/25,68,"1,166",17.1,17.3,17.0,17.2,0.2,39
107/07/26,26,444,17.15,17.15,17.05,17.15,-0.05,24
107/07/27,5,80,17.3,17.3,17.1,17.25,0.1,9
107/07/30,53,904,17.1,17.1,16.95,17.0,-0.25,38
107/07/31,38,650,17.0,17.0,16.9,16.9,-0.1,33
107/08/01,20,339,16.95,16.95,16.95,16.95,0.05,14
107/08/02,88,"1,484",17.0,17.0,16.8,16.8,-0.15,55
107/08/03,65,"1,091",16.8,16.95,16.75,16.95,0.15,45
107/08/06,72,"1,223",16.95,16.95,16.9,16.9,-0.05,26
107/08/07,19,326,16.9,16.9,16.9,16.9,0.0,8
107/08/08,32,537,17.1,17.1,17.0,17.0,0.1,26
107/08/09,16,276,17.0,17.1,17.0,17.05,0.05,11
107/08/10,95,"1,630",17.05,17.1,17.05,17.05,0.0,62
107/08/13,136,"2,302",17.2,17.2,16.65,16.8,-0.25,75
107/08/14,140,"2,348",16.8,16.8,16.7,16.8,0.0,68
107/08/15,288,"4,823",16.85,16.9,16.65,16.75,-0.05,116
107/08/16,180,"2,985",16.7,16.7,16.45,16.55,-0.2,96
107/08/17,68,"1,124",16.65,16.65,16.5,16.55,0.0,44
107/08/20,56,924,16.65,16.65,16.4,16.4,-0.15,35
107/08/21,24,396,16.4,16.45,16.4,16.45,0.05,21
107/08/22,27,448,16.45,16.75,16.45,16.65,0.2,18
107/08/23,390,"6,796",16.8,17.8,16.8,17.75,1.1,243
107/08/24,"2,818","51,730",17.8,19.05,17.8,18.35,0.6,"1,405"
107/08/27,808,"14,495",18.25,18.35,17.5,17.9,-0.45,419
107/08/28,416,"7,402",18.0,18.05,17.65,17.7,-0.2,200
107/08/29,156,"2,785",17.7,17.95,17.65,17.95,0.25,94
107/08/30,204,"3,657",17.95,18.1,17.8,18.0,0.05,87
107/08/31,"1,052","19,512",18.0,19.1,17.7,18.7,0.7,555
107/09/03,570,"10,633",18.9,19.0,18.25,18.3,-0.4,286
107/09/04,348,"6,358",18.3,18.6,18.1,18.3,0.0,160
107/09/05,129,"2,341",18.1,18.4,18.05,18.15,-0.15,67
107/09/06,160,"2,882",18.1,18.2,17.8,17.9,-0.25,94
107/09/07,141,"2,491",17.9,17.9,17.55,17.65,-0.25,97
107/09/10,129,"2,244",17.55,17.55,17.15,17.2,-0.45,96
107/09/11,113,"1,937",17.1,17.2,17.05,17.15,-0.05,77
107/09/12,52,890,17.2,17.2,17.0,17.05,-0.1,36
107/09/13,85,"1,451",17.1,17.15,17.0,17.1,0.05,55
107/09/14,102,"1,742",17.05,17.15,17.0,17.05,-0.05,64
107/09/17,291,"5,152",17.1,18.15,17.1,18.0,0.95,234
107/09/18,137,"2,449",17.95,18.05,17.75,17.75,-0.25,98
107/09/19,65,"1,156",17.8,17.9,17.65,17.65,-0.1,53
107/09/20,46,808,17.75,17.9,17.55,17.55,-0.1,53
107/09/21,31,545,17.75,17.75,17.4,17.45,-0.1,24
107/09/25,67,"1,149",17.25,17.3,17.1,17.3,-0.15,47
107/09/26,26,453,17.25,17.4,17.25,17.35,0.05,25
107/09/27,11,189,17.25,17.35,17.25,17.35,0.0,15
107/09/28,61,"1,057",17.35,17.35,17.15,17.15,-0.2,46
107/10/01,"4,495","78,535",17.15,18.05,17.1,17.65,0.5,808
107/10/02,293,"5,196",17.9,17.9,17.45,17.9,0.25,203
107/10/03,204,"3,597",17.95,18.0,17.25,17.5,-0.4,154
107/10/04,51,891,17.35,17.45,17.3,17.35,-0.15,45
107/10/05,219,"3,703",17.35,17.35,16.7,16.8,-0.55,135
107/10/08,97,"1,609",16.7,16.8,16.5,16.65,-0.15,57
107/10/09,81,"1,335",16.6,16.65,16.45,16.45,-0.2,78
107/10/11,677,"10,119",15.8,16.0,14.85,14.85,-1.6,381
107/10/12,155,"2,328",14.55,15.4,14.55,15.4,0.55,87
107/10/15,82,"1,242",15.05,15.2,14.95,15.2,-0.2,62
107/10/16,55,841,15.2,15.4,15.2,15.25,0.05,31
107/10/17,86,"1,310",15.3,15.4,15.2,15.2,-0.05,46
107/10/18,60,906,15.05,15.2,15.05,15.05,-0.15,36
107/10/19,80,"1,191",15.0,15.0,14.7,14.9,-0.15,62
107/10/22,38,579,14.9,15.4,14.9,15.15,0.25,36
107/10/23,33,493,15.0,15.15,15.0,15.1,-0.05,43
107/10/24,78,"1,185",15.0,15.45,14.8,15.1,0.0,61
107/10/25,82,"1,209",14.7,14.85,14.6,14.75,-0.35,66
107/10/26,63,935,15.2,15.2,14.65,14.7,-0.05,44
107/10/29,22,328,14.7,14.8,14.7,14.8,0.1,19
107/10/30,24,353,14.7,14.8,14.7,14.7,-0.1,17
107/10/31,47,700,14.8,15.25,14.8,14.95,0.25,26
107/11/01,48,721,14.95,15.1,14.85,15.0,0.05,26
107/11/02,36,544,15.1,15.15,15.0,15.05,0.05,25
107/11/05,20,304,14.9,15.25,14.9,15.05,0.0,25
107/11/06,14,211,15.0,15.05,15.0,15.05,0.0,7
107/11/07,111,"1,665",15.0,15.1,14.95,15.1,0.05,67
107/11/08,51,768,15.2,15.2,15.0,15.0,-0.1,48
107/11/09,34,512,15.0,15.2,15.0,15.1,0.1,19
107/11/12,35,537,15.05,15.25,15.05,15.2,0.1,28
107/11/13,29,437,15.1,15.1,14.85,15.0,-0.2,20
107/11/14,"2,223","36,404",15.45,16.5,15.45,16.5,1.5,509
107/11/15,"5,659","97,130",16.6,17.65,16.55,16.55,0.05,"1,803"
107/11/16,"2,372","38,514",16.25,16.5,15.85,16.5,-0.05,872
107/11/19,376,"6,154",16.5,16.7,16.2,16.3,-0.2,206
107/11/20,576,"9,525",16.1,16.8,16.05,16.6,0.3,337
107/11/21,294,"4,877",16.5,16.75,16.4,16.5,-0.1,172
107/11/22,231,"3,829",16.5,16.7,16.45,16.45,-0.05,119
107/11/23,"1,283","21,849",16.45,17.3,16.45,16.9,0.45,617
107/11/26,247,"4,173",16.9,17.2,16.65,16.9,0.0,152
107/11/27,501,"8,563",16.8,17.35,16.5,17.1,0.2,268
107/11/28,846,"14,884",16.95,18.3,16.9,18.3,1.2,412
107/11/29,"3,201","59,437",18.3,19.0,18.15,18.5,0.2,"1,445"
107/11/30,589,"10,715",18.5,18.55,18.05,18.1,-0.4,303
107/12/03,597,"10,945",18.45,18.55,18.15,18.2,0.1,300
107/12/04,967,"17,903",18.05,18.75,18.05,18.6,0.4,462
107/12/05,"4,742","93,161",18.25,20.45,18.2,20.25,1.65,"2,386"
107/12/06,"1,592","30,559",19.8,19.95,18.65,18.85,-1.4,889
107/12/07,"1,420","27,808",18.85,20.4,18.85,20.3,1.45,788
107/12/10,"1,661","32,884",19.95,20.2,19.15,19.6,-0.7,910
107/12/11,846,"16,580",19.6,20.1,19.1,19.3,-0.3,531
107/12/12,911,"17,960",19.6,20.05,19.4,19.45,0.15,464
107/12/13,451,"8,778",19.6,19.7,19.25,19.35,-0.1,247
107/12/14,304,"5,796",19.35,19.35,18.95,19.1,-0.25,185
107/12/17,607,"11,438",19.0,19.25,18.6,18.65,-0.45,290
107/12/18,567,"10,335",18.45,18.5,18.1,18.15,-0.5,244
107/12/19,386,"7,127",18.2,18.8,18.2,18.2,0.05,272
107/12/20,271,"4,895",18.1,18.35,17.7,17.8,-0.4,175
107/12/21,243,"4,366",17.8,18.2,17.8,18.2,0.4,147
107/12/22,71,"1,290",18.1,18.25,18.1,18.15,-0.05,56
107/12/24,602,"11,298",18.15,19.25,18.1,19.25,1.1,372
107/12/25,790,"14,760",18.7,19.1,18.3,18.95,-0.3,454
107/12/26,"1,559","30,177",19.2,19.8,18.55,18.55,-0.4,816
107/12/27,298,"5,635",18.85,19.05,18.75,18.9,0.35,185
107/12/28,500,"9,430",18.9,19.3,18.55,19.2,0.3,261
108/01/02,"1,090","21,228",19.5,19.75,19.15,19.15,-0.05,638
108/01/03,473,"9,166",19.0,19.65,19.0,19.1,-0.05,283
108/01/04,467,"8,835",18.9,19.45,18.4,19.45,0.35,288
108/01/07,"2,322","46,315",19.7,20.3,19.45,19.8,0.35,"1,262"
108/01/08,372,"7,285",19.75,19.8,19.45,19.7,-0.1,234
108/01/09,509,"9,956",19.8,19.9,19.2,19.2,-0.5,286
108/01/10,304,"5,757",19.25,19.35,18.7,18.75,-0.45,202
108/01/11,212,"3,982",18.8,19.1,18.55,18.6,-0.15,129
108/01/14,241,"4,444",18.7,18.7,18.3,18.4,-0.2,172
108/01/15,"1,387","26,981",18.55,19.8,18.55,19.15,0.75,833
108/01/16,361,"6,873",19.2,19.25,18.9,19.1,-0.05,204
108/01/17,337,"6,425",19.3,19.4,18.8,18.9,-0.2,200
108/01/18,125,"2,371",19.05,19.1,18.9,18.95,0.05,89
108/01/21,121,"2,289",19.1,19.15,18.8,18.8,-0.15,98
108/01/22,"1,642","31,916",18.9,19.8,18.9,19.8,1.0,897
108/01/23,"1,542","30,324",19.8,19.9,19.5,19.9,0.1,794
108/01/24,919,"18,354",19.9,20.3,19.7,20.0,0.1,547
108/01/25,"7,048","148,730",20.1,21.75,20.1,21.7,1.7,"2,878"
108/01/28,"9,666","222,745",22.3,23.85,22.3,23.1,1.4,"4,666"
108/01/29,"1,896","42,966",22.7,22.95,22.45,22.65,-0.45,"1,044"
108/01/30,"1,902","43,683",22.65,23.25,22.65,22.8,0.15,"1,018"
108/02/11,"1,485","34,114",23.3,23.65,22.5,22.85,0.05,880
108/02/12,"1,405","31,273",22.6,22.85,22.0,22.05,-0.8,810
108/02/13,"1,118","24,393",22.1,22.25,21.7,21.75,-0.3,627
108/02/14,677,"14,843",21.65,22.2,21.65,21.7,-0.05,444
108/02/15,"1,520","32,092",21.4,21.5,20.85,20.85,-0.85,782
108/02/18,564,"11,936",20.9,21.45,20.9,21.3,0.45,364
108/02/19,528,"11,440",21.85,21.85,21.45,21.5,0.2,332
108/02/20,"1,483","32,188",21.6,22.4,21.15,22.05,0.55,819
108/02/21,940,"20,684",21.8,22.35,21.75,22.05,0.0,510
108/02/22,336,"7,371",22.05,22.25,21.7,21.7,-0.35,227
108/02/25,670,"14,711",21.85,22.15,21.8,21.85,0.15,419
108/02/26,"1,488","33,166",22.45,22.8,21.85,21.85,0.0,765
108/02/27,435,"9,356",22.05,22.05,21.35,21.4,-0.45,351
108/03/04,"1,471","32,477",21.65,22.3,21.4,22.3,0.9,766
108/03/05,634,"14,009",22.25,22.3,21.85,21.85,-0.45,370
108/03/06,417,"9,210",22.0,22.35,21.9,21.95,0.1,279
108/03/07,496,"10,699",22.0,22.25,21.2,21.25,-0.7,368
108/03/08,542,"11,350",21.15,21.25,20.75,21.2,-0.05,324
108/03/11,220,"4,684",21.15,21.4,21.15,21.25,0.05,139
108/03/12,377,"8,014",21.25,21.55,21.0,21.0,-0.25,238
108/03/13,138,"2,915",21.0,21.25,21.0,21.1,0.1,106
108/03/14,152,"3,230",21.3,21.3,21.1,21.1,0.0,117
108/03/15,293,"6,274",21.15,21.65,21.15,21.4,0.3,197
108/03/18,"4,463","102,016",21.7,23.5,21.7,23.45,2.05,"2,183"
