date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"171,000","6,309,950",37.3,37.3,36.75,36.75,+0.05,98
107/07/03,"146,000","5,368,950",37.1,37.1,36.65,36.7,-0.05,59
107/07/04,"207,000","7,583,400",36.5,36.9,36.45,36.5,-0.20,102
107/07/05,"129,000","4,720,950",36.85,36.85,36.45,36.5, 0.00,80
107/07/06,"148,000","5,408,550",36.9,36.9,36.45,36.55,+0.05,94
107/07/09,"195,000","7,245,950",36.55,37.45,36.55,37.35,+0.80,149
107/07/10,"263,035","10,033,008",37.5,38.65,37.5,38.65,+1.30,195
107/07/11,"130,093","4,961,771",38.8,38.8,37.8,38.2,-0.45,84
107/07/12,"179,000","6,816,650",38.25,38.25,37.95,38.2, 0.00,94
107/07/13,"168,000","6,421,350",38.45,38.6,38.0,38.05,-0.15,88
107/07/16,"111,000","4,253,600",38.45,38.55,38.1,38.25,+0.20,77
107/07/17,"127,000","4,887,700",38.45,38.75,38.3,38.5,+0.25,75
107/07/18,"366,064","14,055,322",38.8,38.8,38.3,38.3,-0.20,144
107/07/19,"106,000","4,002,000",37.7,37.9,37.6,37.75,X0.00,67
107/07/20,"152,009","5,789,439",38.0,38.4,37.8,37.8,+0.05,90
107/07/23,"201,000","7,636,950",38.0,38.15,37.9,37.95,+0.15,82
107/07/24,"100,000","3,802,500",38.0,38.15,37.95,38.15,+0.20,62
107/07/25,"193,040","7,316,904",37.9,38.1,37.85,37.85,-0.30,69
107/07/26,"215,960","8,192,844",38.15,38.15,37.85,37.9,+0.05,56
107/07/27,"53,000","2,011,100",38.2,38.2,37.85,38.0,+0.10,26
107/07/30,"55,100","2,096,090",38.0,38.15,38.0,38.1,+0.10,30
107/07/31,"132,084","5,038,508",38.1,38.3,38.0,38.0,-0.10,64
107/08/01,"138,000","5,268,400",38.0,38.3,38.0,38.3,+0.30,64
107/08/02,"122,000","4,660,050",38.4,38.5,38.15,38.15,-0.15,56
107/08/03,"555,080","21,918,558",38.15,40.8,38.15,40.25,+2.10,382
107/08/06,"353,000","14,198,700",41.1,41.1,39.6,39.9,-0.35,236
107/08/07,"86,000","3,416,200",39.9,40.0,39.55,39.55,-0.35,62
107/08/08,"77,000","3,066,150",40.0,40.0,39.65,39.8,+0.25,56
107/08/09,"144,000","5,669,650",39.8,39.95,38.85,38.95,-0.85,95
107/08/10,"265,000","10,152,700",38.85,38.85,38.05,38.05,-0.90,155
107/08/13,"258,000","9,701,200",37.75,38.0,37.35,37.35,-0.70,140
107/08/14,"80,000","3,018,100",37.45,38.25,37.45,37.6,+0.25,56
107/08/15,"127,080","4,772,416",37.6,37.95,37.45,37.45,-0.15,62
107/08/16,"216,128","8,060,986",37.35,37.75,37.05,37.2,-0.25,103
107/08/17,"55,100","2,055,630",37.5,37.5,37.2,37.3,+0.10,38
107/08/20,"178,000","6,598,350",37.1,37.4,36.85,36.85,-0.45,80
107/08/21,"91,000","3,394,450",37.0,37.6,36.9,37.55,+0.70,53
107/08/22,"44,000","1,654,600",37.65,37.85,37.3,37.65,+0.10,40
107/08/23,"102,250","3,850,575",37.65,37.75,37.55,37.75,+0.10,54
107/08/24,"66,000","2,497,400",37.9,37.9,37.7,37.9,+0.15,35
107/08/27,"48,001","1,821,237",38.0,38.0,37.75,37.9, 0.00,28
107/08/28,"83,000","3,167,300",38.1,38.5,38.0,38.05,+0.15,43
107/08/29,"91,000","3,477,250",38.5,38.5,38.1,38.1,+0.05,44
107/08/30,"42,000","1,599,800",38.1,38.3,38.0,38.3,+0.20,27
107/08/31,"62,000","2,366,050",38.5,38.5,38.05,38.15,-0.15,34
107/09/03,"128,000","4,888,000",38.5,38.5,37.7,38.25,+0.10,60
107/09/04,"111,036","4,270,548",38.45,38.85,38.25,38.85,+0.60,60
107/09/05,"112,000","4,356,250",39.1,39.15,38.65,38.85, 0.00,81
107/09/06,"129,100","5,027,110",38.85,39.1,38.8,38.85, 0.00,92
107/09/07,"130,036","5,008,162",38.85,39.2,38.0,38.05,-0.80,101
107/09/10,"248,000","9,565,200",40.2,40.2,38.1,38.2,+0.15,154
107/09/11,"164,244","6,356,417",38.7,38.9,38.5,38.8,+0.60,82
107/09/12,"116,000","4,493,800",38.8,39.0,38.5,38.55,-0.25,68
107/09/13,"54,000","2,091,050",39.3,39.3,38.5,38.8,+0.25,46
107/09/14,"85,000","3,289,800",38.5,39.0,38.25,39.0,+0.20,66
107/09/17,"110,035","4,299,672",38.6,39.25,38.5,39.25,+0.25,54
107/09/18,"132,000","5,189,250",38.75,39.5,38.75,39.4,+0.15,90
107/09/19,"133,000","5,260,900",39.6,39.85,39.4,39.65,+0.25,112
107/09/20,"55,000","2,165,300",39.65,39.8,39.15,39.25,-0.40,37
107/09/21,"48,000","1,867,250",39.25,39.25,38.6,38.85,-0.40,34
107/09/25,"38,020","1,473,426",39.0,39.1,38.5,38.65,-0.20,36
107/09/26,"28,000","1,080,700",38.65,38.75,38.5,38.55,-0.10,23
107/09/27,"59,000","2,284,600",38.55,39.1,38.5,38.5,-0.05,40
107/09/28,"47,000","1,804,950",38.5,38.6,38.3,38.3,-0.20,41
107/10/01,"59,000","2,269,550",39.2,39.2,38.3,38.4,+0.10,36
107/10/02,"51,071","1,958,358",38.2,38.5,38.2,38.3,-0.10,42
107/10/03,"94,000","3,607,700",38.8,38.8,38.25,38.4,+0.10,54
107/10/04,"104,000","3,959,600",38.8,38.8,37.8,37.8,-0.60,61
107/10/05,"205,000","7,705,150",37.75,38.05,37.4,37.45,-0.35,117
107/10/08,"286,007","10,521,606",37.0,37.25,36.55,36.65,-0.80,122
107/10/09,"134,009","4,899,480",36.4,36.8,36.4,36.55,-0.10,65
107/10/11,"475,041","16,436,294",36.0,36.0,33.1,33.7,-2.85,203
107/10/12,"327,000","11,007,800",33.5,34.5,33.1,34.45,+0.75,133
107/10/15,"66,000","2,265,250",34.4,35.2,34.0,35.2,+0.75,41
107/10/16,"56,055","1,983,302",35.8,36.0,35.05,35.45,+0.25,38
107/10/17,"116,000","4,094,250",35.45,35.8,35.0,35.0,-0.45,56
107/10/18,"24,000","841,700",35.55,35.55,34.85,35.2,+0.20,16
107/10/19,"94,100","3,296,225",35.4,35.4,34.5,35.4,+0.20,46
107/10/22,"32,000","1,142,250",36.3,36.3,35.05,35.8,+0.40,20
107/10/23,"28,000","995,800",35.65,35.85,35.15,35.8, 0.00,21
107/10/24,"52,050","1,831,217",34.5,35.75,34.5,35.0,-0.80,35
107/10/25,"132,100","4,481,440",34.3,34.65,33.5,33.6,-1.40,68
107/10/26,"183,000","6,168,900",33.75,34.45,33.6,33.6, 0.00,69
107/10/29,"67,000","2,266,000",33.2,35.0,33.2,34.8,+1.20,41
107/10/30,"57,000","1,944,900",35.0,35.0,33.8,34.0,-0.80,45
107/10/31,"45,000","1,543,450",34.7,34.7,34.05,34.15,+0.15,35
107/11/01,"67,000","2,310,150",34.9,34.9,34.3,34.3,+0.15,37
107/11/02,"69,000","2,414,300",35.5,35.5,34.6,34.6,+0.30,58
107/11/05,"37,041","1,285,185",34.7,34.95,34.5,34.7,+0.10,26
107/11/06,"38,000","1,307,850",34.8,34.9,34.2,34.55,-0.15,31
107/11/07,"106,000","3,662,350",34.6,34.75,34.35,34.55, 0.00,49
107/11/08,"107,000","3,697,050",34.8,34.9,34.2,34.7,+0.15,58
107/11/09,"19,000","651,500",34.7,34.7,34.0,34.45,-0.25,16
107/11/12,"89,050","3,019,257",33.75,34.15,33.75,33.85,-0.60,73
107/11/13,"44,000","1,484,450",33.95,34.0,33.5,33.8,-0.05,43
107/11/14,"72,000","2,452,400",33.95,34.2,33.9,34.2,+0.40,37
107/11/15,"43,000","1,475,500",34.45,34.45,34.1,34.4,+0.20,29
107/11/16,"38,000","1,309,350",34.5,34.6,34.15,34.45,+0.05,20
107/11/19,"52,000","1,796,050",34.5,34.6,34.45,34.5,+0.05,37
107/11/20,"86,000","2,969,200",34.5,34.6,34.2,34.3,-0.20,42
107/11/21,"63,000","2,165,400",34.3,34.7,34.2,34.2,-0.10,31
107/11/22,"42,000","1,446,900",34.2,34.65,34.2,34.5,+0.30,20
107/11/23,"36,000","1,244,850",34.4,34.65,34.25,34.5, 0.00,24
107/11/26,"69,173","2,372,168",34.2,34.75,33.85,34.2,-0.30,61
107/11/27,"28,000","957,500",34.25,34.4,33.95,34.4,+0.20,28
107/11/28,"73,000","2,529,150",34.95,34.95,34.4,34.7,+0.30,43
107/11/29,"67,000","2,314,850",35.0,35.0,34.3,34.7, 0.00,42
107/11/30,"124,050","4,296,630",34.8,34.8,34.4,34.6,-0.10,49
107/12/03,"195,000","6,766,500",34.6,34.9,34.45,34.85,+0.25,94
107/12/04,"216,000","7,564,250",34.9,36.0,34.65,34.7,-0.15,122
107/12/05,"68,160","2,356,986",34.55,34.85,34.45,34.85,+0.15,43
107/12/06,"178,050","6,040,110",34.85,34.85,33.35,33.9,-0.95,126
107/12/07,"41,000","1,388,700",33.9,34.0,33.65,33.95,+0.05,34
107/12/10,"145,055","4,763,170",34.3,34.3,32.25,32.95,-1.00,94
107/12/11,"71,000","2,359,700",33.2,33.4,33.05,33.1,+0.15,33
107/12/12,"103,404","3,412,372",33.4,33.4,32.8,33.15,+0.05,56
107/12/13,"93,000","3,065,150",33.4,33.4,32.65,33.1,-0.05,50
107/12/14,"53,000","1,737,900",32.8,33.0,32.7,32.7,-0.40,31
107/12/17,"127,096","4,119,574",32.8,32.8,32.25,32.45,-0.25,79
107/12/18,"184,000","5,904,000",32.5,32.5,31.85,32.3,-0.15,82
107/12/19,"61,000","1,952,000",32.2,32.2,31.9,31.9,-0.40,35
107/12/20,"147,000","4,640,050",31.8,31.85,31.3,31.3,-0.60,76
107/12/21,"178,000","5,514,300",31.3,31.3,30.8,30.8,-0.50,78
107/12/22,"205,000","6,168,400",30.95,30.95,29.9,30.5,-0.30,103
107/12/24,"86,000","2,655,600",30.75,31.2,30.7,30.85,+0.35,45
107/12/25,"61,195","1,861,629",30.7,30.7,30.1,30.1,-0.75,32
107/12/26,"130,000","3,915,000",30.2,30.7,29.8,30.7,+0.60,56
107/12/27,"73,000","2,252,200",31.0,31.0,30.7,30.75,+0.05,31
107/12/28,"48,036","1,487,980",30.75,31.4,30.75,31.4,+0.65,30
108/01/02,"113,000","3,552,250",32.0,32.0,31.3,31.55,+0.15,58
108/01/03,"57,000","1,787,300",31.55,31.55,31.15,31.2,-0.35,34
108/01/04,"96,000","2,989,050",31.2,31.65,30.8,31.65,+0.45,54
108/01/07,"135,000","4,276,250",31.35,31.95,31.2,31.75,+0.10,74
108/01/08,"83,000","2,641,550",31.9,31.9,31.7,31.9,+0.15,46
108/01/09,"101,000","3,229,950",32.0,32.2,31.8,32.0,+0.10,62
108/01/10,"46,360","1,473,170",32.3,32.3,31.6,31.9,-0.10,34
108/01/11,"63,150","2,010,400",32.15,32.15,31.6,32.0,+0.10,43
108/01/14,"45,000","1,424,600",32.0,32.0,31.55,31.8,-0.20,32
108/01/15,"24,000","762,150",31.55,31.85,31.55,31.85,+0.05,21
108/01/16,"123,000","3,898,250",32.2,32.2,31.55,31.55,-0.30,54
108/01/17,"62,001","1,956,731",31.9,31.9,31.5,31.6,+0.05,41
108/01/18,"53,029","1,679,128",31.85,31.9,31.5,31.9,+0.30,34
108/01/21,"38,000","1,205,550",31.9,31.9,31.55,31.8,-0.10,34
108/01/22,"53,000","1,672,800",31.85,31.85,31.45,31.6,-0.20,34
108/01/23,"51,019","1,607,408",31.7,31.7,31.3,31.65,+0.05,31
108/01/24,"68,000","2,140,150",31.5,31.5,31.4,31.45,-0.20,41
108/01/25,"129,000","4,089,900",32.05,32.1,31.55,31.7,+0.25,84
108/01/28,"63,000","1,998,500",31.6,31.9,31.6,31.8,+0.10,40
108/01/29,"124,003","3,945,745",31.8,32.2,31.6,31.95,+0.15,82
108/01/30,"87,003","2,780,005",31.95,32.05,31.9,32.0,+0.05,59
