date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"7,265,711","455,040,934",62.7,63.0,62.0,62.7, 0.00,"3,353"
107/07/03,"4,816,941","303,684,983",63.0,63.4,62.8,63.0,+0.30,"2,254"
107/07/04,"2,654,075","168,094,254",63.1,63.6,63.0,63.4,+0.40,"1,334"
107/07/05,"5,972,893","376,311,200",63.4,63.5,62.2,63.1,-0.30,"2,637"
107/07/06,"6,463,276","403,137,996",63.4,63.4,62.0,62.4,-0.70,"3,617"
107/07/09,"3,965,791","248,883,133",62.4,63.1,62.3,62.9,+0.50,"2,414"
107/07/10,"4,488,931","285,537,386",63.5,63.9,63.0,63.8,+0.90,"2,285"
107/07/11,"3,259,692","204,490,948",62.7,63.0,62.5,62.6,-1.20,"2,067"
107/07/12,"5,443,708","343,741,962",62.6,63.7,62.6,63.1,+0.50,"2,996"
107/07/13,"4,244,411","270,702,604",63.6,64.0,63.4,64.0,+0.90,"2,086"
107/07/16,"7,679,111","498,223,914",64.1,65.4,64.1,65.3,+1.30,"3,811"
107/07/17,"8,471,743","558,992,902",65.3,66.7,64.9,66.7,+1.40,"5,057"
107/07/18,"7,966,608","535,090,739",66.7,67.5,66.6,67.2,+0.50,"4,951"
107/07/19,"7,606,296","516,174,906",67.3,68.5,67.3,67.3,+0.10,"3,915"
107/07/20,"10,809,061","737,472,633",67.7,69.0,67.3,68.4,+1.10,"6,004"
107/07/23,"7,766,431","535,928,701",68.6,69.5,68.6,69.3,+0.90,"4,077"
107/07/24,"5,928,677","408,795,613",69.5,69.5,68.6,69.1,-0.20,"2,762"
107/07/25,"7,398,383","509,274,590",69.1,69.1,68.5,68.7,-0.40,"3,375"
107/07/26,"11,299,445","769,084,433",68.7,69.0,67.5,67.9,-0.80,"4,209"
107/07/27,"17,239,013","1,186,886,869",68.0,69.3,68.0,69.2,+1.30,"6,802"
107/07/30,"12,044,565","798,162,659",66.2,66.8,65.9,66.5,X0.00,"6,004"
107/07/31,"12,781,324","862,369,338",66.5,68.1,66.2,68.1,+1.60,"5,479"
107/08/01,"10,502,559","711,051,220",68.5,68.5,67.3,67.5,-0.60,"5,462"
107/08/02,"6,697,063","448,365,488",67.9,68.0,66.3,66.6,-0.90,"3,783"
107/08/03,"8,937,956","592,339,445",65.9,66.9,65.7,66.7,+0.10,"4,345"
107/08/06,"9,782,180","646,375,283",66.9,66.9,65.6,66.0,-0.70,"5,474"
107/08/07,"7,640,971","508,792,357",66.1,67.0,66.1,66.6,+0.60,"4,068"
107/08/08,"7,018,989","467,802,559",67.0,67.1,66.3,66.6, 0.00,"3,814"
107/08/09,"4,963,037","331,376,160",66.8,67.0,66.5,66.7,+0.10,"2,124"
107/08/10,"19,756,970","1,349,814,022",67.6,69.0,67.1,69.0,+2.30,"9,762"
107/08/13,"7,861,854","536,300,789",69.0,69.0,67.5,67.8,-1.20,"4,816"
107/08/14,"4,138,519","282,829,830",68.0,68.7,67.9,68.5,+0.70,"2,307"
107/08/15,"3,995,536","269,342,057",68.3,68.3,67.0,67.2,-1.30,"2,462"
107/08/16,"6,046,491","402,537,897",66.2,67.7,65.8,66.5,-0.70,"3,302"
107/08/17,"10,884,642","716,162,403",67.0,67.2,65.1,65.4,-1.10,"5,167"
107/08/20,"5,258,247","346,677,295",65.6,66.3,65.5,65.6,+0.20,"2,507"
107/08/21,"9,759,338","626,593,996",65.6,65.8,63.4,64.3,-1.30,"5,152"
107/08/22,"7,486,414","481,132,594",64.4,64.8,63.6,64.5,+0.20,"2,813"
