date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,50,"1,945",39.00,39.00,38.60,38.60,-0.35,31
107/07/03,143,"5,462",38.80,38.90,37.55,37.55,-1.05,73
107/07/04,50,"1,892",37.55,38.50,37.00,37.70,0.15,38
107/07/05,62,"2,304",37.10,37.65,36.80,37.00,-0.7,44
107/07/06,97,"3,541",36.50,36.95,36.45,36.50,-0.5,68
107/07/09,74,"2,685",36.90,36.90,36.05,36.15,0.15,52
107/07/10,32,"1,178",36.50,37.10,36.50,37.00,0.85,30
107/07/11,62,"2,298",36.90,37.90,36.90,37.10,0.1,39
107/07/12,43,"1,596",37.10,37.30,37.00,37.30,0.2,31
107/07/13,48,"1,812",37.80,37.95,37.35,37.60,0.3,48
107/07/16,48,"1,810",38.00,38.00,37.50,37.50,-0.1,35
107/07/17,23,846,37.50,37.90,37.50,37.80,0.3,23
107/07/18,53,"1,970",37.35,37.70,37.30,37.65,-0.15,38
107/07/19,29,"1,094",38.00,38.00,37.60,37.70,0.05,21
107/07/20,31,"1,171",38.00,38.00,37.50,37.50,-0.2,24
107/07/23,38,"1,406",36.95,37.05,36.95,36.95,-0.55,25
107/07/24,50,"1,841",37.00,37.00,36.70,36.90,-0.05,32
107/07/25,42,"1,555",36.95,37.10,36.90,37.00,0.1,29
107/07/26,45,"1,688",37.45,37.45,36.85,37.10,0.1,26
107/07/27,65,"2,446",37.50,37.50,37.15,37.30,0.2,44
107/07/30,102,"3,869",37.40,38.50,37.30,37.60,0.3,60
107/07/31,65,"2,483",37.90,38.40,37.90,38.40,0.8,54
107/08/01,33,"1,246",38.40,38.40,37.50,37.75,-0.65,28
107/08/02,37,"1,383",37.65,37.65,37.20,37.40,-0.35,27
107/08/03,46,"1,701",37.30,37.30,36.70,37.20,-0.2,33
107/08/06,24,899,37.00,37.20,37.00,37.20,0.0,17
107/08/07,34,"1,268",37.50,38.15,37.00,37.50,0.3,31
107/08/08,31,"1,157",37.05,37.45,37.05,37.40,-0.1,28
107/08/09,83,"3,064",37.00,37.80,36.50,37.80,0.4,62
107/08/10,98,"3,699",37.90,38.25,37.50,37.55,-0.25,71
107/08/13,130,"4,716",37.00,37.00,36.00,36.00,-1.55,60
