date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"1,990","569,735",286.0,291.0,282.0,283.0,-1.0,"1,595"
107/07/03,"2,391","649,476",286.5,287.5,260.5,268.5,-14.5,"2,119"
107/07/04,956,"257,217",274.0,275.0,264.0,266.5,-2.0,885
107/07/05,"1,281","334,226",268.0,269.5,255.0,257.0,-9.5,"1,094"
107/07/06,"1,789","482,950",260.0,279.5,256.0,272.5,15.5,"1,518"
107/07/09,903,"242,830",273.0,274.0,265.0,267.5,-5.0,796
107/07/10,835,"229,740",271.0,279.0,271.0,275.0,7.5,761
107/07/11,481,"131,367",276.0,276.0,271.0,271.0,-4.0,427
107/07/12,969,"270,109",272.5,284.5,271.5,282.0,11.0,853
107/07/13,"2,441","718,520",286.0,302.0,283.0,297.5,15.5,"2,007"
107/07/16,"1,458","424,125",295.0,296.5,287.5,290.0,-7.5,"1,210"
107/07/17,518,"149,723",290.5,294.0,285.0,289.0,-1.0,489
107/07/18,793,"231,632",294.5,297.0,286.5,289.0,0.0,720
107/07/19,574,"165,356",290.0,293.0,285.0,285.0,-4.0,493
107/07/20,335,"95,639",288.0,289.5,283.0,284.0,-1.0,307
107/07/23,791,"215,747",286.0,286.0,267.0,270.0,-14.0,685
107/07/24,270,"73,707",270.0,276.0,269.0,275.5,5.5,270
107/07/25,270,"75,059",273.0,281.0,273.0,279.0,3.5,265
107/07/26,318,"89,891",279.0,285.0,279.0,280.0,1.0,293
107/07/27,716,"205,805",280.5,291.5,280.5,290.0,10.0,604
107/07/30,537,"151,831",288.0,288.0,279.0,281.0,-9.0,478
107/07/31,296,"83,577",283.0,286.0,279.0,283.5,2.5,257
107/08/01,565,"163,042",284.5,292.5,284.5,288.0,4.5,467
107/08/02,596,"167,221",288.0,288.5,275.0,279.0,-9.0,545
107/08/03,512,"142,331",280.0,283.0,274.0,279.0,0.0,457
107/08/06,363,"102,219",281.0,284.5,279.0,281.5,2.5,338
107/08/07,441,"125,989",282.5,288.0,282.0,288.0,6.5,371
107/08/08,789,"228,075",289.0,292.5,286.0,286.5,-1.5,629
107/08/09,"1,478","406,433",284.0,287.0,270.5,271.0,-15.5,"1,274"
107/08/10,735,"191,438",263.0,265.5,252.5,252.5,-10.5,686
107/08/13,"1,272","295,305",250.5,250.5,227.5,227.5,-25.0,"1,038"
107/08/14,"1,160","259,242",228.0,229.0,219.5,225.0,-2.5,"1,037"
107/08/15,786,"174,659",225.0,226.5,220.0,220.0,-5.0,735
107/08/16,"1,425","303,730",220.0,220.0,207.0,212.5,-7.5,"1,288"
107/08/17,963,"207,182",216.5,219.0,211.5,213.0,0.5,880
107/08/20,"1,503","304,042",213.5,215.0,196.0,198.5,-14.5,"1,307"
107/08/21,"1,220","247,940",199.5,205.5,199.5,205.0,6.5,"1,066"
107/08/22,935,"187,911",205.0,206.0,198.0,200.5,-4.5,872
107/08/23,642,"130,131",202.0,206.0,198.0,205.0,4.5,590
107/08/24,646,"130,616",207.0,207.0,199.0,200.5,-4.5,582
107/08/27,678,"140,685",202.0,210.5,202.0,210.0,9.5,588
107/08/28,734,"156,068",212.0,215.0,210.0,210.0,0.0,685
107/08/29,469,"100,190",211.5,216.0,210.5,214.0,4.0,445
107/08/30,375,"79,707",214.0,215.5,210.5,211.0,-3.0,332
107/08/31,266,"56,130",209.0,213.5,208.0,211.5,0.5,243
107/09/03,938,"190,147",214.0,214.0,197.5,199.0,-12.5,831
107/09/04,675,"135,915",200.5,203.5,198.0,202.5,3.5,626
107/09/05,559,"115,410",203.0,209.0,203.0,206.0,3.5,500
107/09/06,274,"55,796",205.0,205.0,201.0,204.0,-2.0,257
107/09/07,"1,059","205,977",202.0,202.0,187.5,190.0,-14.0,934
107/09/10,"2,189","383,259",185.5,190.0,171.0,171.0,-19.0,"1,595"
107/09/11,"2,829","461,802",165.5,171.0,157.0,169.0,-2.0,"2,319"
107/09/12,"1,590","260,962",170.0,172.0,159.5,165.0,-4.0,"1,367"
107/09/13,"1,283","209,551",167.0,167.0,161.5,163.0,-2.0,"1,069"
107/09/14,"1,275","218,976",167.0,177.5,167.0,176.0,13.0,"1,074"
107/09/17,716,"125,829",179.0,179.0,172.0,177.5,1.5,590
107/09/18,730,"127,631",177.0,178.0,172.5,174.0,-3.5,601
107/09/19,816,"145,597",174.0,182.0,174.0,176.5,2.5,695
107/09/20,645,"112,896",177.5,179.5,172.0,175.5,-1.0,512
107/09/21,969,"175,501",177.0,184.0,176.5,182.5,7.0,830
107/09/25,"1,073","198,851",182.5,190.0,180.5,184.5,2.0,835
107/09/26,"1,330","252,214",183.5,194.0,182.5,191.5,7.0,"1,139"
107/09/27,961,"179,392",188.0,189.0,184.5,185.5,-6.0,827
107/09/28,486,"89,581",186.5,187.0,182.0,184.0,-1.5,432
107/10/01,415,"76,460",186.0,186.0,182.5,184.0,0.0,342
107/10/02,732,"135,852",184.0,190.0,182.0,187.0,3.0,633
107/10/03,711,"129,755",186.0,187.0,177.5,179.0,-8.0,611
107/10/04,636,"113,611",178.0,181.5,175.0,181.0,2.0,524
107/10/05,"1,133","196,194",178.0,179.5,165.5,177.5,-3.5,935
107/10/08,982,"169,611",175.5,178.5,169.5,171.5,-6.0,825
107/10/09,"2,203","358,617",169.5,170.0,157.5,163.5,-8.0,"1,810"
107/10/11,712,"105,229",147.5,149.5,147.5,147.5,-16.0,435
107/10/12,"3,240","445,313",136.0,147.0,133.0,145.0,-2.5,"2,133"
107/10/15,"1,206","178,081",140.0,152.0,139.5,149.0,4.0,"1,018"
107/10/16,765,"122,497",149.0,163.5,149.0,163.5,14.5,559
107/10/17,"2,835","490,753",173.0,179.5,167.0,169.0,5.5,"2,144"
107/10/18,807,"134,045",166.0,169.0,164.0,165.5,-3.5,730
107/10/19,"1,021","164,626",162.0,165.0,157.0,165.0,-0.5,863
107/10/22,"1,669","289,100",166.0,177.5,164.0,174.0,9.0,"1,426"
107/10/23,"1,127","191,866",170.0,174.0,167.5,168.5,-5.5,919
107/10/24,"1,450","248,330",170.0,176.0,164.0,172.5,4.0,"1,140"
107/10/25,"1,040","173,321",165.0,169.0,163.0,168.0,-4.5,838
107/10/26,"2,326","368,380",172.0,173.5,151.5,152.0,-16.0,"1,817"
107/10/29,"2,475","377,359",154.5,166.5,143.0,160.0,8.0,"2,074"
107/10/30,"1,293","201,922",158.5,160.0,152.0,156.0,-4.0,"1,081"
107/10/31,"1,615","270,609",159.5,171.5,159.5,171.5,15.5,"1,320"
107/11/01,"2,000","351,985",173.0,180.0,170.0,176.0,4.5,"1,643"
107/11/02,"2,772","510,766",175.0,191.0,175.0,186.5,10.5,"2,128"
107/11/05,"1,569","297,604",187.0,194.0,187.0,189.0,2.5,"1,224"
107/11/06,"2,247","430,473",191.0,197.5,184.0,192.0,3.0,"1,764"
107/11/07,"1,616","312,532",193.0,197.0,190.5,194.0,2.0,"1,299"
107/11/08,"2,013","379,094",196.5,196.5,182.5,187.5,-6.5,"1,607"
107/11/09,"2,273","410,293",184.5,186.0,175.0,178.5,-9.0,"1,811"
107/11/12,"2,572","473,740",174.0,192.5,174.0,185.0,6.5,"2,121"
107/11/13,"2,116","390,961",177.5,189.5,177.0,189.0,4.0,"1,700"
107/11/14,"1,321","246,847",187.5,191.0,184.5,184.5,-4.5,"1,070"
107/11/15,887,"164,882",188.0,189.0,183.0,187.0,2.5,735
107/11/16,"2,954","570,845",189.5,197.0,188.5,196.0,9.0,"2,258"
107/11/19,"2,123","414,487",197.0,201.5,189.0,193.5,-2.5,"1,760"
107/11/20,677,"130,792",191.5,196.5,190.5,192.5,-1.0,572
107/11/21,704,"135,080",190.5,193.5,189.0,193.0,0.5,605
107/11/22,"2,620","498,981",195.0,198.5,183.0,184.0,-9.0,"2,027"
107/11/23,"2,811","494,554",184.0,184.5,168.5,169.5,-14.5,"2,206"
107/11/26,"1,612","284,546",172.5,179.5,171.5,177.5,8.0,"1,353"
107/11/27,906,"161,641",177.5,181.5,174.5,181.0,3.5,758
107/11/28,"1,165","217,682",183.0,189.5,182.0,188.0,7.0,962
107/11/29,"1,140","215,127",191.0,193.0,186.0,187.0,-1.0,911
107/11/30,"2,246","435,152",188.0,196.5,186.0,194.0,7.0,"1,822"
107/12/03,"3,878","783,146",198.0,208.0,194.0,196.5,2.5,"2,719"
107/12/04,"3,635","688,185",195.0,196.0,183.0,183.0,-13.5,"2,638"
107/12/05,"2,937","529,604",182.0,184.5,175.5,179.5,-3.5,"2,170"
107/12/06,"2,561","461,580",183.0,186.0,173.0,179.0,-0.5,"2,110"
107/12/07,"1,587","283,729",181.0,183.0,175.0,177.5,-1.5,"1,202"
107/12/10,"1,536","265,330",174.0,176.5,169.0,175.5,-2.0,"1,203"
107/12/11,823,"144,674",177.0,178.0,172.5,177.0,1.5,656
107/12/12,"1,149","209,307",178.5,184.0,178.5,182.5,5.5,920
107/12/13,715,"129,108",183.5,183.5,178.5,180.5,-2.0,508
107/12/14,424,"76,514",179.5,182.0,179.0,180.0,-0.5,364
107/12/17,621,"110,744",180.0,183.0,175.5,175.5,-4.5,475
107/12/18,764,"133,748",172.0,177.5,171.0,176.0,0.5,649
107/12/19,"3,230","595,050",177.0,187.5,177.0,184.0,8.0,"2,464"
107/12/20,"1,256","228,686",182.5,185.0,178.5,181.0,-3.0,"1,047"
107/12/21,"4,666","873,600",181.5,190.5,181.0,188.0,7.0,"3,214"
107/12/22,"1,570","297,513",191.5,192.5,186.0,187.0,-1.0,"1,363"
107/12/24,"2,133","405,334",190.5,192.0,187.5,188.5,1.5,"1,562"
107/12/25,"1,388","253,201",185.0,185.5,179.0,182.5,-6.0,"1,153"
107/12/26,847,"153,547",184.0,185.0,178.0,178.0,-4.5,646
107/12/27,649,"118,071",183.0,184.0,180.0,180.5,2.5,478
107/12/28,467,"83,758",181.0,182.0,178.5,179.0,-1.5,391
108/01/02,329,"59,105",179.0,181.0,179.0,179.0,0.0,273
108/01/03,"2,890","487,896",179.5,179.5,162.5,164.0,-15.0,"1,955"
108/01/04,"1,555","245,677",162.0,162.0,154.5,159.0,-5.0,"1,252"
108/01/07,"1,251","205,848",163.0,167.5,161.5,164.0,5.0,"1,059"
108/01/08,398,"65,994",165.0,167.5,164.5,167.5,3.5,369
108/01/09,"1,115","186,765",168.0,170.5,164.5,165.0,-2.5,826
108/01/10,512,"85,166",165.0,169.0,165.0,166.5,1.5,396
108/01/11,614,"103,016",167.5,169.5,166.0,168.5,2.0,463
108/01/14,853,"138,680",168.0,168.0,160.5,162.0,-6.5,658
108/01/15,645,"105,436",161.0,165.5,159.5,165.5,3.5,582
108/01/16,847,"142,569",165.5,169.5,165.5,168.5,3.0,642
108/01/17,703,"118,823",169.0,171.5,167.0,167.0,-1.5,576
108/01/18,669,"113,533",167.5,171.0,167.0,169.0,2.0,566
108/01/21,"1,168","202,917",171.0,176.0,171.0,171.5,2.5,949
108/01/22,414,"70,579",170.5,172.5,169.0,170.0,-1.5,302
108/01/23,390,"66,074",169.0,171.0,168.5,169.5,-0.5,320
108/01/24,383,"65,527",169.5,172.5,169.5,170.5,1.0,306
108/01/25,515,"88,921",172.5,174.5,171.5,172.0,1.5,416
108/01/28,462,"80,359",173.0,175.5,172.0,173.0,1.0,410
108/01/29,379,"65,047",173.0,173.5,170.0,172.0,-1.0,286
108/01/30,347,"59,696",173.5,174.0,170.5,170.5,-1.5,268
108/02/11,576,"101,077",173.0,178.0,173.0,176.5,6.0,490
108/02/12,"1,684","307,856",176.5,187.0,176.5,186.5,10.0,"1,324"
108/02/13,"2,046","387,380",188.0,193.0,184.5,185.5,-1.0,"1,568"
108/02/14,"1,402","262,693",188.0,189.5,185.5,187.0,1.5,"1,059"
108/02/15,"1,087","203,725",189.5,191.0,183.0,187.0,0.0,853
108/02/18,"1,666","317,271",191.5,192.5,188.0,191.5,4.5,"1,275"
108/02/19,552,"104,395",191.0,191.0,188.0,188.5,-3.0,450
108/02/20,600,"113,484",190.5,190.5,188.0,188.0,-0.5,481
108/02/21,"2,947","572,637",190.0,197.0,189.0,193.5,5.5,"2,261"
108/02/22,835,"160,092",192.5,193.5,190.0,192.5,-1.0,727
108/02/25,"1,494","292,988",194.0,199.0,191.0,196.5,4.0,"1,214"
108/02/26,"3,007","602,273",201.5,206.5,192.0,192.5,-4.0,"2,522"
108/02/27,738,"140,735",192.5,195.0,189.0,190.0,-2.5,639
108/03/04,485,"92,607",192.0,193.5,189.0,190.5,0.5,418
108/03/05,639,"120,078",190.5,190.5,186.0,186.5,-4.0,413
108/03/06,533,"100,708",188.0,191.5,187.0,190.0,3.5,483
108/03/07,690,"128,040",189.5,191.0,182.0,183.5,-6.5,562
108/03/08,515,"93,712",183.5,185.0,180.5,182.0,-1.5,413
108/03/11,366,"67,797",181.5,187.0,181.5,186.0,4.0,322
108/03/12,896,"170,706",188.0,192.5,187.5,189.5,3.5,727
108/03/13,342,"65,054",190.0,192.0,188.5,189.0,-0.5,284
108/03/14,348,"65,502",190.0,190.5,187.0,187.5,-1.5,313
108/03/15,"1,069","205,532",189.0,194.5,188.0,194.5,7.0,834
108/03/18,"1,007","196,448",197.5,198.5,192.5,195.0,0.5,804
108/03/19,"1,216","238,690",195.0,199.5,194.0,194.5,-0.5,993
108/03/20,597,"116,355",196.5,197.5,193.0,195.0,0.5,486
108/03/21,"2,040","387,983",194.0,196.0,185.5,188.0,-7.0,"1,587"
108/03/22,646,"121,315",189.0,190.0,186.5,188.0,0.0,583
108/03/25,493,"90,772",186.0,186.0,182.5,184.0,-4.0,417
108/03/26,169,"31,406",185.0,186.5,185.0,185.5,1.5,160
108/03/27,184,"34,383",185.5,187.5,185.5,186.5,1.0,155
108/03/28,990,"187,908",188.0,191.5,187.5,188.5,2.0,769
108/03/29,543,"102,852",189.0,191.0,187.5,190.0,1.5,417
108/04/01,411,"77,934",191.5,192.0,188.5,189.0,-1.0,349
108/04/02,"1,004","192,592",190.0,194.5,189.5,193.5,4.5,806
108/04/03,787,"150,399",193.5,194.0,189.5,191.5,-2.0,599
108/04/08,485,"92,637",192.5,193.0,190.0,190.0,-1.5,433
108/04/09,222,"42,467",191.5,191.5,190.0,191.0,1.0,209
108/04/10,"1,072","207,999",193.0,196.5,192.0,192.0,1.0,851
108/04/11,606,"115,324",193.0,193.5,188.0,188.5,-3.5,457
108/04/12,574,"106,441",188.5,189.5,184.0,185.0,-3.5,473
108/04/15,361,"67,847",185.0,191.0,185.0,190.0,5.0,289
108/04/16,546,"104,201",193.5,193.5,189.0,189.0,-1.0,402
