date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,113,"6,211",55.8,55.8,54.2,54.8,0.1,99
107/07/03,360,"19,361",54.8,55.0,51.8,52.1,-2.7,209
107/07/04,272,"14,181",52.0,53.4,51.1,52.6,0.5,171
107/07/05,390,"19,826",53.3,53.3,49.75,50.3,-2.3,252
107/07/06,619,"30,131",50.3,51.0,47.1,49.5,-0.8,415
107/07/09,278,"13,577",51.3,51.3,48.0,48.0,-1.5,189
107/07/10,616,"29,637",48.9,49.7,47.15,47.95,-0.05,387
107/07/11,230,"11,012",48.0,48.5,47.05,48.3,0.35,142
107/07/12,413,"20,821",48.2,52.2,47.7,51.5,3.2,283
107/07/13,380,"19,715",51.6,52.9,50.8,52.2,0.7,305
107/07/16,774,"41,965",52.9,55.3,52.7,54.4,2.2,484
107/07/17,422,"22,567",55.0,55.0,52.1,52.5,-1.9,278
107/07/18,388,"20,459",52.5,54.1,52.0,52.3,-0.2,247
107/07/19,486,"26,010",53.4,54.4,52.6,54.0,1.7,315
107/07/20,245,"13,079",54.7,54.8,52.6,52.6,-1.4,187
107/07/23,827,"45,034",53.3,55.7,52.3,54.7,2.1,481
107/07/24,383,"20,889",55.4,55.6,53.9,54.2,-0.5,228
107/07/25,339,"18,702",54.6,56.0,54.4,54.7,0.5,258
107/07/26,216,"11,801",54.6,55.3,54.2,55.1,0.4,138
107/07/27,449,"24,902",55.2,56.5,54.8,54.9,-0.2,234
107/07/30,459,"25,549",54.9,56.1,54.6,55.7,0.8,280
107/07/31,"1,181","68,048",55.7,59.8,55.3,58.4,2.7,759
107/08/01,"2,252","140,197",59.2,64.2,59.0,64.2,5.8,"1,610"
107/08/02,"2,464","146,892",58.7,62.0,57.0,57.1,-0.8,"1,818"
107/08/03,989,"58,645",57.1,60.9,57.1,60.8,3.7,775
107/08/06,970,"58,677",61.3,61.6,58.7,61.4,0.6,743
107/08/07,"2,357","150,872",61.8,65.6,61.5,64.6,3.2,"1,738"
107/08/08,"1,323","84,767",64.8,65.2,63.0,63.0,-1.6,"1,023"
107/08/09,"1,967","125,996",63.4,65.5,62.5,63.5,0.5,"1,534"
107/08/10,"1,732","111,418",65.6,66.0,62.8,63.2,-0.3,"1,215"
107/08/13,"1,211","72,882",63.0,63.0,57.1,59.4,-3.8,815
107/08/14,"2,650","168,535",61.6,65.3,59.9,65.3,5.9,"1,751"
107/08/15,"3,008","211,464",67.4,71.8,67.4,71.8,6.5,"1,936"
107/08/16,"5,306","402,868",70.1,78.9,69.4,78.9,7.1,"4,030"
107/08/17,"7,791","661,117",83.0,86.7,80.0,83.0,4.1,"5,621"
107/08/20,"6,446","516,206",83.0,84.9,74.7,74.7,-8.3,"4,829"
107/08/21,"6,801","499,077",73.3,76.4,69.9,75.0,0.3,"5,248"
107/08/22,"6,418","509,676",75.5,82.2,75.5,80.5,5.5,"4,979"
107/08/23,"4,370","333,747",79.0,79.6,73.7,74.2,-6.3,"3,362"
107/08/24,"4,266","309,212",75.0,75.1,70.5,72.9,-1.3,"3,259"
107/08/27,"2,492","182,336",73.4,75.0,70.6,74.8,1.9,"1,918"
107/08/28,"3,804","282,214",75.3,77.3,71.5,71.5,-3.3,"2,910"
107/08/29,"3,263","235,925",71.1,73.9,69.9,73.8,2.3,"2,425"
107/08/30,"1,458","106,673",73.5,75.0,72.0,72.0,-1.8,"1,172"
107/08/31,"3,887","291,501",72.0,78.3,71.3,77.7,5.7,"3,076"
107/09/03,"2,707","204,399",77.7,77.7,73.8,74.3,-3.4,"1,837"
107/09/04,"1,493","110,515",75.0,75.8,72.7,72.9,-1.4,"1,226"
107/09/05,"1,770","130,099",73.3,75.4,72.3,72.3,-0.6,"1,390"
107/09/06,"1,418","101,837",72.3,73.3,70.8,71.7,-0.6,"1,106"
107/09/07,"3,597","241,623",70.9,72.3,64.6,64.6,-7.1,"2,551"
107/09/10,"2,615","172,683",67.5,67.5,64.5,66.1,1.5,"2,033"
107/09/11,"1,954","133,210",67.1,70.4,66.2,69.4,3.3,"1,512"
107/09/12,"1,707","116,838",69.8,70.9,66.6,66.6,-2.8,"1,369"
107/09/13,"1,364","88,200",67.4,67.7,62.4,63.9,-2.7,"1,141"
107/09/14,"1,168","76,195",65.0,66.8,63.2,66.4,2.5,908
107/09/17,930,"59,850",65.0,65.9,63.2,64.0,-2.4,700
107/09/18,"1,959","118,539",63.9,63.9,59.1,59.3,-4.7,"1,489"
107/09/19,997,"60,049",60.4,60.9,59.6,59.7,0.4,762
107/09/20,"1,447","89,458",60.9,63.2,60.3,60.8,1.1,"1,209"
107/09/21,"1,173","73,971",61.5,65.2,61.3,65.0,4.2,982
107/09/25,"1,632","108,267",64.4,68.3,63.3,67.6,2.6,"1,313"
107/09/26,"1,007","66,783",67.3,68.5,63.8,64.4,-3.2,793
107/09/27,712,"45,343",64.4,65.2,62.3,63.1,-1.3,548
107/09/28,658,"42,158",63.1,65.1,62.5,63.6,0.5,537
107/10/01,472,"30,608",63.8,65.8,63.0,65.6,2.0,415
107/10/02,"3,344","232,100",65.7,71.4,65.3,69.5,3.9,"2,624"
107/10/03,"3,351","234,993",70.8,72.4,67.3,70.0,0.5,"2,553"
107/10/04,933,"63,841",69.1,69.8,67.2,68.1,-1.9,789
107/10/05,"2,177","138,139",67.3,67.3,61.4,61.6,-6.5,"1,658"
107/10/08,"2,871","166,002",59.0,61.3,55.5,55.8,-5.8,"2,091"
107/10/09,"2,423","138,031",57.3,58.7,54.5,55.8,0.0,"1,975"
107/10/11,"1,201","60,757",51.0,51.3,50.3,50.3,-5.5,731
107/10/12,"1,101","57,247",50.8,54.4,50.0,52.2,1.9,892
107/10/15,767,"39,966",52.0,53.2,50.9,52.8,0.6,607
107/10/16,"1,260","69,213",52.9,56.4,52.9,54.2,1.4,"1,056"
107/10/17,694,"38,215",55.8,56.4,53.5,54.0,-0.2,553
107/10/18,371,"19,809",54.3,54.6,52.7,52.7,-1.3,298
107/10/19,646,"33,297",52.1,52.6,50.3,52.3,-0.4,516
107/10/22,677,"36,432",52.1,55.5,52.1,53.8,1.5,565
107/10/23,449,"23,588",52.9,53.8,51.4,51.5,-2.3,332
107/10/24,464,"23,990",51.6,52.8,50.6,51.6,0.1,393
107/10/25,"1,434","68,017",48.3,49.4,46.45,46.45,-5.15,"1,018"
107/10/26,"1,187","54,094",47.7,47.8,43.25,44.5,-1.95,903
107/10/29,774,"34,860",45.1,45.7,43.9,45.1,0.6,449
107/10/30,520,"23,692",45.6,46.45,45.0,45.35,0.25,350
107/10/31,"1,034","49,762",46.2,49.5,46.2,49.0,3.65,748
107/11/01,"1,476","76,793",49.8,53.9,49.2,53.7,4.7,"1,075"
107/11/02,"1,008","53,774",54.0,54.9,52.0,52.7,-1.0,757
107/11/05,494,"26,609",53.1,54.9,52.5,54.5,1.8,392
107/11/06,819,"45,374",56.0,57.1,53.8,53.9,-0.6,595
107/11/07,623,"34,283",54.0,55.8,53.9,55.6,1.7,491
107/11/08,726,"40,742",57.5,57.5,54.4,54.7,-0.9,522
107/11/09,693,"38,123",55.1,56.5,53.3,56.4,1.7,525
107/11/12,455,"24,793",56.0,56.2,53.6,53.7,-2.7,361
107/11/13,352,"18,729",52.3,54.3,51.3,54.3,0.6,284
107/11/14,307,"16,647",54.2,54.7,53.2,53.8,-0.5,238
107/11/15,632,"33,071",52.8,53.5,51.8,51.8,-2.0,559
107/11/16,396,"20,777",52.4,53.5,51.8,51.8,0.0,313
107/11/19,240,"12,541",52.5,52.8,51.6,52.1,0.3,189
107/11/20,227,"11,788",52.4,52.6,51.5,51.8,-0.3,173
107/11/21,880,"47,257",51.0,55.5,51.0,54.3,2.5,735
107/11/22,"1,494","83,738",56.0,57.2,55.1,55.3,1.0,"1,224"
107/11/23,"1,283","71,922",56.5,57.7,53.9,54.3,-1.0,"1,026"
107/11/26,"1,857","109,586",55.0,59.7,55.0,59.7,5.4,975
107/11/27,"6,075","383,093",61.5,65.5,60.5,63.8,4.1,"4,394"
107/11/28,"3,621","247,764",65.0,70.1,64.6,70.1,6.3,"2,392"
107/11/29,"5,861","417,808",73.0,75.2,65.3,67.0,-3.1,"4,089"
107/11/30,"3,348","233,482",69.0,71.0,68.1,70.1,3.1,"2,466"
107/12/03,"2,278","161,340",72.1,72.5,69.1,69.5,-0.6,"1,660"
107/12/04,"7,204","532,667",69.5,76.4,69.5,75.0,5.5,"5,034"
107/12/05,"3,012","216,238",71.6,73.6,70.6,71.1,-3.9,"2,216"
107/12/06,"2,260","156,040",71.0,73.1,65.1,66.6,-4.5,"1,827"
107/12/07,"2,455","170,408",69.3,71.0,67.6,68.2,1.6,"1,924"
107/12/10,"1,584","104,126",66.5,68.5,64.1,64.6,-3.6,"1,240"
107/12/11,"2,320","157,374",65.9,70.4,65.2,70.0,5.4,"1,811"
107/12/12,"2,397","166,516",70.3,71.0,68.5,68.7,-1.3,"1,744"
107/12/13,"1,721","119,506",69.4,71.2,68.0,68.2,-0.5,"1,380"
