date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"2,428,283","57,359,715",23.5,24.1,23.3,23.3,+0.05,"1,149"
107/07/03,"1,463,003","33,486,366",23.4,23.75,22.35,22.4,-0.90,640
107/07/04,"773,050","17,467,644",22.5,23.0,22.25,23.0,+0.60,393
107/07/05,"768,002","17,389,294",23.35,23.35,22.1,22.7,-0.30,345
107/07/06,"1,141,003","25,287,216",22.75,22.8,21.8,22.5,-0.20,545
107/07/09,"784,004","17,791,388",22.7,22.9,22.4,22.4,-0.10,432
107/07/10,"898,015","20,402,140",22.65,22.95,22.5,22.5,+0.10,455
107/07/11,"978,031","22,179,563",22.5,23.0,22.3,22.8,+0.30,471
107/07/12,"818,002","18,470,544",22.8,22.8,22.35,22.55,X0.00,412
107/07/13,"9,015,539","218,272,542",23.0,24.8,23.0,24.0,+1.45,"3,815"
107/07/16,"1,878,002","44,633,800",23.55,24.1,23.5,23.7,-0.30,894
107/07/17,"725,130","17,128,053",23.85,24.0,23.45,23.5,-0.20,379
107/07/18,"871,003","20,570,075",23.7,23.9,23.2,23.4,-0.10,428
107/07/19,"644,000","15,060,500",23.8,23.8,23.2,23.25,-0.15,285
107/07/20,"900,000","20,738,450",23.3,23.4,22.8,22.9,-0.35,389
107/07/23,"547,134","12,373,011",22.9,22.95,22.5,22.5,-0.40,277
107/07/24,"742,000","17,078,050",22.5,23.5,22.5,23.1,+0.60,308
107/07/25,"1,498,000","35,232,750",23.4,23.9,23.15,23.9,+0.80,483
107/07/26,"2,102,001","50,353,375",24.2,24.35,23.6,23.95,+0.05,679
107/07/27,"5,294,004","127,305,800",24.0,24.5,23.25,23.25,-0.70,"1,811"
107/07/30,"1,197,005","27,391,011",23.3,23.4,22.6,22.65,-0.60,539
107/07/31,"485,000","11,045,400",22.7,22.95,22.6,22.75,+0.10,249
107/08/01,"491,002","11,255,146",22.9,23.1,22.75,23.0,+0.25,257
107/08/02,"2,040,033","47,711,701",23.55,23.8,22.85,22.85,-0.15,875
