date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,136,"11,052",81.9,82.2,80.6,81.0,-0.3,102
107/07/03,163,"13,118",81.5,81.8,79.6,80.0,-1.0,134
107/07/04,223,"17,715",80.4,80.4,79.0,79.0,-1.0,151
107/07/05,459,"35,853",80.5,80.5,77.0,77.0,-2.0,323
107/07/06,289,"21,842",77.1,77.9,74.0,74.9,-2.1,258
107/07/09,84,"6,383",75.9,77.5,75.2,75.2,0.3,83
107/07/10,112,"8,501",76.0,76.7,75.3,75.5,0.3,109
107/07/11,154,"11,448",74.8,75.5,73.6,74.6,-0.9,126
107/07/12,256,"19,384",74.6,77.7,74.3,77.5,2.9,176
107/07/13,319,"24,481",77.5,77.8,75.6,77.5,0.0,236
107/07/16,235,"18,570",77.8,79.9,77.5,78.3,0.8,200
107/07/17,110,"8,539",78.1,78.9,77.1,77.6,-0.7,106
107/07/18,237,"18,671",78.2,79.7,77.7,77.8,0.2,208
107/07/19,128,"9,902",78.4,78.6,76.6,76.6,-1.2,120
107/07/20,200,"15,244",76.7,77.3,75.7,75.7,-0.9,154
107/07/23,276,"20,369",74.5,74.9,73.2,73.2,-2.5,244
107/07/24,150,"11,037",73.0,74.0,72.7,73.5,0.3,124
107/07/25,339,"25,601",73.2,77.6,73.2,76.6,3.1,272
107/07/26,132,"10,146",77.1,77.9,76.0,77.3,0.7,123
107/07/27,155,"12,064",78.0,78.7,76.8,77.2,-0.1,142
107/07/30,148,"11,281",78.0,78.2,74.6,75.7,-1.5,136
107/07/31,110,"8,306",76.2,76.3,74.2,75.6,-0.1,84
107/08/01,357,"26,845",75.7,76.3,74.7,74.7,-0.9,212
107/08/02,130,"9,527",73.5,73.5,72.9,72.9,0.2,108
107/08/03,103,"7,608",73.2,74.7,73.2,73.8,0.9,88
107/08/06,73,"5,393",74.9,74.9,73.2,73.6,-0.2,66
107/08/07,66,"4,881",73.6,74.2,73.2,73.8,0.2,48
107/08/08,401,"28,789",73.8,73.8,70.4,70.5,-3.3,325
107/08/09,439,"30,281",69.0,70.2,68.0,69.3,-1.2,304
107/08/10,275,"19,036",70.1,71.0,68.0,68.5,-0.8,243
107/08/13,473,"30,850",67.6,67.6,63.1,63.4,-5.1,369
107/08/14,177,"11,301",63.4,65.2,62.8,63.7,0.3,149
107/08/15,247,"15,561",63.7,64.7,61.8,61.8,-1.9,221
107/08/16,245,"14,974",61.0,62.6,59.6,61.9,0.1,208
107/08/17,234,"14,917",62.3,65.0,62.2,63.7,1.8,210
107/08/20,254,"15,491",63.6,63.7,59.8,60.2,-3.5,208
107/08/21,168,"10,210",60.2,61.5,60.2,60.4,0.2,134
107/08/22,121,"7,451",61.0,62.0,61.0,61.7,1.3,105
107/08/23,63,"3,860",61.8,62.4,61.2,62.0,0.3,54
107/08/24,152,"9,171",61.6,61.9,59.4,61.0,-1.0,125
107/08/27,162,"9,998",61.5,62.8,60.5,62.8,1.8,151
107/08/28,88,"5,516",62.8,63.3,62.3,62.5,-0.3,86
107/08/29,75,"4,729",62.7,63.3,62.3,63.0,0.5,69
107/08/30,63,"3,975",63.1,63.1,62.7,63.0,0.0,58
107/08/31,49,"3,071",63.0,63.7,62.6,63.7,0.7,39
107/09/03,90,"5,712",63.6,63.7,62.9,63.0,-0.7,61
107/09/04,123,"7,939",63.0,65.1,63.0,63.8,0.8,106
107/09/05,79,"5,047",63.6,64.9,63.5,64.4,0.6,72
107/09/06,114,"7,336",64.5,65.8,63.6,64.4,0.0,102
