date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,8,136,17.00,17.05,17.00,17.05,-0.45,8
107/07/03,7,119,17.10,17.10,17.00,17.00,-0.05,5
107/07/04,1,17,17.10,17.10,17.10,17.10,0.1,1
107/07/05,2,36,17.15,17.15,17.10,17.10,0.0,3
107/07/06,45,809,18.70,18.70,17.30,17.60,0.5,23
107/07/09,56,"1,012",18.20,18.20,17.95,17.95,0.35,18
107/07/10,0,0,--,--,--,--,0.0,0
107/07/11,6,109,18.20,18.20,17.80,17.80,-0.3,7
107/07/12,5,90,18.05,18.05,17.75,18.05,0.25,3
107/07/13,1,18,18.00,18.00,18.00,18.00,-0.05,1
107/07/16,5,90,18.00,18.00,18.00,18.00,0.0,3
107/07/17,17,302,18.00,18.00,17.65,17.65,-0.35,9
107/07/18,24,429,17.65,17.90,17.65,17.90,0.25,7
107/07/19,5,95,17.70,17.70,17.70,17.70,-0.2,2
107/07/20,2,35,17.70,17.70,17.70,17.70,0.0,2
107/07/23,27,468,17.30,17.70,17.30,17.45,-0.25,4
107/07/24,19,335,17.50,17.75,17.45,17.75,0.3,6
107/07/25,12,214,17.80,17.80,17.80,17.80,0.05,3
107/07/26,3,52,17.25,17.25,17.25,17.25,-0.55,4
107/07/27,1,18,17.50,17.50,17.50,17.50,0.25,1
107/07/30,0,0,--,--,--,--,0.0,0
107/07/31,1,18,17.50,17.50,17.50,17.50,0.0,1
107/08/01,0,0,--,--,--,--,0.0,0
107/08/02,12,205,17.10,17.15,17.00,17.15,-0.35,5
107/08/03,5,77,17.00,17.20,17.00,17.20,0.05,5
107/08/06,0,0,--,--,--,--,0.0,1
107/08/07,0,0,--,--,--,--,0.0,0
107/08/08,10,171,17.00,17.15,17.00,17.15,-0.15,4
107/08/09,22,387,17.20,18.00,17.20,18.00,0.85,14
107/08/10,10,179,18.10,18.10,17.50,17.50,-0.5,10
107/08/13,22,375,17.00,17.10,17.00,17.10,-0.4,12
107/08/14,12,206,17.10,17.75,17.10,17.75,0.65,5
