date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,0,0,--,--,--,--,0.0,0
107/07/03,2,41,20.50,20.50,20.50,20.50,0.0,2
107/07/04,2,40,20.10,20.10,20.00,20.00,-0.5,3
107/07/05,22,439,20.00,20.10,19.50,20.00,0.0,12
107/07/06,11,221,20.00,20.00,19.90,19.90,-0.1,10
107/07/09,15,298,19.70,20.00,19.70,19.90,0.0,13
107/07/10,18,387,21.50,21.85,20.15,20.20,0.3,16
107/07/11,10,201,20.30,20.30,20.00,20.05,-0.15,9
107/07/12,8,160,20.05,20.05,20.00,20.00,-0.05,8
107/07/13,4,71,20.00,20.05,20.00,20.05,0.05,4
107/07/16,8,160,20.05,20.05,19.80,20.00,-0.05,11
107/07/17,2,40,20.00,20.00,20.00,20.00,0.0,2
107/07/18,10,203,20.00,20.00,19.80,20.00,0.0,13
107/07/19,6,120,19.90,20.00,19.80,20.00,0.0,4
107/07/20,7,148,21.00,21.00,20.50,20.50,0.5,11
107/07/23,6,120,20.35,20.35,19.80,20.15,-0.35,6
107/07/24,15,288,19.70,20.00,19.70,20.00,-0.15,13
107/07/25,1,26,19.90,19.90,19.90,19.90,-0.1,3
107/07/26,7,144,19.75,20.00,19.75,20.00,0.1,8
107/07/27,5,99,19.65,20.00,19.60,20.00,0.0,6
107/07/30,1,20,19.60,19.60,19.60,19.60,-0.4,2
107/07/31,7,139,19.80,20.00,19.80,20.00,0.4,7
107/08/01,329,"7,129",20.00,22.00,19.70,21.50,1.5,76
107/08/02,36,793,20.50,23.00,20.50,22.70,1.2,26
107/08/03,24,546,22.50,23.50,22.50,22.95,0.25,19
107/08/06,127,"2,793",22.00,22.90,21.50,21.80,-1.15,15
107/08/07,169,"3,720",22.00,23.00,21.20,22.80,1.0,28
107/08/08,32,712,22.80,22.90,21.80,22.90,0.1,19
107/08/09,294,"6,848",22.35,25.05,22.35,24.20,1.3,57
107/08/10,56,"1,294",24.20,24.20,22.50,22.55,-1.65,46
107/08/13,32,697,21.50,23.45,21.50,23.45,0.9,23
107/08/14,13,309,22.00,24.40,22.00,24.40,0.95,18
107/08/15,78,"1,746",23.05,23.40,22.00,23.40,-1.0,45
107/08/16,27,594,21.80,23.10,21.50,22.80,-0.6,29
107/08/17,1,22,21.95,21.95,21.95,21.95,-0.85,1
