date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"233,000","18,644,200",81.1,81.1,79.0,79.0,-1.90,215
107/07/03,"349,816","27,106,439",78.5,79.0,76.7,76.8,-2.20,288
107/07/04,"287,310","21,893,886",76.8,78.6,74.9,77.5,+0.70,245
107/07/05,"134,000","10,124,500",78.0,78.0,75.0,75.5,-2.00,101
107/07/06,"121,150","9,144,190",75.7,76.2,74.8,75.8,+0.30,105
107/07/09,"83,471","6,406,834",76.4,77.3,75.4,76.7,+0.90,70
107/07/10,"140,512","10,789,760",77.2,77.4,76.2,77.0,+0.30,116
107/07/11,"120,137","9,316,429",77.0,78.2,76.5,77.3,+0.30,114
107/07/12,"101,732","7,923,722",77.1,79.0,77.1,77.5,+0.20,99
107/07/13,"94,250","7,362,750",77.9,78.7,77.7,78.2,+0.70,73
107/07/16,"191,050","15,110,215",78.2,80.6,78.0,79.0,+0.80,152
107/07/17,"100,000","7,878,700",79.0,79.2,78.2,78.4,-0.60,78
107/07/18,"327,000","25,893,300",78.8,80.2,77.8,78.4, 0.00,289
107/07/19,"265,000","20,949,100",78.8,80.2,77.8,78.1,-0.30,170
107/07/20,"257,000","19,930,700",79.5,79.5,76.3,76.6,-1.50,214
107/07/23,"252,000","19,271,800",77.3,78.0,75.3,77.8,+1.20,214
107/07/24,"154,000","11,817,800",77.7,77.7,76.3,76.8,-1.00,125
107/07/25,"241,480","18,791,360",77.0,79.3,76.4,78.8,+2.00,202
107/07/26,"265,850","20,827,824",79.2,79.2,77.7,78.3,-0.50,215
107/07/27,"126,200","9,920,700",78.5,79.0,78.3,78.4,+0.10,103
107/07/30,"155,182","12,102,532",79.0,79.0,77.5,78.0,-0.40,141
107/07/31,"232,346","18,296,234",77.8,79.6,77.5,79.5,+1.50,248
107/08/01,"455,223","37,286,009",80.1,83.8,79.3,83.2,+3.70,412
107/08/02,"323,290","26,452,815",83.5,83.5,80.5,81.8,-1.40,293
107/08/03,"134,677","11,031,241",82.2,82.8,81.1,81.5,-0.30,134
107/08/06,"89,262","7,251,653",81.7,81.8,80.7,80.7,-0.80,92
107/08/07,"138,923","11,153,909",80.7,81.4,79.8,80.4,-0.30,129
107/08/08,"140,880","11,336,671",80.8,81.0,80.0,80.1,-0.30,113
107/08/09,"422,962","34,584,007",81.0,82.4,81.0,81.3,+1.20,366
107/08/10,"123,100","10,017,100",81.5,82.3,80.6,80.6,-0.70,117
107/08/13,"323,150","25,681,809",80.5,80.5,79.1,79.4,-1.20,250
107/08/14,"122,228","9,756,706",79.4,80.3,79.3,80.3,+0.90,97
107/08/15,"130,832","10,462,175",80.3,80.5,79.4,79.8,-0.50,93
107/08/16,"220,900","17,420,400",79.8,79.8,78.2,78.6,-1.20,203
107/08/17,"157,755","12,481,147",78.6,79.6,78.6,79.4,+0.80,133
107/08/20,"86,820","6,856,280",80.0,80.0,78.3,78.9,-0.50,87
107/08/21,"144,100","11,362,780",78.8,79.4,78.5,78.6,-0.30,95
107/08/22,"159,062","12,691,315",79.0,81.0,78.3,79.3,+0.70,138
107/08/23,"150,800","12,041,056",80.0,80.8,78.8,80.8,+1.50,142
107/08/24,"204,650","16,351,529",80.1,80.8,79.3,80.0,-0.80,152
107/08/27,"140,033","11,300,847",80.1,81.5,80.0,80.3,+0.30,118
107/08/28,"142,409","11,488,564",80.5,81.3,80.3,80.4,+0.10,133
107/08/29,"152,102","12,323,778",80.4,81.6,80.3,81.3,+0.90,143
107/08/30,"164,900","13,384,208",81.7,82.0,80.6,81.9,+0.60,160
107/08/31,"95,400","7,765,600",81.8,81.9,80.9,80.9,-1.00,82
107/09/03,"156,855","12,683,400",81.9,82.5,79.9,80.0,-0.90,148
107/09/04,"156,602","12,679,339",80.0,81.6,79.8,81.0,+1.00,109
107/09/05,"108,717","8,866,235",81.4,81.8,81.1,81.8,+0.80,88
107/09/06,"1,324,946","112,931,256",82.5,87.6,82.4,86.8,+5.00,"1,137"
107/09/07,"1,040,589","87,983,766",86.8,87.6,81.0,82.2,-4.60,796
107/09/10,"300,218","24,284,420",82.2,82.2,80.2,80.4,-1.80,234
107/09/11,"176,800","14,304,100",80.4,82.0,80.1,81.0,+0.60,133
107/09/12,"212,038","16,935,740",81.0,81.1,78.8,79.2,-1.80,173
107/09/13,"80,129","6,388,454",79.4,80.4,79.3,79.4,+0.20,76
107/09/14,"104,793","8,377,340",80.8,80.9,79.6,79.8,+0.40,96
107/09/17,"87,600","7,046,418",80.0,81.5,80.0,80.2,+0.40,72
107/09/18,"71,665","5,786,098",80.3,81.4,80.2,80.5,+0.30,74
107/09/19,"78,035","6,316,723",80.6,81.3,80.6,81.0,+0.50,77
107/09/20,"242,500","19,798,700",81.9,82.0,81.1,81.2,+0.20,189
107/09/21,"88,058","7,124,698",81.2,81.7,80.6,80.7,-0.50,87
107/09/25,"30,850","2,487,225",80.7,80.7,80.5,80.5,-0.20,35
107/09/26,"68,600","5,495,300",81.0,81.0,79.7,79.8,-0.70,59
107/09/27,"130,155","10,343,136",80.6,80.6,78.8,79.6,-0.20,110
107/09/28,"161,581","12,735,023",79.6,79.6,78.5,78.7,-0.90,143
107/10/01,"59,805","4,775,996",80.5,80.5,79.2,79.5,+0.80,57
107/10/02,"40,000","3,182,800",80.1,80.1,79.3,79.3,-0.20,29
107/10/03,"88,400","6,978,160",79.9,79.9,78.4,78.4,-0.90,69
107/10/04,"119,870","9,440,630",80.0,80.0,78.4,79.3,+0.90,108
107/10/05,"160,200","12,264,780",78.9,78.9,74.0,76.1,-3.20,143
107/10/08,"166,500","12,580,900",76.1,76.1,74.5,74.8,-1.30,135
107/10/09,"139,300","10,437,987",75.4,75.4,74.5,75.1,+0.30,125
107/10/11,"529,100","36,902,400",70.2,71.0,68.6,69.0,-6.10,413
107/10/12,"248,301","17,514,619",67.6,72.0,67.6,71.9,+2.90,220
107/10/15,"223,200","16,016,918",72.3,72.8,71.5,71.5,-0.40,160
107/10/16,"142,800","10,263,858",71.8,72.4,71.5,72.3,+0.80,98
107/10/17,"108,012","7,854,969",73.0,73.3,72.3,72.5,+0.20,86
107/10/18,"49,350","3,588,145",73.3,73.3,72.5,72.7,+0.20,44
107/10/19,"134,100","9,730,729",72.7,73.0,72.3,72.3,-0.40,70
107/10/22,"33,400","2,427,820",72.8,72.8,72.3,72.7,+0.40,29
107/10/23,"142,500","10,129,650",72.2,72.2,70.0,70.1,-2.60,121
107/10/24,"199,000","13,749,400",70.1,70.1,68.1,68.5,-1.60,174
107/10/25,"286,455","18,721,481",65.0,67.5,64.7,64.8,-3.70,221
107/10/26,"207,447","13,313,483",66.8,66.8,63.2,63.5,-1.30,162
107/10/29,"276,500","17,495,048",64.0,64.0,62.5,62.5,-1.00,229
107/10/30,"251,100","15,366,087",61.5,62.4,60.6,61.9,-0.60,209
107/10/31,"280,700","17,969,620",63.0,64.8,62.5,64.5,+2.60,207
107/11/01,"117,332","7,665,544",64.5,66.2,64.3,65.2,+0.70,101
107/11/02,"160,150","10,519,200",65.5,67.0,64.8,65.6,+0.40,126
107/11/05,"75,199","4,904,554",65.6,66.0,65.0,65.1,-0.50,46
107/11/06,"135,300","9,059,500",68.1,68.1,66.0,66.0,+0.90,125
107/11/07,"263,720","17,821,630",66.0,68.6,66.0,68.5,+2.50,200
107/11/08,"308,525","21,945,870",69.5,72.7,69.0,71.0,+2.50,278
107/11/09,"200,235","14,060,726",71.0,71.6,69.5,69.6,-1.40,157
107/11/12,"86,584","6,011,221",68.0,70.2,68.0,70.0,+0.40,90
107/11/13,"122,710","8,336,090",65.3,69.6,65.3,69.0,-1.00,127
107/11/14,"110,501","7,675,715",70.0,70.7,69.0,69.3,+0.30,74
107/11/15,"103,100","7,065,000",69.3,69.3,68.1,68.8,-0.50,87
107/11/16,"222,352","15,434,263",69.6,69.9,68.2,69.9,+1.10,176
