date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,74,"14,657",198.0,199.0,196.0,199.0,1.0,48
107/07/03,88,"17,259",197.0,197.5,195.0,195.5,-3.5,76
107/07/04,43,"8,441",196.0,197.0,195.0,197.0,1.5,40
107/07/05,82,"15,952",197.0,197.0,193.0,195.5,-1.5,73
107/07/06,95,"18,359",195.5,197.0,190.0,193.5,-2.0,87
107/07/09,49,"9,500",193.5,195.0,192.0,195.0,1.5,44
107/07/10,148,"29,526",195.5,203.0,194.0,200.5,5.5,143
107/07/11,34,"6,745",197.5,200.0,196.0,199.5,-1.0,36
107/07/12,103,"20,954",201.5,205.0,200.0,204.0,4.5,104
107/07/13,57,"11,666",206.5,206.5,203.0,204.5,0.5,59
107/07/16,126,"25,868",203.0,207.0,201.0,205.0,0.5,122
107/07/17,177,"36,776",207.5,209.0,206.0,209.0,4.0,160
107/07/18,346,"61,184",171.0,183.0,171.0,181.0,10.0,280
107/07/19,232,"43,128",190.0,190.0,184.0,188.0,7.0,201
107/07/20,143,"26,826",188.0,189.5,185.0,189.5,1.5,127
107/07/23,113,"21,516",188.0,192.0,187.0,192.0,2.5,100
107/07/24,111,"21,434",191.0,194.5,189.0,194.5,2.5,93
107/07/25,472,"96,232",194.5,210.0,194.0,202.0,7.5,374
107/07/26,170,"34,531",203.0,206.0,200.0,204.5,2.5,149
107/07/27,172,"34,303",203.5,203.5,197.0,200.0,-4.5,143
107/07/30,99,"19,230",198.0,198.0,193.5,193.5,-6.5,93
107/07/31,56,"10,969",195.0,196.0,193.5,195.5,2.0,58
107/08/01,55,"10,778",197.5,197.5,195.0,196.5,1.0,41
107/08/02,202,"39,972",196.5,201.5,194.5,196.0,-0.5,162
107/08/03,72,"14,102",197.0,197.0,195.0,197.0,1.0,70
107/08/06,50,"9,775",196.0,198.0,194.0,196.0,-1.0,37
107/08/07,210,"39,474",195.0,195.0,184.5,185.0,-11.0,183
107/08/08,327,"61,603",185.0,195.0,184.0,195.0,10.0,250
107/08/09,263,"50,659",190.0,195.5,190.0,194.0,-1.0,209
107/08/10,174,"33,912",194.0,197.0,191.0,195.0,1.0,145
107/08/13,178,"33,594",188.0,193.5,186.0,188.0,-7.0,143
107/08/14,115,"21,329",190.0,190.0,181.0,187.0,-1.0,93
107/08/15,104,"19,196",183.5,187.5,181.0,187.5,0.5,93
107/08/16,150,"27,351",183.5,188.0,180.0,180.0,-7.5,139
107/08/17,165,"28,896",180.5,182.0,171.5,174.5,-5.5,158
107/08/20,61,"10,644",175.0,176.0,172.0,175.0,0.5,59
107/08/21,78,"13,763",174.0,178.0,173.0,178.0,3.0,63
107/08/22,60,"10,510",177.0,177.0,174.0,174.0,-4.0,61
107/08/23,87,"15,047",175.0,175.0,170.0,174.0,0.0,79
107/08/24,112,"19,432",174.0,175.5,170.5,175.5,1.5,96
107/08/27,121,"21,084",172.0,176.5,171.5,176.0,0.5,102
107/08/28,94,"16,443",176.0,176.5,172.5,173.5,-2.5,84
107/08/29,69,"12,025",173.5,175.0,173.0,175.0,1.5,67
107/08/30,154,"27,312",175.5,179.0,175.0,179.0,4.0,112
107/08/31,227,"39,987",175.0,179.0,175.0,175.5,-3.5,226
107/09/03,290,"49,934",174.0,174.5,168.0,173.5,-2.0,282
107/09/04,169,"29,178",173.0,175.5,170.0,174.0,0.5,156
107/09/05,141,"24,438",173.0,174.5,171.0,174.5,0.5,137
107/09/06,240,"41,413",172.5,175.5,171.5,173.5,-1.0,197
107/09/07,313,"53,457",172.5,173.0,168.5,173.0,-0.5,269
107/09/10,181,"30,602",172.0,172.0,166.5,170.0,-3.0,153
107/09/11,201,"33,876",170.0,170.5,166.5,169.5,-0.5,186
107/09/12,67,"11,229",168.5,169.5,167.0,168.0,-1.5,65
107/09/13,211,"35,239",169.0,170.5,163.0,168.0,0.0,178
107/09/14,156,"25,658",168.0,168.0,163.0,163.0,-5.0,150
107/09/17,340,"52,225",163.0,163.0,149.0,153.0,-10.0,320
107/09/18,314,"48,258",154.5,156.5,150.0,153.0,0.0,281
107/09/19,121,"18,475",153.5,154.0,152.0,154.0,1.0,100
107/09/20,134,"20,696",154.0,156.0,151.0,156.0,2.0,124
