date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,107,"86,841",803.0,825.0,803.0,812.0,13.0,121
107/07/03,191,"152,091",812.0,817.0,780.0,780.0,-32.0,199
107/07/04,79,"62,635",780.0,801.0,780.0,794.0,14.0,83
107/07/05,141,"109,013",794.0,814.0,757.0,757.0,-37.0,148
107/07/06,436,"305,531",750.0,750.0,682.0,720.0,-37.0,425
107/07/09,347,"243,913",716.0,734.0,692.0,701.0,-19.0,372
107/07/10,240,"170,975",708.0,722.0,701.0,712.0,11.0,251
107/07/11,137,"98,836",712.0,735.0,712.0,725.0,13.0,145
107/07/12,277,"197,582",725.0,725.0,704.0,706.0,-19.0,257
107/07/13,244,"178,156",712.0,750.0,712.0,725.0,19.0,201
107/07/16,90,"65,236",724.0,735.0,715.0,715.0,-10.0,94
107/07/17,213,"156,190",724.0,738.0,715.0,731.0,16.0,204
107/07/18,232,"174,479",739.0,765.0,735.0,760.0,29.0,229
107/07/19,88,"66,762",760.0,768.0,745.0,755.0,-5.0,93
107/07/20,75,"58,160",775.0,780.0,765.0,770.0,15.0,87
107/07/23,51,"39,186",775.0,775.0,755.0,756.0,-14.0,66
107/07/24,48,"36,998",782.0,782.0,762.0,768.0,12.0,54
107/07/25,106,"83,880",776.0,817.0,771.0,817.0,49.0,119
107/07/26,54,"44,040",816.0,829.0,797.0,808.0,-9.0,54
107/07/27,17,"13,851",809.0,812.0,807.0,808.0,0.0,16
107/07/30,77,"63,172",814.0,831.0,809.0,818.0,10.0,72
107/07/31,53,"43,058",825.0,825.0,807.0,810.0,-8.0,63
107/08/01,81,"66,261",815.0,825.0,813.0,815.0,5.0,78
107/08/02,71,"57,172",802.0,817.0,797.0,817.0,2.0,60
107/08/03,89,"74,428",817.0,849.0,816.0,822.0,5.0,94
107/08/06,25,"20,923",840.0,840.0,822.0,829.0,7.0,33
107/08/07,143,"115,018",823.0,823.0,793.0,796.0,-33.0,143
107/08/08,102,"81,792",827.0,827.0,792.0,800.0,4.0,112
107/08/09,20,"16,096",814.0,814.0,790.0,800.0,0.0,27
107/08/10,16,"12,712",805.0,806.0,790.0,790.0,-10.0,17
107/08/13,55,"41,977",779.0,779.0,761.0,765.0,-25.0,70
107/08/14,75,"57,905",759.0,816.0,748.0,816.0,51.0,86
107/08/15,168,"128,793",816.0,816.0,748.0,760.0,-56.0,168
107/08/16,72,"52,301",715.0,750.0,715.0,741.0,-19.0,88
107/08/17,99,"73,314",737.0,756.0,730.0,730.0,-11.0,107
107/08/20,82,"59,113",726.0,740.0,709.0,709.0,-21.0,86
107/08/21,40,"28,159",709.0,721.0,700.0,720.0,11.0,43
107/08/22,145,"101,368",719.0,719.0,686.0,692.0,-28.0,169
107/08/23,129,"87,182",677.0,690.0,664.0,685.0,-7.0,127
107/08/24,20,"13,858",677.0,685.0,675.0,683.0,-2.0,37
107/08/27,65,"44,885",670.0,697.0,670.0,691.0,8.0,66
107/08/28,92,"64,387",695.0,704.0,695.0,699.0,8.0,82
107/08/29,37,"26,139",702.0,715.0,702.0,711.0,12.0,47
107/08/30,41,"29,285",710.0,717.0,691.0,713.0,2.0,49
107/08/31,31,"22,311",713.0,720.0,706.0,715.0,2.0,43
107/09/03,71,"52,233",718.0,741.0,718.0,735.0,20.0,81
107/09/04,12,"8,893",739.0,739.0,730.0,731.0,-4.0,18
107/09/05,16,"11,642",722.0,733.0,722.0,726.0,-5.0,20
107/09/06,45,"33,282",741.0,747.0,724.0,740.0,14.0,56
107/09/07,80,"59,299",739.0,744.0,733.0,744.0,4.0,80
107/09/10,95,"70,865",733.0,769.0,731.0,747.0,3.0,95
107/09/11,78,"57,283",783.0,783.0,717.0,726.0,-21.0,76
107/09/12,55,"39,663",746.0,746.0,714.0,722.0,-4.0,35
107/09/13,98,"68,927",723.0,723.0,695.0,699.0,-23.0,83
107/09/14,37,"26,139",700.0,710.0,692.0,706.0,7.0,44
107/09/17,75,"52,957",710.0,710.0,699.0,701.0,-5.0,76
107/09/18,79,"55,803",692.0,718.0,692.0,714.0,13.0,66
107/09/19,178,"129,497",705.0,753.0,705.0,740.0,26.0,183
107/09/20,87,"64,094",730.0,740.0,723.0,726.0,-14.0,89
107/09/21,66,"47,711",727.0,731.0,712.0,725.0,-1.0,66
107/09/25,85,"60,025",725.0,725.0,699.0,700.0,-25.0,87
107/09/26,248,"168,458",683.0,694.0,674.0,677.0,-23.0,237
107/09/27,290,"195,587",670.0,686.0,668.0,674.0,-3.0,210
107/09/28,303,"188,722",669.0,669.0,608.0,610.0,-64.0,298
107/10/01,343,"203,727",613.0,630.0,576.0,594.0,-16.0,348
107/10/02,345,"198,617",599.0,599.0,563.0,565.0,-29.0,358
107/10/03,480,"265,775",572.0,587.0,520.0,528.0,-37.0,455
107/10/04,243,"126,645",529.0,533.0,507.0,525.0,-3.0,229
107/10/05,207,"99,418",505.0,507.0,472.5,472.5,-52.5,176
107/10/08,317,"136,516",436.0,448.0,425.5,425.5,-47.0,297
107/10/09,534,"208,751",407.0,410.0,383.0,383.0,-42.5,480
107/10/11,299,"103,187",345.0,345.5,345.0,345.0,-38.0,147
107/10/12,204,"74,719",370.0,379.5,354.0,379.5,34.5,143
107/10/15,134,"51,730",384.0,392.0,380.5,390.0,10.5,134
107/10/16,82,"33,261",393.0,417.5,393.0,415.0,25.0,87
107/10/17,97,"38,896",420.0,420.0,389.0,395.0,-20.0,92
107/10/18,54,"21,204",365.0,400.0,365.0,393.0,-2.0,54
107/10/19,40,"15,812",388.0,404.5,378.0,404.5,11.5,41
107/10/22,150,"61,064",395.0,409.0,395.0,409.0,4.5,114
107/10/23,188,"75,221",400.0,400.0,397.0,399.5,-9.5,152
107/10/24,41,"15,957",400.0,400.0,380.0,385.0,-14.5,42
107/10/25,393,"139,630",368.0,368.0,346.5,357.0,-28.0,380
107/10/26,328,"123,100",362.0,389.0,361.0,367.5,10.5,304
107/10/29,246,"96,627",372.5,404.0,372.5,404.0,36.5,249
107/10/30,447,"188,491",397.5,433.5,396.0,422.0,18.0,454
107/10/31,527,"239,371",421.0,464.0,421.0,456.5,34.5,522
107/11/01,871,"414,037",459.0,502.0,448.0,495.0,38.5,867
107/11/02,425,"224,643",511.0,542.0,504.0,542.0,47.0,445
107/11/05,606,"347,197",558.0,592.0,546.0,592.0,50.0,617
107/11/06,8,"4,308",550.0,550.0,533.0,533.0,-59.0,11
107/11/07,130,"63,521",480.0,492.0,480.0,488.5,-44.5,121
107/11/08,55,"26,798",495.0,495.0,480.0,488.0,-0.5,59
107/11/09,10,"4,853",487.0,487.5,482.5,484.5,-3.5,11
107/11/12,12,"5,952",484.5,484.5,480.5,481.0,-3.5,18
107/11/13,49,"22,392",473.5,473.5,445.0,473.0,-8.0,54
107/11/14,26,"12,212",476.0,476.0,466.5,466.5,-6.5,21
107/11/15,30,"13,871",460.5,469.5,460.5,464.0,-2.5,36
107/11/16,77,"36,876",464.0,480.5,464.0,478.5,14.5,71
107/11/19,62,"30,436",481.5,493.0,481.5,490.0,11.5,67
107/11/20,421,"214,151",459.5,538.0,458.0,504.0,14.0,435
107/11/21,303,"160,921",513.0,542.0,506.0,532.0,28.0,311
107/11/22,312,"169,171",534.0,559.0,525.0,536.0,4.0,320
107/11/23,329,"176,954",546.0,558.0,521.0,521.0,-15.0,335
107/11/26,138,"72,620",534.0,540.0,509.0,518.0,-3.0,149
107/11/27,240,"129,397",506.0,549.0,506.0,546.0,28.0,241
107/11/28,329,"185,371",549.0,578.0,545.0,573.0,27.0,327
107/11/29,159,"91,293",582.0,591.0,548.0,548.0,-25.0,165
107/11/30,101,"56,811",549.0,570.0,549.0,569.0,21.0,107
107/12/03,431,"261,611",585.0,622.0,582.0,619.0,50.0,449
107/12/04,241,"149,576",630.0,631.0,610.0,612.0,-7.0,244
107/12/05,214,"125,423",595.0,595.0,570.0,585.0,-27.0,221
107/12/06,482,"288,541",593.0,607.0,593.0,603.0,18.0,464
107/12/07,381,"220,856",603.0,610.0,551.0,555.0,-48.0,392
107/12/10,252,"132,264",526.0,544.0,515.0,515.0,-40.0,255
107/12/11,463,"234,382",526.0,542.0,490.0,500.0,-15.0,475
107/12/12,235,"120,899",519.0,519.0,505.0,515.0,15.0,238
107/12/13,583,"323,396",525.0,566.0,520.0,566.0,51.0,488
107/12/14,820,"472,827",580.0,596.0,553.0,587.0,21.0,825
107/12/17,475,"274,551",582.0,600.0,556.0,556.0,-31.0,469
107/12/18,205,"114,018",556.0,567.0,537.0,543.0,-13.0,222
107/12/19,277,"150,733",555.0,560.0,534.0,540.0,-3.0,262
107/12/20,258,"138,565",536.0,547.0,525.0,541.0,1.0,236
107/12/21,203,"112,229",540.0,560.0,540.0,555.0,14.0,209
107/12/22,82,"45,198",555.0,559.0,543.0,549.0,-6.0,85
107/12/24,181,"100,642",559.0,562.0,546.0,558.0,9.0,180
107/12/25,184,"103,785",547.0,607.0,533.0,607.0,49.0,199
107/12/26,"1,068","670,141",591.0,659.0,591.0,596.0,-11.0,"1,077"
107/12/27,820,"508,488",625.0,639.0,590.0,613.0,17.0,812
107/12/28,645,"386,010",619.0,624.0,584.0,588.0,-25.0,597
108/01/02,355,"211,401",597.0,600.0,580.0,598.0,10.0,238
108/01/03,517,"312,382",594.0,622.0,591.0,599.0,1.0,512
108/01/04,303,"176,843",589.0,592.0,568.0,590.0,-9.0,305
108/01/07,460,"260,796",590.0,590.0,552.0,552.0,-38.0,470
108/01/08,351,"191,187",566.0,566.0,528.0,528.0,-24.0,360
108/01/09,524,"273,149",528.0,534.0,504.0,512.0,-16.0,531
108/01/10,398,"207,352",525.0,532.0,511.0,514.0,2.0,404
108/01/11,557,"300,681",526.0,554.0,520.0,554.0,40.0,565
108/01/14,509,"281,997",558.0,573.0,534.0,541.0,-13.0,512
108/01/15,597,"343,883",544.0,595.0,544.0,595.0,54.0,607
108/01/16,937,"598,473",600.0,654.0,600.0,654.0,59.0,918
108/01/17,905,"579,670",674.0,690.0,600.0,605.0,-49.0,911
108/01/18,870,"548,840",618.0,653.0,610.0,640.0,35.0,874
108/01/21,516,"321,554",634.0,657.0,600.0,602.0,-38.0,522
108/01/22,462,"284,676",607.0,626.0,600.0,625.0,23.0,456
108/01/23,563,"358,913",622.0,650.0,616.0,643.0,18.0,557
108/01/24,382,"245,834",643.0,655.0,630.0,646.0,3.0,385
108/01/25,352,"225,464",659.0,659.0,618.0,618.0,-28.0,354
108/01/28,340,"210,636",622.0,628.0,611.0,613.0,-5.0,341
108/01/29,263,"162,156",610.0,624.0,603.0,624.0,11.0,249
108/01/30,146,"91,363",630.0,635.0,621.0,622.0,-2.0,149
108/02/11,179,"113,842",628.0,643.0,624.0,633.0,11.0,196
108/02/12,551,"372,433",662.0,689.0,662.0,676.0,43.0,565
108/02/13,567,"395,674",684.0,709.0,683.0,706.0,30.0,563
108/02/14,383,"259,440",683.0,690.0,660.0,672.0,-34.0,398
