date,volume,amount,open,high,low,close,spread,Quantity
108/05/24,"2,013,653","200,661,730",100.0,103.0,95.3,102.0,X0.00,"1,706"
108/05/27,"1,475,800","155,441,897",104.0,107.0,103.5,105.0,+3.00,"1,142"
108/05/28,"719,631","73,247,545",105.5,105.5,100.0,101.0,-4.00,590
108/05/29,"476,529","48,781,750",100.0,104.0,100.0,103.5,+2.50,392
108/05/30,"298,700","30,618,400",104.0,104.0,101.5,102.5,-1.00,236
108/05/31,"269,520","27,273,279",102.5,102.5,100.5,101.0,-1.50,233
108/06/03,"650,718","64,224,763",100.5,100.5,98.0,98.1,-2.90,520
108/06/04,"265,950","26,166,775",98.0,99.5,97.9,98.1, 0.00,215
108/06/05,"215,510","21,188,384",98.8,99.2,98.0,98.2,+0.10,183
108/06/06,"507,320","49,073,320",98.2,98.5,95.8,95.8,-2.40,402
108/06/10,"350,245","34,128,536",96.3,98.8,96.3,97.5,+1.70,256
108/06/11,"291,000","28,028,600",96.0,97.3,95.4,96.3,-1.20,208
108/06/12,"270,631","25,824,669",96.3,96.6,95.0,95.0,-1.30,229
108/06/13,"411,553","38,267,803",95.2,95.2,92.1,92.5,-2.50,357
108/06/14,"195,360","18,111,751",92.6,93.3,92.2,92.9,+0.40,158
108/06/17,"164,998","15,476,512",93.0,94.8,93.0,93.8,+0.90,146
108/06/18,"564,600","54,547,860",94.4,98.2,94.4,97.8,+4.00,491
108/06/19,"340,525","33,113,950",98.0,98.2,96.1,96.9,-0.90,280
108/06/20,"228,250","22,146,474",97.0,97.4,96.1,97.3,+0.40,208
108/06/21,"241,089","23,627,349",97.3,98.4,97.3,98.4,+1.10,209
108/06/24,"140,205","13,717,972",98.6,98.6,97.4,97.8,-0.60,134
108/06/25,"106,064","10,359,455",97.8,98.0,97.4,97.4,-0.40,104
108/06/26,"254,326","24,352,822",97.5,97.5,94.8,96.5,-0.90,234
108/06/27,"138,450","13,362,011",96.7,96.9,96.0,96.2,-0.30,108
108/06/28,"138,149","13,369,627",96.2,97.4,96.2,97.2,+1.00,106
108/07/01,"355,100","34,896,700",97.30,99.20,97.20,98.90,+1.70,260
108/07/02,"206,149","20,411,725",99.40,99.40,98.60,99.00,+0.10,149
108/07/03,"192,100","18,837,820",99.00,99.00,97.50,98.10,-0.90,145
108/07/04,"295,430","29,447,530",98.30,101.00,98.20,100.00,+1.90,240
108/07/05,"444,290","45,078,515",101.00,102.50,100.50,102.00,+2.00,372
108/07/08,"323,490","33,300,460",103.00,104.00,102.00,103.00,+1.00,278
108/07/09,"222,560","22,814,900",102.50,103.50,102.00,102.00,-1.00,185
108/07/10,"558,710","58,110,840",103.00,105.00,103.00,103.50,+1.50,446
108/07/11,"339,400","35,266,800",104.00,104.50,103.00,103.50, 0.00,259
108/07/12,"305,698","31,844,941",104.00,104.50,103.50,104.00,+0.50,235
108/07/15,"265,103","27,758,366",104.00,105.00,104.00,105.00,+1.00,210
108/07/16,"229,250","23,988,875",105.00,105.00,104.00,104.50,-0.50,175
108/07/17,"282,552","29,636,235",105.00,105.50,104.50,105.50,+1.00,239
108/07/18,"375,968","39,129,686",105.50,105.50,103.00,103.50,-2.00,283
108/07/19,"361,150","37,580,175",104.00,104.50,103.50,104.00,+0.50,197
108/07/22,"277,315","28,979,575",104.50,105.00,104.00,104.50,+0.50,196
108/07/23,"326,500","34,113,500",104.50,105.00,104.00,104.00,-0.50,221
108/07/24,"414,822","43,336,810",104.50,105.00,104.00,104.50,+0.50,314
108/07/25,"1,340,448","141,220,155",104.50,106.50,104.00,106.50,+2.00,927
108/07/26,"1,195,126","118,406,897",98.50,100.00,98.50,99.00,X0.00,945
