date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,164,799,4.85,5.21,4.70,5.21,-0.01,59
107/07/03,83,420,5.20,5.20,4.99,5.00,-0.21,26
107/07/04,69,331,4.95,4.95,4.75,4.75,-0.25,29
107/07/05,149,682,4.50,4.95,4.50,4.95,0.2,52
107/07/06,42,205,4.88,4.95,4.85,4.95,0.0,19
107/07/09,66,327,4.67,4.95,4.67,4.95,0.0,24
107/07/10,54,259,4.95,4.95,4.85,4.85,-0.1,32
107/07/11,52,239,4.71,4.72,4.37,4.37,-0.48,26
107/07/12,126,602,4.38,4.80,4.38,4.80,0.43,39
107/07/13,145,745,5.14,5.25,5.09,5.25,0.45,60
107/07/16,71,389,5.31,5.50,5.31,5.43,0.18,39
107/07/17,20,109,5.50,5.50,5.43,5.43,0.0,12
107/07/18,42,212,5.15,5.50,4.90,4.90,-0.53,29
107/07/19,18,84,4.62,5.00,4.42,5.00,0.1,14
107/07/20,56,266,5.20,5.20,4.65,4.96,-0.04,22
107/07/23,77,356,4.68,4.68,4.60,4.60,-0.36,24
107/07/24,35,159,4.51,4.51,4.50,4.50,-0.1,19
107/07/25,87,362,4.38,4.38,4.05,4.05,-0.45,34
107/07/26,76,300,4.05,4.05,3.75,4.00,-0.05,36
107/07/27,38,151,4.00,4.09,3.90,3.90,-0.1,17
107/07/30,46,171,3.71,3.76,3.65,3.72,-0.18,26
107/07/31,4,14,3.72,3.85,3.72,3.85,0.13,11
107/08/01,8,32,3.85,3.85,3.85,3.85,0.0,13
107/08/02,11,42,3.80,3.80,3.80,3.80,-0.05,12
107/08/03,5,18,3.72,3.76,3.72,3.76,-0.04,9
107/08/06,21,78,3.70,3.71,3.70,3.71,-0.05,12
107/08/07,35,141,3.91,4.08,3.91,4.08,0.37,32
107/08/08,70,299,4.47,4.47,4.13,4.16,0.08,30
107/08/09,15,62,4.25,4.25,4.10,4.12,-0.04,7
107/08/10,17,71,4.30,4.30,4.13,4.18,0.06,18
107/08/13,48,202,4.18,4.30,4.18,4.30,0.12,17
107/08/14,1,4,4.21,4.21,4.21,4.21,-0.09,2
107/08/15,131,562,3.79,4.63,3.79,4.63,0.42,45
107/08/16,63,316,5.09,5.09,4.56,4.56,-0.07,31
107/08/17,254,"1,268",5.00,5.01,4.60,5.01,0.45,56
107/08/20,125,673,5.51,5.51,5.05,5.18,0.17,42
107/08/21,181,884,5.09,5.09,4.67,4.79,-0.39,39
107/08/22,187,945,4.34,5.26,4.33,5.26,0.47,70
107/08/23,82,431,5.30,5.35,4.88,4.88,-0.38,28
107/08/24,105,468,4.58,4.88,4.40,4.40,-0.48,45
107/08/27,176,725,4.09,4.30,4.08,4.10,-0.3,78
107/08/28,655,"2,884",4.10,4.51,3.92,4.11,0.01,133
107/08/29,74,308,4.15,4.35,4.13,4.15,0.04,37
107/08/30,79,328,4.16,4.17,4.12,4.12,-0.03,60
107/08/31,26,105,4.08,4.12,4.07,4.12,0.0,23
107/09/03,91,412,4.40,4.53,4.30,4.52,0.4,42
107/09/04,61,293,4.80,4.90,4.70,4.70,0.18,36
107/09/05,25,115,4.70,4.70,4.36,4.43,-0.27,8
107/09/06,33,144,4.32,4.34,4.32,4.32,-0.11,13
107/09/07,37,168,4.53,4.69,4.38,4.38,0.06,22
107/09/10,32,134,4.38,4.38,4.10,4.10,-0.28,25
107/09/11,1,2,--,--,--,--,0.0,2
107/09/12,16,67,4.28,4.28,4.18,4.22,0.06,11
107/09/13,32,139,3.85,4.48,3.85,4.15,-0.07,21
107/09/14,22,95,4.44,4.45,4.25,4.25,0.1,14
107/09/17,66,268,3.98,4.15,3.98,4.11,-0.14,30
107/09/18,16,62,3.92,3.96,3.82,3.96,-0.15,13
107/09/19,26,104,3.69,4.17,3.69,4.00,0.04,21
107/09/20,14,54,3.99,4.00,3.95,3.95,-0.05,7
107/09/21,24,96,4.07,4.13,4.00,4.13,0.18,15
107/09/25,4,18,4.22,4.22,4.08,4.08,-0.05,8
107/09/26,25,101,4.05,4.05,4.00,4.00,-0.08,13
107/09/27,3,12,4.00,4.00,4.00,4.00,0.0,9
107/09/28,20,81,4.12,4.12,4.01,4.03,0.03,9
107/10/01,16,62,3.81,4.00,3.81,4.00,-0.03,12
107/10/02,22,88,3.86,4.00,3.86,3.96,-0.04,12
107/10/03,32,132,4.10,4.23,3.99,4.23,0.27,15
107/10/04,3,12,4.28,4.28,4.28,4.28,0.05,6
107/10/05,44,177,3.91,4.25,3.91,3.97,-0.31,14
107/10/08,7,29,4.13,4.15,4.13,4.15,0.18,7
107/10/09,25,101,4.00,4.00,4.00,4.00,-0.15,8
107/10/11,58,210,3.99,3.99,3.60,3.60,-0.4,13
107/10/12,2,8,3.84,3.84,3.84,3.84,0.24,6
107/10/15,1,4,3.89,3.89,3.89,3.89,0.05,2
107/10/16,5,19,3.95,4.00,3.95,4.00,0.11,7
107/10/17,14,54,4.11,4.11,3.90,3.90,-0.1,6
107/10/18,14,53,3.83,3.83,3.82,3.82,-0.08,6
107/10/19,1,4,3.95,3.95,3.95,3.95,0.13,1
