date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,0,1,--,--,--,--,0.0,6
107/07/03,2,11,5.00,5.00,5.00,5.00,-0.05,3
107/07/04,15,76,4.99,5.10,4.99,5.10,0.1,7
107/07/05,10,51,5.10,5.10,5.10,5.10,0.0,10
107/07/06,0,0,--,--,--,--,0.0,3
107/07/09,3,16,5.10,5.10,5.10,5.10,0.0,6
107/07/10,18,93,5.09,5.10,5.09,5.10,0.0,13
107/07/11,5,24,5.00,5.02,5.00,5.02,-0.08,8
107/07/12,"1,343","7,389",5.00,5.52,5.00,5.25,0.23,112
107/07/13,57,293,5.18,5.24,5.04,5.04,-0.21,26
107/07/16,33,171,5.34,5.34,5.06,5.07,0.03,18
107/07/17,85,452,5.57,5.57,5.06,5.29,0.22,32
107/07/18,29,147,5.13,5.15,5.12,5.15,-0.14,17
107/07/19,27,139,5.16,5.18,5.15,5.18,0.03,9
107/07/20,35,179,5.21,5.23,5.03,5.07,-0.11,18
107/07/23,10,52,5.44,5.44,5.05,5.20,0.13,9
107/07/24,26,137,5.20,5.20,5.20,5.20,0.0,7
107/07/25,6,30,5.18,5.18,5.18,5.18,-0.02,6
107/07/26,3,15,5.04,5.10,5.04,5.10,-0.08,9
107/07/27,4,18,4.86,5.00,4.86,5.00,-0.1,24
107/07/30,18,91,5.01,5.06,5.01,5.05,0.05,5
107/07/31,0,0,--,--,--,--,0.0,3
107/08/01,5,26,4.85,5.02,4.85,5.02,-0.03,9
107/08/02,1,6,5.01,5.01,5.01,5.01,-0.01,12
107/08/03,20,106,5.26,5.26,5.26,5.26,0.25,5
107/08/06,7,36,5.23,5.23,4.87,4.87,-0.39,10
107/08/07,2,9,4.89,4.89,4.89,4.89,0.02,7
107/08/08,0,0,--,--,--,--,0.0,4
107/08/09,1,7,--,--,--,--,0.0,3
107/08/10,22,113,5.20,5.20,5.00,5.00,-0.2,11
107/08/13,59,308,5.00,5.26,5.00,5.01,0.01,27
107/08/14,132,693,5.20,5.30,5.20,5.28,0.27,19
107/08/15,374,"1,989",5.30,5.34,5.29,5.34,0.06,206
107/08/16,68,363,5.33,5.53,5.30,5.30,-0.04,10
107/08/17,92,486,5.30,5.30,5.30,5.30,0.0,13
107/08/20,163,863,5.30,5.30,5.15,5.30,0.0,18
107/08/21,1,6,5.30,5.30,5.30,5.30,0.0,2
107/08/22,71,377,5.30,5.30,5.16,5.16,-0.14,6
107/08/23,197,"1,044",5.30,5.30,5.14,5.30,0.14,18
107/08/24,62,328,5.30,5.30,5.15,5.15,-0.15,4
107/08/27,3,14,5.16,5.16,5.15,5.15,0.0,4
107/08/28,2,9,5.19,5.19,5.19,5.19,0.04,5
107/08/29,2,10,5.06,5.20,5.06,5.20,0.01,2
107/08/30,94,496,5.20,5.30,5.20,5.30,0.1,14
