date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,54,"2,638",49.60,49.90,48.45,49.20,-0.4,33
107/07/03,19,929,49.30,49.80,48.35,48.95,-0.25,17
107/07/04,29,"1,421",49.20,49.25,48.45,48.85,-0.1,24
107/07/05,15,714,49.85,49.85,48.35,48.50,-0.35,16
107/07/06,105,"4,995",48.50,48.90,47.00,48.70,0.2,66
107/07/09,15,739,47.65,48.55,47.65,48.55,-0.15,14
107/07/10,9,416,47.30,48.50,47.30,48.35,-0.2,9
107/07/11,11,536,48.65,49.00,48.65,49.00,0.65,11
107/07/12,5,258,49.30,49.30,49.15,49.15,0.15,4
107/07/13,15,713,49.90,49.90,48.55,48.55,-0.6,13
107/07/16,20,968,48.20,49.35,48.05,48.50,-0.05,15
107/07/17,64,"3,038",48.45,48.45,45.05,47.35,-1.15,52
107/07/18,18,846,47.35,47.65,46.15,46.90,-0.45,18
107/07/19,83,"3,652",46.00,46.00,42.90,44.85,-2.05,80
107/07/20,49,"2,223",44.05,47.80,44.05,45.20,0.35,42
107/07/23,14,638,46.35,46.35,44.00,44.80,-0.4,17
107/07/24,20,933,45.75,47.65,44.65,47.65,2.85,22
107/07/25,35,"1,672",47.65,48.15,47.30,48.05,0.4,30
107/07/26,20,966,48.05,48.15,48.00,48.05,0.0,19
107/07/27,29,"1,361",47.65,48.95,47.00,47.95,-0.1,21
107/07/30,3,143,47.10,48.05,47.10,47.95,0.0,4
107/07/31,40,"1,874",47.30,47.95,46.00,47.30,-0.65,37
107/08/01,144,"7,126",48.00,50.00,47.95,49.60,2.3,112
107/08/02,90,"4,367",49.85,49.85,47.90,49.85,0.25,78
107/08/03,69,"3,429",49.75,49.95,49.50,49.90,0.05,42
107/08/06,35,"1,720",48.95,49.80,48.85,49.70,-0.2,26
107/08/07,15,723,48.70,49.85,48.70,49.65,-0.05,17
107/08/08,17,849,49.75,49.75,49.05,49.65,0.0,18
107/08/09,6,313,48.80,49.70,48.80,49.55,-0.1,11
107/08/10,33,"1,616",48.85,49.80,48.50,49.05,-0.5,28
107/08/13,73,"3,514",48.70,49.20,47.55,49.15,0.1,61
107/08/14,4,206,49.05,49.05,48.40,49.00,-0.15,6
107/08/15,3,146,47.90,48.85,47.90,48.80,-0.2,7
107/08/16,11,538,47.40,48.85,47.40,48.60,-0.2,10
107/08/17,13,632,47.50,49.10,47.50,48.15,-0.45,11
107/08/20,4,194,47.65,49.05,47.65,48.75,0.6,4
107/08/21,33,"1,588",47.95,48.60,47.70,48.60,-0.15,23
107/08/22,36,"1,713",47.85,48.45,47.30,48.45,-0.15,25
107/08/23,13,657,48.05,49.00,48.05,48.85,0.4,15
107/08/24,3,169,47.90,48.85,47.90,48.85,0.0,5
107/08/27,15,729,48.00,49.35,48.00,48.80,-0.05,15
107/08/28,22,"1,071",48.10,48.95,48.05,48.75,-0.05,20
107/08/29,17,799,47.90,48.70,47.90,47.90,-0.85,19
107/08/30,14,673,47.50,48.05,47.15,47.90,0.0,14
107/08/31,29,"1,360",47.15,48.40,47.10,47.10,-0.8,27
107/09/03,7,333,47.90,47.90,47.25,47.70,0.6,7
107/09/04,5,239,47.10,48.40,47.10,48.35,0.65,5
107/09/05,3,144,48.00,48.30,48.00,48.30,-0.05,3
107/09/06,19,941,48.05,49.45,47.65,47.85,-0.45,26
107/09/07,3,154,48.20,48.20,47.70,48.05,0.2,5
107/09/10,12,573,49.00,49.00,48.00,48.70,0.65,13
107/09/11,8,390,48.70,48.95,48.70,48.80,0.1,8
107/09/12,7,337,48.00,48.70,47.60,48.65,-0.15,7
107/09/13,9,437,49.00,49.00,48.45,48.70,0.05,8
107/09/14,20,973,49.05,49.05,48.30,48.70,0.0,21
107/09/17,7,343,47.95,47.95,47.50,47.95,-0.75,9
107/09/18,46,"2,185",47.25,48.95,46.60,46.60,-1.35,36
107/09/19,40,"1,866",46.60,47.95,46.00,47.90,1.3,26
107/09/20,4,195,47.45,48.45,47.45,48.45,0.55,5
107/09/21,11,536,47.25,48.95,47.25,48.50,0.05,12
107/09/25,2,101,48.50,48.50,48.45,48.45,-0.05,4
107/09/26,2,97,47.50,48.90,47.50,48.90,0.45,3
107/09/27,10,483,48.80,48.80,47.60,48.65,-0.25,8
107/09/28,18,878,47.35,48.85,47.35,48.75,0.1,18
107/10/01,18,872,48.75,48.75,47.85,48.70,-0.05,14
107/10/02,4,199,47.55,48.85,47.55,48.75,0.05,5
107/10/03,23,"1,127",47.80,48.90,47.80,47.90,-0.85,15
107/10/04,15,726,47.10,48.95,47.10,48.95,1.05,12
107/10/05,16,778,47.45,48.95,47.45,48.50,-0.45,17
107/10/08,15,722,47.60,48.95,47.25,48.60,0.1,16
107/10/09,5,247,46.65,48.95,46.65,47.10,-1.5,6
107/10/11,9,429,46.25,48.55,46.25,47.95,0.85,9
107/10/12,7,333,47.95,47.95,46.90,47.75,-0.2,5
107/10/15,8,387,47.60,48.85,47.00,48.45,0.7,10
107/10/16,12,569,47.60,48.20,47.00,47.75,-0.7,12
107/10/17,19,892,46.75,47.55,46.60,46.60,-1.15,17
107/10/18,6,281,45.55,47.55,45.55,47.55,0.95,6
107/10/19,16,743,45.30,48.25,45.15,47.80,0.25,17
107/10/22,6,282,46.35,47.55,46.35,47.50,-0.3,6
107/10/23,12,566,47.40,48.70,46.00,47.95,0.45,14
107/10/24,11,495,46.25,47.45,45.95,47.25,-0.7,12
107/10/25,12,562,45.95,47.90,45.65,47.45,0.2,12
107/10/26,21,968,46.20,47.35,45.20,46.15,-1.3,21
107/10/29,5,231,44.95,46.75,44.95,46.75,0.6,5
107/10/30,39,"1,735",44.25,45.50,44.00,44.40,-2.35,27
107/10/31,38,"1,713",43.30,47.00,43.00,45.30,0.9,35
107/11/01,61,"2,675",44.75,46.45,41.30,45.95,0.65,60
107/11/02,41,"1,852",44.75,46.20,44.10,44.85,-1.1,40
107/11/05,10,443,43.90,45.05,43.20,44.40,-0.45,10
107/11/06,6,264,43.50,44.25,43.20,43.85,-0.55,8
107/11/07,2,88,43.35,44.55,43.35,44.55,0.7,2
107/11/08,7,312,43.75,44.55,43.35,44.45,-0.1,9
107/11/09,64,"2,730",43.70,43.70,41.25,42.65,-1.8,48
107/11/12,6,254,41.85,43.15,41.10,43.05,0.4,6
107/11/13,19,808,41.20,43.90,41.20,43.65,0.6,20
107/11/14,6,262,42.15,43.70,42.15,43.60,-0.05,8
107/11/15,8,356,43.55,44.85,43.55,44.35,0.75,8
107/11/16,12,535,44.85,45.25,44.35,44.90,0.55,12
107/11/19,20,865,42.95,44.90,42.95,44.45,-0.45,18
107/11/20,3,131,43.50,44.35,43.50,44.35,-0.1,2
107/11/21,3,132,43.00,44.45,43.00,44.45,0.1,4
107/11/22,12,522,43.05,44.30,43.00,43.00,-1.45,11
107/11/23,4,174,42.95,44.20,42.95,43.90,0.9,4
107/11/26,2,86,42.55,43.85,42.55,43.85,-0.05,2
107/11/27,11,472,42.55,43.95,42.15,42.85,-1.0,12
107/11/28,12,517,41.65,44.20,41.65,42.80,-0.05,12
107/11/29,65,"2,854",42.80,44.25,42.50,44.05,1.25,31
107/11/30,69,"3,176",44.00,48.25,44.00,46.95,2.9,61
107/12/03,12,561,47.00,48.25,46.20,46.20,-0.75,13
107/12/04,15,701,46.95,47.65,46.00,46.95,0.75,12
107/12/05,12,556,45.85,47.05,45.30,46.85,-0.1,10
107/12/06,18,827,45.80,46.90,45.20,45.40,-1.45,18
107/12/07,13,586,45.15,45.80,44.10,45.35,-0.05,12
107/12/10,2,89,44.05,45.30,44.05,45.30,-0.05,2
107/12/11,2,91,44.55,45.95,44.55,45.95,0.65,2
107/12/12,15,679,45.95,45.95,44.70,45.95,0.0,13
107/12/13,8,368,45.35,46.45,44.50,45.55,-0.4,9
107/12/14,2,91,44.45,45.75,44.45,45.75,0.2,4
107/12/17,5,235,44.50,44.50,44.40,44.40,-1.35,8
107/12/18,9,397,44.95,44.95,43.90,43.95,-0.45,8
107/12/19,7,300,42.15,43.45,42.15,42.75,-1.2,8
107/12/20,0,0,--,--,--,--,0.0,1
107/12/21,2,86,42.60,43.45,42.60,43.45,0.85,2
107/12/22,39,"1,720",45.85,45.85,42.60,43.50,0.05,20
107/12/24,3,135,45.15,45.15,44.40,44.40,0.9,4
107/12/25,10,420,41.05,43.15,41.00,43.15,-1.25,10
107/12/26,1,44,43.95,43.95,43.95,43.95,0.8,1
107/12/27,6,249,40.55,43.20,40.50,43.20,-0.75,6
107/12/28,20,832,40.60,43.05,40.60,43.05,-0.15,14
108/01/02,11,471,41.10,45.15,41.10,42.35,-0.7,11
108/01/03,1,43,42.65,42.65,42.65,42.65,0.3,1
108/01/04,1,43,42.55,42.55,42.55,42.55,-0.1,1
108/01/07,1,47,43.15,43.15,43.15,43.15,0.6,3
108/01/08,17,693,40.80,41.60,40.50,41.00,-2.15,13
108/01/09,15,609,40.70,40.90,40.20,40.85,-0.15,14
108/01/10,1,52,40.00,40.00,40.00,40.00,-0.85,4
108/01/11,3,117,38.00,39.95,38.00,39.95,-0.05,4
108/01/14,1,40,39.90,39.90,39.90,39.90,-0.05,1
108/01/15,0,1,--,--,--,--,0.0,1
108/01/16,12,466,38.10,39.95,38.10,39.95,0.05,10
108/01/17,10,385,39.95,41.95,39.95,41.95,2.0,11
108/01/18,2,85,42.95,42.95,41.80,41.80,-0.15,2
108/01/21,0,0,--,--,--,--,0.0,0
108/01/22,0,0,--,--,--,--,0.0,0
108/01/23,1,42,41.90,41.90,41.90,41.90,1.4,2
108/01/24,8,331,41.50,41.50,41.20,41.20,-0.7,8
108/01/25,1,43,42.50,42.50,42.50,42.50,1.3,1
108/01/28,10,389,40.00,41.30,40.00,40.95,-1.55,10
108/01/29,0,4,--,--,--,--,0.0,1
108/01/30,7,288,40.00,41.85,40.00,41.45,1.45,7
108/02/11,0,0,--,--,--,--,0.0,0
108/02/12,3,122,40.00,41.85,40.00,41.85,0.4,3
108/02/13,7,272,40.20,41.45,40.15,41.35,-0.5,9
108/02/14,0,0,--,--,--,--,0.0,0
108/02/15,217,"8,708",40.80,42.50,39.15,40.10,-0.45,17
108/02/18,62,"2,509",40.75,40.75,40.75,40.75,0.65,4
108/02/19,13,531,41.75,41.80,39.60,40.75,0.0,13
108/02/20,2,81,39.80,40.70,39.80,40.70,-0.05,2
108/02/21,14,553,39.60,39.60,38.90,38.90,-1.8,14
108/02/22,0,8,--,--,--,--,0.0,2
108/02/25,265,"10,308",38.90,38.90,38.70,38.90,-0.5,7
108/02/26,6,239,39.50,39.65,38.90,39.00,0.1,9
108/02/27,1,47,38.80,38.80,38.80,38.80,-0.2,3
108/03/04,7,286,39.35,39.35,38.50,38.90,0.1,10
108/03/05,36,"1,394",38.35,39.20,38.30,39.10,0.2,22
108/03/06,146,"5,713",38.80,39.25,38.65,39.20,0.1,23
108/03/07,13,512,39.30,39.60,39.25,39.25,0.05,9
108/03/08,20,807,39.60,40.95,39.35,39.70,0.45,17
108/03/11,3,122,40.40,40.40,40.30,40.30,0.6,6
108/03/12,5,220,41.70,41.70,40.00,40.65,0.35,8
108/03/13,11,439,39.30,40.35,39.30,40.35,-0.3,3
108/03/14,91,"3,892",40.65,43.00,40.65,43.00,2.65,71
108/03/15,137,"6,402",45.40,47.30,45.35,47.30,4.3,124
108/03/18,148,"7,203",48.00,49.90,47.50,47.85,0.55,112
108/03/19,63,"2,915",49.05,49.05,45.40,47.90,0.05,58
108/03/20,10,489,46.80,47.65,46.70,47.20,-0.7,12
108/03/21,16,764,45.15,47.20,45.15,47.20,0.0,16
108/03/22,7,309,46.50,46.95,46.50,46.90,-0.3,10
108/03/25,18,858,48.50,48.95,46.10,46.95,0.05,19
108/03/26,24,"1,150",48.50,48.50,47.00,47.60,0.65,20
108/03/27,5,243,47.50,47.50,46.80,47.20,-0.4,7
108/03/28,11,523,47.00,47.00,46.00,46.70,-0.5,13
108/03/29,11,507,47.80,47.80,45.00,46.40,-0.3,13
108/04/01,24,"1,139",48.25,48.45,46.40,46.95,0.55,29
108/04/02,1,48,46.85,46.85,46.85,46.85,-0.1,3
108/04/03,1,47,46.65,46.65,46.65,46.65,-0.2,2
108/04/08,96,"4,158",42.55,46.20,42.10,43.90,-2.75,97
108/04/09,14,616,43.70,44.45,42.65,44.45,0.55,18
108/04/10,2,101,44.45,44.45,44.45,44.45,0.0,3
108/04/11,6,267,44.40,44.45,44.40,44.45,0.0,4
108/04/12,4,172,44.45,45.95,44.45,45.95,1.5,5
108/04/15,14,596,45.45,45.45,43.15,44.00,-1.95,15
108/04/16,31,"1,311",43.00,43.95,41.55,41.60,-2.4,34
108/04/17,3,127,41.00,41.45,40.80,41.45,-0.15,5
108/04/18,8,350,41.45,42.65,41.45,42.20,0.75,15
108/04/19,10,422,43.65,43.65,41.85,41.90,-0.3,9
108/04/22,22,867,42.15,42.15,39.50,40.15,-1.75,22
108/04/23,16,645,40.00,40.15,39.20,40.00,-0.15,17
108/04/24,3,124,41.55,41.55,40.45,40.45,0.45,7
108/04/25,11,452,42.35,42.35,40.30,40.80,0.35,11
108/04/26,2,71,41.25,41.25,41.25,41.25,0.45,4
108/04/29,21,862,39.35,44.50,39.35,44.50,3.25,26
108/04/30,45,"1,967",43.85,46.45,42.40,42.50,-2.0,48
108/05/02,1,54,42.90,42.90,42.90,42.90,0.4,4
108/05/03,16,679,42.20,43.95,41.75,42.95,0.05,16
108/05/06,3,124,40.35,42.40,40.35,42.40,-0.55,4
108/05/07,2,86,43.25,43.25,43.05,43.05,0.65,2
108/05/08,6,248,40.65,43.25,40.65,43.25,0.2,9
108/05/09,13,530,41.10,43.20,41.10,43.20,-0.05,18
108/05/10,4,172,42.30,42.95,42.30,42.95,-0.25,7
108/05/13,15,627,42.70,42.75,40.70,40.70,-2.25,9
108/05/14,3,127,42.85,42.85,42.05,42.25,1.55,3
108/05/15,5,222,42.00,42.75,42.00,42.75,0.5,6
108/05/16,15,618,41.15,42.70,40.80,40.80,-1.95,15
108/05/17,4,163,41.45,41.45,40.05,41.20,0.4,5
108/05/20,1,42,41.15,41.15,41.15,41.15,-0.05,2
108/05/21,13,522,41.05,41.05,40.00,41.05,-0.1,9
108/05/22,2,81,40.00,40.70,40.00,40.70,-0.35,4
