date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"4,892","339,312",69.8,70.0,68.6,69.8,0.0,"1,686"
107/07/03,"5,579","381,037",69.1,69.5,66.8,69.0,-0.8,"2,312"
107/07/04,"2,778","191,385",68.8,69.3,68.2,69.0,0.0,"1,308"
107/07/05,"3,417","225,614",65.7,66.4,65.3,66.0,0.0,"1,968"
107/07/06,"4,091","266,139",65.5,65.9,64.3,64.5,-1.5,"1,833"
107/07/09,"3,839","257,724",65.5,68.3,65.1,68.0,3.5,"1,860"
107/07/10,"3,811","259,520",68.0,68.8,66.9,68.3,0.3,"2,049"
107/07/11,"3,911","263,378",67.3,67.8,66.8,67.0,-1.3,"2,077"
107/07/12,"4,059","270,926",66.3,68.6,65.4,67.8,0.8,"2,207"
107/07/13,"1,715","117,162",67.5,68.7,67.3,68.7,0.9,"1,203"
107/07/16,"2,418","168,269",68.9,69.9,68.9,69.5,0.8,"1,303"
107/07/17,"2,283","158,537",69.2,70.0,69.1,69.1,-0.4,"1,054"
107/07/18,"6,750","474,446",69.5,72.5,67.9,69.0,-0.1,"3,660"
107/07/19,"4,903","346,161",69.8,71.9,69.2,70.9,1.9,"2,656"
107/07/20,"3,011","213,674",71.5,71.8,70.1,70.5,-0.4,"2,120"
107/07/23,"4,117","291,629",72.3,72.4,69.8,70.1,-0.4,"2,545"
107/07/24,"7,380","540,468",71.2,75.4,70.5,73.7,3.6,"4,201"
107/07/25,"6,756","508,660",73.7,77.4,73.2,76.5,2.8,"4,077"
107/07/26,"5,127","387,098",75.8,76.3,74.1,76.1,-0.4,"3,555"
107/07/27,"4,024","300,692",74.2,75.2,74.2,75.0,-1.1,"2,866"
107/07/30,"5,427","416,231",75.0,78.5,74.6,77.2,2.2,"3,714"
107/07/31,"4,529","351,877",77.7,78.2,77.0,78.0,0.8,"2,718"
107/08/01,"6,088","474,475",78.0,79.7,76.6,77.6,-0.4,"3,399"
107/08/02,"4,283","321,568",77.2,77.8,73.6,73.7,-3.9,"2,490"
107/08/03,"6,473","490,989",74.7,77.4,74.7,77.0,3.3,"3,446"
107/08/06,"7,552","584,931",77.2,80.2,74.7,75.4,-1.6,"4,957"
107/08/07,"5,173","397,774",75.6,78.4,75.5,76.5,1.1,"2,994"
107/08/08,"16,222","1,301,532",77.9,83.1,77.4,83.1,6.6,"9,490"
107/08/09,"10,211","829,637",82.7,83.0,80.0,81.5,-1.6,"5,794"
107/08/10,"8,581","709,566",82.0,83.6,81.1,82.3,0.8,"4,739"
107/08/13,"5,447","425,072",81.1,81.1,76.1,76.9,-5.4,"3,320"
107/08/14,"3,554","273,680",77.0,78.2,76.6,76.7,-0.2,"1,892"
107/08/15,"4,586","346,293",77.5,77.7,74.1,74.1,-2.6,"2,999"
