date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,1,10,9.95,9.95,9.95,9.95,0.0,1
107/07/03,1,10,9.95,9.95,9.95,9.95,0.0,1
107/07/04,4,41,9.95,10.90,9.95,10.90,0.95,5
107/07/05,1,11,11.35,11.35,11.35,11.35,0.45,1
107/07/06,3,31,10.90,10.90,10.25,10.25,-1.1,2
107/07/09,4,37,9.23,9.23,9.23,9.23,-1.02,3
107/07/10,3,27,8.31,10.15,8.31,10.15,0.92,4
107/07/11,4,37,9.14,9.14,9.14,9.14,-1.01,3
107/07/12,5,45,8.55,9.35,8.55,9.35,0.21,5
107/07/13,7,63,9.05,9.20,9.00,9.00,-0.35,7
107/07/16,1,11,9.60,9.60,9.60,9.60,0.6,4
107/07/17,1,11,10.00,10.00,10.00,10.00,0.4,2
107/07/18,14,132,9.90,9.95,9.20,9.95,-0.05,14
107/07/19,5,46,9.22,9.49,9.06,9.06,-0.89,4
107/07/20,0,0,--,--,--,--,0.0,0
107/07/23,2,19,9.55,9.60,9.55,9.60,0.54,2
107/07/24,3,29,9.60,9.89,9.60,9.89,0.29,2
107/07/25,1,10,10.35,10.35,10.35,10.35,0.46,1
107/07/26,4,39,10.45,10.45,9.49,9.50,-0.85,4
107/07/27,4,39,10.20,10.20,9.50,9.50,0.0,3
107/07/30,1,10,9.95,9.95,9.95,9.95,0.45,1
107/07/31,3,29,9.50,9.94,9.50,9.94,-0.01,3
107/08/01,7,67,9.50,9.95,9.45,9.95,0.01,7
107/08/02,6,60,10.20,10.45,9.50,9.50,-0.45,6
107/08/03,23,213,9.40,9.49,9.20,9.49,-0.01,13
107/08/06,3,30,9.90,9.90,9.90,9.90,0.41,2
107/08/07,16,161,9.51,10.60,9.30,10.60,0.7,12
107/08/08,20,211,11.40,11.40,9.88,10.95,0.35,15
107/08/09,6,60,10.05,10.05,9.86,9.86,-1.09,4
107/08/10,21,201,9.50,9.62,9.50,9.62,-0.24,10
107/08/13,46,481,10.55,10.55,9.96,10.20,0.58,36
107/08/14,34,346,11.20,11.20,9.90,10.00,-0.2,25
107/08/15,98,"1,030",10.10,10.80,10.10,10.20,0.2,50
107/08/16,31,319,10.10,10.25,10.10,10.25,0.05,26
107/08/17,121,"1,192",10.00,10.15,9.68,9.76,-0.49,32
107/08/20,143,"1,333",9.95,9.95,9.00,9.12,-0.64,47
107/08/21,29,258,9.38,9.38,8.54,9.11,-0.01,19
107/08/22,100,899,9.62,9.62,8.64,9.48,0.37,58
107/08/23,32,293,9.50,9.50,8.86,8.86,-0.62,29
107/08/24,80,704,8.31,8.97,8.31,8.87,0.01,31
107/08/27,26,231,8.87,8.98,8.56,8.80,-0.07,16
107/08/28,18,167,9.30,9.30,8.90,9.30,0.5,13
107/08/29,52,487,9.61,9.68,9.15,9.51,0.21,25
107/08/30,20,189,9.59,9.59,9.30,9.54,0.03,14
107/08/31,5,47,9.51,9.51,9.35,9.35,-0.19,6
107/09/03,61,573,9.39,9.41,9.39,9.40,0.05,17
107/09/04,36,341,9.40,9.79,9.40,9.75,0.35,20
107/09/05,6,60,9.65,9.65,9.32,9.50,-0.25,7
107/09/06,91,878,9.50,10.15,9.17,10.00,0.5,36
107/09/07,30,285,9.41,9.93,9.40,9.93,-0.07,15
107/09/10,40,375,9.99,9.99,9.15,9.97,0.04,24
107/09/11,8,76,9.65,9.65,9.35,9.35,-0.62,6
107/09/12,11,109,10.25,10.25,9.80,9.80,0.45,8
107/09/13,27,249,8.90,9.39,8.90,9.15,-0.65,17
107/09/14,31,285,9.06,9.63,9.06,9.39,0.24,17
107/09/17,57,512,9.07,9.38,8.76,8.88,-0.51,31
107/09/18,12,108,9.29,9.29,8.89,9.25,0.37,7
107/09/19,41,364,9.48,9.48,8.61,9.20,-0.05,12
107/09/20,54,478,8.85,8.88,8.85,8.86,-0.34,23
107/09/21,1,9,8.69,8.69,8.69,8.69,-0.17,1
107/09/25,59,505,8.73,8.73,8.50,8.50,-0.19,24
107/09/26,20,169,8.33,8.78,8.31,8.71,0.21,12
107/09/27,77,696,8.99,9.17,8.55,8.80,0.09,26
107/09/28,58,521,8.41,9.26,8.41,9.24,0.44,25
107/10/01,14,129,9.00,9.42,8.90,9.28,0.04,9
107/10/02,45,398,9.00,9.00,8.76,8.80,-0.48,16
107/10/03,4,36,8.81,8.99,8.81,8.98,0.18,4
107/10/04,29,252,8.70,8.70,8.70,8.70,-0.28,5
107/10/05,15,129,8.60,8.85,8.50,8.85,0.15,8
107/10/08,1,9,8.85,8.85,8.85,8.85,0.0,1
107/10/09,30,252,8.60,8.77,8.30,8.77,-0.08,14
107/10/11,13,104,8.00,8.10,7.99,8.00,-0.77,10
107/10/12,24,206,8.00,8.80,8.00,8.80,0.8,17
107/10/15,50,406,8.60,8.88,8.00,8.39,-0.41,21
107/10/16,26,214,8.60,8.60,7.81,8.39,0.0,16
107/10/17,10,82,8.69,8.69,8.02,8.02,-0.37,7
107/10/18,23,183,7.76,8.29,7.76,8.29,0.27,12
107/10/19,10,80,8.33,8.33,7.47,7.47,-0.82,12
107/10/22,3,23,7.23,7.43,7.23,7.43,-0.04,4
107/10/23,37,288,7.26,8.12,7.26,7.65,0.22,17
107/10/24,37,290,7.75,8.16,7.46,7.59,-0.06,26
107/10/25,29,212,7.11,7.84,7.11,7.83,0.24,16
107/10/26,14,107,7.87,7.96,7.40,7.95,0.12,12
107/10/29,35,253,7.90,7.90,7.16,7.16,-0.79,25
107/10/30,8,59,7.17,7.17,7.16,7.16,0.0,8
107/10/31,5,36,7.17,7.18,7.17,7.18,0.02,6
107/11/01,10,73,7.25,7.79,7.21,7.79,0.61,7
107/11/02,25,195,8.29,8.29,7.31,7.79,0.0,18
107/11/05,14,105,7.25,7.66,7.25,7.66,-0.13,14
107/11/06,9,67,7.14,7.79,7.14,7.40,-0.26,7
107/11/07,19,135,7.16,7.92,7.16,7.88,0.48,14
107/11/08,8,62,7.88,8.10,7.53,7.53,-0.35,11
107/11/09,4,30,7.35,7.79,7.35,7.79,0.26,2
107/11/12,9,68,7.60,7.90,7.40,7.88,0.09,8
107/11/13,7,54,7.88,7.88,7.25,7.87,-0.01,7
107/11/14,29,213,7.20,7.78,7.20,7.78,-0.09,18
107/11/15,8,60,7.81,7.90,7.26,7.77,-0.01,8
107/11/16,6,44,7.76,7.76,7.30,7.30,-0.47,5
107/11/19,27,194,7.73,7.73,6.59,6.87,-0.43,24
107/11/20,19,129,6.32,7.26,6.32,6.88,0.01,18
107/11/21,23,160,6.45,7.14,6.45,7.11,0.23,14
107/11/22,5,38,7.69,7.69,7.31,7.54,0.43,5
107/11/23,17,121,7.58,7.58,6.81,6.97,-0.57,19
107/11/26,13,91,7.04,7.35,6.70,6.70,-0.27,14
107/11/27,35,241,6.81,7.10,6.77,6.77,0.07,17
107/11/28,27,187,6.99,7.10,6.76,7.10,0.33,12
107/11/29,36,255,7.20,7.29,6.95,6.95,-0.15,29
107/11/30,13,91,6.94,7.06,6.94,7.06,0.11,7
107/12/03,9,65,7.30,7.30,7.10,7.10,0.04,6
107/12/04,93,704,7.37,7.81,7.18,7.81,0.71,53
107/12/05,48,372,7.81,8.14,7.50,7.96,0.15,27
107/12/06,21,169,8.15,8.15,7.58,8.00,0.04,19
107/12/07,29,230,8.19,8.19,7.64,8.12,0.12,19
107/12/10,22,180,8.20,8.20,8.14,8.20,0.08,21
107/12/11,19,158,8.40,8.41,8.20,8.38,0.18,15
107/12/12,35,295,8.38,8.60,8.12,8.45,0.07,25
107/12/13,38,323,8.59,8.68,8.03,8.50,0.05,27
107/12/14,29,244,8.65,8.65,8.27,8.57,0.07,20
107/12/17,5,43,8.57,8.68,8.33,8.58,0.01,6
107/12/18,63,531,8.30,8.53,8.26,8.49,-0.09,28
107/12/19,32,276,8.66,8.68,8.49,8.61,0.12,14
107/12/20,32,274,8.68,8.68,8.40,8.59,-0.02,12
107/12/21,17,147,8.65,8.67,8.65,8.66,0.07,11
107/12/22,1,8,8.40,8.40,8.40,8.40,-0.26,1
107/12/24,47,400,8.40,8.56,8.40,8.54,0.14,16
107/12/25,34,289,8.54,8.54,8.41,8.52,-0.02,12
107/12/26,2,17,8.40,8.57,8.40,8.57,0.05,2
107/12/27,37,316,8.58,8.58,8.41,8.57,0.0,15
107/12/28,18,153,8.68,8.68,8.40,8.59,0.02,16
108/01/02,7,59,8.60,8.60,8.40,8.57,-0.02,6
108/01/03,7,59,8.33,8.57,8.33,8.33,-0.24,6
108/01/04,18,152,8.62,8.62,8.25,8.56,0.23,11
108/01/07,17,145,8.60,8.70,8.32,8.41,-0.15,12
108/01/08,17,142,8.41,8.59,8.20,8.46,0.05,13
108/01/09,0,0,--,--,--,--,0.0,0
