date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,801,"10,679",13.35,13.55,13.15,13.2,0.05,349
107/07/03,858,"11,228",13.25,13.25,12.9,12.9,-0.3,359
107/07/04,"1,120","14,216",12.9,12.95,12.5,12.65,-0.25,462
107/07/05,743,"9,281",12.6,12.75,12.3,12.35,-0.3,305
107/07/06,"1,223","14,741",12.4,12.6,11.8,12.3,-0.05,476
107/07/09,545,"6,670",12.35,12.45,12.1,12.45,0.15,257
107/07/10,491,"6,037",12.3,12.4,12.2,12.2,-0.25,227
107/07/11,427,"5,241",12.3,12.4,12.2,12.2,0.0,183
107/07/12,651,"7,944",12.25,12.45,12.1,12.25,0.05,302
107/07/13,"1,825","23,492",12.35,13.45,12.3,13.45,1.2,750
107/07/16,"8,346","121,547",14.25,14.75,14.2,14.6,1.15,"2,969"
107/07/17,"2,876","40,811",14.2,14.6,14.0,14.0,-0.6,"1,136"
107/07/18,"1,549","21,825",13.9,14.3,13.9,14.05,0.05,626
107/07/19,"1,275","17,854",14.3,14.3,13.85,13.9,-0.15,543
107/07/20,"1,524","21,293",14.0,14.25,13.7,13.8,-0.1,579
107/07/23,"1,074","14,563",13.8,13.9,13.4,13.45,-0.35,472
107/07/24,575,"7,815",13.45,13.9,13.3,13.85,0.4,289
107/07/25,918,"12,673",13.65,14.0,13.65,13.95,0.1,300
107/07/26,631,"8,698",14.0,14.05,13.6,13.6,-0.35,352
107/07/27,677,"9,278",13.85,13.85,13.55,13.7,0.1,316
107/07/30,722,"9,678",13.65,13.65,13.25,13.3,-0.4,405
107/07/31,644,"8,583",13.3,13.5,13.2,13.25,-0.05,270
107/08/01,"2,713","37,945",13.45,14.45,13.3,14.35,1.1,975
107/08/02,"3,428","48,693",14.5,14.55,13.9,13.9,-0.45,"1,324"
107/08/03,874,"12,090",13.95,14.0,13.65,13.8,-0.1,410
107/08/06,612,"8,479",13.9,14.1,13.75,13.85,0.05,262
107/08/07,"1,129","15,777",13.85,14.1,13.8,13.9,0.05,363
107/08/08,952,"13,069",13.95,14.0,13.6,13.6,-0.3,412
107/08/09,891,"12,321",13.65,14.1,13.5,13.65,0.05,420
107/08/10,"2,236","29,466",13.5,13.5,12.85,12.9,-0.75,982
107/08/13,"2,413","29,580",12.9,12.9,12.0,12.3,-0.6,818
107/08/14,"1,236","15,266",12.35,12.65,12.1,12.55,0.25,439
107/08/15,"1,399","17,216",12.55,12.55,12.1,12.3,-0.25,409
107/08/16,628,"7,753",12.1,12.5,12.1,12.5,0.2,256
107/08/17,690,"8,533",12.5,12.5,12.25,12.25,-0.25,237
107/08/20,793,"9,740",12.25,12.5,12.2,12.25,0.0,244
107/08/21,412,"5,084",12.35,12.45,12.2,12.3,0.05,185
107/08/22,407,"5,010",12.35,12.45,12.25,12.3,0.0,169
107/08/23,393,"4,834",12.35,12.4,12.25,12.3,0.0,182
107/08/24,409,"4,998",12.3,12.4,12.15,12.25,-0.05,178
107/08/27,393,"4,877",12.3,12.6,12.25,12.5,0.25,190
107/08/28,429,"5,342",12.5,12.7,12.35,12.35,-0.15,212
107/08/29,502,"6,193",12.5,12.55,12.25,12.3,-0.05,228
107/08/30,441,"5,453",12.4,12.5,12.3,12.35,0.05,199
107/08/31,540,"6,663",12.45,12.45,12.2,12.45,0.1,225
107/09/03,621,"7,613",12.45,12.45,12.2,12.2,-0.25,213
107/09/04,452,"5,531",12.2,12.35,12.2,12.3,0.1,186
