date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,196,"9,948",51.10,51.50,50.50,50.50,-0.5,147
107/07/03,482,"24,353",51.00,51.80,49.60,49.90,-0.6,321
107/07/04,348,"17,372",50.20,50.20,49.60,50.00,0.1,198
107/07/05,785,"39,966",50.30,51.70,50.00,50.50,0.5,524
107/07/06,683,"34,746",51.00,51.80,50.10,50.50,0.0,469
107/07/09,317,"16,053",51.00,51.30,50.30,50.40,-0.1,202
107/07/10,"1,115","57,579",51.00,52.20,50.60,51.30,0.9,759
107/07/11,435,"22,160",51.00,51.30,50.60,50.80,-0.5,295
107/07/12,398,"20,467",50.90,51.80,50.90,51.50,0.7,256
107/07/13,931,"47,664",51.60,52.00,50.50,50.80,-0.7,548
107/07/16,559,"28,535",51.20,51.50,50.80,51.00,0.2,352
107/07/17,457,"23,463",51.50,51.90,50.90,51.00,0.0,325
107/07/18,660,"33,436",51.10,51.60,49.85,50.30,-0.7,442
107/07/19,231,"11,685",50.80,50.90,50.50,50.70,0.4,191
107/07/20,365,"18,575",50.90,51.20,50.50,50.70,0.0,251
107/07/23,224,"11,354",51.10,51.30,50.20,50.30,-0.4,166
107/07/24,214,"10,851",50.40,51.00,50.40,50.80,0.5,165
107/07/25,580,"29,903",51.10,52.00,51.00,51.60,0.8,426
107/07/26,873,"45,815",52.20,52.90,51.90,52.40,0.8,608
107/07/27,525,"27,538",52.80,52.80,52.00,52.40,0.0,384
107/07/30,647,"33,996",52.50,53.10,52.00,52.00,-0.4,459
107/07/31,548,"28,293",51.80,52.30,51.20,51.50,-0.5,393
107/08/01,443,"22,989",51.70,52.30,51.60,52.20,0.7,305
107/08/02,490,"25,243",52.40,52.40,51.30,51.30,-0.9,331
107/08/03,274,"14,146",51.60,52.00,51.50,51.50,0.2,193
107/08/06,696,"36,349",52.10,52.60,51.70,52.60,1.1,437
107/08/07,720,"37,817",53.00,53.00,52.20,52.50,-0.1,432
107/08/08,"1,512","78,726",52.60,52.70,51.50,51.90,-0.6,818
107/08/09,"1,343","62,452",46.35,46.80,46.10,46.65,0.8,899
107/08/10,622,"28,848",46.85,46.85,46.15,46.15,-0.5,437
107/08/13,966,"43,386",46.50,46.50,44.00,44.55,-1.6,581
107/08/14,411,"18,303",44.90,45.20,44.20,44.55,0.0,287
107/08/15,"2,489","101,387",41.90,42.20,40.10,40.10,-4.45,"1,449"
107/08/16,"1,839","69,525",36.50,40.00,36.50,38.75,-1.35,"1,145"
107/08/17,711,"28,052",39.05,39.85,39.00,39.20,0.45,428
107/08/20,647,"24,776",39.25,39.35,37.80,37.90,-1.3,426
107/08/21,499,"19,111",38.00,39.15,37.30,38.80,0.9,308
107/08/22,354,"13,906",38.80,39.70,38.65,39.40,0.6,212
107/08/23,384,"15,149",39.65,40.25,38.60,39.00,-0.4,260
107/08/24,215,"8,278",38.65,38.80,38.35,38.40,-0.6,158
107/08/27,216,"8,389",38.40,39.15,38.40,38.90,0.5,132
107/08/28,153,"6,033",39.10,39.75,39.05,39.55,0.65,124
107/08/29,266,"10,608",39.50,40.25,39.50,39.60,0.05,169
107/08/30,130,"5,197",39.65,40.05,39.65,39.80,0.2,99
107/08/31,211,"8,284",39.45,39.70,38.85,39.20,-0.6,150
107/09/03,203,"7,875",39.20,39.20,38.60,38.85,-0.35,134
107/09/04,119,"4,640",38.80,39.05,38.80,38.95,0.1,73
107/09/05,88,"3,416",38.95,39.20,38.80,38.80,-0.15,67
107/09/06,49,"1,898",38.65,38.90,38.55,38.55,-0.25,58
107/09/07,696,"25,734",38.50,38.80,36.15,36.40,-2.15,425
107/09/10,751,"26,337",36.45,36.50,34.00,34.10,-2.3,405
107/09/11,292,"10,139",34.50,35.35,34.10,35.15,1.05,187
107/09/12,235,"8,202",35.35,35.35,34.30,35.00,-0.15,149
107/09/13,256,"8,996",34.80,35.60,34.60,35.40,0.4,320
107/09/14,365,"13,257",35.85,36.85,35.70,36.45,1.05,325
107/09/17,81,"2,945",36.50,36.50,36.00,36.20,-0.25,105
107/09/18,195,"6,923",35.85,36.15,35.05,35.20,-1.0,178
107/09/19,122,"4,353",35.75,35.80,35.40,35.40,0.2,118
107/09/20,345,"11,994",35.60,35.60,34.45,34.80,-0.6,269
107/09/21,171,"5,965",35.30,35.30,34.80,34.90,0.1,125
107/09/25,142,"4,951",34.90,35.20,34.60,34.60,-0.3,129
107/09/26,156,"5,475",34.80,35.40,34.80,34.90,0.3,134
107/09/27,214,"7,595",34.95,35.95,34.95,35.30,0.4,196
107/09/28,165,"5,822",35.50,35.70,35.05,35.05,-0.25,116
107/10/01,262,"9,413",35.55,36.35,35.15,36.30,1.25,239
107/10/02,188,"6,830",36.65,36.65,36.05,36.10,-0.2,158
107/10/03,131,"4,676",36.30,36.30,35.30,35.50,-0.6,116
107/10/04,109,"3,827",35.75,35.75,35.00,35.10,-0.4,93
107/10/05,673,"22,873",35.10,35.10,33.20,33.55,-1.55,381
107/10/08,323,"10,735",33.20,34.10,32.50,32.80,-0.75,224
107/10/09,212,"6,959",33.00,33.05,32.50,32.75,-0.05,148
107/10/11,787,"23,232",29.55,29.95,29.50,29.50,-3.25,421
107/10/12,767,"21,998",28.00,29.25,27.55,29.00,-0.5,454
107/10/15,169,"4,939",29.10,29.40,29.00,29.30,0.3,149
107/10/16,255,"7,567",29.00,30.50,29.00,29.60,0.3,227
107/10/17,194,"5,896",30.30,30.80,30.05,30.10,0.5,154
107/10/18,174,"5,308",30.20,30.75,30.20,30.20,0.1,127
107/10/19,127,"3,806",30.10,30.30,29.30,30.20,0.0,98
107/10/22,89,"2,734",30.20,30.90,30.20,30.50,0.3,73
107/10/23,105,"3,129",30.30,30.60,29.30,29.45,-1.05,107
107/10/24,130,"3,793",29.50,29.65,28.40,29.25,-0.2,115
107/10/25,407,"11,434",28.05,28.85,27.70,27.75,-1.5,244
107/10/26,240,"6,730",28.00,28.50,27.55,27.85,0.1,134
107/10/29,270,"7,500",27.85,28.00,27.05,27.90,0.05,164
107/10/30,92,"2,580",27.80,28.15,27.75,28.05,0.15,73
107/10/31,215,"6,157",28.55,29.00,28.25,28.80,0.75,177
107/11/01,275,"8,192",29.00,30.85,28.90,29.90,1.1,229
107/11/02,191,"5,770",30.15,30.75,29.60,29.90,0.0,159
107/11/05,121,"3,649",29.90,30.45,29.90,29.95,0.05,104
107/11/06,212,"6,313",30.15,30.60,29.40,29.45,-0.5,147
107/11/07,160,"4,795",29.70,30.05,29.50,30.00,0.55,118
107/11/08,124,"3,717",30.45,30.45,29.65,29.65,-0.35,109
107/11/09,657,"20,308",29.90,31.70,29.90,31.50,1.85,443
107/11/12,340,"10,818",31.60,32.35,31.50,31.90,0.4,230
107/11/13,818,"26,168",30.75,33.00,30.75,31.95,0.05,341
107/11/14,325,"10,220",31.55,32.40,30.95,30.95,-1.0,212
107/11/15,415,"12,572",30.95,31.10,30.10,30.10,-0.85,301
107/11/16,168,"5,075",30.30,30.45,29.85,30.05,-0.05,118
107/11/19,152,"4,607",30.30,30.55,30.00,30.45,0.4,130
107/11/20,162,"4,863",30.45,30.45,29.90,30.05,-0.4,108
107/11/21,176,"5,373",30.05,30.70,30.00,30.60,0.55,111
107/11/22,162,"4,938",30.90,30.90,30.00,30.00,-0.6,115
107/11/23,148,"4,435",30.15,30.15,29.70,29.85,-0.15,120
107/11/26,105,"3,150",29.90,30.30,29.90,30.15,0.3,94
