date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,121,"1,669",13.85,14.0,13.8,13.95,0.15,43
107/07/03,494,"6,748",13.85,13.95,13.55,13.95,0.0,102
107/07/04,141,"1,943",13.7,13.95,13.6,13.9,-0.05,52
107/07/05,114,"1,566",14.3,14.3,13.6,13.9,0.0,52
107/07/06,153,"2,078",13.9,13.9,13.55,13.7,-0.2,40
107/07/09,114,"1,548",13.8,13.8,13.5,13.5,-0.2,57
107/07/10,91,"1,237",13.5,13.9,13.5,13.7,0.2,38
107/07/11,70,942,13.5,13.55,13.35,13.5,-0.2,38
107/07/12,86,"1,147",13.35,13.35,13.25,13.25,-0.25,41
107/07/13,133,"1,743",13.05,13.25,13.05,13.15,-0.1,64
107/07/16,237,"3,080",13.05,13.1,12.95,12.95,-0.2,114
107/07/17,198,"2,550",12.95,12.95,12.8,12.9,-0.05,105
107/07/18,83,"1,083",12.95,13.1,12.95,13.0,0.1,40
107/07/19,89,"1,159",12.95,13.1,12.95,13.0,0.0,38
107/07/20,200,"2,615",12.9,13.3,12.9,13.3,0.3,76
107/07/23,171,"2,240",13.3,13.3,13.0,13.0,-0.3,58
107/07/24,248,"3,195",12.95,13.0,12.85,12.9,-0.1,73
107/07/25,96,"1,244",12.95,13.1,12.9,13.0,0.1,34
107/07/26,309,"4,100",13.1,13.6,13.1,13.55,0.55,98
107/07/27,243,"3,329",13.6,13.85,13.3,13.8,0.25,93
107/07/30,257,"3,553",13.8,14.0,13.7,13.9,0.1,103
107/07/31,252,"3,503",13.85,14.0,13.85,14.0,0.1,73
107/08/01,293,"4,030",14.0,14.0,13.6,13.95,-0.05,79
107/08/02,84,"1,154",13.7,13.9,13.65,13.9,-0.05,38
107/08/03,60,821,13.75,13.85,13.7,13.85,-0.05,25
107/08/06,106,"1,471",13.85,14.0,13.65,13.65,-0.2,44
107/08/07,161,"2,163",13.5,13.55,13.35,13.35,-0.3,60
107/08/08,112,"1,489",13.4,13.5,13.3,13.35,0.0,50
107/08/09,59,777,13.25,13.3,13.2,13.3,-0.05,22
107/08/10,204,"2,762",13.3,13.7,13.3,13.45,0.15,75
107/08/13,163,"2,166",13.45,13.45,13.15,13.2,-0.25,109
107/08/14,87,"1,154",13.2,13.4,13.2,13.35,0.15,34
107/08/15,92,"1,229",13.45,13.45,13.2,13.25,-0.1,40
107/08/16,606,"7,864",13.15,13.15,12.85,12.85,-0.4,171
107/08/17,156,"2,017",13.0,13.0,12.85,13.0,0.15,52
107/08/20,41,530,13.0,13.0,12.9,13.0,0.0,27
107/08/21,75,975,12.9,13.1,12.9,13.0,0.0,26
107/08/22,93,"1,210",13.0,13.05,13.0,13.0,0.0,35
107/08/23,170,"2,238",12.95,13.35,12.95,13.2,0.2,79
107/08/24,64,846,13.1,13.25,13.1,13.25,0.05,26
107/08/27,85,"1,127",13.3,13.3,13.2,13.2,-0.05,45
107/08/28,101,"1,343",13.3,13.5,13.2,13.3,0.1,45
107/08/29,226,"2,992",13.3,13.35,13.15,13.25,-0.05,53
107/08/30,121,"1,599",13.15,13.3,13.15,13.25,0.0,38
107/08/31,68,900,13.15,13.25,13.15,13.25,0.0,26
107/09/03,100,"1,315",13.15,13.25,13.05,13.05,-0.2,40
107/09/04,84,"1,106",13.05,13.25,13.05,13.25,0.2,35
107/09/05,45,592,13.25,13.25,13.1,13.1,-0.15,19
107/09/06,99,"1,295",13.05,13.1,13.05,13.05,-0.05,27
107/09/07,225,"2,913",13.0,13.15,12.85,12.9,-0.15,72
107/09/10,378,"4,817",12.9,12.95,12.6,12.8,-0.1,109
107/09/11,122,"1,574",12.8,12.95,12.8,12.95,0.15,40
107/09/12,192,"2,481",12.9,13.0,12.8,13.0,0.05,36
107/09/13,376,"4,897",13.0,13.2,12.95,13.15,0.15,82
107/09/14,163,"2,169",13.25,13.5,13.15,13.35,0.2,81
107/09/17,"1,064","14,162",13.2,13.65,13.2,13.3,-0.05,103
107/09/18,206,"2,718",13.15,13.3,13.15,13.2,-0.1,39
107/09/19,21,281,13.35,13.4,13.3,13.3,0.1,23
107/09/20,153,"2,028",13.3,13.3,13.15,13.25,-0.05,40
107/09/21,329,"4,365",13.25,13.35,13.2,13.3,0.05,66
107/09/25,83,"1,112",13.35,13.5,13.3,13.35,0.05,46
107/09/26,49,652,13.35,13.35,13.25,13.25,-0.1,23
107/09/27,96,"1,276",13.35,13.35,13.25,13.3,0.05,32
107/09/28,111,"1,476",13.3,13.4,13.25,13.3,0.0,40
107/10/01,63,842,13.2,13.35,13.2,13.35,0.05,34
107/10/02,130,"1,765",13.6,13.8,13.4,13.5,0.15,43
107/10/03,182,"2,461",13.5,13.6,13.5,13.5,0.0,41
107/10/04,94,"1,262",13.4,13.5,13.35,13.5,0.0,27
107/10/05,223,"2,965",13.3,13.45,13.25,13.25,-0.25,72
107/10/08,168,"2,228",13.2,13.3,13.2,13.25,0.0,60
107/10/09,245,"3,234",13.3,13.3,13.1,13.3,0.05,82
107/10/11,683,"8,531",12.85,12.9,12.15,12.8,-0.5,203
107/10/12,132,"1,668",12.5,12.9,12.5,12.9,0.1,57
107/10/15,42,531,12.6,12.65,12.6,12.65,-0.25,19
107/10/16,64,811,12.7,12.75,12.65,12.65,0.0,26
107/10/17,210,"2,697",12.85,12.95,12.75,12.85,0.2,43
107/10/18,147,"1,884",12.9,12.9,12.75,12.75,-0.1,28
107/10/19,73,935,12.45,12.85,12.45,12.85,0.1,33
107/10/22,20,258,12.9,12.9,12.85,12.85,0.0,10
107/10/23,128,"1,635",12.85,12.9,12.7,12.85,0.0,24
107/10/24,44,567,12.95,12.95,12.85,12.85,0.0,18
107/10/25,183,"2,314",12.6,12.8,12.55,12.8,-0.05,67
107/10/26,42,536,12.9,12.9,12.65,12.8,0.0,21
107/10/29,57,722,12.6,12.75,12.6,12.65,-0.15,24
107/10/30,107,"1,344",12.7,12.7,12.45,12.45,-0.2,27
107/10/31,74,929,12.55,12.6,12.5,12.5,0.05,24
107/11/01,107,"1,328",12.55,12.6,12.35,12.5,0.0,33
107/11/02,162,"2,005",12.4,12.5,12.35,12.5,0.0,46
107/11/05,78,963,12.45,12.5,12.3,12.4,-0.1,26
107/11/06,50,620,12.4,12.45,12.4,12.45,0.05,12
107/11/07,34,419,12.5,12.5,12.5,12.5,0.05,13
107/11/08,138,"1,739",12.65,12.65,12.55,12.55,0.05,40
107/11/09,37,462,12.55,12.6,12.45,12.6,0.05,16
107/11/12,53,660,12.55,12.6,12.35,12.6,0.0,25
107/11/13,30,372,12.4,12.45,12.35,12.4,-0.2,9
107/11/14,86,"1,080",12.45,12.9,12.45,12.8,0.4,42
107/11/15,26,330,12.7,12.85,12.65,12.75,-0.05,14
107/11/16,67,850,12.75,12.8,12.65,12.65,-0.1,22
107/11/19,92,"1,152",12.55,12.65,12.5,12.65,0.0,32
107/11/20,30,376,12.6,12.6,12.5,12.6,-0.05,12
107/11/21,5,63,12.6,12.6,12.6,12.6,0.0,2
107/11/22,16,201,12.55,12.65,12.55,12.6,0.0,11
107/11/23,71,884,12.55,12.55,12.45,12.55,-0.05,23
107/11/26,54,680,12.55,12.7,12.5,12.55,0.0,28
107/11/27,54,676,12.55,12.6,12.5,12.55,0.0,15
107/11/28,62,778,12.55,12.55,12.45,12.55,0.0,28
107/11/29,82,"1,024",12.6,12.6,12.5,12.6,0.05,26
107/11/30,33,414,12.6,12.6,12.5,12.5,-0.1,13
107/12/03,76,959,12.7,12.7,12.55,12.65,0.15,32
107/12/04,41,516,12.65,12.65,12.55,12.55,-0.1,25
107/12/05,53,663,12.5,12.6,12.5,12.6,0.05,23
107/12/06,120,"1,503",12.5,12.6,12.5,12.55,-0.05,31
107/12/07,61,772,12.6,12.7,12.6,12.7,0.15,22
107/12/10,466,"6,063",12.8,13.4,12.8,13.15,0.45,198
107/12/11,415,"5,558",13.25,13.6,13.25,13.6,0.45,162
107/12/12,404,"5,478",13.6,13.7,13.45,13.65,0.05,101
107/12/13,98,"1,328",13.5,13.7,13.5,13.5,-0.15,48
107/12/14,134,"1,820",13.5,13.8,13.45,13.55,0.05,66
107/12/17,68,905,13.55,13.55,13.2,13.55,0.0,36
107/12/18,72,963,13.4,13.5,13.3,13.5,-0.05,26
107/12/19,84,"1,126",13.4,13.4,13.25,13.4,-0.1,35
107/12/20,128,"1,701",13.4,13.4,13.15,13.35,-0.05,50
107/12/21,103,"1,361",13.35,13.4,13.15,13.2,-0.15,32
107/12/22,29,382,13.2,13.2,13.1,13.2,0.0,10
107/12/24,112,"1,482",13.15,13.45,13.1,13.45,0.25,39
107/12/25,61,802,13.35,13.35,13.1,13.3,-0.15,21
107/12/26,"3,552","47,207",13.15,13.95,13.0,13.95,0.65,627
107/12/27,"3,722","54,250",14.2,14.85,14.15,14.75,0.8,"1,409"
107/12/28,"2,086","30,528",14.9,15.0,14.3,14.7,-0.05,798
108/01/02,"2,776","40,375",14.95,14.95,14.2,14.3,-0.4,803
108/01/03,"2,265","32,901",14.3,14.85,14.1,14.8,0.5,679
108/01/04,"3,307","49,253",14.8,15.25,14.65,14.8,0.0,988
108/01/07,"5,552","84,243",15.15,15.85,14.15,14.15,-0.65,"1,630"
108/01/08,"1,132","16,290",14.3,14.7,14.15,14.4,0.25,435
108/01/09,"1,115","15,892",14.3,14.8,14.0,14.35,-0.05,399
108/01/10,"2,662","37,849",14.4,14.55,13.95,14.5,0.15,447
108/01/11,"1,500","21,468",14.45,14.45,14.2,14.4,-0.1,360
108/01/14,"1,452","21,123",14.5,14.65,14.35,14.65,0.25,297
108/01/15,"4,414","61,349",14.45,14.45,13.5,13.75,-0.9,"1,157"
108/01/16,707,"9,659",13.75,13.9,13.5,13.6,-0.15,239
108/01/17,"1,539","20,953",13.6,13.75,13.5,13.55,-0.05,304
108/01/18,"2,431","32,824",13.4,13.7,13.35,13.35,-0.2,451
108/01/21,"1,280","17,431",13.5,13.75,13.5,13.6,0.25,195
108/01/22,300,"4,083",13.7,13.7,13.55,13.65,0.05,77
108/01/23,111,"1,519",13.65,13.75,13.6,13.7,0.05,64
108/01/24,104,"1,423",13.8,13.8,13.65,13.65,-0.05,56
108/01/25,335,"4,536",13.65,13.65,13.5,13.6,-0.05,117
108/01/28,116,"1,577",13.55,13.65,13.55,13.6,0.0,72
108/01/29,176,"2,404",13.65,13.75,13.6,13.6,0.0,80
108/01/30,313,"4,249",13.75,13.75,13.5,13.55,-0.05,88
108/02/11,63,854,13.5,13.6,13.5,13.5,-0.05,45
108/02/12,95,"1,285",13.6,13.6,13.45,13.6,0.1,42
108/02/13,107,"1,457",13.55,13.7,13.55,13.6,0.0,54
108/02/14,760,"10,276",13.6,13.6,13.45,13.6,0.0,161
108/02/15,586,"7,883",13.6,13.6,13.35,13.4,-0.2,129
108/02/18,120,"1,625",13.4,13.55,13.4,13.5,0.1,78
108/02/19,175,"2,343",13.45,13.45,13.35,13.4,-0.1,83
108/02/20,214,"2,872",13.4,13.45,13.35,13.4,0.0,109
108/02/21,67,899,13.35,13.5,13.35,13.45,0.05,39
108/02/22,95,"1,272",13.45,13.45,13.35,13.35,-0.1,54
108/02/25,832,"11,493",13.4,14.15,13.4,14.05,0.7,375
108/02/26,254,"3,510",14.05,14.05,13.7,13.7,-0.35,166
108/02/27,189,"2,579",13.85,13.85,13.6,13.65,-0.05,78
108/03/04,441,"5,978",13.6,13.65,13.4,13.5,-0.15,169
108/03/05,131,"1,780",13.55,13.65,13.55,13.6,0.1,48
108/03/06,227,"3,086",13.6,13.65,13.5,13.55,-0.05,131
108/03/07,261,"3,540",13.6,13.6,13.5,13.5,-0.05,95
108/03/08,136,"1,840",13.55,13.6,13.5,13.6,0.1,55
108/03/11,39,528,13.5,13.55,13.5,13.55,-0.05,45
108/03/12,90,"1,227",13.65,13.65,13.5,13.55,0.0,44
108/03/13,153,"2,077",13.6,13.65,13.55,13.6,0.05,79
108/03/14,84,"1,142",13.6,13.65,13.55,13.6,0.0,66
108/03/15,170,"2,315",13.65,13.65,13.55,13.55,-0.05,92
108/03/18,310,"4,204",13.55,13.65,13.55,13.55,0.0,101
108/03/19,96,"1,301",13.65,13.65,13.55,13.6,0.05,113
108/03/20,639,"8,855",13.65,14.0,13.65,13.85,0.25,338
108/03/21,199,"2,746",13.95,13.95,13.75,13.85,0.0,128
108/03/22,418,"5,769",13.85,13.9,13.65,13.7,-0.15,163
108/03/25,"1,622","22,892",13.75,14.3,13.75,14.05,0.35,448
108/03/26,"1,346","19,244",14.15,14.5,14.15,14.3,0.25,508
108/03/27,411,"5,867",14.45,14.45,14.15,14.15,-0.15,153
108/03/28,237,"3,310",14.15,14.15,13.9,14.0,-0.15,109
108/03/29,70,982,14.0,14.05,13.95,14.05,0.05,58
108/04/01,266,"3,721",14.1,14.15,13.85,13.85,-0.2,120
108/04/02,112,"1,553",13.85,13.95,13.8,13.9,0.05,54
108/04/03,112,"1,553",13.9,14.0,13.85,13.85,-0.05,70
108/04/08,103,"1,433",13.9,13.95,13.85,13.9,0.05,62
108/04/09,281,"3,865",13.8,13.9,13.65,13.8,-0.1,122
108/04/10,348,"4,740",13.8,13.8,13.55,13.6,-0.2,116
108/04/11,122,"1,661",13.55,13.65,13.55,13.6,0.0,83
108/04/12,145,"2,001",13.6,13.85,13.6,13.75,0.15,82
108/04/15,44,599,13.8,13.8,13.75,13.75,0.0,30
108/04/16,123,"1,676",13.75,13.75,13.6,13.65,-0.1,59
108/04/17,79,"1,083",13.75,13.75,13.65,13.65,0.0,39
108/04/18,322,"4,360",13.65,13.65,13.45,13.45,-0.2,98
108/04/19,832,"11,446",13.45,13.9,13.45,13.55,0.1,171
108/04/22,106,"1,437",13.6,13.6,13.5,13.5,-0.05,53
108/04/23,74,"1,009",13.55,13.6,13.5,13.55,0.05,35
108/04/24,97,"1,312",13.6,13.65,13.5,13.5,-0.05,35
108/04/25,"2,024","28,132",13.6,14.1,13.5,13.7,0.2,461
108/04/26,603,"8,406",13.85,14.05,13.85,13.95,0.25,235
108/04/29,263,"3,657",14.0,14.05,13.8,13.8,-0.15,117
108/04/30,165,"2,286",13.8,13.9,13.75,13.9,0.1,55
108/05/02,379,"5,290",14.0,14.05,13.85,13.9,0.0,94
108/05/03,92,"1,278",13.9,13.9,13.8,13.85,-0.05,44
108/05/06,198,"2,712",13.75,13.8,13.65,13.7,-0.15,75
108/05/07,136,"1,865",13.9,13.9,13.6,13.65,-0.05,52
108/05/08,151,"2,062",13.65,13.8,13.65,13.8,0.15,30
108/05/09,207,"2,817",13.6,13.75,13.55,13.55,-0.25,76
108/05/10,106,"1,438",13.75,13.75,13.5,13.5,-0.05,41
108/05/13,87,"1,176",13.5,13.6,13.5,13.55,0.05,34
108/05/14,131,"1,765",13.3,13.55,13.3,13.55,0.0,49
