date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,309,"12,168",39.7,39.75,39.15,39.2,-0.1,206
107/07/03,444,"17,290",39.2,39.5,38.3,38.4,-0.8,274
107/07/04,218,"8,357",38.15,39.2,38.0,38.25,-0.15,150
107/07/05,291,"11,094",38.5,38.5,37.75,37.75,-0.5,199
107/07/06,385,"14,436",38.0,38.45,37.0,37.55,-0.2,245
107/07/09,181,"6,779",37.55,37.85,37.3,37.4,-0.15,134
107/07/10,180,"6,798",37.8,38.15,37.5,38.15,0.75,109
107/07/11,382,"14,238",37.5,37.9,37.0,37.4,-0.75,243
107/07/12,168,"6,318",37.35,37.95,37.35,37.95,0.55,128
107/07/13,213,"8,152",38.0,38.6,38.0,38.5,0.55,144
107/07/16,754,"29,732",38.9,39.95,38.55,39.5,1.0,517
107/07/17,484,"19,231",39.8,40.25,39.5,39.8,0.3,334
107/07/18,"2,498","102,103",40.15,41.6,40.15,40.85,1.05,"1,475"
107/07/19,704,"27,557",39.05,39.4,39.0,39.15,0.3,456
107/07/20,522,"20,140",39.15,39.25,38.35,38.4,-0.75,352
107/07/23,402,"15,224",38.5,38.5,37.6,37.6,-0.8,267
107/07/24,272,"10,333",37.75,38.15,37.75,38.0,0.4,148
107/07/25,144,"5,555",38.3,38.65,38.1,38.5,0.5,110
107/07/26,207,"7,915",38.5,38.6,38.1,38.25,-0.25,146
107/07/27,194,"7,395",38.5,38.5,38.05,38.15,-0.1,139
107/07/30,191,"7,220",38.15,38.15,37.75,37.75,-0.4,133
107/07/31,96,"3,628",37.75,38.25,37.75,38.0,0.25,66
107/08/01,163,"6,247",38.0,38.6,38.0,38.5,0.5,131
107/08/02,773,"30,237",38.5,39.45,38.5,39.25,0.75,542
107/08/03,"1,571","62,460",39.4,39.95,39.4,39.75,0.5,939
107/08/06,411,"16,236",39.3,39.75,39.25,39.65,-0.1,235
107/08/07,671,"26,773",39.65,40.3,39.6,40.05,0.4,367
107/08/08,835,"33,737",40.1,40.7,40.05,40.55,0.5,502
107/08/09,654,"26,551",40.65,40.9,40.45,40.6,0.05,415
107/08/10,"1,265","51,821",40.8,41.25,40.5,40.65,0.05,835
107/08/13,757,"30,129",40.55,40.55,39.05,39.5,-1.15,487
107/08/14,244,"9,723",39.7,40.1,39.55,39.9,0.4,181
107/08/15,188,"7,452",40.1,40.15,39.55,39.55,-0.35,165
107/08/16,242,"9,520",39.2,39.75,39.0,39.55,0.0,178
107/08/17,167,"6,634",39.95,39.95,39.4,39.4,-0.15,126
107/08/20,"1,729","70,612",39.6,41.15,39.55,40.8,1.4,"1,155"
107/08/21,"6,374","272,433",42.0,43.45,41.7,41.8,1.0,"3,940"
107/08/22,"6,767","292,532",42.5,44.0,42.2,44.0,2.2,"4,091"
107/08/23,"19,149","921,222",46.6,48.4,46.6,48.4,4.4,"6,879"
107/08/24,"32,711","1,627,404",49.5,51.3,48.2,50.8,2.4,"17,865"
107/08/27,"9,163","454,533",50.0,50.4,48.7,50.4,-0.4,"5,466"
107/08/28,"18,890","970,114",50.9,53.3,49.55,49.7,-0.7,"11,517"
107/08/29,"8,167","407,855",50.0,50.7,49.1,50.5,0.8,"5,119"
107/08/30,"3,867","193,296",51.0,51.0,49.5,49.5,-1.0,"2,526"
107/08/31,"6,659","325,944",49.0,50.7,47.8,50.7,1.2,"4,208"
107/09/03,"9,818","499,631",51.1,52.5,49.4,49.45,-1.25,"5,635"
107/09/04,"5,693","279,942",49.4,50.2,48.15,50.2,0.75,"3,441"
107/09/05,"5,039","251,100",49.8,50.8,49.15,49.2,-1.0,"2,947"
107/09/06,"3,632","179,468",49.8,50.2,48.5,49.25,0.05,"2,214"
107/09/07,"8,713","406,589",48.6,48.8,44.6,45.0,-4.25,"4,744"
107/09/10,"12,341","517,102",45.75,46.0,40.5,41.0,-4.0,"5,309"
107/09/11,"3,612","151,596",42.0,42.45,41.25,42.0,1.0,"2,206"
