date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,19,188,10.15,10.15,10.00,10.05,0.0,13
107/07/03,64,632,10.05,10.05,9.75,9.75,-0.3,31
107/07/04,24,233,9.75,9.80,9.68,9.79,0.04,17
107/07/05,10,98,9.87,9.87,9.76,9.76,-0.03,11
107/07/06,29,278,9.76,9.76,9.45,9.51,-0.25,20
107/07/09,47,441,9.50,9.58,9.28,9.38,-0.13,29
107/07/10,42,401,9.38,9.53,9.38,9.50,0.12,28
107/07/11,29,277,9.75,9.90,9.48,9.50,0.0,17
107/07/12,18,174,9.57,9.60,9.50,9.60,0.1,11
107/07/13,58,558,9.65,9.83,9.60,9.61,0.01,14
107/07/16,83,848,10.55,10.55,9.90,10.00,0.39,44
107/07/17,51,512,10.30,10.30,9.90,10.05,0.05,23
107/07/18,37,367,10.00,10.00,9.88,9.88,-0.17,18
107/07/19,23,224,9.90,9.90,9.65,9.80,-0.08,16
107/07/20,8,78,9.85,9.85,9.70,9.79,-0.01,8
107/07/23,36,345,9.60,9.60,9.55,9.60,-0.19,16
107/07/24,17,167,9.65,9.76,9.55,9.75,0.15,13
107/07/25,19,184,9.75,9.75,9.60,9.60,-0.15,8
107/07/26,15,144,9.60,9.70,9.60,9.70,0.1,8
107/07/27,75,721,9.62,9.65,9.60,9.60,-0.1,23
107/07/30,6,58,9.70,9.77,9.60,9.77,0.17,5
107/07/31,10,96,9.60,9.60,9.60,9.60,-0.17,3
107/08/01,48,474,9.60,9.90,9.60,9.88,0.28,15
107/08/02,27,265,9.80,10.00,9.75,9.75,-0.13,12
107/08/03,13,126,9.60,9.80,9.58,9.80,0.05,12
107/08/06,36,349,9.80,9.80,9.60,9.60,-0.2,15
107/08/07,23,217,9.50,9.70,9.20,9.33,-0.27,14
107/08/08,16,149,9.45,9.48,9.21,9.42,0.09,10
107/08/09,5,47,9.47,9.47,9.30,9.46,0.04,5
107/08/10,5,47,9.46,9.50,9.46,9.50,0.04,5
107/08/13,36,330,9.48,9.60,9.07,9.36,-0.14,21
107/08/14,8,74,9.20,9.30,9.20,9.20,-0.16,7
107/08/15,10,91,9.37,9.37,9.03,9.03,-0.17,10
107/08/16,34,313,9.20,9.80,9.03,9.10,0.07,22
107/08/17,13,119,9.20,9.26,9.05,9.26,0.16,9
107/08/20,7,64,9.20,9.20,9.11,9.11,-0.15,4
107/08/21,18,164,9.15,9.15,9.05,9.09,-0.02,10
107/08/22,43,397,9.36,9.46,9.00,9.28,0.19,30
107/08/23,1,9,9.25,9.25,9.25,9.25,-0.03,1
107/08/24,1,9,9.20,9.20,9.20,9.20,-0.05,1
107/08/27,2,18,9.10,9.29,9.10,9.29,0.09,3
107/08/28,4,37,9.26,9.39,9.20,9.20,-0.09,5
107/08/29,6,55,9.20,9.20,9.13,9.13,-0.07,4
107/08/30,12,111,9.30,9.30,9.13,9.13,0.0,9
107/08/31,0,0,--,--,--,--,0.0,1
107/09/03,28,253,9.13,9.13,9.00,9.05,-0.08,22
107/09/04,24,219,9.06,9.15,9.06,9.14,0.09,8
107/09/05,12,109,9.14,9.14,9.10,9.14,0.0,8
107/09/06,1,9,9.05,9.05,9.05,9.05,-0.09,6
107/09/07,20,180,9.00,9.05,9.00,9.00,-0.05,17
107/09/10,4,35,8.99,8.99,8.50,8.99,-0.01,10
107/09/11,7,63,9.12,9.12,8.79,9.08,0.09,8
107/09/12,2,18,9.00,9.00,8.95,8.95,-0.13,2
107/09/13,13,115,8.95,8.95,8.80,8.80,-0.15,9
107/09/14,36,311,8.61,8.89,8.61,8.85,0.05,12
107/09/17,59,510,8.71,8.79,8.40,8.40,-0.45,26
107/09/18,20,173,8.45,8.77,8.45,8.57,0.17,18
107/09/19,36,319,8.54,8.95,8.54,8.92,0.35,30
107/09/20,22,207,8.92,9.80,8.92,9.15,0.23,19
107/09/21,36,339,9.40,9.54,9.40,9.40,0.25,16
107/09/25,3,28,9.27,9.27,9.18,9.18,-0.22,7
107/09/26,25,218,9.00,9.00,8.55,8.80,-0.38,18
107/09/27,8,71,8.86,8.87,8.70,8.70,-0.1,7
107/09/28,14,121,8.70,8.78,8.43,8.78,0.08,10
107/10/01,4,35,8.84,8.84,8.70,8.76,-0.02,5
107/10/02,29,248,8.82,8.82,8.50,8.60,-0.16,14
107/10/03,8,69,8.60,8.76,8.60,8.76,0.16,7
107/10/04,12,108,8.88,9.15,8.81,8.89,0.13,16
107/10/05,83,689,8.78,8.78,8.06,8.42,-0.47,50
107/10/08,20,167,8.10,8.58,8.08,8.55,0.13,19
107/10/09,16,137,8.55,8.55,8.53,8.55,0.0,16
107/10/11,60,477,8.20,8.20,7.70,8.00,-0.55,53
107/10/12,15,123,8.00,8.40,8.00,8.40,0.4,8
107/10/15,81,682,8.40,8.70,8.20,8.47,0.07,31
107/10/16,61,521,8.50,8.66,8.45,8.66,0.19,18
107/10/17,24,212,8.70,9.45,8.50,8.86,0.2,16
107/10/18,78,660,8.50,8.58,8.25,8.58,-0.28,23
107/10/19,4,33,8.00,8.57,8.00,8.57,-0.01,3
107/10/22,6,51,8.50,8.50,8.50,8.50,-0.07,6
107/10/23,93,769,8.41,8.50,8.20,8.22,-0.28,32
107/10/24,175,"1,405",8.00,8.22,8.00,8.05,-0.17,47
107/10/25,29,233,8.00,8.10,8.00,8.08,0.03,18
107/10/26,73,583,8.10,8.10,7.80,8.05,-0.03,35
107/10/29,48,383,8.00,8.00,7.90,7.90,-0.15,9
107/10/30,61,479,7.90,8.00,7.80,7.80,-0.1,21
107/10/31,41,330,7.90,8.50,7.90,8.10,0.3,25
107/11/01,78,629,8.20,8.20,8.00,8.15,0.05,23
107/11/02,13,107,8.20,8.30,8.20,8.30,0.15,10
107/11/05,211,"1,908",8.30,9.13,8.30,9.11,0.81,91
107/11/06,74,665,8.99,9.40,8.76,9.40,0.29,43
107/11/07,45,423,9.50,9.65,9.30,9.50,0.1,24
107/11/08,7,66,9.30,9.30,9.26,9.26,-0.24,14
107/11/09,23,214,9.65,9.65,9.15,9.34,0.08,12
107/11/12,41,378,9.10,9.30,9.10,9.28,-0.06,21
107/11/13,5,46,9.20,9.20,9.10,9.10,-0.18,4
107/11/14,6,54,9.10,9.11,8.91,8.91,-0.19,6
107/11/15,27,241,8.78,9.05,8.54,8.54,-0.37,25
107/11/16,11,96,8.76,8.76,8.74,8.74,0.2,9
107/11/19,5,44,8.86,8.86,8.80,8.84,0.1,9
107/11/20,20,176,8.82,8.88,8.58,8.58,-0.26,13
107/11/21,29,250,8.68,8.74,8.58,8.58,0.0,17
107/11/22,1,13,8.70,8.70,8.70,8.70,0.12,3
107/11/23,24,210,9.45,9.45,8.70,8.70,0.0,9
107/11/26,12,102,8.80,8.80,8.20,8.52,-0.18,11
107/11/27,0,1,--,--,--,--,0.0,4
107/11/28,4,35,8.50,9.08,8.49,9.08,0.36,4
107/11/29,19,168,8.92,8.92,8.70,8.88,-0.2,17
107/11/30,5,44,9.05,9.05,8.70,8.98,0.1,4
107/12/03,43,380,8.86,9.18,8.70,8.88,-0.1,40
107/12/04,81,695,8.62,8.70,8.62,8.70,-0.18,29
107/12/05,54,454,8.50,8.50,8.30,8.50,-0.2,29
107/12/06,7,60,8.50,8.65,8.45,8.45,-0.05,6
107/12/07,5,42,8.58,8.83,8.58,8.83,0.38,5
107/12/10,28,247,8.66,8.91,8.66,8.66,-0.17,14
107/12/11,47,401,8.66,8.66,8.46,8.49,-0.17,22
107/12/12,17,145,8.84,8.84,8.36,8.49,0.0,19
107/12/13,22,186,8.77,8.77,8.30,8.35,-0.14,16
107/12/14,14,116,8.35,8.35,8.21,8.21,-0.14,14
107/12/17,17,136,7.81,8.40,7.80,8.02,-0.19,16
107/12/18,36,292,8.02,8.45,8.00,8.29,0.27,21
107/12/19,17,138,8.26,8.29,8.03,8.29,0.0,31
107/12/20,15,120,8.02,8.10,8.00,8.10,-0.19,20
107/12/21,33,272,8.00,8.40,8.00,8.40,0.3,18
107/12/22,49,414,8.50,8.60,8.40,8.40,0.0,19
107/12/24,97,829,8.50,8.75,8.43,8.43,0.03,36
107/12/25,9,76,8.43,8.43,8.43,8.43,0.0,6
107/12/26,35,296,8.50,8.57,8.20,8.20,-0.23,14
107/12/27,74,672,9.02,9.02,9.02,9.02,0.82,43
107/12/28,80,794,9.92,9.92,9.92,9.92,0.9,33
108/01/02,79,862,10.90,10.90,10.90,10.90,0.98,45
108/01/03,"2,491","29,711",11.95,11.95,11.75,11.95,1.05,949
108/01/04,"2,199","27,707",12.35,13.10,11.70,13.10,1.15,774
108/01/07,"2,329","32,842",14.00,14.40,13.40,13.90,0.8,922
108/01/08,784,"10,783",13.30,14.35,13.30,13.50,-0.4,437
108/01/09,598,"8,180",13.60,13.90,13.50,13.85,0.35,306
108/01/10,379,"5,223",14.10,14.10,13.60,13.70,-0.15,217
108/01/11,"1,260","18,762",13.90,15.05,13.90,15.05,1.35,538
108/01/14,"2,354","38,724",16.55,16.55,15.60,16.55,1.5,889
108/01/15,925,"15,005",16.55,16.55,15.85,16.20,-0.35,491
108/01/16,697,"11,175",16.45,16.45,15.80,15.85,-0.35,302
108/01/17,771,"11,789",15.85,15.85,14.80,15.15,-0.7,405
108/01/18,591,"9,075",15.00,15.80,14.95,15.70,0.55,344
108/01/21,"1,316","22,066",15.95,17.25,15.95,17.25,1.55,639
108/01/22,964,"16,147",17.00,17.05,16.45,16.55,-0.7,472
108/01/23,517,"8,324",16.55,16.55,15.85,16.15,-0.4,267
108/01/24,503,"8,103",15.75,16.55,15.75,15.85,-0.3,283
108/01/25,625,"10,287",15.90,16.85,15.70,16.55,0.7,315
108/01/28,477,"7,792",16.85,16.85,16.00,16.00,-0.55,262
108/01/29,465,"7,153",15.60,15.75,15.10,15.45,-0.55,259
108/01/30,386,"5,827",15.10,15.40,15.00,15.00,-0.45,220
108/02/11,542,"8,024",15.00,15.30,14.30,14.60,-0.4,306
108/02/12,632,"9,440",14.35,15.35,14.35,14.95,0.35,286
108/02/13,464,"6,763",15.00,15.00,14.30,14.40,-0.55,247
108/02/14,552,"7,836",14.50,14.65,13.85,14.20,-0.2,251
108/02/15,271,"3,838",14.00,14.55,14.00,14.20,0.0,150
