date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,75,897,12.25,12.25,11.85,11.95,0.0,34
107/07/03,35,418,11.95,12.05,11.85,12.0,0.05,24
107/07/04,41,487,12.0,12.0,11.85,11.85,-0.15,24
107/07/05,65,769,11.9,11.9,11.75,11.75,-0.1,29
107/07/06,64,748,11.8,11.8,11.65,11.7,-0.05,27
107/07/09,77,913,11.75,12.0,11.7,12.0,0.3,42
107/07/10,58,693,12.0,12.0,11.9,12.0,0.0,20
107/07/11,35,415,12.05,12.05,11.9,12.0,0.0,18
107/07/12,42,501,11.9,12.0,11.85,11.95,-0.05,25
107/07/13,55,658,11.9,11.95,11.85,11.95,0.0,32
107/07/16,15,179,12.0,12.0,11.9,11.95,0.0,9
107/07/17,79,941,11.9,12.0,11.85,12.0,0.05,44
107/07/18,94,"1,128",11.9,12.2,11.9,12.05,0.05,53
107/07/19,77,920,12.1,12.1,11.9,12.0,-0.05,30
107/07/20,57,679,12.05,12.05,11.85,11.9,-0.1,29
107/07/23,73,862,11.95,11.95,11.75,11.85,-0.05,30
107/07/24,129,"1,516",11.9,11.9,11.7,11.8,-0.05,46
107/07/25,29,349,11.85,11.95,11.85,11.95,0.15,14
107/07/26,95,"1,130",11.85,11.95,11.8,11.9,-0.05,49
107/07/27,61,724,11.85,11.9,11.75,11.9,0.0,28
107/07/30,85,"1,014",11.9,12.0,11.9,12.0,0.1,36
107/07/31,134,"1,601",12.0,12.0,11.9,12.0,0.0,50
107/08/01,104,"1,251",12.1,12.1,11.95,12.05,0.05,47
107/08/02,350,"4,259",12.1,12.3,12.05,12.25,0.2,142
107/08/03,140,"1,714",12.25,12.35,12.1,12.1,-0.15,61
107/08/06,170,"2,066",12.1,12.25,12.1,12.2,0.1,52
107/08/07,196,"2,365",12.25,12.25,11.95,12.05,-0.15,75
107/08/08,150,"1,808",12.1,12.15,12.0,12.1,0.05,77
107/08/09,101,"1,182",11.65,11.75,11.65,11.7,0.1,57
107/08/10,305,"3,519",11.7,11.8,11.45,11.5,-0.2,73
107/08/13,108,"1,227",11.6,11.6,11.3,11.35,-0.15,53
107/08/14,81,911,11.3,11.4,11.2,11.25,-0.1,48
107/08/15,78,866,11.3,11.3,11.05,11.2,-0.05,34
107/08/16,40,449,11.15,11.25,11.15,11.25,0.05,22
107/08/17,148,"1,686",11.2,11.75,11.15,11.75,0.5,55
107/08/20,59,683,11.5,11.65,11.5,11.65,-0.1,30
107/08/21,46,530,11.65,11.65,11.4,11.6,-0.05,29
107/08/22,79,914,11.6,11.7,11.45,11.7,0.1,42
107/08/23,84,976,11.6,11.7,11.55,11.7,0.0,36
107/08/24,86,999,11.6,11.7,11.55,11.7,0.0,29
107/08/27,47,546,11.65,11.65,11.55,11.65,-0.05,28
107/08/28,52,597,11.55,11.65,11.5,11.55,-0.1,30
107/08/29,30,347,11.6,11.6,11.5,11.6,0.05,20
107/08/30,58,673,11.55,11.6,11.5,11.6,0.0,19
107/08/31,40,466,11.6,11.6,11.45,11.55,-0.05,22
107/09/03,56,644,11.6,11.6,11.45,11.55,0.0,28
107/09/04,35,402,11.45,11.55,11.45,11.55,0.0,19
107/09/05,43,491,11.55,11.55,11.4,11.4,-0.15,19
107/09/06,20,230,11.35,11.5,11.35,11.5,0.1,13
107/09/07,45,515,11.55,11.55,11.35,11.5,0.0,25
107/09/10,58,658,11.45,11.5,11.2,11.35,-0.15,27
107/09/11,46,526,11.3,11.4,11.25,11.3,-0.05,20
107/09/12,15,169,11.25,11.3,11.2,11.3,0.0,11
107/09/13,46,523,11.3,11.8,11.3,11.4,0.1,29
107/09/14,54,617,11.55,11.55,11.3,11.55,0.15,31
107/09/17,61,694,11.65,11.65,11.3,11.35,-0.2,39
107/09/18,20,227,11.35,11.4,11.35,11.4,0.05,17
107/09/19,40,459,11.35,11.4,11.3,11.4,0.0,29
107/09/20,32,364,11.35,11.45,11.3,11.4,0.0,15
107/09/21,130,"1,471",11.45,11.45,11.25,11.4,0.0,44
107/09/25,62,706,11.35,11.4,11.3,11.4,0.0,15
107/09/26,10,114,11.35,11.4,11.3,11.4,0.0,7
107/09/27,62,707,11.4,11.5,11.3,11.45,0.05,30
107/09/28,119,"1,354",11.45,11.55,11.3,11.45,0.0,63
107/10/01,116,"1,316",11.4,11.5,11.3,11.4,-0.05,54
107/10/02,38,430,11.35,11.35,11.3,11.35,-0.05,18
107/10/03,50,570,11.3,11.6,11.3,11.4,0.05,32
107/10/04,113,"1,285",11.45,11.45,11.25,11.4,0.0,55
107/10/05,106,"1,193",11.3,11.35,11.15,11.25,-0.15,60
107/10/08,61,683,11.15,11.25,11.1,11.1,-0.15,32
107/10/09,19,211,11.15,11.2,11.05,11.05,-0.05,14
107/10/11,151,"1,611",11.0,11.1,10.35,10.8,-0.25,80
107/10/12,92,968,10.5,10.8,10.45,10.55,-0.25,48
107/10/15,30,315,10.55,10.55,10.45,10.45,-0.1,18
107/10/16,25,264,10.5,10.6,10.45,10.5,0.05,18
107/10/17,66,695,10.55,10.6,10.5,10.55,0.05,28
107/10/18,29,303,10.45,10.5,10.45,10.5,-0.05,13
107/10/19,48,503,10.5,10.55,10.4,10.5,0.0,23
107/10/22,52,548,10.4,10.65,10.4,10.55,0.05,33
107/10/23,74,777,10.6,10.6,10.45,10.55,0.0,36
107/10/24,76,797,10.5,10.6,10.4,10.55,0.0,30
107/10/25,97,"1,000",10.45,10.5,10.1,10.5,-0.05,49
107/10/26,184,"1,859",10.35,10.5,9.85,9.96,-0.54,85
107/10/29,121,"1,195",10.1,10.1,9.75,9.95,-0.01,57
107/10/30,56,556,9.92,10.0,9.8,9.96,0.01,29
107/10/31,18,183,10.0,10.0,9.89,10.0,0.04,25
107/11/01,111,"1,103",10.0,10.0,9.86,9.99,-0.01,59
107/11/02,30,299,9.99,10.0,9.96,9.96,-0.03,17
107/11/05,118,"1,191",10.0,10.2,10.0,10.2,0.24,60
107/11/06,56,569,10.25,10.25,10.1,10.25,0.05,28
107/11/07,56,574,10.3,10.3,10.15,10.25,0.0,36
107/11/08,38,388,10.3,10.3,10.15,10.25,0.0,17
107/11/09,35,357,10.15,10.25,10.1,10.25,0.0,16
107/11/12,3,31,10.25,10.3,10.25,10.3,0.05,3
107/11/13,30,304,10.15,10.2,10.1,10.1,-0.2,19
107/11/14,55,561,10.05,10.2,10.05,10.15,0.05,29
107/11/15,16,166,10.1,10.15,10.1,10.15,0.0,12
107/11/16,35,358,10.2,10.25,10.15,10.25,0.1,18
107/11/19,7,71,10.15,10.2,10.15,10.2,-0.05,7
107/11/20,32,322,10.05,10.15,10.05,10.1,-0.1,23
107/11/21,11,111,10.0,10.1,10.0,10.1,0.0,7
107/11/22,25,254,10.15,10.2,10.1,10.2,0.1,14
107/11/23,2,20,10.2,10.2,10.2,10.2,0.0,2
107/11/26,46,462,10.1,10.1,10.0,10.1,-0.1,24
107/11/27,16,162,10.1,10.15,10.1,10.15,0.05,7
107/11/28,115,"1,174",10.2,10.25,10.1,10.25,0.1,51
107/11/29,74,755,10.3,10.3,10.15,10.2,-0.05,35
107/11/30,61,622,10.25,10.3,10.1,10.25,0.05,29
107/12/03,66,678,10.25,10.3,10.25,10.3,0.05,30
