date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,22,116,5.38,5.38,5.27,5.27,-0.58,11
107/07/03,0,1,--,--,--,--,0.0,4
107/07/04,40,203,4.46,5.34,4.46,5.34,0.47,14
107/07/05,11,54,4.91,5.29,4.91,5.29,-0.05,4
107/07/06,0,0,--,--,--,--,0.0,0
107/07/09,1,6,5.49,5.49,5.49,5.49,0.2,2
107/07/10,0,0,--,--,--,--,0.0,0
107/07/11,7,40,5.40,5.92,5.40,5.92,0.5,7
107/07/12,65,347,5.40,5.69,5.33,5.33,-0.59,36
107/07/13,0,0,--,--,--,--,0.0,1
107/07/16,0,0,--,--,--,--,0.0,0
107/07/17,21,105,4.68,5.06,4.68,5.06,-0.06,8
107/07/18,0,1,--,--,--,--,0.0,1
107/07/19,2,11,5.18,5.65,5.18,5.65,0.45,2
107/07/20,13,66,5.15,5.15,5.09,5.09,-0.56,6
107/07/23,0,0,--,--,--,--,0.0,0
107/07/24,0,1,--,--,--,--,0.0,1
107/07/25,6,29,4.36,5.14,4.36,4.61,-0.11,5
107/07/26,1,3,--,--,--,--,0.0,1
107/07/27,89,403,4.90,5.18,4.32,5.18,0.47,17
107/07/30,13,67,5.49,5.49,4.80,5.35,0.17,11
107/07/31,0,0,--,--,--,--,0.0,2
107/08/01,9,46,4.88,5.28,4.88,5.28,0.08,6
107/08/02,62,301,4.87,5.23,4.76,4.76,-0.52,32
107/08/03,11,52,4.76,4.76,4.41,4.41,-0.35,6
107/08/06,4,19,4.42,4.76,4.42,4.57,0.16,5
107/08/07,3,14,4.22,4.48,4.22,4.48,-0.09,4
107/08/08,0,0,--,--,--,--,0.0,0
107/08/09,0,0,--,--,--,--,0.0,1
107/08/10,1,6,4.22,4.22,4.22,4.22,-0.21,4
107/08/13,0,1,--,--,--,--,0.0,2
107/08/14,1,4,3.99,3.99,3.99,3.99,-0.27,56
107/08/15,11,49,4.38,4.38,4.38,4.38,0.39,7
107/08/16,11,52,4.80,4.80,4.45,4.77,0.39,7
107/08/17,1,7,5.07,5.07,5.07,5.07,0.3,6
107/08/20,1,5,5.25,5.25,5.25,5.25,0.18,3
107/08/21,27,132,5.20,5.20,4.73,4.73,-0.52,17
107/08/22,0,0,--,--,--,--,0.0,0
107/08/23,0,0,--,--,--,--,0.0,3
107/08/24,4,18,4.30,4.30,4.16,4.16,-0.23,4
107/08/27,16,73,4.50,4.57,4.48,4.57,0.41,10
107/08/28,6,29,4.70,4.70,4.70,4.70,0.13,7
107/08/29,3,14,4.70,4.70,4.70,4.70,0.0,2
107/08/30,1,3,--,--,--,--,0.0,4
107/08/31,5,25,4.60,5.25,4.60,5.25,0.31,5
107/09/03,6,29,4.83,4.83,4.73,4.80,-0.45,6
107/09/04,3,14,4.65,4.65,4.65,4.65,-0.15,2
107/09/05,1,4,4.31,4.31,4.31,4.31,-0.34,1
107/09/06,1,4,4.31,4.31,4.31,4.31,0.0,1
107/09/07,1,4,4.10,4.10,4.10,4.10,-0.21,3
107/09/10,11,48,4.06,4.42,4.06,4.42,0.32,8
107/09/11,4,19,4.85,4.86,4.13,4.13,-0.29,4
107/09/12,24,105,4.13,4.54,4.13,4.54,0.41,7
