date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"12,289","1,458,058",123.5,124.0,114.5,115.5,-7.5,"7,416"
107/07/03,"10,979","1,274,761",116.5,118.0,114.5,115.5,0.0,"6,320"
107/07/04,"14,744","1,602,002",114.0,114.0,104.5,107.0,-8.5,"8,419"
107/07/05,"12,964","1,412,877",109.0,111.0,106.0,107.0,0.0,"7,873"
107/07/06,"20,300","2,272,235",110.0,117.5,107.5,117.5,10.5,"12,094"
107/07/09,"14,783","1,694,798",115.5,116.5,112.5,114.0,-3.5,"7,748"
107/07/10,"8,532","990,885",115.0,118.0,114.5,115.0,1.0,"5,188"
107/07/11,"7,078","799,084",113.0,114.5,111.5,113.0,-2.0,"3,979"
107/07/12,"6,649","762,500",114.0,116.0,112.5,116.0,3.0,"3,730"
107/07/13,"5,800","675,861",117.0,118.0,114.5,114.5,-1.5,"3,674"
107/07/16,"4,908","567,604",115.0,117.0,114.5,116.5,2.0,"2,962"
107/07/17,"4,207","484,462",116.5,117.0,114.0,115.0,-1.5,"2,492"
107/07/18,"6,089","692,982",116.0,117.0,109.5,109.5,-5.5,"3,672"
107/07/19,"7,062","810,074",111.0,116.5,110.5,115.5,6.0,"4,103"
107/07/20,"8,752","1,013,521",117.5,119.5,111.5,115.0,-0.5,"4,707"
107/07/23,"7,515","811,272",111.0,112.0,105.5,108.0,-4.0,"4,656"
107/07/24,"4,637","509,071",109.0,112.0,107.5,112.0,4.0,"2,805"
107/07/25,"3,783","426,283",111.0,114.0,111.0,113.0,1.0,"2,864"
107/07/26,"5,151","579,449",114.0,115.0,110.0,110.0,-3.0,"3,059"
107/07/27,"5,288","585,643",110.5,113.0,108.0,113.0,3.0,"2,933"
107/07/30,"7,263","787,277",113.0,113.0,106.5,107.0,-6.0,"4,066"
107/07/31,"8,379","896,432",107.5,109.5,105.0,105.0,-2.0,"4,931"
107/08/01,"22,364","2,253,192",106.5,107.0,97.7,99.2,-5.8,"12,581"
107/08/02,"21,080","1,989,874",99.4,99.4,91.6,92.0,-7.2,"12,098"
107/08/03,"15,144","1,427,759",93.9,97.0,91.1,97.0,5.0,"10,128"
107/08/06,"6,632","650,450",96.9,99.5,95.5,99.5,2.5,"4,590"
107/08/07,"13,003","1,326,933",99.8,104.0,98.9,102.5,3.0,"7,587"
107/08/08,"14,299","1,405,734",102.5,103.0,95.3,95.6,-6.9,"9,908"
107/08/09,"11,277","1,091,053",96.0,98.1,94.6,96.1,0.5,"7,630"
107/08/10,"11,412","1,086,669",97.2,98.0,93.0,93.0,-3.1,"7,977"
107/08/13,"19,309","1,701,842",91.6,91.7,84.2,88.4,-4.6,"11,469"
107/08/14,"10,336","925,112",89.7,92.4,86.0,91.5,3.1,"7,800"
107/08/15,"7,086","639,981",90.6,91.9,89.3,90.3,-1.2,"4,969"
107/08/16,"8,150","744,272",89.0,92.8,88.1,92.8,2.5,"6,249"
107/08/17,"7,023","647,179",93.0,93.9,90.2,90.2,-2.6,"5,080"
107/08/20,"18,397","1,579,546",90.2,90.6,82.3,84.2,-6.0,"12,194"
107/08/21,"9,583","826,137",85.3,87.2,84.9,86.6,2.4,"6,606"
107/08/22,"17,355","1,474,498",85.9,87.3,82.8,87.3,0.7,"11,339"
107/08/23,"6,368","548,978",86.4,87.6,85.2,85.2,-2.1,"4,724"
107/08/24,"8,398","703,530",85.0,85.0,83.0,84.5,-0.7,"6,045"
107/08/27,"7,410","647,596",85.4,88.7,85.3,88.2,3.7,"5,057"
107/08/28,"5,554","487,559",88.8,89.4,86.9,87.4,-0.8,"3,824"
107/08/29,"6,780","590,061",87.6,88.2,86.0,87.4,0.0,"4,889"
107/08/30,"8,341","741,494",89.0,90.2,87.5,87.5,0.1,"5,739"
107/08/31,"5,209","451,567",86.9,88.0,86.0,88.0,0.5,"3,711"
107/09/03,"8,582","726,283",87.0,87.4,82.3,83.8,-4.2,"5,757"
107/09/04,"5,295","446,012",84.0,85.5,82.8,84.4,0.6,"4,045"
107/09/05,"3,107","262,744",85.0,85.3,83.6,84.3,-0.1,"2,363"
107/09/06,"4,018","340,929",84.3,85.5,83.6,85.0,0.7,"2,989"
107/09/07,"12,483","1,005,148",86.0,86.1,76.6,77.2,-7.8,"7,969"
107/09/10,"15,429","1,100,116",76.0,76.0,69.5,69.5,-7.7,"8,889"
107/09/11,"19,164","1,334,031",70.4,71.6,67.9,69.5,0.0,"10,827"
107/09/12,"22,686","1,495,703",70.5,70.5,63.8,64.4,-5.1,"12,182"
107/09/13,"9,684","639,376",65.6,67.1,65.2,65.6,1.2,"6,208"
107/09/14,"13,055","911,612",67.3,72.1,66.6,72.1,6.5,"6,644"
107/09/17,"22,501","1,669,604",73.0,75.4,72.8,74.7,2.6,"12,574"
107/09/18,"11,970","866,627",73.2,74.0,70.9,73.9,-0.8,"7,308"
107/09/19,"14,108","1,071,973",75.8,77.4,74.2,74.3,0.4,"8,745"
107/09/20,"8,444","631,327",75.0,76.1,73.3,74.6,0.3,"5,640"
107/09/21,"23,515","1,861,482",76.0,81.8,75.2,81.5,6.9,"14,564"
107/09/25,"40,513","3,281,303",80.0,85.2,78.1,78.1,-3.4,"24,940"
107/09/26,"15,980","1,242,769",77.0,79.5,76.3,79.5,1.4,"10,399"
107/09/27,"9,921","778,405",79.0,79.9,77.0,77.3,-2.2,"6,545"
107/09/28,"12,868","1,013,436",78.1,80.3,77.1,78.4,1.1,"8,613"
107/10/01,"9,272","734,668",79.1,80.7,77.5,79.9,1.5,"6,135"
107/10/02,"7,487","594,682",79.5,80.4,78.5,78.5,-1.4,"5,038"
107/10/03,"12,735","968,605",78.9,79.3,73.4,74.9,-3.6,"8,565"
107/10/04,"6,630","497,886",74.8,75.8,74.2,75.8,0.9,"4,702"
107/10/05,"16,326","1,170,442",74.6,74.8,69.4,70.0,-5.8,"10,732"
107/10/08,"17,110","1,164,576",69.1,70.2,66.3,68.0,-2.0,"10,588"
107/10/09,"14,305","996,071",68.5,71.5,67.6,70.5,2.5,"9,326"
107/10/11,"10,732","686,391",63.7,65.0,63.5,63.5,-7.0,"5,817"
107/10/12,"16,309","1,041,412",62.3,65.1,62.1,64.1,0.6,"10,144"
107/10/15,"10,616","674,256",63.1,64.9,62.4,63.1,-1.0,"6,706"
107/10/16,"17,126","1,117,947",63.7,67.3,63.6,64.0,0.9,"10,797"
107/10/17,"9,371","612,230",66.5,66.5,64.3,65.2,1.2,"5,720"
107/10/18,"10,968","725,556",66.3,67.4,65.2,65.3,0.1,"6,294"
107/10/19,"9,952","619,122",63.6,63.6,61.5,61.8,-3.5,"6,519"
107/10/22,"9,490","583,191",60.1,62.7,59.2,61.9,0.1,"6,382"
