date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,14,521,37.2,37.25,37.1,37.25,0.0,9
107/07/03,26,969,37.25,37.3,37.15,37.2,-0.05,17
107/07/04,22,818,37.1,37.2,37.1,37.2,0.0,10
107/07/05,75,"2,780",37.2,37.2,36.85,36.85,-0.35,36
107/07/06,89,"3,293",37.0,37.2,36.9,37.0,0.15,34
107/07/09,37,"1,375",37.15,37.25,36.95,37.05,0.05,29
107/07/10,13,483,37.2,37.2,37.15,37.2,0.15,10
107/07/11,11,408,37.0,37.2,37.0,37.15,-0.05,7
107/07/12,15,557,37.1,37.15,37.05,37.1,-0.05,9
107/07/13,19,711,37.2,37.3,37.1,37.15,0.05,18
107/07/16,35,"1,298",37.05,37.15,37.0,37.15,0.0,15
107/07/17,36,"1,333",37.2,37.3,36.9,37.15,0.0,21
107/07/18,19,709,37.2,37.2,37.0,37.15,0.0,14
107/07/19,20,742,37.05,37.25,37.0,37.25,0.1,14
107/07/20,8,302,37.2,37.3,37.2,37.3,0.05,8
107/07/23,16,596,37.1,37.3,37.1,37.15,-0.15,9
107/07/24,18,672,37.15,37.25,37.1,37.25,0.1,10
107/07/25,24,895,37.25,37.3,37.25,37.3,0.05,12
107/07/26,14,524,37.3,37.4,37.3,37.4,0.1,14
107/07/27,24,903,37.65,37.7,37.35,37.7,0.3,21
107/07/30,17,626,37.7,37.9,37.65,37.9,0.2,16
107/07/31,35,"1,336",37.95,37.95,37.8,37.9,0.0,20
107/08/01,30,"1,149",37.9,37.95,37.85,37.95,0.05,24
107/08/02,15,566,37.7,37.85,37.65,37.85,-0.1,10
107/08/03,22,832,37.85,37.85,37.75,37.85,0.0,10
107/08/06,32,"1,204",37.7,37.7,37.45,37.6,-0.25,19
107/08/07,37,"1,395",37.7,37.8,37.65,37.8,0.2,16
107/08/08,33,"1,256",37.8,37.8,37.7,37.75,-0.05,19
107/08/09,43,"1,619",37.7,37.7,37.6,37.65,-0.1,18
107/08/10,50,"1,880",37.7,37.7,37.5,37.5,-0.15,26
107/08/13,82,"3,091",37.7,37.7,37.4,37.65,0.15,44
107/08/14,58,"2,187",37.8,37.8,37.65,37.7,0.05,26
107/08/15,106,"3,997",37.75,37.8,37.6,37.7,0.0,55
107/08/16,105,"3,815",36.2,37.3,36.2,37.0,0.8,62
107/08/17,73,"2,691",37.2,37.2,36.55,37.0,0.0,33
107/08/20,64,"2,345",36.1,36.9,36.1,36.75,-0.25,45
107/08/21,41,"1,514",36.6,37.35,36.6,37.0,0.25,27
107/08/22,24,889,37.0,37.15,36.85,37.15,0.15,17
107/08/23,18,671,37.4,37.45,37.0,37.3,0.15,14
107/08/24,28,"1,047",37.35,37.4,37.15,37.3,0.0,23
107/08/27,14,524,37.35,37.5,37.35,37.35,0.05,11
107/08/28,36,"1,356",37.7,37.85,37.55,37.7,0.35,23
107/08/29,36,"1,341",37.9,38.0,37.7,37.7,0.0,21
107/08/30,53,"1,999",37.7,37.7,37.45,37.45,-0.25,29
107/08/31,58,"2,181",37.5,38.1,37.5,38.1,0.65,35
107/09/03,132,"5,131",38.5,39.2,38.45,39.15,1.05,106
107/09/04,40,"1,540",38.95,38.95,38.7,38.85,-0.3,32
107/09/05,19,734,38.8,38.8,38.5,38.7,-0.15,16
107/09/06,33,"1,254",38.6,38.75,38.5,38.5,-0.2,23
107/09/07,110,"4,239",38.45,38.6,38.3,38.3,-0.2,23
107/09/10,28,"1,074",38.3,38.3,37.8,37.95,-0.35,19
107/09/11,22,839,37.7,37.8,37.65,37.8,-0.15,19
107/09/12,86,"3,208",37.6,37.6,36.9,37.4,-0.4,49
107/09/13,39,"1,443",37.2,37.4,37.1,37.4,0.0,13
107/09/14,19,708,37.2,37.4,37.15,37.35,-0.05,17
107/09/17,22,828,37.15,37.4,36.95,37.4,0.05,21
107/09/18,9,348,37.2,37.35,37.1,37.35,-0.05,11
107/09/19,15,562,37.5,37.65,37.3,37.4,0.05,15
107/09/20,22,823,37.3,37.55,37.3,37.5,0.1,10
107/09/21,6,224,37.2,37.55,37.2,37.4,-0.1,5
107/09/25,9,336,37.3,37.4,37.3,37.4,0.0,5
107/09/26,25,932,37.4,37.4,37.15,37.2,-0.2,22
107/09/27,15,559,37.1,37.35,37.05,37.3,0.1,15
107/09/28,22,820,37.2,37.4,37.1,37.1,-0.2,19
107/10/01,25,930,37.1,37.35,37.1,37.1,0.0,15
107/10/02,13,485,37.1,37.35,37.1,37.35,0.25,8
107/10/03,23,857,37.25,37.4,37.15,37.3,-0.05,12
107/10/04,23,857,37.1,37.3,37.1,37.3,0.0,13
107/10/05,52,"1,935",37.1,37.3,36.8,37.1,-0.2,30
107/10/08,27,999,37.0,37.1,37.0,37.0,-0.1,18
107/10/09,78,"2,892",37.0,37.0,36.8,37.0,0.0,36
107/10/11,110,"3,967",36.6,36.6,36.0,36.2,-0.8,62
107/10/12,195,"6,940",36.3,36.3,35.5,35.5,-0.7,70
107/10/15,21,755,35.5,36.25,35.3,36.0,0.5,17
107/10/16,15,544,36.0,36.0,36.0,36.0,0.0,10
107/10/17,18,650,36.2,36.2,36.0,36.1,0.1,13
107/10/18,20,720,36.0,36.1,36.0,36.0,-0.1,10
107/10/19,55,"1,975",35.95,36.0,35.55,35.55,-0.45,17
107/10/22,20,719,35.85,36.0,35.6,36.0,0.45,9
107/10/23,55,"1,980",36.3,36.3,35.8,35.8,-0.2,17
107/10/24,35,"1,262",36.0,36.0,35.8,35.95,0.15,17
107/10/25,26,944,35.95,36.1,35.6,36.1,0.15,16
107/10/26,30,"1,074",36.0,36.0,35.75,35.8,-0.3,10
107/10/29,16,573,35.8,35.8,35.5,35.8,0.0,12
107/10/30,12,430,35.8,35.9,35.8,35.9,0.1,7
107/10/31,21,756,36.0,36.0,35.8,35.9,0.0,11
107/11/01,16,575,36.0,36.05,35.7,35.95,0.05,12
107/11/02,25,897,35.9,36.0,35.85,35.9,-0.05,16
107/11/05,9,323,35.95,35.95,35.8,35.95,0.05,4
107/11/06,1,37,35.95,35.95,35.95,35.95,0.0,2
107/11/07,25,903,36.0,36.3,35.95,36.3,0.35,17
